"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","eventTime","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","616201","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","lajeana","Myrcia lajeana","D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"L. B. Smith","14966","1965","01","22","Brazil","Paraná","Lapa","Fazendinha, Rio Passa Dois, 12-15 km southwest of Lapa","-49.73","-25.8",NA,NA,"900","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616201","NY00616201_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00908349","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.",NA,NA,NA,NA,"A. F. M. Glaziou","16977","1887","09","13","Brazil","Minas Gerais",NA,"Itabeira do Como",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992607' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908349","NY00908349_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00906553","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","M. Sobral",NA,NA,NA,"G. G. Hatschbach","58831","1993","02","10","Brazil","Mato Grosso do Sul","Bela Vista","Rod. MS-384, Rio Guaviral","-56.5208","-22.1092",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906553","NY00906553_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00908350","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.",NA,NA,NA,NA,"A. F. Regnell","I:137",NA,NA,NA,"Brazil","Minas Gerais","Caldas","Caldas","-46.3858","-21.9236",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992608' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908350","NY00908350_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","2063494","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.",NA,NA,NA,NA,"A. P. Cardozo","19","2011","11","04","Brazil","Paraná","Piraquara",NA,"-49.2242","-25.2917",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2499684' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063494","NY02063494_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01067374","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","M. L. Kawasaki",NA,NA,NA,"F. C. Hoehne","s.n.","1933","10","04","Brazil","São Paulo",NA,"Cabreúva",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1211161' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067374","NY01067374_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1016794","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","M. L. Kawasaki",NA,NA,NA,"G. G. Hatschbach","71517","2000","10","22","Brazil","Espírito Santo","Afonso Cláudio","Rio do Peixe.","-41.1239","-20.0744",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193165' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016794","NY01016794_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","616226","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana australis","D.Legrand",NA,NA,NA,NA,"L. B. Smith","12907","1964","10","24","Brazil","Santa Catarina","Faxinal dos Guedes","Gorge of the Rio Irani, 12 km southeast of Fachinal dos Guedes","-52.2","-26.95",NA,NA,"500","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438379' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616226","NY00616226_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,"australis",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","616219","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","M. L. Kawasaki",NA,NA,NA,"L. Riedel","s.n.","1824","10",NA,"Brazil",NA,NA,"Prope St. Luzia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616219","NY00616219_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","616215","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","C. Kozera",NA,NA,NA,"D. J. Carriao","2","1995","10","03","Brazil","Paraná","Curitiba","Parque Barigui","-49.22","-25.37",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616215","NY00616215_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","616216","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","M. L. Kawasaki",NA,NA,NA,"O. Handro","s.n.","1938","10","20","Brazil","São Paulo","Sao Paulo","Nativa no Jardim Botânico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616216","NY00616216_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","616214","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","M. Sobral",NA,NA,NA,"J. Cordeiro","1261","1995","12","07","Brazil","Paraná","Itaperuçu","Rio Açungui, Jacaré","-49.3478","-25.22",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616214","NY00616214_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","616222","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","17665","1965","12","15","Brazil","Paraná","Guarapuava","Rio Coitinho, Guarapuava","-51.523417","-25.359069",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171068' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616222","NY00616222_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00908348","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","M. L. Kawasaki",NA,NA,NA,"E. P. Heringer","370","1940","10","08","Brazil","Minas Gerais","Coronel Pacheco","Coronel Pacheco, Estaçao Experimental de Café.","-43.2656","-21.5881",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908348","NY00908348_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-10-19 09:41:00-02","NY","NYBG","616224","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana",NA,"B. K. Holst",NA,NA,NA,"E. M. Zardini","26246","1991","02","08","Paraguay","Cordillera",NA,"Tobatí. Ybytú Silla mesa","-57.12","-25.2",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171072' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616224",NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00906890","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","J. E. Q. de Faria",NA,NA,NA,"B. A. S. Pereira","747","1983","09","08","Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE. Junto da ponte do Corujao","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983065' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906890","NY00906890_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","616212","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","M. Sobral",NA,NA,NA,"P. I. Oliveira","157","1979","11","12","Brazil","Paraná","Sao José dos Pinhais","Rio Miringuava","-49.2064","-25.5347",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616212","NY00616212_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","615446","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana paraguayensis","O.Berg",NA,NA,NA,NA,"R. Reitz","2614","1948","12","30","Brazil","Santa Catarina","Sao Joaquim","Urubicí, Sao Joaquim","-49.9317","-28.2942",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=259994' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615446","NY00615446_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,"paraguayensis",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","616221","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","17774","1965","12","16","Brazil","Paraná","Guarapuava","Fazenda Trois Capoes, Guarapuava","-51.4581","-25.3956",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616221","NY00616221_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1522387","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","C. M. D. E. Legrand",NA,NA,NA,"G. G. Hatschbach","15141","1966","11","18","Brazil","Paraná","Guaratuba","Rio S.Joao, Porto Miranda.","-48.5744","-25.8831",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1751625' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522387","NY01522387_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00906320","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","M. Sobral",NA,NA,NA,"G. Eiten","8305","1968","08","23","Brazil","Mato Grosso","Barra do Garças","Ca. 20 km North of city of Barra do Garças along road to Xavantina","-52.2567","-15.8903",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906320","NY00906320_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1552376","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","M. L. Kawasaki",NA,NA,NA,"G. G. Hatschbach","69744","1999","10","25","Brazil","Minas Gerais","Serro","Rio do Peixe","-43.3793983459473","-18.604700088501",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1940900' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552376","NY01552376_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","37754","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","616218","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","M. L. Kawasaki",NA,NA,NA,"F. C. Hoehne","s.n.","1918","10","11","Brazil","São Paulo","Sao Paulo","Butanta; também cultivada no Hôrto Oswaldo Cruz","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171063' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616218","NY00616218_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00906710","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","N. Silveira",NA,NA,NA,"H. S. Irwin","18175","1966","07","12","Brazil","Distrito Federal","Brasília","Riacho Vicente Pires, ca. 15 km W. of Brasília, D.F.","-47.67","-15.37",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906710","NY00906710_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","616217","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","M. Sobral",NA,NA,NA,"R. Kummrow","120","1973","02","13","Brazil","Paraná","Curitiba","Parque Barreirinha","-49.2731","-25.4281",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616217","NY00616217_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1522374","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.",NA,NA,NA,NA,"P. K. H. Dusén","7330","1908","12","08","Brazil","Paraná",NA,"Serrinha",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1751592' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522374","NY01522374_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","616210","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","6271","1958","01","22","Brazil","Santa Catarina","Joinville","Estrada Dona Francisca, Joinville","-48.8456","-26.3044",NA,NA,"650","650","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616210","NY00616210_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","1522798","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","M. L. Kawasaki",NA,NA,NA,"F. C. Hoehne","s.n.","1933","10","04","Brazil","São Paulo","Cabreúva","Cabreúva","-47.13","-23.3",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1777409' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522798","NY01522798_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00908351","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.",NA,NA,NA,NA,"A. F. M. Glaziou","16978","1887","09","22","Brazil","Minas Gerais","Barbaçena","Barbacena","-43.7733","-21.2258",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992611' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908351","NY00908351_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","1552345","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","M. Sobral",NA,NA,NA,"P. I. Oliveira","157","1979","11","12","Brazil","Paraná","Sao José dos Pinhais","Rio Miringuava","-49.2064","-25.5347",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1940708' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552345","NY01552345_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","616220","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","C. M. D. E. Legrand",NA,NA,NA,"R. Reitz","2900","1956","03","22","Brazil","Santa Catarina","Luiz Alves","Braço Joaquim, Luis Alves, Itajaí","-48.941177","-26.748537",NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171065' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616220","NY00616220_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","616208","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","C. M. D. E. Legrand",NA,NA,NA,"L. B. Smith","10560","1957","02","01","Brazil","Santa Catarina","Campo Alegre","Lower fazenda of Ernesto Scheide, Campo Alegre","-49.2656","-26.1925",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171070' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616208","NY00616208_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","1522373","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","laruotteana","Myrcia laruotteana","Cambess.","M. L. Kawasaki",NA,NA,NA,"C. Duarte","185","1910","09",NA,"Brazil","São Paulo","Atibaia","Atibaia","-46.5497","-23.1103",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1751591' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522373","NY01522373_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
