"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","00859324","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","J. H. Kirkbride Jr.","5239","1983","04","25","South America","Brazil","boxed",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859324","Magnoliophyta","Malpighiales","Mart.",NA,"Distrito Federal","Brasília","Córrego Jatobá.","-48.1","-15.6","1240","1240","NY00859324_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00859309","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","W. R. Anderson","9754","1973","05","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957428' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859309","Magnoliophyta","Malpighiales","Mart.","B. Hansen","Mato Grosso",NA,"Eastern base of mountain ca. 9 km NE of Barra do Garças","-52.19058","-15.82579","450","500","NY00859309_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00859307","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","E. P. Heringer","8859","1961","05","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859307","Magnoliophyta","Malpighiales","Mart.","H. S. Irwin","Distrito Federal","Brasília","Brasília, Estrada de Anapólis.","-47.9294","-15.7797",NA,NA,"NY00859307_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1737952","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","L.A. Gomes","7","2012","09","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1951060' target='other'> <mi>dwc_moreinfo</mi></a>","NY01737952","Magnoliophyta","Malpighiales","Mart.","L.A. Gomes","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto.","-37.4186","-11.3925",NA,NA,"NY01737952_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00859305","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","H. S. Irwin","16848","1966","06","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859305","Magnoliophyta","Malpighiales","Mart.","J. H. Kirkbride Jr.","Mato Grosso",NA,"Ca. 15 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.32","-14.82","400","400","NY00859305_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00859313","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","T. C. Plowman","8431","1980",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957643' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859313","Magnoliophyta","Malpighiales","Mart.","P. G. Delprete","Tocantins","Presidente Kennedy","Road from highway BR-153 to Itaporã, 12 km. west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho.","-48.6008","-8.5006","400","500","NY00859313_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00859315","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","G. M. Araújo","78","1992","05","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957670' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859315","Magnoliophyta","Malpighiales","Mart.","I. Schiavini","Minas Gerais","Uberlândia","Estação Ecológica do Panga, Uberlândia.","-48.2769","-18.9186",NA,NA,"NY00859315_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1857607","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","U. N. Maciel","757","1982","08","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2063212' target='other'> <mi>dwc_moreinfo</mi></a>","NY01857607","Magnoliophyta","Malpighiales","Mart.","P. J. M. Maas","Pará","Marabá","Carajás, Serra Norte. Estrada PA-275, 10 km do acampamento, Núcleo Carajás","-50.2485788","-6.0744109",NA,NA,"NY01857607_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1857606","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","O. C. Nascimento","336","1977","12","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2063210' target='other'> <mi>dwc_moreinfo</mi></a>","NY01857606","Magnoliophyta","Malpighiales","Mart.","B. Hansen","Pará",NA,"Tome Açu, Fazenda Curiman","-48.1556511","-2.4145606",NA,NA,"NY01857606_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1146591","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","P. G. Delprete","10100","2007","05","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1352703' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146591","Magnoliophyta","Malpighiales","Mart.","P. G. Delprete","Goiás","Aparecida de Goiânia","Serra das Areias. Serra das Areias. Trilha perto do córrego das Areias.","-49.3225","-16.8372","900","900","NY01146591_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","393723","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","J. C. Solomon","14864","1985","12","06","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=341713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393723","Magnoliophyta","Malpighiales","Mart.","M. Moraes Ramírez","La Paz","Nor Yungas","Serrania de Bella Vista. 18.6 km N of the bridge at Carrasco on the road to Palos Blancos (Alto Beni) (39 km N of Caranavi)","-67.57","-15.58","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","393722","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","F. C. Hoehne","27517","1931","05","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=341715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393722","Magnoliophyta","Malpighiales","Mart.","B. Hansen","São Paulo",NA,NA,NA,NA,NA,NA,"NY00393722_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00859303","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","H. S. Irwin","16560","1966","06","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859303","Magnoliophyta","Malpighiales","Mart.","J. H. Kirkbride Jr.","Mato Grosso",NA,"Ca. 86 km. N. of Xavantina. Serra do Roncador.","-52.08","-13.92","550","550","NY00859303_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00859311","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","J. H. Kirkbride Jr.","5239","1983","04","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957431' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859311","Magnoliophyta","Malpighiales","Mart.",NA,"Distrito Federal","Brasília","Córrego Jatobá.","-48.1","-15.6","1240","1240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01806395","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","L.A. Gomes","723","2012","09","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2195114' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806395","Magnoliophyta","Malpighiales","Mart.","L.A. Gomes","Sergipe",NA,"Santa Luzia do Itanhy, Mata do Crasto: Borda de mata.","-37.4194","-11.3858",NA,NA,"NY01806395_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00859312","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","G. T. Prance","26126","1979","06","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957626' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859312","Magnoliophyta","Malpighiales","Mart.","M. Colella","Mato Grosso",NA,"Vicinity of Acurizal","-57.53","-17.87",NA,NA,"NY00859312_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","02099018","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","W. W. Thomas","14557","2006","01","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=889426' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099018","Magnoliophyta","Malpighiales","Mart.",NA,"Bahia","Mun. Arataca","Serra Peito de Moça, 9.7 km NE of Arataca on dirt road to Una, then 8.8 km NW (left) on road through Fazenda Sta. Rita to Reserva do IESB (Fazenda Palmeira).","-39.3439444","-15.1613056","700","850","NY02099018_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00859308","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","W. R. Anderson","8419","1973","04","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859308","Magnoliophyta","Malpighiales","Mart.","B. Hansen","Minas Gerais",NA,"12 km by road W of Diamantina on road to Curvelo. Serra do Espinhaço.","-43.68024","-18.32666","1450","1450","NY00859308_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-10-19 09:29:00-02","NY","NYBG","393724","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","P. Franco Rosselli","5311","1994","04",NA,"South America","Colombia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=341714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393724","Magnoliophyta","Malpighiales",NA,"D. A. G. Cañas","Putumayo",NA,"Municipio Mocoa, corregimiento de San Antonio, vereda Alto Campucana, finca La Mariposa, quebrada. Vertiente amazónica de Colombia","-76.63","1.2","1350","1350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1014820","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","R. Reitz","7156","1958","09","18","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139226' target='other'> <mi>dwc_moreinfo</mi></a>","NY01014820","Magnoliophyta","Malpighiales","Mart.","L. B. Smith","Santa Catarina","Sao Joaquim","Serra do Oratório, Bom Jardim.","-49.9317","-28.2942","1500","1500","NY01014820_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00859325","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","G. C. G. Argent","6706","1968","08","28","South America","Brazil","boxed",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859325","Magnoliophyta","Malpighiales","Mart.","M. Colella","Mato Grosso",NA,"B. C. 1, by Base Camp","-51.77","-12.82",NA,NA,"NY00859325_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1857608","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","D. C. Daly","1931","1981","12","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2063207' target='other'> <mi>dwc_moreinfo</mi></a>","NY01857608","Magnoliophyta","Malpighiales","Mart.","B. Hansen","Pará",NA,"Serra dos Carajás: Azul, near camp at Serra Norte (22 km. NW, then 10-15 km. SW).","-50.47","-5.98",NA,NA,"NY01857608_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","468220","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","H. S. Irwin","16560","1966","06","03","South America","Brazil","fluid-preserved",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=341716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00468220","Magnoliophyta","Malpighiales","Mart.","J. H. Kirkbride Jr.","Mato Grosso","Água Boa","Serra do Roncador. Cerrado (a wastland with stunted, twisted trees) ca. 86 km. N of Xavantina, Mato Grosso.","-52.1583","-14.0503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","02680828","PreservedSpecimen","Plantae","Balanopaceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","J. L. Clark","11457","2010","05","15","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2899273' target='other'> <mi>dwc_moreinfo</mi></a>","NY02680828","Magnoliophyta","Malpighiales","Mart.",NA,"Cusco","Quispicanchi","Distrito: Camanti, Vitobamba, 5+ km SE of Quincemil, trail from main highway Quincemil-Cusco (highway Interoceánica - Transamazónica), Colina de Vitobamba, large hill on south side of road, property of Fernando Farro Pérez","-70.8156","-13.1517","1100",NA,"NY02680828_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-01-28 13:11:04-03","MCN-PUC-MINAS","HPUC-MG","ANG4578","S","Plantae","Balanophoraceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","M.F.Vasconcelos","102",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"Minas Gerais","Catas Altas","Trilha para gruta de Lourdes - Caraça","-43.466667","-20.083333",NA,NA,NA,NA,"43°28'W","20°05'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-03-20 11:47:04-03","MCN-PUC-MINAS","HPUC-MG","ANG4576","S","Plantae","Balanophoraceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","M.F. Vasconcelos","495","2013","05",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"Minas Gerais","Catas Altas","Serra do Caraça","-43.4075012207031","-20.0746994018555",NA,NA,NA,NA,NA,NA,"11966","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-03-20 11:47:04-03","MCN-PUC-MINAS","HPUC-MG","ANG4577","S","Plantae","Balanophoraceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","M.F.Vasconcelos; F.I Garcia",NA,"2010","04",NA,NA,"Brasil",NA,NA,"UTM: 65371x; 7773233y.",NA,NA,NA,NA,NA,"Minas Gerais","Nova Lima","Vargem Grande","-43.8466987609863","-19.9855995178223",NA,NA,NA,NA,NA,NA,"29211","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-01-06 11:41:57-03","UFPI-MRV","HDELTA","6077","PreservedSpecimen","Plantae","Balanophoraceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","Rodrigues, V.",NA,"2019","05","31",NA,"Brasil",NA,NA,NA,"HDELTA006077",NA,NA,"Mart.","Siqueira Filho, J.A.","Ceará","Tianguá","Pousada sítio do bosco","-40.99169921875","-3.7322199344635",NA,NA,NA,NA,NA,NA,"36695","auto","2019","05","31",NA,NA,NA,NA,NA
"39","2019-09-10 21:42:20-03","UNEMAT","TANG","3541","S","Plantae","Balanophoraceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","Abdo, MSA; Santos, JL","608","2017","01","24",NA,"Brasil",NA,NA,NA,"TANG000003541",NA,NA,"Mart.",NA,"Mato Grosso","Nova Olimpia","Fazenda dos Pscheidt, Floresta Estacional Semidecidual na borda da Serra de Tapirapuã, localizado na Fazenda dos Pscheidt a cerca de 4km do distrito de Progresso.","-57.322778","-14.690917","517","517",NA,NA,"-57.322778","-14.690917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:35:21-03","EAO","IAN","102907","PreservedSpecimen","Plantae","Balanophoraceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","Oliveira, E","196","1959","11","29","Southern America","Brasil",NA,NA,NA,"IAN102907","Dicotiledônea",NA,"Mart.","Cardoso, L",NA,NA,"Rodovia Belém-Brasília, km 54 á 62.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009","11","06",NA,NA,NA,NA,NA
"41","2021-03-30 12:35:21-03","EAO","IAN","102986","PreservedSpecimen","Plantae","Balanophoraceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","Oliveira, E","278","1959","12","12","Southern America","Brasil",NA,NA,NA,"IAN102986","Dicotiledônea",NA,"Mart.","Hansen, B",NA,NA,"Rodovia Belém-Brasília, km 69.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1976","12",NA,NA,NA,NA,NA,NA
"42","2021-03-30 12:35:21-03","EAO","IAN","105186","PreservedSpecimen","Plantae","Balanophoraceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","Oliveira, E","446","1960","01","28","Southern America","Brasil",NA,NA,NA,"IAN105186","Dicotiledônea",NA,"Mart.","Hansen, B",NA,NA,"Rodovia Belém-Brasília, km 135.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1976","12",NA,NA,NA,NA,NA,NA
"43","2021-03-30 12:35:21-03","EAO","IAN","156056","PreservedSpecimen","Plantae","Balanophoraceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","Cordeiro, MR","1624","1979","12","29","Southern America","Brasil",NA,NA,NA,"IAN156056","Dicotiledônea",NA,"Mart.","Cardoso, L","Pará",NA,"Fazenda Jabuti, mata de terra firme, solo pedregoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009","11","06",NA,NA,NA,NA,NA
"44","2021-03-30 12:35:21-03","EAO","IAN","174628","PreservedSpecimen","Plantae","Balanophoraceae","Langsdorffia","hypogaea","Langsdorffia hypogaea","Silva, JP da","231","1988","12","19","Southern America","Brasil",NA,NA,NA,"IAN174628","Dicotiledônea",NA,"Mart.","Cardoso, L",NA,NA,"Floresta áerea do Parque Botânico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009","11","06",NA,NA,NA,NA,NA
