"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","day","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber","infraspecificEpithet","typeStatus","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","499061","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","K. A. Barringer",NA,NA,NA,"A. M. R. Huidobro","1947","02","Argentina","Misiones","Apóstoles","Apóstoles.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499061",NA,"4538","09","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","499057","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","K. A. Barringer",NA,NA,NA,"A. C. Brade","1949","02","Brazil","Paraná","Ponta Grossa","Ponta Grossa, Faz. Cambijon, Fortaleza.","-50.1617","-25.095",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499057","NY00499057_01","19697","13","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","499045","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","K. A. Barringer",NA,NA,NA,"L. B. Smith","1957","02","Brazil","Santa Catarina","Rio Negrinho","5-14 km west of Rio Negrinho. [the label also had 10 km. written on it]","-49.5181","-26.2544",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706363' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499045","NY00499045_01","10595","02","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","823171","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","1966","01","Brazil","Paraná",NA,"Curitiba, ruderal vegetation on hill at Avenida Paraná.",NA,NA,NA,NA,"930","930","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823171","NY00823171_01","423","27","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","499056","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","K. A. Barringer",NA,NA,NA,"A. C. Brade","1949","02","Brazil","Paraná","Balsa Nova","Serra Sao Luiz.","-49.6356","-25.5842",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706362' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499056","NY00499056_01","19487","12","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","499052","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","K. A. Barringer",NA,NA,NA,"E. Pereira","1960","02","Brazil","Paraná","Campo Largo","Campo Largo, Serra S. Luiz de Puruna.","-49.5281","-25.4586",NA,NA,"1200","1200","Herbarium Bradeanum Rio de Janeiro - Brasil <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499052","NY00499052_01","5420","23","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","499046","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy",NA,NA,NA,NA,"R. A. Wasum","1989","02","Brazil","Rio Grande do Sul","Caxias do Sul","Caxias do Sul - Forqueta.","-51.269262","-29.207492",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499046","NY00499046_01","5320","10","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","823170","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","1966","01","Brazil","Paraná",NA,"Curitiba, ruderal vegetation in Ahu de Cima outskirt on N side.",NA,NA,NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937352' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823170","NY00823170_01","359","18","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","499054","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","K. A. Barringer",NA,NA,NA,"J. E. Leite","1941","02","Brazil","Rio Grande do Sul","Sao Leopoldo","Vicinity of Sao Leopoldo.","-51.143791","-29.75136",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706361' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499054","NY00499054_01","256","01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-29 17:38:00-03","NY","NYBG","499060","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis",NA,"N. H. Holmgren",NA,NA,NA,"E. M. Zardini","1993","01","Paraguay","Central",NA,"Estero del Ypoá. Pureto Guyrati - Villa Oliva. 2 km S of Puerto Guyrati.","-57.6","-25.62",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499060",NA,"34632","14","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","499051","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","K. A. Barringer",NA,NA,NA,"E. Pereira","1960","02","Brazil","Paraná","Curitiba","Curitiba, Aeroporto Affonso Penna.","-49.2731","-25.4281",NA,NA,NA,NA,"Herbarium Bradeanum Rio de Janeiro - Brasil <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499051","NY00499051_01","5160","09","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","499055","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","K. A. Barringer",NA,NA,NA,"P. K. H. Dusén","1910","01","Brazil","Paraná","Ponta Grossa","Ponta Grossa, in ruderatis.","-50.077154","-25.140873",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706365' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499055","NY00499055_01","9151","30","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2017-01-26 16:27:00-02","NY","NYBG","01405135","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis",NA,"O. Kosovsky",NA,NA,NA,"M. Colella","1988","09","Venezuela","Bolívar","Cedeño","6 km al norte de Manipuare",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1422976' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405135","NY01405135_01","1223","13","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","499053","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","K. A. Barringer",NA,NA,NA,"E. Pereira","1960","02","Brazil","Paraná","Campo Largo","Campo Largo, Serra S. Luiz de Puruna.","-49.5281","-25.4586",NA,NA,"1200","1200","Herbarium Bradeanum Rio de Janeiro - Brasil <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499053","NY00499053_01","5420","23","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","499049","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","K. A. Barringer",NA,NA,NA,"G. G. Hatschbach","1971","02","Brazil","Paraná","Curitiba","Barigui.","-49.2731","-25.4281",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706366' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499049","NY00499049_01","26226","01","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","499050","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","K. A. Barringer",NA,NA,NA,"E. Pereira","1960","02","Brazil","Paraná","Curitiba","Curitiba, Aeroporto Affonso Penna.","-49.2731","-25.4281",NA,NA,NA,NA,"Herbarium Bradeanum Rio de Janeiro - Brasil <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706367' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499050","NY00499050_01","5160","09","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-30 12:49:41-03","EAO","IAN","94198","PreservedSpecimen","Plantae","Scrophulariaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","Souza, VC","1988","01",NA,"Glaziou, AFM","1871","12","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN094198",NA,"9945","18","Southern America",NA,NA,"Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-12-04 15:25:36-03","PUCPR","HUCP","16167","S","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy.","Souza, VC",NA,NA,NA,"Cordeiro, J","2001","03","Brasil","Paraná","Curitiba","Jardim Botânico","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00017887","HUCP00017887","1927","02",NA,NA,NA,"Eudicotiledonea",NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-12-04 15:25:36-03","PUCPR","HUCP","22245","S","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy.","Souza, VC",NA,NA,NA,"Hatschbach, GG; Barboza, E; Costa, EF","2005","03","Brasil","Santa Catarina","São Joaquim",NA,"-49.9317016601562","-28.2938995361328",NA,NA,NA,NA,NA,"HUCP00017939","HUCP00017939","79025","11",NA,NA,NA,"Eudicotiledonea",NA,"48290","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-11-26 18:09:07-03","CPAN-UFMS","COR","8859","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","Scatigna, A. V.",NA,NA,NA,"Cordeiro, J.; Poliquesi, C. B.","1993","03","Brasil","Paraná","Bocaiúva do Sul","Serra de Santana","-49.1150016784668","-25.2061004638672",NA,NA,"1000","1000","Erva ereta; flor rosada Habito: Erva ereta",NA,NA,"1017","09",NA,NA,NA,NA,NA,"61623","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-10-09 11:22:05-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","Cham. & Schlecht.","Sosa, MM","1999",NA,NA,"Sosa, MM","1998","11","Argentina","Corrientes","Dep. Saladas","San Lorenzo. Sobre ruta 12, 23 km de Empedrado. en camping.",NA,NA,NA,NA,NA,NA,"corola rosada.",NA,NA,"09","08","Southern America",NA,NA,"Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-10-09 11:22:05-03","UFBA","ALCB","55804","PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","Cham. & Schlecht.","Sosa, MM","2000",NA,NA,"Sosa, MM","1999","12","Argentina",NA,"Corrientes","Dep. Capital. Hipódromo General San Martín.",NA,NA,NA,NA,NA,NA,"Flores rosadas.",NA,NA,"28","18","Southern America",NA,NA,"Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-10-09 11:22:05-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","Cham. & Schlecht.","Salgado, CR","1999",NA,NA,"Salgado, C","1998","12","Argentina","Corrientes","Depto. Bella Vista","Desmochado 4ta Sección, al S de Bella Vista, 2,5 km al W de ruta 123",NA,NA,NA,NA,NA,NA,"0,70 m. Flores lilás-claro, con guias de néctar. Visitada por abejas.; En campo.",NA,NA,"135","12","Southern America",NA,NA,"Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-10-09 11:22:05-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Orobanchaceae","Agalinis","communis","Agalinis communis","Cham. & Schlecht.","Souza, VC","2005",NA,NA,"Ribas, OS; Hatschbach, G; Wasum, R","2005","01","Brasil","Paraná","São Mateus do Sul","Usina de Xisto","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"ereta. Flor lilás-pálida.",NA,NA,"6600","27","Southern America",NA,NA,"Dicotyledon",NA,"31353","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-02-08 09:33:25-03","NBC","NL-BOTANY","U.1720927","PreservedSpecimen","Plantae","Scrophulariaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy",NA,NA,NA,NA,"Meyer T","1944","02","Argentina",NA,NA,"Prov. de Corrientes dep. Ituzaingo Estancia El Plata.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1720927 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1720927","NL-U1720927",NA,"06","Southern America",NA,NA,NA,"Lamiales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-02-08 09:33:25-03","NBC","NL-BOTANY","U.1720928","PreservedSpecimen","Plantae","Scrophulariaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","Salgado CR",NA,NA,NA,"Salgado CR","1998","12","Argentina","Corrientes",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1720928 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1720928","NL-U1720928",NA,"12","Southern America",NA,NA,NA,"Lamiales",NA,NA,"Magnoliopsidae","U 0139996",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-02-08 09:33:25-03","NBC","NL-BOTANY","U.1720963","PreservedSpecimen","Plantae","Scrophulariaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy",NA,NA,NA,NA,"Hatschbach GG","1966","02","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1720963 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1720963","NL-U1720963",NA,"09","Southern America",NA,NA,NA,"Lamiales",NA,NA,"Magnoliopsidae","U 0137057",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-02-08 09:33:25-03","NBC","NL-BOTANY","U.1720964","PreservedSpecimen","Plantae","Scrophulariaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","Lindeman JC",NA,NA,NA,"Lindeman JC; Haas JH de","1966","01","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1720964 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1720964","NL-U1720964",NA,"18","Southern America",NA,NA,NA,"Lamiales",NA,NA,"Magnoliopsidae","U 0137052",NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-02-08 09:33:25-03","NBC","NL-BOTANY","U.1720965","PreservedSpecimen","Plantae","Scrophulariaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy","Lindeman JC",NA,NA,NA,"Lindeman JC; Haas JH de","1966","01","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1720965 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1720965","NL-U1720965",NA,"27","Southern America",NA,NA,NA,"Lamiales",NA,NA,"Magnoliopsidae","U 0137053",NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-02-08 09:33:25-03","NBC","NL-BOTANY","U.1720966","PreservedSpecimen","Plantae","Scrophulariaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy",NA,NA,NA,NA,"Kuhlmann M","1950","01","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1720966 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1720966","NL-U1720966",NA,"19","Southern America",NA,NA,NA,"Lamiales",NA,NA,"Magnoliopsidae","U 0113985",NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-02-08 09:33:25-03","NBC","NL-BOTANY","U.1720967","PreservedSpecimen","Plantae","Scrophulariaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy",NA,NA,NA,NA,"Lindeman JC","1981","01","Brazil",NA,NA,"Rio Grande do Sul Embrapa Uepae former Faz. 5 Cruzes 10km SE of Bage.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1720967 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1720967","NL-U1720967",NA,"08","Southern America",NA,NA,NA,"Lamiales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-02-08 09:33:25-03","NBC","NL-BOTANY","U.1720968","PreservedSpecimen","Plantae","Scrophulariaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy",NA,NA,NA,NA,"Woolston AL","1956","11","Paraguay",NA,NA,"Depto. San Pedro Alto Paraguay Primavera.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1720968 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1720968","NL-U1720968",NA,"08","Southern America",NA,NA,NA,"Lamiales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-02-08 09:33:25-03","NBC","NL-BOTANY","U.1720969","PreservedSpecimen","Plantae","Scrophulariaceae","Agalinis","communis","Agalinis communis","(Cham. & Schltdl.) D'Arcy",NA,NA,NA,NA,"Brade AC","1949","02","Brazil",NA,NA,"Estado do Parana Serra S. Luiz.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1720969 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1720969","NL-U1720969",NA,"12","Southern America",NA,NA,NA,"Lamiales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
