"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","typeStatus","fieldNumber","infraspecificEpithet","individualCount","verbatimLongitude","verbatimLatitude"
"11","2020-02-08 09:32:55-03","NBC","NL-BOTANY","L.2878789","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Hatschbach GG",NA,"1969","02","07","Southern America","Brazil",NA,NA,"Est Parana. Mun Gyarapuava. Rio Cavernoso.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2878789 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2878789","NL-L2878789",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:32:55-03","NBC","NL-BOTANY","L.2878790","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Berol H",NA,"1833","01","01","Southern America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2878790 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2878790","NL-L2878790",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:32:55-03","NBC","NL-BOTANY","L.2878791","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Lorentz PG",NA,"1879","03","01","Southern America","Uruguay",NA,NA,"Entreriana. Concepcion del Uruguay.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2878791 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2878791","NL-L2878791",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:32:55-03","NBC","NL-BOTANY","L.2878792","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2878792 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2878792","NL-L2878792",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 09:32:55-03","NBC","NL-BOTANY","U.1413373","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Herter WG",NA,"1924","03","01","Southern America","Uruguay",NA,NA,"Peniarol, Departamento de Montevideo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1413373 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1413373","NL-U1413373",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 09:32:55-03","NBC","NL-BOTANY","U.1413374","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Herter WG",NA,"1924","03","01","Southern America","Uruguay",NA,NA,"Peniarol, Departamento de Montevideo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1413374 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1413374","NL-U1413374",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-01-14 15:31:20-03","MN","R","12419","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Glaziou, A.F.M.","15280 a","1884","03","08",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000012419","R000012419_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-08-27 13:30:20-03","IAP","PACA-AGP","51960","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Labiatae","Salvia","uliginosa","Salvia uliginosa","Benth.","Emrich-Rambo","Rambo, B.",NA,"1952","01","30",NA,"Brasil","RS","Palmeira das Missões","p. fl. Uruguay","-53.3135986328125","-27.8994007110596",NA,"Habitat: ad rivum in dumetosis Fenofase: flor","PACA051960",NA,NA,NA,"33527","auto","1954","Magnoliatae","08","09",NA,NA,NA,NA,NA,NA
"19","2019-08-27 13:30:20-03","IAP","PACA-AGP","41236","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Labiatae","Salvia","uliginosa","Salvia uliginosa","Benth.","C. Epling","Rambo, B.",NA,"1949","04","27",NA,"Brasil","RS","Porto Alegre",NA,"-51.2299995422363","-30.0331001281738",NA,"Habitat: in paludosis alte dumetosis Fenofase: flor","PACA041236",NA,NA,NA,"29946","auto","1954","Magnoliatae","08","09",NA,NA,NA,NA,NA,NA
"20","2019-08-27 13:30:20-03","IAP","PACA-AGP","41335","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Labiatae","Salvia","uliginosa","Salvia uliginosa","Benth.","Emrich-Rambo","Rambo, B.",NA,"1949","05","02",NA,"Brasil","RS","Porto Alegre","Morretes","-51.2299995422363","-30.0331001281738",NA,"Habitat: in paludosis alte dumetosis Fenofase: flor","PACA041335",NA,NA,NA,"29946","auto","1954","Magnoliatae","08","09",NA,NA,NA,NA,NA,NA
"21","2021-03-16 17:52:51-03","UCS","HUCS","11610","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","Smith, S.F.","Butzke, A.","s.n.","1995","01","26",NA,"Brasil","Rio Grande do Sul","Gaurama","Linha Tonello","-52.0942001342773","-27.5841999053955",NA,"no campo sujo",NA,NA,"700","700","11998","auto","1996",NA,"08",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-16 17:52:51-03","UCS","HUCS","26994","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","Smith, S.F.","Marchett, F.","460","2005","11","19",NA,"Brasil","Rio Grande do Sul","Pinheiro Machado","Torrinhas","-53.3810997009277","-31.5783004760742",NA,"no campo rupestre",NA,NA,"300","300","70026","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:30:36-03","MBM","MBM","265636","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Avers","s.n.","1880","08",NA,NA,"Áustria",NA,NA,"Wurzbury",NA,NA,NA,NA,"MBM265636","MBM265636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-21 16:30:36-03","MBM","MBM","202196","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","Schinini, A.","Krapovickas, A.; et al.; et al.","46578",NA,NA,NA,"Southern America","Argentina",NA,NA,NA,NA,NA,NA,NA,"MBM202196","MBM202196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:30:36-03","MBM","MBM","313610","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","Smith, S.F.","Marchett, F.","460","2005","11","19","Southern America","Brazil","Rio Grande do Sul","Pinheiro Machado","Torrinhas","-53.3810997009277","-31.5783004760742",NA,NA,"MBM313610","MBM313610",NA,NA,"70026","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:30:36-03","MBM","MBM","211789","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","Epling, C.","Rambo, B.","41236",NA,NA,NA,"Southern America","Brazil","Rio Grande do Sul","Porto Alegre","Próximo a Porto Alegre","-51.2299995422363","-30.0331001281738",NA,NA,"MBM211789",NA,NA,NA,"29946","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:30:36-03","MBM","MBM","155777","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","Santos, E.P.","Santos, E.P.","123","1993","01","04","Southern America","Brazil","São Paulo","Campos do Jordão","Parque Estadual de Campos do Jordão, beira do Rio Sapucaí, próx. da ponte","-45.5900001525879","-22.7299995422363",NA,NA,"MBM155777","MBM155777",NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:30:36-03","MBM","MBM","31023","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","Hatschbach, G.","Hatschbach, G.","34505","1974","06","12","Southern America","Brazil","Paraná","Guarapuava","Rio Cavernoso","-51.4580993652344","-25.395299911499",NA,NA,"MBM031023","MBM031023",NA,NA,"53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:30:36-03","MBM","MBM","13664","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","Hatschbach, G.","Hatschbach, G.","21055","1970","02","07","Southern America","Brazil","Paraná","Guarapuava","Rio Cavernoso","-51.4580993652344","-25.395299911499",NA,NA,"MBM013664","MBM013664",NA,NA,"53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:30:36-03","MBM","MBM","253013","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Jönsson, G.","171A",NA,NA,NA,"Southern America","Brazil","Paraná","Lapa","Serrinha","-49.7158012390137","-25.7696990966797",NA,NA,"MBM253013","MBM253013",NA,NA,"49965","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-12-21 16:30:36-03","MBM","MBM","17780","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","Hatschbach, G.","Hatschbach, G.","26486","1971","02","24","Southern America","Brazil","Paraná","Laranjeiras do Sul","Virmond","-52.4160995483398","-25.4078006744385",NA,NA,"MBM017780","MBM017780",NA,NA,"28404","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-12-21 16:30:36-03","MBM","MBM","36652","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","Santos, E.P.","Hatschbach, G.","4396","1958","02","16","Southern America","Brazil","Paraná","Palmas","General Carneiro","-51.9906005859375","-26.4841995239258",NA,NA,"MBM036652","MBM036652",NA,NA,"46666","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2013-12-10 14:45:59-02","MNHN","RECOLNAT_MNHN_P","P00715130","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Sellow",NA,NA,NA,NA,NA,"Uruguay",NA,NA,"Montevideo",NA,NA,"hb","Donné par le Muséum de Berlin en 1855 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00715130' target='other'> <mi>dwc_moreinfo</mi></a>","P00715130","P00715130_01",NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA
"34","2015-09-04 09:04:11-03","MNHN","RECOLNAT_MNHN_P","P04165573","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Uruguai",NA,NA,"Banda Oriental del Uruguay.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04165573' target='other'> <mi>dwc_moreinfo</mi></a>","P04165573","P04165573_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 2484",NA,NA,NA,NA
"35","2015-09-04 09:04:11-03","MNHN","RECOLNAT_MNHN_P","P04165577","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Saint-Hilaire",NA,"1816","1","1",NA,"Uruguai",NA,NA,"Banda Oriental del Uruguay.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04165577' target='other'> <mi>dwc_moreinfo</mi></a>","P04165577","P04165577_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 2484",NA,NA,NA,NA
"36","2015-09-04 09:04:11-03","MNHN","RECOLNAT_MNHN_P","P04165585","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Saint-Hilaire",NA,"1816","1","1",NA,"Brasil","Rio Grande do Sul",NA,"Brésil. - Province de Rio Grande do Sul.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04165585' target='other'> <mi>dwc_moreinfo</mi></a>","P04165585","P04165585_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 2638",NA,NA,NA,NA
"37","2015-09-04 09:04:12-03","MNHN","RECOLNAT_MNHN_P","P04165587","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Gaudichaud, C.",NA,"1833","1","1",NA,"Brasil",NA,NA,"Brésil. Province de San-Paolo.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04165587' target='other'> <mi>dwc_moreinfo</mi></a>","P04165587","P04165587_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"230",NA,NA,NA,NA
"38","2015-09-04 09:04:12-03","MNHN","RECOLNAT_MNHN_P","P04165589","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Saint-Hilaire",NA,"1816","1","1",NA,"Brasil","Rio Grande do Sul",NA,"Brésil.- Province de Rio Grande do Sul.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04165589' target='other'> <mi>dwc_moreinfo</mi></a>","P04165589","P04165589_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2 2638",NA,NA,NA,NA
"39","2015-09-04 09:04:12-03","MNHN","RECOLNAT_MNHN_P","P04165595","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Sellow",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04165595' target='other'> <mi>dwc_moreinfo</mi></a>","P04165595","P04165595_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2015-10-01 22:49:29-03","MNHN","RECOLNAT_MNHN_P","P00715131","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa rufescens","Benth.","Epling","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,NA,"Province de Minas Geraes. Capoeiras route de Minas à Rio de Janeiro",NA,NA,"hb","Benth. Lab. Gen. et Sp. 252 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00715131' target='other'> <mi>dwc_moreinfo</mi></a>","P00715131","P00715131_01 P00715131_02",NA,NA,NA,NA,NA,NA,NA,NA,"holotype","Voyage d'Auguste Saint-Hilaire de 1816 à 1821/B2 2436","rufescens",NA,NA,NA
"41","2012-02-08 17:07:24-02","MNHN","RECOLNAT_MNHN_P","P00715132","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa rufescens","Benth.","Epling","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,NA,"Province de Minas Geraes. Capoeiras route de Minas à Rio de Janeiro",NA,NA,"hb","Benth. Lab. Gen. et Sp. 252 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00715132' target='other'> <mi>dwc_moreinfo</mi></a>","P00715132","P00715132_01",NA,NA,NA,NA,NA,NA,NA,NA,"isotype","Voyage d'Auguste Saint-Hilaire de 1816 à 1821/B2 2436","rufescens",NA,NA,NA
"42","2013-12-10 14:45:59-02","MNHN","RECOLNAT_MNHN_P","P00715133","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa rufescens","Benth.","Epling","Claussen, P.",NA,"1838",NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00715133' target='other'> <mi>dwc_moreinfo</mi></a>","P00715133","P00715133_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1030","rufescens",NA,NA,NA
"43","2015-09-03 20:43:43-03","MNHN","RECOLNAT_MNHN_P","P00715134","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa rufescens","Benth.","Epling","Claussen, P.",NA,"1838",NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00715134' target='other'> <mi>dwc_moreinfo</mi></a>","P00715134","P00715134_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1030","rufescens",NA,NA,NA
"44","2012-01-03 06:25:00-02","MO","MOBOT","2916733","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Bernadino S. Bertoni","Bertoni 2569","1946",NA,NA,"South America","Argentina","Misiones","Candelaria","Pindapoy","-55.8","-27.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2016-10-17 16:00:00-02","MO","MOBOT","100934475","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","J. Hurrell & D. Bazzano","Julio A. Hurrell|Emilio A. Ulibarri|F. Mollard|D. Bazzano","Hurrell 4987","2003","2","22","South America","Argentina","Entre Ríos",NA,"Islas del Ibicuy: Segundo puente Zárate-Brazo Largo, camino a Pantano.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"46","2009-07-27 09:22:00-03","MO","MOBOT","2428330","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","Crespo, S.","Fernando O. Zuloaga|Osvaldo Morrone","Zuloaga 6920","1999","2","26","South America","Argentina","Misiones","Candelaria","Ruta Prov. 204, de Candelaria a Profundidad, 3 km de Candelaria","-55.73333","-27.48333",NA,NA,NA,NA,"60.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2009-12-07 22:08:00-02","MO","MOBOT","2431845","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","Epling, C. C.","Elisa G. Nicora","Nicora 714","1936","2","12","South America","Argentina","Buenos Aires","Tigre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2009-07-21 23:34:00-03","MO","MOBOT","2457715","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","P. Dusén","Per Dusén","Dusén 9283","1910","3","12","South America","Brazil","Paraná",NA,"prope Calmon ad marginem silvae primaevae",NA,NA,NA,NA,NA,NA,"1120.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2018-06-22 05:25:00-03","MO","MOBOT","2458083","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Pe. Raulino Reitz|Roberto M. Klein","Reitz 11885","1962","1","9","South America","Brazil","Santa Catarina",NA,"Labon Regis en campo",NA,NA,NA,NA,NA,NA,"900.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2018-06-22 05:25:00-03","MO","MOBOT","2458099","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.",NA,"Pe. Raulino Reitz","Reitz 4755","1952","2","27","South America","Brazil","Santa Catarina",NA,"Serra da Rocinha prope Turvo, in dumosis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2009-08-21 20:53:00-03","MO","MOBOT","2514737","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Salvia","uliginosa","Salvia uliginosa","Benth.","Burkart, A.","Bernardo Rosengurtt","Rosengurtt 1146","1936","2","23","South America","Uruguay","Florida",NA,"Bañados del río Jí, entre arroyos Timote y Mansavillagra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
