"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","county","minimumElevationInMeters","decimalLongitude","decimalLatitude","maximumElevationInMeters","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","sex"
"25","2021-03-15 16:37:00-03","NY","NYBG","01345123","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","brevipetiolata","pauperoides","Mimosa brevipetiolata pauperoides","(Burkart) Barneby","R. C. Barneby","T. S. Ibarrola","2087","1945","01","13","South America","Argentina","Paso de los Libres","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602393' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345123",NA,"Corrientes","Paso de los Libres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-02-08 09:10:12-03","NBC","NL-BOTANY","L 0019108","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Mimosa","brevipetiolata",NA,"Mimosa brevipetiolata","Burkart","Burkart AE","Burkart AE",NA,"1945","02","17","Southern America","Argentina","Argentina, Gob. de Misiones Martires Brete, entre Cerro Azul y San Javier, sabanas.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200019108 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0019108","NL-L0019108","Misiones",NA,NA,NA,NA,NA,"Magnoliopsidae","type","9495014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-02-08 09:10:12-03","NBC","NL-BOTANY","U.1308982","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Mimosa","brevipetiolata",NA,"Mimosa brevipetiolata","Burkart",NA,"Schwindt E",NA,"1949","11","18","Southern America","Argentina","Prov. Misiones. Dep. Iguazu. Loc. Victoria.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1308982 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1308982","NL-U1308982",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-02-08 09:10:12-03","NBC","NL-BOTANY","U.1308983","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Mimosa","brevipetiolata",NA,"Mimosa brevipetiolata","Burkart",NA,"Renvoize SA; Wilmot-Dear CM; Zuloaga FO",NA,"1978","10","14","Southern America","Argentina","Misiones, Apostoles. San Jose, Escuela AAgrotecnico Don Bosco.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1308983 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1308983","NL-U1308983",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-02-08 09:10:12-03","NBC","NL-BOTANY","U.1309550","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Mimosa","brevipetiolata",NA,"Mimosa brevipetiolata","Burkart",NA,"Vianna EC; Lima D; Ferreira A; Irgang BE",NA,"1972","11","24","Southern America","Brazil","Arroio Quarai, Parque Espinilho.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1309550 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1309550","NL-U1309550",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-02-08 09:10:12-03","NBC","NL-BOTANY","U.1309551","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Mimosa","brevipetiolata",NA,"Mimosa brevipetiolata","Burkart",NA,"Lindeman JC; Irgang BE; Valls JFM",NA,"1971","10","13","Southern America","Brazil","Campo 8 km E de Rosario, BR 290 km 377.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1309551 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1309551","NL-U1309551",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-02-08 09:10:12-03","NBC","NL-BOTANY","U.1309552","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Mimosa","brevipetiolata",NA,"Mimosa brevipetiolata","Burkart",NA,"Lindeman JC; Irgang BE; Valls JFM",NA,"1971","10","14","Southern America","Brazil","Campo de 25 km de Uruguaiana beira da estrada para, Alegrete.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1309552 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1309552","NL-U1309552",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-02-08 09:10:12-03","NBC","NL-BOTANY","L.2041232","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Mimosa","brevipetiolata","hirtula","Mimosa brevipetiolata hirtula",NA,NA,"Fiebrig K",NA,NA,NA,NA,"Southern America","Paraguay","Mimosa.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2041232 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2041232","NL-L2041232",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-02-08 09:10:12-03","NBC","NL-BOTANY","L.3895856","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Mimosa","brevipetiolata","hirtula","Mimosa brevipetiolata hirtula",NA,NA,"Pedersen TM",NA,"1956","11","17","Southern America","Paraguay","Ea. 'La Soledad'. Santiago. Dep. Misiones.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3895856 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3895856","NL-L3895856",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-02-08 09:10:12-03","NBC","NL-BOTANY","U.1308984","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Mimosa","brevipetiolata","hirtula","Mimosa brevipetiolata hirtula",NA,NA,"Pedersen TM",NA,"1949","11","11","Southern America","Argentina","Estancia, 'Santa Teresa'. Dep. Mburucuya. Prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1308984 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1308984","NL-U1308984",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-21 19:35:35-03","UFC","EAC","13694","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","brevipetiolata",NA,"Mimosa brevipetiolata","Burk.",NA,"Tressens, S.G.; Vanni, R.; Radovancich, A.; Cáceres, S.","1864","1981","12","09","Southern America","Argentina","Arroyo Chimiray y Ruta 40",NA,"Borde de camino. Prostada., flor azulada","EAC0013694","EAC0013694","Santo Tomé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:27:11-03","MBM","MBM","39127","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","brevipetiolata","brevipetiolata","Mimosa brevipetiolata brevipetiolata","Burkart",NA,"Lourteig, A.; et al.; et al.","2906",NA,NA,NA,"Southern America","Argentina",NA,NA,NA,"MBM039127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2011-02-22 06:39:00-03","MO","MOBOT","2196455","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","brevipetiolata",NA,"Mimosa brevipetiolata","Burkart","Ulibarri, E. A.","F. Biganzoli|Paola Peralta|G. Márquez","Biganzoli 1590","2004","1","27","South America","Argentina","Estancia de Elsa Prates sobre el río Uruguay. Campo pastoreado",NA,NA,NA,NA,"Misiones","Concepción","160.00000000","-55.54611","-28.09277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-02-19 15:52:00-03","MO","MOBOT","2250900","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","brevipetiolata",NA,"Mimosa brevipetiolata","Burkart","Carolina Romero (MO)","Osvaldo Morrone|Norma B. Deginani|María E. Múlgura","Morrone 2203","1997","4","29","South America","Argentina","Loreto, Ayo La Pastora",NA,NA,NA,NA,"Misiones","Candelaria","210.00000000","-55.51666","-27.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2015-01-31 21:45:00-02","MO","MOBOT","2402399","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","brevipetiolata",NA,"Mimosa brevipetiolata","Burkart","Burkart, A.","A. de Llamas","Llamas 506","1901",NA,NA,"South America","Argentina","Santa Ana",NA,NA,NA,NA,"Misiones","Candelaria",NA,"-55.58333","-27.38333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2009-05-15 13:24:00-03","MO","MOBOT","2918900","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","brevipetiolata",NA,"Mimosa brevipetiolata","Burkart","R. Fortunato","Pedro Jörgensen","Jörgensen 4626",NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2015-08-23 05:45:00-03","MO","MOBOT","2919103","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","brevipetiolata",NA,"Mimosa brevipetiolata","Burkart","R. Fortunato","S.A. Renvoize","Renvoize 3129","1978","10","14","South America","Argentina","San Jose, Escuela Agrotecnico Don Bosco. Grassland with mixed scrun forest mostly along river courses. Soil thin.",NA,NA,NA,NA,"Misiones",NA,"200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-04-19 04:34:00-03","MO","MOBOT","2919450","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","brevipetiolata",NA,"Mimosa brevipetiolata","Burkart",NA,"Adrián Eliceche","Eliceche 0038","1991","3","19","South America","Paraguay","Estancia Ñu Apua, 110 km N de Concepción. W. de la Adm.",NA,NA,NA,NA,"Concepción",NA,"1500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2008-05-27 22:02:00-03","MO","MOBOT","89226","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","brevipetiolata",NA,"Mimosa brevipetiolata","Burkart","R. Barneby (NY)","Elsa M. Zardini|R. Velázquez","Zardini 16450","1989","11","18","South America","Paraguay","Eastern side of Río Piribebuy basin, 17 kms W of Arroyos y Esteros. Savanna.",NA,NA,NA,NA,"Cordillera",NA,NA,"-57.25","-25.13333",NA,NA,NA,NA,"192","4",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-05-01 16:42:00-03","MO","MOBOT","101192110","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","brevipetiolata","brevipetiolata","Mimosa brevipetiolata brevipetiolata",NA,NA,"Arturo E. Burkart","Burkart 15447","1945","2","17","South America","Argentina","Mártires Brete entre Cerro Azul y San Javier.",NA,NA,NA,NA,"Misiones",NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"45","2017-02-07 12:22:00-02","MO","MOBOT","1307208","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","brevipetiolata","hirtula","Mimosa brevipetiolata hirtula","(Burkart) Barneby","M. Morales (BAB)","Elsa M. Zardini|Leongino Guerrero","Zardini 49182","1998","7","24","South America","Paraguay","Near J.E. Estigarribia.",NA,NA,NA,NA,"Caaguazú",NA,"400.00000000","-55.8202778","-25.4069444",NA,NA,NA,NA,"1152","4",NA,NA,NA,NA,NA,NA,NA,NA
