"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","continentOcean","minimumElevationInMeters","maximumElevationInMeters","individualCount","class","order"
"11","2020-06-17 15:23:54-03","UNESP-RC","HRCB","40126","PreservedSpecimen","Plantae",NA,"Apocynaceae","Matelea","marcoassisii","Matelea marcoassisii","Fontella ","Marco A. de Assis",NA,NA,NA,"Assis, M. A. de",NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA
"12","2020-06-17 15:23:54-03","UNESP-RC","HRCB","34809","PreservedSpecimen","Plantae",NA,"Apocynaceae","Matelea","marcoassisii","Matelea marcoassisii","Fontella ","R. G. Udulutsch",NA,NA,NA,"Udulutsch, R. G.",NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA
"13","2020-06-17 15:23:54-03","UNESP-RC","HRCB","33316","PreservedSpecimen","Plantae",NA,"Apocynaceae","Matelea","marcoassisii","Matelea marcoassisii","Fontella ","Marco A. de Assis",NA,NA,NA,"Assis, M. A. de",NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA
"14","2021-02-04 10:26:25-03","UFRPE","HST","12868","PreservedSpecimen","Plantae",NA,"Asclepiadaceae","Matelea","marcoassisii","Matelea marcoassisii","Fontella","J.Fontella","2009","07",NA,"A.M.Miranda; et al.","4927","2005","03","01","Brasil","Maranhão","Parnarama","Mirindiba","-43.0932998657227","-5.68167018890381",NA,NA,"Volúvel.; caule verde; folhas membranáceas; flores verdes; látex leitoso.","HST012868",NA,NA,"95189","auto",NA,NA,NA,NA,NA,NA
"15","2019-11-13 11:15:10-03","USP","SPF","168848","PreservedSpecimen","Plantae",NA,"Apocynaceae","Matelea","marcoassisii","Matelea marcoassisii","Fontella","Assis, MA","1999","10",NA,"Assis, MA","1322","1999","10","09","Brasil","São Paulo","Ubatuba","Picinguaba, Ubatuba, Picinguaba. Rio da Fazenda - Margem.","-45.0699996948242","-23.4300003051758",NA,NA,"Liana, latescente, pétalas esverdeadas, fruto verdes.","SPF00168848",NA,NA,"34265","auto",NA,"1000","1000",NA,NA,NA
"16","2019-10-07 09:13:36-03","UEFS","HUEFS","97184","PreservedSpecimen","Plantae","Angiospermae","Apocynaceae","Matelea","marcoassisii","Matelea marcoassisii","Fontella","J.Fontella","2009","07",NA,"Miranda, A.M.","4927","2005","03","01","Brasil","Maranhão","Parnarama","Mirindiba, estrada de barro.","-43.0932998657227","-5.68167018890381",NA,NA,NA,"HUEFS0097184","HUEFS0097184",NA,"95189","auto",NA,NA,NA,NA,"Asteranae","Gentianales"
"17","2019-10-07 09:13:36-03","UEFS","HUEFS","106426","PreservedSpecimen","Plantae","Angiospermae","Apocynaceae","Matelea","marcoassisii","Matelea marcoassisii","Fontella",NA,NA,NA,NA,"Assis, M.A.de","1322","1999","10","09","Brasil","São Paulo","Ubatuba","Picinguaba.","-45.0699996948242","-23.4300003051758",NA,NA,NA,"HUEFS0106426","HUEFS0106426",NA,"34265","auto",NA,"1000","1000",NA,"Asteranae","Gentianales"
"18","2021-03-04 15:43:34-03","IF","SPSF","24646","PreservedSpecimen","Plantae","Magnoliophyta","Asclepiadaceae","Matelea","marcoassisii","Matelea marcoassisii","Fontella","M.A.Farinaccio","1997","09","30","M.A.Assis & A.Furlan","1004","1997","09","19","Brasil","SP","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,NA,"COLETA: mata ciliar.&nf;Liana, latescente; flores esverdeadas, corona amarelada; frutos imaturos verdes.; GEOGRAFIA: margem do rio da fazenda.;",NA,NA,"Isótipo","34265","auto","América do Sul","50","50",NA,"Magnoliopsida","Gentianales"
"19","2019-11-21 09:58:48-03","IBt","SP","276915","S","Plantae",NA,"Apocynaceae","Matelea","marcoassisii","Matelea marcoassisii","Fontella","Morillo, GN","2014","10","20","Araújo, AC; et al.","30015","1993","11","10","Brasil","São Paulo","Ubatuba","Praia da Fazenda","-44.85","-23.35","-44.85","-23.35",NA,"SP030890","SP030890",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-21 09:58:48-03","IBt","SP","337159","S","Plantae",NA,"Apocynaceae","Matelea","marcoassisii","Matelea marcoassisii","Fontella","Fontella, JP","1998","11",NA,"Assis, MA; Furlan, A","1004","1997","09","19","Brasil","São Paulo","Ubatuba","Picinguaba, Margem do rio da Fazenda","-45.0699996948242","-23.4300003051758",NA,NA,"Liana latescente; flores esverdeadas, corona amarelada; frutos imaturos verdes","SP000347","SP000347","Isotype","34265","auto",NA,"50","50",NA,NA,NA
