"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","verbatimLongitude","verbatimLatitude","order","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","relatedCatalogItem","typeStatus","sex"
"12","2021-01-26 13:57:05-03","IMA","MAC","51442","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay",NA,NA,NA,NA,"E.Pessoa; J.D.Garcia","312","2010","03","09",NA,"Brasil","Pernambuco","Igarassu","Mata de Piedade, Interior do fragmento.","-35.023611","-7.790833",NA,"Epífita. Frutos verdes.; Mata Atlântica.","MAC0051442",NA,"-35.023611","-7.790833",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-01-26 13:57:05-03","IMA","MAC","53486","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","E.C.O.Chagas","2011","10","21","Chagas-Mota; J.W.Alves-Silva","11248","2011","10","21",NA,"Brasil","Alagoas","Murici","Estação Ecológica de Murici, Bananeiras.","-35.942003","-9.309531",NA,"Epífita. Flores amarelas.; Mata Atlântica.","MAC0053486",NA,"-35.942003","-9.309531",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-01-26 13:57:05-03","IMA","MAC","62354","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","W.T.C.C.Santos","2018","08","09","M.C.S.Mota; E.C.O.Chagas","11761","2012","09","14",NA,"Brasil","Alagoas","Murici","Estação Ecológica de Murici, Fazenda Bananeiras.","-35.857983","-9.227494",NA,"Arbusto escandente. Flores brancas.; Mata Atlântica.","MAC0062354",NA,"-35.857983","-9.227494",NA,NA,NA,"MAC0062354",NA,NA,NA,NA
"15","2021-01-26 13:57:05-03","IMA","MAC","62357","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","M.C.S.Mota",NA,NA,NA,"M.C.S.Mota; E.C.O.Chagas","11764","2012","09","14",NA,"Brasil","Alagoas","Murici","Estação Ecológica de Murici, Fazenda Bananeiras.","-35.941944","-9.309444",NA,"Epífita. Flores com pétalas alvas e sépalas verdes.; Mata Atlântica.","MAC0062357",NA,"-35.941944","-9.309444",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-01-26 13:57:05-03","IMA","MAC","62499","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","M.C.S.Mota","2013","01","24","M.C.S.Mota; E.C.O.Chagas; J.W.A.Silva","11906","2013","01","24",NA,"Brasil","Alagoas","Murici","Estação Ecológica de Murici, Fazenda Bananeiras.","-35.857983","-9.227494",NA,"Epífita. Frutos verdes.; Mata Atlântica.","MAC0062499",NA,"-35.857983","-9.227494",NA,NA,NA,NA,NA,NA,NA,NA
"17","2014-11-06 16:18:20-02","UFPB","EAN","9045","S","Plantae",NA,"Orchidaceae","Dipteranthus","duchii","Dipteranthus duchii","Pabst.","L. P. Felix","1995","01","09","L. P. Félix; A. M. Miranda & M. F. O. Pires","6947","1994","09","04",NA,"Brasil","Pernambuco","Bonito","Reserva biológica municipal","-35.7286","-8.47028","20932",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2014-11-06 16:18:20-02","UFPB","EAN","3830","S","Plantae",NA,"Orchidaceae","Dipteranthus","duchii","Dipteranthus duchii","Pabst.","L. P. Felix & G. V. Dornelas","1987","10","08","L. P. Félix; G. V. Dornelas","797","1987","08","29",NA,"Brasil","Pernambuco","Bonito","Serra do Himalaia","-35.7286","-8.47028","20932","Herbácea; flores brancas e verdes. Em florestas tropicais de altitude..Habitat: Epífita",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2014-11-06 16:18:20-02","UFPB","EAN","3843","S","Plantae",NA,"Orchidaceae","Dipteranthus","duchii","Dipteranthus duchii","Pabst.","L. P. Felix & G. V. Dornelas","1987","09","23","L. P. Félix; G. V. Dornelas","810","1987","09","08",NA,"Brasil","Pernambuco","Bonito",NA,"-35.7286","-8.47028","20932","Herbácea; flores brancas e verdes. Em florestas tropicais de altitude..Habitat: Epífita",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2014-11-06 16:18:20-02","UFPB","EAN","32830","S","Plantae",NA,"Orchidaceae","Dipteranthus","duchii","Dipteranthus duchii","Pabst.",NA,NA,NA,NA,"L. P. Felix ; G. V. Dornelas","797","1987","08","29",NA,"Brasil","Pernambuco","Bonito","Serra do Himalaia","-35.7286","-8.47028","20932",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-02-04 10:29:38-03","UFRPE","HST","19879","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","E.Pessoa","2009","12",NA,"E.Pessoa; J.A.N.Souza","210","2009","12","16",NA,"Brasil","Pernambuco","Igarassu","Mata de Piedade","-35.023611","-7.790833",NA,"Epífita; flores brancas; frutos verdes.","HST019879",NA,"35W1'25''","7S47'27''",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-01 11:50:12-03","UFPE","UFP","32450","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","Brito, AT","2008","09","15","Siqueira-Filho, JA","1179","2001","11","02",NA,"Brasil","Pernambuco","Jaqueira",NA,"-35.833611","-8.710278",NA,"Epífita de dossel caída no chão da mata. Inflorescência com 85mm alt., simples. FLores alvas, diminutas, longo pediceladas com 8 flores. Sépalas verdes, patentes expondo a corola. Pétalas alvas. Políneas castâneas. Brácteas pedicelares","UFP032450",NA,"-35.833611","-8.710278",NA,"600","600",NA,NA,NA,NA,NA
"23","2021-03-01 11:50:12-03","UFPE","UFP","24935","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","Pessoa, E","2011","03","16","Siqueira-Filho, JA; Vicente, JA","987","1999","07","09",NA,"Brasil","Pernambuco","Jaqueira",NA,"-35.833611","-8.710278",NA,"Microrquídea epífita. Endêmica de Pernambuco. Flores verde e branca. Esciófila.; Microrquídea epífita. Endêmica de Pernambuco. Flores verde e branca. Esciófila.","UFP024935",NA,"-35.833611","-8.710278",NA,"700","700",NA,NA,NA,NA,NA
"24","2021-03-01 11:50:12-03","UFPE","UFP","78302","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay",NA,NA,NA,NA,"Pessoa, E; Melo, A","431","2010","12","17",NA,"Brasil","Pernambuco","Lagoa do Gatos",NA,"-35.854722","-8.707778",NA,"Epífita com flor passada,esverdeadas,e fruto em desenvolvimento. Encontra-se na lista de espécies ameaçadas de extinção.","UFP078302",NA,"-35.854722","-8.707778",NA,"700","700",NA,NA,NA,NA,NA
"25","2021-03-01 11:50:12-03","UFPE","UFP","75307","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay",NA,"2012","02",NA,"Pessoa, E; Maciel, JR; Amorim, BS; Lourenço, AR","879","2012","01","09",NA,"Brasil","Pernambuco","Bonito",NA,"-35.765278","-8.503611",NA,"Epífita com frutos verdes.; Interior da mata.","UFP075307",NA,"-35.765278","-8.503611",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-01 11:50:12-03","UFPE","UFP","37438","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","Brito, AT","2008","09","15","Oliveira, M; Grillo, AA","659","2001","11","13",NA,"Brasil","Alagoas","Ibateguara",NA,"-35.9393997192383","-8.97249984741211","16798","Microorquídea epífita; caule verde; corola branca. Frequente.; Microorquídea epífita; caule verde; corola branca. Frequente.","UFP037438","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-01 11:50:12-03","UFPE","UFP","85590","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","Vilaça, M","2017","10","04","Vilaça, M; Melo, A; Nepomuceno, A; Cavalcanti, D; Bazante, ML; Gomes-Silva, F","122","2017","08","14",NA,"Brasil","Pernambuco","Gravatá",NA,"-35.5647010803223","-8.20110988616943","19146","Epífita, mantida sob cultivo no arquidário, sem perfume perceptível.","UFP085590","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-01 11:50:12-03","UFPE","UFP","78347","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","Pessoa, E","2013","01",NA,"Pessoa, E; Amorim, BS; Costa-Lima, JL; Araújo, D; Moreira, SN","1047","2013","01","29",NA,"Brasil","Pernambuco","Jaqueira",NA,"-35.7933006286621","-8.72667026519775","11830","Epífita com fruto verde.","UFP078347","auto","-35503.6667","-84253",NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-02-14 13:38:30-03","UEFS","HUEFS","134710","PreservedSpecimen","Plantae","Angiospermae","Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","C.A.Royer","2019",NA,NA,"Brito, A.T.","2435","2008","09","14",NA,"Brasil","Pernambuco","Bonito","Reserva Biológica Municipal.","-35.716667","-8.483333",NA,NA,"HUEFS0134710",NA,"35W43'","8S29'","Asparagales","1048","1048","HUEFS0134710","Lilianae",NA,NA,NA
"30","2020-07-23 12:17:32-03","CEPLAC","CEPEC","96263","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei",NA,"A. Toscano",NA,NA,NA,"W. W. Thomas","13232","2001","04","04",NA,"Brasil","Alagoas","UNIÃO DOS PALMARES","Serra das Bananeiras.","-35.866667","-9.2",NA,NA,NA,NA,"35W52'","9S12'",NA,NA,NA,NA,NA,"18/06/2008",NA,NA
"31","2021-02-23 13:22:55-03","MN","R-TIPOS","24941","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","Brito, T.","1994",NA,NA,"Brade, A.C.","s.n.","1919","08","17",NA,"Brasil","São Paulo","Iguape","Morro das Pedras","-47.5499992370605","-24.7000007629395","55628",NA,"R000024941","auto",NA,NA,NA,NA,NA,"R000024941_001",NA,NA,"Isotypus de Dipteranthus bradei Schltr.",NA
"32","2021-04-05 12:36:35-03","UNIVASF","HVASF","1534","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zygostates","bradei","Zygostates bradei","(Schltr.) Garay","M.D. Vilaça","2017","11","22","J.A. Siqueira Filho","1179","2001","11","02","América do Sul","Brasil","Pernambuco","Lagoa dos Gatos","RPPN Frei Caneca, Mata da Serra do Quengo","-35.841777","-8.711555",NA,"Epífita de dossel caída no chão da mata. Inflorescência com 85mm alt., simples. Flores alvas, diminutas, longo-pediceladas com 8 flores. Sépalas verdes, patentes expondo a corola. Pétalas alvas. Políneas castâneas. Brácteas pedicelares. Associada com Briophytas.","HVASF001534",NA,"-35.841777","-8.711555",NA,"648","648",NA,NA,NA,NA,"U"
