"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","individualCount","class","order","relatedCatalogItem"
"11","2021-02-11 17:20:19-03","UFPR","UPCB","56372","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenberg","Paratype","Boone, W.","1013","1986","01","13",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,NA,NA,"Arvoreta, 5m x 10cm, cálice verde com indumento avermelhado, corola lilás, folha verde clara inferiormente, heliófila. Capoeirão..","UPCB0002184","UPCB0002184",NA,"Guimarães, P.J.F.","9999","9999","2007","01","01",NA,NA,NA,NA
"12","2021-02-11 17:20:19-03","UFPR","UPCB","56373","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenberg","Paratype","Boone, W.","1049","1986","11","24",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,NA,NA,"Árvore, 7m x 20cm, flor azul, heliófila. Capoeirão..","UPCB0002186","UPCB0002186",NA,"Guimarães, P.J.F.","9999","9999","2007","01","01",NA,NA,NA,NA
"13","2020-07-02 10:48:00-03","MO","MOBOT","101201726","PreservedSpecimen","Plantae",NA,"Melastomataceae","Pleroma","boudetii","Pleroma boudetii","(P.J.F. Guim. & R. Goldenb.) P.J.F. Guim. & Michelang.","Holotype","H.Q. Boudet Fernandes","Boudet Fernandes 1809","1986","1","28","South America","Brazil","Espírito Santo","Santa Teresa","Vargem Alta, 28 Jan 1986 (fl.)","-40.6002998352051","-19.9356002807617","23813",NA,NA,NA,NA,NA,"auto","fide Guimarães et al.",NA,NA,NA,NA,NA,"1",NA,NA,NA
"14","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","10166",NA,"Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F Guim. & R.Goldenb.",NA,"L. Kollmann; E. Bausen & W. Pizziolo","2310","1999","03","30",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Arvore 12m. Dap 40cm. Fuste 4m. Frutos secos.","MBML010166",NA,NA,"R. Goldenberg/03-05-2005","40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA
"15","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","15937",NA,"Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenb.",NA,"L. Kollmann; et al","5213","2002","01","08",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,NA,"Arvoreto 8m. Flores lilás.","MBML015937",NA,NA,"R. Goldenberg/03-05-2005","40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","18536",NA,"Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenb.",NA,"R.R. Vervloet; et al","1555","2002","12","18",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,NA,"Árvore com 8m, meia encosta, flores lilás, dossel 8m, altitude 870m, capoeira.","MBML018536",NA,NA,"R. Goldenberg/03-05-2005","40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA
"17","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","19067",NA,"Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenb.",NA,"R.R. Vervloet; et al","1614","2003","01","07",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,NA,"Árvore, com 12m, flores com sépalas verdes e estames lilás, frutos jovens, baixada, dossel 12m, altitude 810m.","MBML019067",NA,NA,"R. Goldenberg/03-05-2005","40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA
"18","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","21712",NA,"Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenb.",NA,"L. Kollmann; et al","6321","2003","12","27",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Caramuru","-40.676944","-20.096389",NA,NA,NA,"Arvoreto 6m. Flores lilas.","MBML021712",NA,NA,"L. Kollmann/12-01-2004","40W40'37","20S5'47",NA,NA,NA,NA,NA,NA,NA
"19","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","23841",NA,"Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenb.",NA,"L. Kollmann; et al","7276","2005","01","22",NA,"Brasil","Espírito Santo","Santa Teresa","Penha, Sítio do R. Pizziolo","-40.555833","-19.935",NA,NA,NA,"Arvoreto de 6m. Flores lilás.","MBML023841",NA,NA,"L. Kollmann/26-04-2005","40W33'21","19S56'6",NA,NA,NA,NA,NA,NA,NA
"20","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","24677",NA,"Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenb.",NA,"Tadeu A. Cruz; et al","59","2003","08","09",NA,"Brasil","Espírito Santo","Santa Teresa","Parque Natural Municipal de São Lourenço","-40.620278","-19.923889",NA,NA,NA,"Área 2, parcela 6, árvore 19m, n°688, Dap 89cm.","MBML024677",NA,NA,"L. Kollmann/21-09-2007","40W37'13","19S55'26",NA,NA,NA,NA,NA,NA,NA
"21","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","25683",NA,"Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenb.",NA,"L. Kollmann; et al","8563","2006","01","19",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Árvore 10m. Flores púrpuras.","MBML025683",NA,NA,"R. Goldenberg/19-01-2006","40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA
"22","2020-07-24 17:21:06-03","MBML","MBML-HERBARIO","764",NA,"Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenb.","HOLOTIPO","H. Q. Boudet Fernandes","1809","1986","01","28",NA,"Brasil","Espírito Santo","Santa Teresa","Vargem Alta","-40.65","-19.915556",NA,NA,NA,"Árvore 6m, diâmetro 8cm, cálice rosado, corola roxa clara, anteras e estilete roxos, filete branco na base e roxo na parte superior.","MBML000764","MBML000764",NA,NA,"40W39'0","19S54'56",NA,NA,NA,"1",NA,NA,NA
"23","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","770",NA,"Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenb.","PARATIPO","W. Boone","1049","1986","01","24",NA,"Brasil","Espírito Santo","Santa Teresa","Torre receptora de TV","-40.603611","-19.948611",NA,NA,NA,"Árvore de 7m, DAP 20cm, flores azuis, heliófila, capoeirão.","MBML000770","MBML000770",NA,NA,"40W36'13","19S56'55",NA,NA,NA,"3",NA,NA,NA
"24","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","772",NA,"Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenb.","PARATIPO","W. Boone","1013","1986","01","13",NA,"Brasil","Espírito Santo","Santa Teresa","Torre receptora de TV","-40.603611","-19.948611",NA,NA,NA,"Arvoreta 5m, 10cm de diâmetro, cálice verde com indumento avermelhado, corola lilás, folha verde clara inferiormente, heilófila, capoeirão.","MBML000772","MBML000772",NA,NA,"40W36'13","19S56'55",NA,NA,NA,"2",NA,NA,NA
"25","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","775",NA,"Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenb.","PARATIPO","W. Pizziolo","195","1985","11","12",NA,"Brasil","Espírito Santo","Santa Teresa","Vargem Alta","-40.65","-19.915556",NA,NA,NA,"Árvore 12m, DAP 22cm, ramos jovens, pecíolos e nervuras primárias avermelhadas, frutos brunos, heliófila, mata, morro.","MBML000775","MBML000775",NA,NA,"40W38'60","19S54'56",NA,NA,NA,"3",NA,NA,NA
"26","2021-02-25 10:13:02-03","CVRD","CVRD","5201","PreservedSpecimen","Plantae","Magnoliophyta","Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F. Guim. & R. Goldenb.",NA,"Folli, D.A.","2564","1995","02","03","América do Sul","BRASIL","ES","Venda Nova do Imigrante",NA,"-41.1347007751465","-20.3397006988525","15909",NA,NA,"<ll>dwc_commonname:</ll> Quaresma martins","CVRD005201",NA,"auto","Paulo Guimarães",NA,NA,"2007","10","30",NA,"Magnoliopsida","Myrtales",NA
"27","2019-11-13 11:25:56-03","USP","SPF","156384","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenb.","paratype","Hatschbach, G","61533","1995","01","15",NA,"Brasil","Espírito Santo","Venda Nova do Imigrante","Torre da Telest","-41.1347007751465","-20.3397006988525","15909",NA,NA,NA,"SPF00156384",NA,"auto","Anônimo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-07-23 12:13:39-03","CEPLAC","CEPEC","94656","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii",NA,"Paratipo","G. Hatschbach","61533","2007","12","05",NA,"Brasil","Espírito Santo","venda nova do imigrante","Torre da Telest.","-41.1347007751465","-20.3397006988525","15909",NA,NA,NA,NA,NA,"auto","G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1995"
"29","2020-11-12 17:01:45-03","UEL","FUEL","47270","PreservedSpecimen","Plantae","Tracheophyta","Melastomataceae","Tibouchina","boudetii","Tibouchina boudetii","P.J.F.Guim. & R.Goldenb.","paratype","Hatschbach, G; Silva, JM","61533","1995","01","15",NA,"Brasil","Espirito Santo","Venda Nova do Imigrante","Torre da Telest, Mata alto do morro","-41.1347007751465","-20.3397006988525","15909","1200","1200",NA,"FUEL047270",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,"Myrtales",NA
