"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","county","imagecode","identifiedBy","yearIdentified","monthIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"11","2016-12-01 13:51:00-02","MO","MOBOT","2904891","PreservedSpecimen","Plantae","Lamiaceae","Cyanocephalus","delicatulus","Cyanocephalus delicatulus",NA,"Gert G. Hatschbach|R. Kummrow","Hatschbach 48021","1984","6","18","South America","Brazil","Bahia","Mucugê, rod. p/ Palmeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Harley) Harley & J.F.B. Pastore",NA,NA,"R.Liesner (MO)",NA,NA,NA,NA,NA,NA,NA,"1"
"12","2015-08-13 05:50:00-03","MO","MOBOT","100508209","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","delicatula","Hyptis delicatula","Holotype","R.M. Harley|et al.","Harley 16103","1979","2","7","South America","Brazil","Bahia","Serra do Sincorá, S of Mucugê, by Rio Paraguacu.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","2020-09-12 05:00:02-03","US","US","3097328","PreservedSpecimen","Plantae","Lamiaceae","Cyanocephalus","delicatulus","Cyanocephalus delicatulus",NA,"G. Hatschbach & R. Kummrow","48021","1984","6","18","South America - Neotropics","Brazil","Bahia","Mucugê, rod. p/Palmeira.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"US02887778",NA,"Lamiales","(Harley) Harley & J.F.B. Pastore",NA,"US02887778_01",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"14","2020-09-12 05:00:02-03","US","US","3027256","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","delicatula","Hyptis delicatula","Isotype","R. M. Harley, S. A. Renvoize, C. Erskine, C. Brighton & R. S. Pinheiro","16103","1974","2","7","South America - Neotropics","Brazil","Bahia","Serra do Sincorá, 9 km SW of Mucugé, on road from Cascavel.",NA,NA,NA,NA,"950","950",NA,NA,NA,"US00121880",NA,"Lamiales","Harley",NA,"US00121880_01",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"15","2019-11-13 11:20:36-03","USP","SPF","88672","PreservedSpecimen","Plantae","Lamiaceae","Cyanocephalus","delicatulus","Cyanocephalus delicatulus",NA,"Ganev, W","1619","1992","12","05",NA,"Brasil","Bahia",NA,"-41.883333","-13.083333","-41.883333","-13.083333","1400","1400",NA,NA,NA,"SPF00088672",NA,NA,"(Harley) Harley & J.F.B.Pastore","Piatã","SPF00088672","Buchoski, MG","2019","06",NA,NA,NA,NA,NA,NA
"16","2019-11-13 11:20:36-03","USP","SPF","95514","PreservedSpecimen","Plantae","Lamiaceae","Cyanocephalus","delicatulus","Cyanocephalus delicatulus",NA,"Harley, RM","CFCR14487","1994","02","23",NA,"Brasil","Bahia",NA,"-41.923333","-13.071944","-41.923333","-13.071944","1370","1370",NA,NA,NA,"SPF00095514",NA,NA,"(Harley) Harley & J.F.B.Pastore","Piatã","SPF00095514","Buchoski, MG","2019","06",NA,NA,NA,NA,NA,NA
"17","2019-11-13 11:20:36-03","USP","SPF","49344","PreservedSpecimen","Plantae","Lamiaceae","Cyanocephalus","delicatulus","Cyanocephalus delicatulus",NA,"Hatschbach, G","48021","1984","06","18",NA,"Brasil","Bahia",NA,"-41.5588989257812","-12.5289001464844",NA,NA,NA,NA,NA,NA,NA,"SPF00049344",NA,NA,"(Harley) Harley & J.F.B.Pastore","Palmeiras","SPF00049344","Buchoski, MG","2019","06",NA,NA,"20767","auto",NA,NA
"18","2019-11-13 11:20:36-03","USP","SPF","91880","PreservedSpecimen","Plantae","Lamiaceae","Cyanocephalus","delicatulus","Cyanocephalus delicatulus",NA,"Stannard, BL","H51853","1992","03","10",NA,"Brasil","Bahia",NA,"-41.7728004455566","-13.1519002914429",NA,NA,"1400","1400",NA,NA,NA,"SPF00091880",NA,NA,"(Harley) Harley & J.F.B.Pastore","Piatã","SPF00091880","Buchoski, MG","2019","06",NA,NA,"41184","auto",NA,NA
"19","2019-11-13 11:20:36-03","USP","SPF","49288","PreservedSpecimen","Plantae","Lamiaceae","Cyanocephalus","delicatulus","Cyanocephalus delicatulus",NA,"Harley, RM","24312","1987","02","15",NA,"Brasil","Bahia",NA,"-41.7728004455566","-13.1519002914429",NA,NA,"1050","1050",NA,NA,NA,"SPF00049288",NA,NA,"(Harley) Harley & J.F.B.Pastore","Piatã","SPF00049288","Silva-Luz, CL","2015",NA,NA,NA,"41184","auto",NA,NA
"20","2021-02-10 17:41:50-03","USP","SPF","38599","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","delicatula","Hyptis delicatula","isotype","Harley, RM; Renvoize, SA; Erskine, CM; Brighton, CA; Pinheiro, R","16103","1974","02","07",NA,"Brasil","Bahia","9 km SW of Mucugé, on road from Cascavel. Waste ground by Rio Paraguaçu, with damp grassland and scattered woodland. This plant growing by edge of cerrado and junction with damp grassland at margin of shallow lake by river.","-41.416667","-13.033333","-41.416667","-13.033333","950","950",NA,NA,"Herb with sickly odour to ca. 25 cm. with decombent to ascending stems spreading from stout woody branched tap root. Leaves pale green, stems pink-tinged. Some leaves three-lobed at base. Floweing stems ascending to weakly erect. Ped","SPF00038599",NA,NA,"Harley",NA,"SPF00038599",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-10-07 09:16:14-03","UEFS","HUEFS","123531","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","delicatula","Hyptis delicatula",NA,"Paula-Souza, J.","5362","2005","01","28",NA,"Brasil","Bahia","ca. 24 Km de Piatã em direção a Inúbia.","-41.887778","-13.079167","41W53'16''","13S4'45''","1350","1350",NA,NA,"Cerrado rupestre com campo arenoso adjacente.","HUEFS0123531","Angiospermae","Lamiales","Harley","Piatã","HUEFS0123531","R.M.Harley","2008","04","Asteranae",NA,NA,NA,NA,NA
"22","2019-10-07 09:16:14-03","UEFS","HUEFS","12884","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","delicatula","Hyptis delicatula",NA,"Ganev, W.","1619","1992","07","05",NA,"Brasil","Bahia",NA,"-41.883333","-13.083333","41W53'","13S5'","1400","1400",NA,NA,NA,"HUEFS0012884","Angiospermae","Lamiales","Harley","Piatã","HUEFS0012884",NA,NA,NA,"Asteranae",NA,NA,NA,NA,NA
"23","2020-07-23 12:09:09-03","CEPLAC","CEPEC","40749","PreservedSpecimen","Plantae","Labiatae","Cyanocephalus","delicatulus","Cyanocephalus delicatulus",NA,"G. Hatschbach","48021","1974","02","22",NA,"Brasil","Bahia","Rod. Para Palmeira. Junto ao vargedo.","-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MUCUGÊ",NA,"A. S. Soares",NA,NA,NA,"30/12/1986","52493","auto",NA,NA
"24","2020-07-23 12:09:20-03","CEPLAC","CEPEC","12069","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","delicatula","Hyptis delicatula","Holótipo","R. M. Harley","16103","1974","02","07",NA,"Brasil","Bahia","9Km ao SW de Mucuge, na Rod. para Cascavel. A W prox. ao Rio Paraguaçú.","-41.416667","-13.033333","41W25'0","13S2'0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MUCUGÊ",NA,"R. M. Harley",NA,NA,NA,"10/04/1984",NA,NA,NA,NA
