"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","fieldNumber","imagecode","verbatimLongitude","verbatimLatitude","individualCount","class","sex"
"11","2020-09-12 05:00:02-03","US","US","1618817","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme","Isotype","L. B. Smith","2300","1929","4","11","South America - Neotropics","Brazil","Rio de Janeiro","Vicinity of Monte Serrat, Mt. Itatiaya, Estacao Biologica.","-44.6333","-22.4667","800","800",NA,NA,"US00112350",NA,NA,NA,NA,NA,NA,NA,NA,"US00112350_01",NA,NA,"1","Dicotyledonae",NA
"12","2021-03-15 18:24:50-03","USP","SPF","148784","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme",NA,"Krieger, L","CESJ22355","1988","03","19",NA,"Brasil","Minas Gerais","Parque Nacional do Caparaó, Mata próximo à Tronqueira.",NA,NA,NA,NA,NA,"Escandente, flores alvas a creme.","SPF00148784","Rapini, A","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 18:24:50-03","USP","SPF","154131","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme",NA,"Lobão, AQ","588","2001","04","03",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos, Trilha para a Pedra do Sino. Mata ombrófila densa alto-montana.","-42.9655990600586","-22.4122009277344",NA,NA,NA,"Trepadeira, com muito látex branco. Folhas discolore verdes, claras. Flores alvas, corona vere.","SPF00154131","Rapini, A","2009",NA,NA,"Teresópolis","38539","auto",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 18:24:50-03","USP","SPF","141526","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme",NA,"Farinaccio, MA","428","2000","04","09",NA,"Brasil","São Paulo","Estrada para Pedra Grande.","-46.5499992370605","-23.1100006103516",NA,NA,NA,"Erva volúvel, latescente. Flores de cálice verde, corola creme.","SPF00141526","Rapini, A","2009",NA,NA,"Atibaia","21675","auto",NA,NA,NA,NA,NA,NA,NA
"15","2019-11-22 16:07:26-03","UEFS","HUEFS","82778","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme",NA,NA,"3801","2001","01","01",NA,"Brasil","Espírito Santo","Reserva Natural da CVRD - Linhares - ES. Estrada Gávea.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Mata de Tabuleiro.","HUEFS0082778","J.Fontella","2009","07",NA,"Linhares","48094","auto",NA,"HUEFS0082778 HUEFS0082778_01",NA,NA,NA,"Asteranae",NA
"16","2019-11-22 16:07:26-03","UEFS","HUEFS","113080","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme",NA,"Amorim, A.M.","5821","2006","04","22",NA,"Brasil","Minas Gerais","Povoado de Talismã, Fazenda Duas Barras, Reserva Alto do Cariri. Trilha do Sul que sai em Santa Maria do Salto.","-40.054444","-16.403611","950","950",NA,"Floresta Ombrófila Densa Montana.","HUEFS0113080","A.Rapini","2007","06",NA,"Santa Maria do Salto",NA,NA,NA,"HUEFS0113080","40W3'16''","16S24'13''",NA,"Asteranae",NA
"17","2019-11-22 16:07:26-03","UEFS","HUEFS","82779","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme",NA,NA,"3801","2001","01","01",NA,"Brasil","Espírito Santo","Reserva Natural da CVRD - Linhares - ES. Estrada Gávea.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Mata de Tabuleiro.","HUEFS0082779","J.Fontella","2009","07",NA,"Linhares","48094","auto",NA,NA,NA,NA,NA,"Asteranae",NA
"18","2019-09-04 20:02:01-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis",NA,"Holotype","L. B. Smith","2300","1929","4","11","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"19","2019-11-21 09:58:51-03","IBt","SP","359039","S","Plantae",NA,NA,"Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme",NA,"Konno, T","853","2002","03",NA,NA,"Brasil","Rio de Janeiro",NA,"-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,NA,"Konno, T","2002","05",NA,"Itatiaia","19648","auto",NA,NA,NA,NA,NA,NA,NA
"20","2019-11-21 09:58:51-03","IBt","SP","420431","S","Plantae",NA,NA,"Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme",NA,"Shirasuna, RT; et al.","328","2007","09","20",NA,"Brasil","São Paulo","Lote 5 Rodoanel Mário Covas, Trecho Sul","-46.8499984741211","-23.6399993896484",NA,NA,NA,NA,NA,"Fontella Pereira, J","2010","04","27","Embu","6851","auto",NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 09:58:51-03","IBt","SP","1571","S","Plantae",NA,NA,"Apocynaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme",NA,"s.col.","s.n.","1918","03","01",NA,"Brasil","São Paulo","Cantareira","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,"Fontella, JP","1998","08","05","São Paulo","53584","auto",NA,NA,NA,NA,NA,NA,NA
"22","2010-08-16 16:41:44-03","GH","HU-HERB","GH 00076623","PreservedSpecimen","Plantae",NA,NA,"Asclepiadaceae","Orthosia","itatiaiensis","Orthosia itatiaiensis","Malme","Type","Lyman B. Smith","2300","1929","4","11","South America","Brazil","Rio de Janeiro","Vicinity of Monte Serrat, Mount Itatiaya, Estacao Biologica, 22°28'S, 44°38'W, ca. 800 m","-44.633333","-22.466666",NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2300",NA,NA,NA,NA,NA,"undetermined"
