"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","preparationType","order","class","relatedCatalogItem"
"11","2015-09-05 10:48:59-03","MNHN","RECOLNAT_MNHN_P","P05580603","PreservedSpecimen",NA,NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig",NA,NA,NA,"Santos, T.S.",NA,"1971","10","5",NA,"Brasil","Espírito Santo",NA,"Vale do Rio Doce km 30 a 40 da rod. Linhares a povoação do L.",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05580603' target='other'> <mi>dwc_moreinfo</mi></a>","P05580603","P05580603_01",NA,NA,NA,NA,"2059","hb",NA,NA,NA
"12","2015-09-05 10:48:59-03","MNHN","RECOLNAT_MNHN_P","P05580605","PreservedSpecimen",NA,NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig",NA,NA,NA,"Hatschbach, G.|Cervi, A.C.",NA,"1987","8","22",NA,"Brasil","Espírito Santo","Linhares","Rod. p/ Povoação","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05580605' target='other'> <mi>dwc_moreinfo</mi></a>","P05580605","P05580605_01",NA,"48094","auto",NA,"51379","hb",NA,NA,NA
"13","2015-09-05 10:48:59-03","MNHN","RECOLNAT_MNHN_P","P05580602","PreservedSpecimen",NA,NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig",NA,NA,NA,"Santos, T.S.",NA,"1971","3","26",NA,"Brasil","Espírito Santo","Linhares","Vale do Rio Doce","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05580602' target='other'> <mi>dwc_moreinfo</mi></a>","P05580602","P05580602_01",NA,"48094","auto",NA,"1470","hb",NA,NA,NA
"14","2020-12-11 11:39:55-03","UFMG","BHCB","108024","PreservedSpecimen","Plantae","Dicotyledon","Oxalidaceae","Oxalis","clausenii","Oxalis clausenii",NA,NA,"1998",NA,"Hatschbach, G; Cervi, AC","51379","1987","07","22","Southern America","Brasil","Espírito Santo","Linhares","Rodovia para a Povoação","-40.0722007751465","-19.3910999298096",NA,NA,"5","10","Ereta, flores amarelas.; Cultivo de cacau","BHCB022561",NA,"Paratypus","48094","auto",NA,NA,NA,NA,NA,NA
"15","2009-12-04 16:36:00-02","MO","MOBOT","2788579","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","A. Lourteig",NA,NA,"Gert G. Hatschbach|Armando C. Cervi","Hatschbach 51379","1987",NA,NA,"South America","Brazil","Espírito Santo",NA,"Rod. para Povoacáo (Mun Linhares) Espírito Santo",NA,NA,NA,NA,"5.00000000","10.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-08-31 09:08:46-03","INPA","INPA","217241","S","Plantae","Dicotyledon Com-Clade","Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","Costa-Lima, JL","2017","02","Hatschbach, GG","51379","1987","07","22","Southern America","Brasil","Espírito Santo","Linhares","Rod. para Povoação. Cultivo de Cacau.","-40.0722007751465","-19.3910999298096",NA,NA,"5","10",NA,"INPA0217241",NA,"paratype","48094","auto","13",NA,NA,"Oxalidales",NA,NA
"17","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","36600",NA,"Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","P. Fiaschi/2012",NA,NA,"L. Kollmann; L. Magnago, M. Simonelli & G. Correa","11249","2008","05","15",NA,"Brasil","Espírito Santo","Linhares","Povoação","-39.7925","-19.579167","39W47'33","19S34'45",NA,NA,"Arvoreto 4m. Sombra, frutos verdes","MBML036600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","3891",NA,"Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","J.L. Costa Lima/29-V-2014",NA,NA,"W. Boone","269","1984","07","24",NA,"Brasil","Espírito Santo","Santa Teresa","Santa Lúcia","-40.5125","-19.971944","40W30'45","19S58'19",NA,NA,"Porte arbustivo, flor amarela, solo avermelhado, altitude +/- 500m.","MBML003891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","49038",NA,"Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","P. Fiaschi/2011",NA,NA,"P. Fiaschi; J.R. Pirani, J.H.L.E. Ottra & V. Augusto","3479","2011","01","19",NA,"Brasil","Espírito Santo","Linhares","Estrada não pavimentada partindo do bairro Quartel rumo a Colatina, ao longo da margem direita do Rio Doce, ca 21km W da BR-101. Plantação de cacau, ao lado esquerdo da estrada","-40.282861","-19.501722","40W16'58,3","19S30'6,2","41","41","Erva ca 50cm alt, inflorescências verde-claras. Flores com cálice verde-claro, corola amarela com guias de néctar vermelhos na face","MBML049038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-07-10 09:48:37-03","MBML","MBML-HERBARIO","21564",NA,"Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","A. Lourteig/1998",NA,NA,"G. Hatschbach; et al","51379","1987","07","22",NA,"Brasil","Espírito Santo","Linhares","Rod. para Povoação","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"Ereta, flores amarelas. Cultivo de Cacau. Alt.: 5-10m.","MBML021564","MBML021564","PARATIPO","48094","auto",NA,NA,NA,NA,NA,NA
"21","2021-02-25 10:13:13-03","CVRD","CVRD","16066","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","Pedro Fiaschi","2019","11","Siqueira, G.S.","1322","2019","10","31","América do Sul","BRASIL","ES","Linhares","Área de Mata de cabruca, ilha a margem do Rio Doce.","-40.0722007751465","-19.3910999298096",NA,NA,"27","27","Col. Adic. : G. Felitto, T. Godinho <ll>dwc_commonname:</ll> Carambolinha amarela","CVRD016066","CVRD016066",NA,"48094","auto","05",NA,NA,"Oxalidales","Magnoliopsida",NA
"22","2021-03-01 11:50:15-03","UFPE","UFP","65814","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","claussenii","Oxalis claussenii","Lourteig","Fiaschi, P","2011",NA,"Fiaschi, P; Pirani, JR; Otta, JHLE; Augusto, V","3479","2011","01","19",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.282861","-19.501722","-40.282861","-19.501722","41","41","Plantação de cacau ao lado esquerdo da estrada.; Erva com cerca de 50cm de altura. Inflorescências verde-claras. Flores com cálice verde-claro, corola amarela com guias de néctar vermelhos na fauce.","UFP065814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-01 11:50:15-03","UFPE","UFP","78860","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","claussenii","Oxalis claussenii","Lourteig","Costa-Lima, JL","2013","05","Costa-Lima, JL; Amorim, BS; Louzada, JR; Maciel, JR","932","2013","05","17",NA,"Brasil","Pernambuco","Bezerros",NA,"-35.756944","-8.150556","-35.756944","-8.150556","850","850","Herbáceo ereto,com cerca de 30cm de altura.Folíos membranáceos, levemente discolores,verde-escuros.Flores amarelas.Cápsulas esverdeadas.","UFP078860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-13 11:27:50-03","USP","SPF","202854","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","Fiaschi, P","2011",NA,"Fiaschi, P","3479","2011","01","19",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.282861","-19.501722","-40.282861","-19.501722","41","41",NA,"SPF00202854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-13 11:27:50-03","USP","SPF","159744","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","Lourteig, A",NA,NA,"Hatschbach, G","51379","1987","07","22",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,"SPF00159744",NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA
"26","2019-11-13 11:27:50-03","USP","SPF","221476","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","Fiaschi, P","2012","06","Kollmann, L","11249","2008","05","15",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,"SPF00221476",NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA
"27","2019-10-07 09:36:18-03","UEFS","HUEFS","218218","PreservedSpecimen","Plantae","Angiospermae","Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig",NA,NA,NA,"Costa-Lima, J.L.","932","2013","05","17",NA,"Brasil","Pernambuco","Bezerros","Caminho para a Serra Negra de Bezerros.","-35.756944","-8.150556","35W45'25''","8S9'2''","850","850",NA,"HUEFS0218218","HUEFS0218218",NA,NA,NA,NA,NA,NA,"Oxalidales","Rosanae",NA
"28","2019-10-07 09:36:18-03","UEFS","HUEFS","73329","PreservedSpecimen","Plantae","Angiospermae","Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig",NA,NA,NA,"Hatschbach, G.","51379","1987","07","22",NA,"Brasil","Espírito Santo","Linhares","Rod. para Povoação","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,"HUEFS0073329","HUEFS0073329 HUEFS0073329_01","Parátipo","48094","auto",NA,NA,NA,"Oxalidales","Rosanae",NA
"29","2020-07-23 12:17:35-03","CEPLAC","CEPEC","6705","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii",NA,"P. Fiaschi",NA,NA,"T. S. dos Santos","1470","1971","03","26",NA,"Brasil","Espírito Santo","LINHARES","Vale Rio Doce.","-40.0722007751465","-19.3910999298096","0W0'0","0S0'0",NA,NA,NA,NA,NA,"Paratipo","48094","auto",NA,NA,NA,NA,NA,"30/12/2010"
"30","2020-07-23 12:17:35-03","CEPLAC","CEPEC","7599","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii",NA,"P. Fiaschi",NA,NA,"T. S. dos Santos","2059","1971","10","05",NA,"Brasil","Espírito Santo","LINHARES","Vale Rio Doce. Km 30-40 leste Rod. Linhares/Povoação.","-40.0722007751465","-19.3910999298096","0W0'0","0S0'0",NA,NA,NA,NA,NA,"Paratipo","48094","auto",NA,NA,NA,NA,NA,"30/12/2010"
"31","2020-07-23 12:17:35-03","CEPLAC","CEPEC","100499","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","claussenii","Oxalis claussenii",NA,"P. Fiaschi",NA,NA,"P. Fiaschi","2001","1966","03","05",NA,"Brasil","Espírito Santo","LINHARES","Estrada de Linhares para o Pontal do Vale, ca. 8,1Km após o viaduto, ramal à direita para Povoação. Ca. 27,8Km da estrada.","-39.8875","-19.506111","39W53'15","19S30'22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2010"
"32","2020-07-23 12:17:35-03","CEPLAC","CEPEC","9550","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","claussenii","Oxalis claussenii",NA,"P. Fiaschi",NA,NA,"R. S. Pinheiro","2286","1973","11","26",NA,"Brasil","Espírito Santo","LINHARES","Rod. Linhares/Povoação.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,NA,NA,"Paratipo","48094","auto",NA,NA,NA,NA,NA,"30/12/2010"
"33","2020-07-23 12:17:35-03","CEPLAC","CEPEC","94598","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","claussenii","Oxalis claussenii",NA,"A. Lourteig",NA,NA,"G. Hatschbach","1379","1987","07","22",NA,"Brasil","Espírito Santo","LINHARES","Rodovia para Povoação.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,NA,NA,"Paratipo","48094","auto",NA,NA,NA,NA,NA,"30/12/1998"
"34","2021-02-23 13:22:59-03","MN","R-TIPOS","37629","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","Lourteig, A.","1956",NA,"Bueno, E.A. ; Mello Filho, L.E.","226","1942","07","24",NA,"Brasil","Espirito Santo",NA,"Fazenda Goytacazes",NA,NA,NA,NA,NA,NA,NA,"R000037629","R000037629_001","Paratypus",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-02-23 13:22:59-03","MN","R-TIPOS","37629a","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","Lourteig, A.","1956",NA,"Bueno, E.A. ; Mello Filho, L.E.","226","1942","07","24",NA,"Brasil","Espirito Santo",NA,"Fazenda Goytacazes",NA,NA,NA,NA,NA,NA,NA,"R000037629a","R000037629a_001","Isoparatypus",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-08-20 14:58:42-03","UFSC","FLOR","60644","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","Costa-Lima, J.L.","2013","05","Costa-Lima, J.L.; Amorim, B.S.; Louzada, R. & Maciel, J.R.","932","2013","05","17",NA,"Brasil","Pernambuco","Bezerros","Caminho para a Serra Negra de Bezerros.","-35.756944","-8.150556","35º45'25''W","8º9'2''S","850","850","Herbáceo ereto,com cerca de 30cm de altura.Folíos membranáceos, levemente discolores,verde-escuros.Flores amarelas.Cápsulas esverdeadas","FLOR0060644","FLOR0060644",NA,NA,NA,NA,NA,NA,"Oxalidales",NA,NA
"37","2020-08-20 14:58:42-03","UFSC","FLOR","62555","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","P. Fiaschi","2016","02","Fiaschi, P.; Costa-Lima, J.L.","4649","2016","02","05",NA,"Brasil","Espírito Santo","Linhares","Floresta Nacional (FLONA) Goytacazes.","-40.076944","-19.435556","40º4'37''W","19º26'8''S",NA,NA,"Erva terrestre, na beira da estrada. Folhas verdes, às vezes com face abaxial ligeiramente vinácea. Amostra em sílica-gel","FLOR0062555",NA,NA,NA,NA,NA,NA,NA,"Oxalidales",NA,NA
"38","2020-08-20 14:58:42-03","UFSC","FLOR","62559","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","P. Fiaschi","2016","02","Fiaschi, P.; Costa-Lima, J.L.","4653","2016","02","05",NA,"Brasil","Espírito Santo","Linhares","Estrada de Linhares para Povoação.","-39.901667","-19.483333","39º54'6''W","19º29'0''S",NA,NA,"Erva terrestre, até ca. 40 cm alt., na beira da estrada. Flores com sépalas verde-claro, corola amarela, com máculas avermelhadas na fauce, anteras amarelas, estiles verdes","FLOR0062559",NA,NA,NA,NA,NA,NA,NA,"Oxalidales",NA,NA
"39","2014-09-23 10:59:03-03","G","G","G00383330","S","Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","Lourteig, A.","1956","01","Claussen, P.",NA,NA,NA,NA,"AMERIQUE DU SUD","Brazil","Minas Gerais",NA,NA,"-45.44222222","-18.78777778","-45.44222222","-18.78777778",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00383330",NA,"TYPUS of Oxalis clausenii Lourteig",NA,NA,"01",NA,NA,NA,NA,NA
"40","2014-09-23 10:59:03-03","G","G","G00383351","S","Plantae",NA,"Oxalidaceae","Oxalis","clausenii","Oxalis clausenii","Lourteig","Lourteig, A.","1956","01","Claussen, P.",NA,NA,NA,NA,"AMERIQUE DU SUD","Brazil","Minas Gerais",NA,NA,"-45.44222222","-18.78777778","-45.44222222","-18.78777778",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00383351",NA,"TYPUS of Oxalis clausenii Lourteig",NA,NA,"01",NA,NA,NA,NA,NA
