"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount"
"11","2015-09-05 05:27:19-03","MNHN","RECOLNAT_MNHN_P","P04714063","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Oliveira, J.D.P.|Stannard, B.|Harley, R.M.|Kawasaki, M.L.",NA,"1984","11","29",NA,"Brasil","Minas Gerais","9 km de Itacambira, a leste da cidade, na estrada para Montes Claros","1200",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04714063' target='other'> <mi>dwc_moreinfo</mi></a>","P04714063","P04714063_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CFCR 6559",NA,NA
"12","2015-09-05 05:27:19-03","MNHN","RECOLNAT_MNHN_P","P04714064","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Pirani, J.R.|Kameyama, C.|Mello-Silva, R.|Cordeiro, I.|Meguro, M.",NA,"1988","1","7",NA,"Brasil","Minas Gerais","Próximo da saída da cidade, na estrada para Francisco Sá",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04714064' target='other'> <mi>dwc_moreinfo</mi></a>","P04714064","P04714064_01",NA,"Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,"67219","auto",NA,NA,"CFCR 9024",NA,NA
"13","2020-12-11 11:37:19-03","UFMG","BHCB","197925","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Rezende, SG; Justo, AG","6932","2018","10","03","Southern America","Brasil","Minas Gerais","Serra do Gandarela","1511","1511",NA,"Erva terrícula; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","BHCB197925",NA,NA,"Rio Acima","-43.671944","-20.019167",NA,NA,NA,NA,NA,"-43.671944","-20.019167",NA,NA,NA
"14","2013-01-20 20:24:00-02","MO","MOBOT","3157572","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Taciana B. Cavalcanti|et al.","Cavalcanti 2316","1997",NA,NA,"South America","Brazil",NA,"Grao Mogol. Ribeirao dos Bois. Estrada Grao Mogol-Sao Joao da vacaria, na entrada da cidade de Grao-Mogol.","683.00000000",NA,NA,NA,NA,NA,"shirley A. Graham",NA,"-42.88722","-16.56416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-19 08:13:20-03","UFG","UFG","19577","S","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Cavalcanti, T.B.; Kirkbride, J.; Roath, W. & Silva, G.P.","275","1989","02","18",NA,"Brasil","Minas Gerais","Na saída da cidade em sentido ao rio Ventania, córrego dos Bois. Campo rupestre. Solo arenoso. Relevo montanhoso. Planta crescendo na borda do córrego.","1000","1000",NA,"Flor vermelho-carmim. Fruto avermelhado. Rara.","UFG0019577",NA,"Cavalcanti, T.B.","Grão-Mogol","-42.9","-16.566667","1989","02","18",NA,NA,"-42.9","-16.566667",NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","2843237","PreservedSpecimen","Plantae",NA,"Myrtales","Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig","Isotype","H. S. Irwin, R. G. P. Santos, R. Souza & S. F. Fonsêca","23544","1969","2","19","South America - Neotropics","Brazil","Minas Gerais","Serra do Espinhaco, ca. 15 km W of Grao Mogol.",NA,NA,NA,NA,"US00288556","US00288556_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"17","2020-09-02 16:31:24-03","Cenargen","CEN","13104","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Taciana Barbosa Cavalcanti","275","1989","02","18",NA,"Brasil","MG","Na saída da cidade em sentido ao rio Ventania. Córrego dos Bois.","1000","1000","Exsicatas","Crescendo na borda do córrego.","CEN00013104","CEN00013104","T. B. Cavalcanti","GRAO MOGOL","-42.9","-16.566666","1989","02",NA,NA,NA,"-42.9","-16.566666",NA,NA,"5"
"18","2020-09-02 16:31:24-03","Cenargen","CEN","13472","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Renato de Mello-Silva - CFCR","11358","1987","11","02",NA,"Brasil","MG","Bacia do Córrego Escurona. encosta de afloramento rochoso.","800","800","Exsicatas","Arbusto entre rochas heliófilo. Folhas discolores, mais escuras na face superior. Hipanto verde-amarelado com base e estrias vináceas. Epicálice verde. Anteras alvas, filetes rosados e estilete alvo. Pétalas vermelhas. Doação do Departamento de Botânica - Universidade de São Paulo - Flora de Campo Rupestres.","CEN00013472","CEN00013472","S. Graham","GRAO MOGOL","-42.963333","-16.595","1997","03",NA,NA,NA,"-42.963333","-16.595",NA,NA,"1"
"19","2020-09-02 16:31:24-03","Cenargen","CEN","13473","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Marta Camargo de Assis - CFCR","11395","1987","11","03",NA,"Brasil","MG","Montanha a esquerda do Riacho Ribeirão. Trilha da Tropa. Altitude entre 850 - 1000 m de altura.",NA,NA,"Exsicatas","Arbusto laxamente ramificado, entre rochas. Folhas discolores mais escuras na face adaxial. Hipanto verde-amarelado com estrias e ápice vermelho-vináceo. Epicálice verde a verde-vináceo. Guias de néctar amarelo. Filetes e estiletes rosados. Pétalas vermelhas. Doação do Departamento de Botânica - Universidade de São Paulo - Flora de Campo Rupestres.","CEN00013473","CEN00013473","S. Graham","GRAO MOGOL","-42.9","-16.55","1997","05",NA,NA,NA,"-42.9","-16.55",NA,NA,"1"
"20","2020-09-02 16:31:24-03","Cenargen","CEN","88640","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Taciana Barbosa Cavalcanti","3896","2015","02","03",NA,"Brasil","MG","Entrocamento da Rod. Grão Mogol - Francisco Sá, estrada de terra para Fazenda Matias Sanchez, a 8 km da rodovia. Crescendo na encosta, entre rochas.","892","892","Exsicatas","Tubo floral verde-claro. Folhas viscosas, ciliadas, com tricomas glandulares. Anteras brancas.","CEN00088640","CEN00088640","T. B. Cavalcanti","GRAO MOGOL","-42.948888","-16.543611","2015","02",NA,NA,NA,"-42.948888","-16.543611",NA,NA,"8"
"21","2020-09-02 16:31:24-03","Cenargen","CEN","13469","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Renato de Mello-Silva - CFCR","10790","1987","05","21",NA,"Brasil","MG","Escarpas à direita do Riacho Ribeirão.","1000","1000","Exsicatas","Folhas verdes brilhantes, pouco discolores. Flores com hipanto amarelo-esverdeado com estrias avermelhadas e ápice completamente vermelho. Doação do Departamento de Botânica - Universidade de São Paulo - Flora de Campo Rupestres.","CEN00013469","CEN00013469","S. Graham","GRAO MOGOL","-42.8897018432617","-16.5594005584717","1997",NA,NA,"67219","auto",NA,NA,NA,NA,"1"
"22","2020-09-02 16:31:24-03","Cenargen","CEN","13471","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Taciana Barbosa Cavalcanti - CFCR","9618","1986","02","25",NA,"Brasil","MG","Margens de córrego à saída da cidade, na estrada para o Rio Ventania. Alt. entre 900 - 1000 m de altura.",NA,NA,"Exsicatas","Na beira do riacho. Hipanto creme-esverdeado com ápice vermelho. Planta toda viscosa. Pétalas vermelho-rosadas. Doação da Universidade de São Paulo - Departamento de Botânica - Flora de Campos Rupestres.","CEN00013471","CEN00013471","S. Graham","GRAO MOGOL","-42.8897018432617","-16.5594005584717","1997",NA,NA,"67219","auto",NA,NA,NA,NA,"1"
"23","2020-09-02 16:31:24-03","Cenargen","CEN","64072","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"C. V. Vidal - BHCB","143","2006","04","13",NA,"Brasil","MG","PArque Estadual de Grão Mogol. Coletada sobre rocha.",NA,NA,"Exsicatas","Doação do Departamento de Botânica - ICB - UFMG. Herbário BHCB (100671).","CEN00064072","CEN00064072","T. B. Cavalcanti","GRAO MOGOL","-42.8897018432617","-16.5594005584717","2007","01",NA,"67219","auto",NA,NA,NA,NA,"1"
"24","2020-09-02 16:31:24-03","Cenargen","CEN","13470","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"José Rubens Pirani- CFCR","9024","1986","01","07",NA,"Brasil","MG","Próximo da saída para cidade na estrada para Francisco Sá.","1000","1000","Exsicatas","Flores com hipanto verde-avermelhado com nervuras vermelhas, pétalas vermelhas . Heliófilas. Doação Departamento de Botânica. Universidade de São Paulo. Flora dos Campos Rupestres.","CEN00013470","CEN00013470","S. Graham","GRAO MOGOL","-42.8897018432617","-16.5594005584717","1997",NA,NA,"67219","auto",NA,NA,NA,NA,"1"
"25","2020-09-02 16:31:24-03","Cenargen","CEN","27069","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Taciana Barbosa Cavalcanti","2316","1997","04","29",NA,"Brasil","MG","Ribeirão dos Bois. Estrada Grão Mogol - São João da Vacaria, na entrada da cidade de Grão-Mogol.","683","683","Exsicatas","Subarbusto bastante ramificado. Tubo floral creme na base, vermelho no ápice. Pétalas carmim. Guias de nectar amarelos. Filetes de cor carmim.","CEN00027069","CEN00027069","T. B. Cavalcanti & S. Graham","GRAO MOGOL","-42.8897018432617","-16.5594005584717","1997","04",NA,"67219","auto","-4288722.0","-1656417.0",NA,NA,"6"
"26","2020-09-02 16:31:24-03","Cenargen","CEN","18923","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Paulo Takeo Sano - CFCR","12486","1989","12","11",NA,"Brasil","MG","Trilha da Tropa, no alto da Serra, ca. de 1000 - 1200 m de altura.",NA,NA,"Exsicatas","Subarbusto heliófilo,crescendo entre rochas. Hipanto creme com estrias vermelhas. Pétalas vermelhas, levemente viscosas. Doação da Universidade São Paulo - Flora de Campos Rupestres.","CEN00018923","CEN00018923","S. Graham","GRAO MOGOL","-42.8897018432617","-16.5594005584717","1997",NA,NA,"67219","auto",NA,NA,NA,NA,NA
"27","2020-09-02 16:31:24-03","Cenargen","CEN","13474","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Renato de Mello-Silva - CFCR","10043","1987","05","21",NA,"Brasil","MG","Vale do Riacho Ribeirão.","850","850","Exsicatas","Entre rochas. Hipanto amarelado com estrias vermelhas. Estilete e pétalas vermelhas. Anteras alvas. Interior do tubo amarelo na parte inferior. Doação do Departamento de Botânica - Universidade de São Paulo - Flora de Campo Rupestres.","CEN00013474","CEN00013474","S. Graham","GRAO MOGOL","-42.8897018432617","-16.5594005584717","1997",NA,NA,"67219","auto",NA,NA,NA,NA,"1"
"28","2019-11-13 11:24:01-03","USP","SPF","64569","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Assis, MC","CFCR11395","1987","11","03",NA,"Brasil","Minas Gerais",NA,"850","1000",NA,NA,"SPF00064569",NA,"Cavalcanti, TB","Grão Mogol","-42.9","-16.55","1990",NA,NA,NA,NA,"-42.9","-16.55",NA,NA,NA
"29","2019-11-13 11:24:01-03","USP","SPF","64570","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Mello-Silva, R","CFCR11358","1987","11","02",NA,"Brasil","Minas Gerais",NA,"800","800",NA,NA,"SPF00064570",NA,"Cavalcanti, TB","Grão Mogol","-42.963333","-16.595","1989",NA,NA,NA,NA,"-42.963333","-16.595",NA,NA,NA
"30","2019-11-13 11:24:01-03","USP","SPF","126693","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Cavalcanti, TB","275","1989","02","18",NA,"Brasil","Minas Gerais",NA,"1000","1000",NA,NA,"SPF00126693",NA,"Cavalcanti, TB","Grão Mogol","-42.8897018432617","-16.5594005584717","1989","02",NA,"67219","auto",NA,NA,NA,NA,NA
"31","2019-11-13 11:24:01-03","USP","SPF","41185","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Pirani, JR","CFCR9024","1986","01","07",NA,"Brasil","Minas Gerais",NA,"1000","1000",NA,NA,"SPF00041185",NA,"Cavalcanti, TB","Grão Mogol","-42.8897018432617","-16.5594005584717","1988",NA,NA,"67219","auto",NA,NA,NA,NA,NA
"32","2019-11-13 11:24:01-03","USP","SPF","42867","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Cavalcanti, TB","CFCR9618","1986","02","25",NA,"Brasil","Minas Gerais",NA,"900","1000",NA,NA,"SPF00042867",NA,"Cavalcanti, TB","Grão Mogol","-42.8897018432617","-16.5594005584717","1988",NA,NA,"67219","auto",NA,NA,NA,NA,NA
"33","2019-11-13 11:24:01-03","USP","SPF","47651","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Mello-Silva, R","CFCR10790","1987","05","21",NA,"Brasil","Minas Gerais",NA,"1000","1000",NA,NA,"SPF00047651",NA,"Cavalcanti, TB","Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA
"34","2019-11-13 11:24:01-03","USP","SPF","67734","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Sano, PT","CFCR12486","1989","12","11",NA,"Brasil","Minas Gerais",NA,"1000","1200",NA,NA,"SPF00067734",NA,"Cavalcanti, TB","Grão Mogol","-42.8897018432617","-16.5594005584717","1994",NA,NA,"67219","auto",NA,NA,NA,NA,NA
"35","2019-11-13 11:24:01-03","USP","SPF","71367","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Cavalcanti, TB","275","1989","02","18",NA,"Brasil","Minas Gerais",NA,"1000","1000",NA,NA,"SPF00071367",NA,"Cavalcanti, TB","Grão Mogol","-42.8897018432617","-16.5594005584717","1989","02",NA,"67219","auto",NA,NA,NA,NA,NA
"36","2019-11-13 11:24:01-03","USP","SPF","44508","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Mello-Silva, R","CFCR10043","1986","09","03",NA,"Brasil","Minas Gerais","Vale do Ribeirão das Mortes","850","850",NA,NA,"SPF00044508",NA,"Cavalcanti, TB","Grão Mogol","-42.8897018432617","-16.5594005584717","1988",NA,NA,"67219","auto",NA,NA,NA,NA,NA
"37","2019-10-07 09:33:55-03","UEFS","HUEFS","67982","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Queiroz, L.P.de","7537","2003","01","08",NA,"Brasil","Minas Gerais","Serra de Grão Mogol.","903","903",NA,"Campo rupestre.","HUEFS0067982","HUEFS0067982","T.B.Cavalcanti","Grão Mogol","-42.895278","-16.555556","2013","07",NA,NA,NA,"42W53'43''","16S33'20''",NA,"Rosanae",NA
"38","2021-03-04 11:17:34-03","UEFS","HUEFS","147645","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Pirani, J.R.","9024","1986","01","07",NA,"Brasil","Minas Gerais","Grão- Mogol: próximo da saída da cidade, na estrada para Francisco Sá.",NA,NA,NA,NA,"HUEFS0147645","HUEFS0147645",NA,"Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,"67219","auto",NA,NA,NA,"Rosanae",NA
"39","2015-03-07 08:37:11-03","F","FMNH-SEEDPLANTS","V0218401F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"V0218401F","V0218401F_01",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"40","2020-11-05 09:51:55-03","IBt","SP","359626","S","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Assis, MC","CFCR11395","1987","11","03",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA
"41","2019-11-21 10:07:43-03","IBt","SP","220935","S","Plantae",NA,NA,"Lythraceae","Cuphea","teleandra","Cuphea teleandra","Lourteig",NA,"Pirani, JR; et al.","CFCR9024","1986","01","07",NA,"Brasil","Minas Gerais","Na estrada para Francisco Sá","1000","1000",NA,NA,NA,NA,NA,"Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA
