"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","county","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","1280028","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"B. A. Krukoff","6283","1934","09","South America","Brazil","Amazonas","Near Tres Casas","-62.6839542","-6.9876421","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515483' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280028","NY01280028_01","J. Kuijt","24","Humaitá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1280046","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"G. T. Prance","15849","1971","10","South America","Brazil","Amazonas","Uaribé, Rio Negro opposite Serra Jacamim","-65.517584","-0.27424","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515514' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280046","NY01280046_01","J. Kuijt","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-30 03:49:00-03","NY","NYBG","1280056","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus",NA,NA,"D. C. Daly","7499","1992","03","South America","Brazil","Acre","Reserva Extrativista do Alto Rio Juruá, Seringal São João, Colocação Tapaúna","-72.68","-9.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515537' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280056","NY01280056_01","J. Kuijt","19","Cruzeiro do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1280032","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"W. A. Ducke","s.n.","1942","08","South America","Brazil","Amazonas","Estrada do Aleixo km 13.","-59.924986","-3.092151","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515492' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280032","NY01280032_01","J. Kuijt","11","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","868419","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"G. T. Prance","7845","1968","10","South America","Brazil","Acre","East of Rio Iaco, +/- 10 km above Sena Madureira","-68.676216","-9.116428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=638045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868419","NY00868419_01","J. Kuijt","04","Sena Madureira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","472159","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"D. C. Daly","9528","1997","03","South America","Brazil","Acre","Basin of Rio Purus, Riozinho do Rola, river at record flood level.","-68.0056","-10.0542","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=638040' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472159","NY00472159_01","J. Kuijt","14","Rio Branco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","755030","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"L. Buscalioni","572","1899","06","South America","Brazil","Pará","Rio Tocantins, nella foresta Ilha do Cocal.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=907914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00755030","NY00755030_01","J. Kuijt","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01021887","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"J. R. Weir","1","1923","09","South America","Brazil","Mato Grosso","Guagara Merim, Matto Grosso.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121805' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021887","NY01021887_01","J. Kuijt","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-29 23:20:00-03","NY","NYBG","01021886","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus",NA,NA,"S. L. M. Moore","307","1891",NA,"South America","Brazil","Mato Grosso","Iter Matogrossense",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121799' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021886","NY01021886_01","J. Kuijt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1280036","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"C. Davidson","10630","1980","06","South America","Brazil","Pará","Rio Mapuera, ca 10 km upriver from Cachoeira Porteira: Campina dos Onces (Waldemar's name). Ca 1 km north of the river.","-57.13","-1.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515499' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280036","NY01280036_01","J. Kuijt","30","Oriximiná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","195688","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"W. de Jong","40","1987","05","South America","Peru","Loreto","Santa Rosa, Ucayali River","-73.75","-4.92","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=638042' target='other'> <mi>dwc_moreinfo</mi></a>","NY00195688",NA,"J. Kuijt","15","Requena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1280035","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"I. L. do Amaral","49","1982","10","South America","Brazil","Amazonas","Rio Solimões, margem direita, lago Tefé, Vila Nogueira","-64.7806","-3.3008","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515497' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280035","NY01280035_01","J. Kuijt","13","Tefé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1280037","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"E. Lleras","17498","1973","08","South America","Brazil","Amazonas","Lago de Tefé, opposite Tefé","-64.7575","-3.2922","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515501' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280037","NY01280037_01","J. Kuijt","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1280041","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"G. T. Prance","14296","1971","07","South America","Brazil","Amazonas","Rio Curuquetê, vicinity of Cachoeira Santo Antonio","-65.67","-8.33","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515507' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280041","NY01280041_01","J. Kuijt","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1075698","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"D. C. Daly","9231","1997","03","South America","Brazil","Acre","Basin of Rio Purus, Rio Iquiri, downstream from intersection with BR-364 highway.","-67.53","-10.07","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86663' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075698","NY01075698_01","J. Kuijt","05","Senador Guiomard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","573480","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"C. Figueiredo","537","1995","01","South America","Brazil","Acre","Rio Abuna. Seringal Itamarati.","-67.1856","-10.3356","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=751712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573480","NY00573480_01","J. Kuijt","10","Plácido de Castro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1280048","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"M. Silva","742","1967","04","South America","Brazil","Amazonas","Amazônas, Solimões, Manacapurú, lago do Jacaré","-60.8110857","-3.6644036","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515519' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280048","NY01280048_01","J. Kuijt","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","1280030","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"J. R. Weir","14","1923","09","South America","Brazil","Amazonas","Calama, Madeira River.","-62.87","-8.02489","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515490' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280030","NY01280030_01","J. Kuijt","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-09-30 03:49:00-03","NY","NYBG","1280027","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus",NA,NA,"W. R. Anderson","10883","1974","02","South America","Brazil","Pará","Alto Tapajós, Rio Cururú. 1-10 km upriver (SE) from village of Pratatí.","-57.833333","-8","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515481' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280027","NY01280027_01","J. Kuijt","12",NA,"200.00","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","02721534","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"G. Pereira-Silva","15122","2010","03","South America","Brazil","Rondônia","Cachoeira de Jirau.","-64.7264","-9.3269","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3009829' target='other'> <mi>dwc_moreinfo</mi></a>","NY02721534","NY02721534_01",NA,"22","Jaci-Paraná","85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-09-30 03:49:00-03","NY","NYBG","1280053","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus",NA,NA,"L. S. Coêlho","276","1985","11","South America","Brazil","Pará","Nas Proximidades do aeroporto.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515530' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280053","NY01280053_01","J. Kuijt","23","Porto Trombetas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1280050","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"S. R. Lowrie","128","1980","09","South America","Brazil","Amazonas","Km 680 on Manaus-Humaitá road","-63.0804491","-7.6393484","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515524' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280050","NY01280050_01","J. Kuijt","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","1280044","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"G. T. Prance","10443","1969","03","South America","Brazil","Amazonas","South bank of Rio Negro, Bahia de Bueussu, 15 Km above Manaus","-60.1694","-3.1278","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515510' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280044","NY01280044_01","J. Kuijt","18","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-09-30 03:49:00-03","NY","NYBG","1280034","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus",NA,NA,"C. A. Cid Ferreira","4024","1983","07","South America","Brazil","Amazonas","Rio Abacaxis, lugar chamado Terra Preta","-58.666667","-4.366667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515494' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280034","NY01280034_01","J. Kuijt","04","Borba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","1280039","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"G. T. Prance","8727","1968","11","South America","Brazil","Rondônia","E. bank of Rio Madeira between Abunã and Penha Colorada",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515503' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280039","NY01280039_01","J. Kuijt","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2016-09-30 03:49:00-03","NY","NYBG","1280042","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus",NA,NA,"C. A. Cid Ferreira","9423","1987","11","South America","Brazil","Pará","Estrada Cuamba (ramal a direita da Estr. Lauro Sodré), 12 km de Alenquer, a caminho da Faz. Capintuba","-54.65","-1.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515508' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280042","NY01280042_01","J. Kuijt","04","Alenquer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","1280033","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"E. P. Killip","30663","1929","11","South America","Brazil","Pará","Ilha do Mosqueiro, near Pará; sandy coast","-48.3828","-1.1458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515493' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280033","NY01280033_01","J. Kuijt","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","868418","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"P. J. M. Maas","P13230","1971","05","South America","Brazil","Acre","Near Porangaba, Rio Jurúa-Mirim.","-72.7439","-8.26861","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=638044' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868418","NY00868418_01","J. Kuijt","22","Porto Walter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","1280051","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"H. S. Irwin","47906","1960","08","South America","Brazil","Amapá","Rio Oiapoque. Islands of the first cachoeira of Rio Iaue, 0.5 km east of confluence with Rio Oiapoque","-52.37","2.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515525' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280051","NY01280051_01","C. T. Rizzini","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","1280043","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"G. T. Prance","8038","1968","10","South America","Brazil","Amazonas","Basin of Rio Purus area. Lago Preto, 3km. North of Lábrea. Flooded lake bank.","-64.7982109","-7.23797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515509' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280043","NY01280043_01","J. Kuijt","29","Lábrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2016-09-30 03:49:00-03","NY","NYBG","1280055","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus",NA,NA,"J. M. Pires","51154","1961","09","South America","Brazil","Amapá","Rio Araguari. downriver from Porto Platón",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515535' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280055","NY01280055_01",NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","1280049","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"E. P. Killip","30302","1929","10","South America","Brazil","Pará","Pará",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515522' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280049","NY01280049_01","J. Kuijt","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","1280031","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Loranthaceae","Oryctanthus","florulentus","Oryctanthus florulentus","(Rich.) Urb.",NA,"G. P. Cooper","22","1945","03","South America","Brazil","Amazonas","Rio Canumã.","-59.208958","-4.699637","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515491' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280031","NY01280031_01","J. Kuijt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
