"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","class","eventTime","fieldNumber","individualCount","relatedCatalogItem"
"16","2021-03-15 16:37:00-03","NY","NYBG","580009","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","paranaguensis","Eugenia paranaguensis","Mattos & D.Legrand","M. Sobral",NA,NA,NA,"G. G. Hatschbach","53534","1989","10","14","Brazil","Paraná","Guaratuba","Descampado.","-48.5744","-25.8831",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=731140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580009","NY00580009_01","Magnoliophyta","Myrtales","South America","sheet","30","50",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-06-29 11:31:36-03","UFRJ","RFA","8848","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","M. Sobral","2001",NA,NA,"P. Occhioni","3779","1968","11","21","Brasil","Santa Catarina","Florianópolis","Saco Grande","-48.5491981506348","-27.596700668335",NA,NA,"Arbusto","RFA46369",NA,NA,NA,NA,NA,NA,NA,NA,"27000","auto",NA,NA,NA,NA,NA
"18","2020-02-08 10:06:08-03","NBC","NL-BOTANY","L.2515105","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1957","12","18","Brazil",NA,NA,"Plantas de Santa Catarina, Estrado Dona Francisca, Jounville.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2515105 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2515105","NL-L2515105",NA,"Myrtales","Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"19","2020-02-08 10:06:08-03","NBC","NL-BOTANY","L.2515106","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1959","01","26","Brazil",NA,NA,"Plantas de Santa Catarina, Alto Matador, Rio do Sul.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2515106 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2515106","NL-L2515106",NA,"Myrtales","Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"20","2020-02-08 10:06:08-03","NBC","NL-BOTANY","L.2515107","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1958","10","18","Brazil",NA,NA,"Plantas de Santa Catarina,Matador, Rio do Sul.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2515107 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2515107","NL-L2515107",NA,"Myrtales","Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"21","2020-02-08 10:06:08-03","NBC","NL-BOTANY","WAG.1115147","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand",NA,NA,NA,NA,"Hatschbach GG",NA,"1958","11","13","Brazil",NA,NA,"Mandassaia (mun. Campina Grande do Sul) Paraná.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1115147 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1115147","NL-WAG1115147",NA,"Myrtales","Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"22","2020-11-04 11:14:28-03","ESALQ","ESA","114814","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja",NA,NA,NA,NA,NA,"Campos, M.C.R.","52.0","2006","03","27","Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,"ESA114814","ESA114814","Magnoliophyta",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA
"23","2020-11-04 11:14:28-03","ESALQ","ESA","104514","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja",NA,"Aguiar, O.T.","2002","03","17","Aguiar, O.T.","882.0","2002","03","13","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,"ESA104514","ESA104514","Magnoliophyta",NA,NA,NA,NA,NA,NA,"27904","auto",NA,NA,NA,NA,NA
"24","2020-11-04 11:14:28-03","ESALQ","ESA","13222","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","Legrand","Kawasaki, M.L.",NA,NA,NA,"Moraes, P.L.R.","731.0","1992","11","17","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,"ESA013222","ESA013222","Magnoliophyta",NA,NA,NA,NA,NA,NA,"27904","auto",NA,NA,NA,NA,NA
"25","2020-11-04 11:14:28-03","ESALQ","ESA","118275","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja",NA,"Aguiar, O.T.","1990",NA,NA,"Aguiar, O.T.","434.0","1990","01","01","Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,"ESA118275",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA
"26","2020-11-04 11:14:28-03","ESALQ","ESA","109422","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja",NA,NA,NA,NA,NA,"Duarte, A.R.","513.0",NA,NA,NA,"Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666",NA,NA,NA,"ESA109422","ESA109422","Magnoliophyta",NA,NA,NA,NA,NA,NA,"34059","auto",NA,NA,NA,NA,NA
"27","2020-11-04 11:14:28-03","ESALQ","ESA","114813","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja",NA,NA,NA,NA,NA,"Campos, M.C.R.","199.0","2006","05","06","Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,"ESA114813","ESA114813","Magnoliophyta",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA
"28","2020-11-04 11:14:28-03","ESALQ","ESA","52009","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D. Legrand",NA,NA,NA,NA,"Lima, R.A.F.","440.0",NA,NA,NA,"Brasil","São Paulo","Sete Barras","Parcela permanente - Parque Estadual de Carlos Botelho","-47.9199981689453","-24.3799991607666",NA,NA,"em borda de clareira grande com bambu","ESA052009","ESA052009","Magnoliophyta",NA,NA,NA,"400","400",NA,"34059","auto",NA,NA,NA,NA,NA
"29","2019-02-15 11:46:15-02","IPA","IPA","29338","S","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D. Legrand","Sobral, M.","2006","12",NA,"Andrade-Lima","727056","1972","10","26","Brasil","Santa Catarina",NA,"Morro do Amapa, mata.",NA,NA,NA,NA,"Árvore com 12m.","IPA0029338",NA,"Plantae",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-08-27 13:31:18-03","IAP","PACA-AGP","65249","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D. Legrand","C. D. Legrand","1960",NA,NA,"Reitz, R.","4070","1958","10","18","Brasil","SC","Rio do Sul","Matador.","-49.6431007385254","-27.2141990661621",NA,NA,"20m de altura e flores brancas. HBR 24843.&nf;Conforme Sellowia - Anais Botânicos do HBR, No 13, p.316. Habitat: mata de várzea Hábito: árvore","PACA065249","PACA065249","Magnoliophyta","Myrtales",NA,NA,"350","350","Paratipo","15163","auto","Magnoliatae",NA,NA,NA,NA
"31","2019-08-27 13:31:18-03","IAP","PACA-AGP","109984","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D. Legrand","Ribeiro, C.L.","2019","05","09","M. Verdi","1288","2008","11","11","Brasil","SC","Pouso Redondo","Corruchel.","-49.942244","-27.334533","49°56'32,08W","27°20'04,32S","FURB 10516 Fenofase: fruto maduro vinho Hábito: arbórea Ecossistema: floresta ombrófila densa","PACA109984",NA,"Magnoliophyta","Myrtales",NA,NA,"616","616",NA,NA,NA,"Magnoliatae",NA,NA,NA,NA
"32","2019-08-27 13:31:18-03","IAP","PACA-AGP","65424","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D. Legrand","M. Sobral","1983","01","11","R. Klein","833","1954","10","29","Brasil","SC","Itajaí","Cunhas","-48.6618995666504","-26.9078006744385",NA,NA,"15m de altura e flores brancas. HBR 15042. Habitat: capoeirão Hábito: árvore","PACA065424",NA,"Magnoliophyta","Myrtales",NA,NA,"15","15",NA,"27253","auto","Magnoliatae",NA,NA,NA,NA
"33","2019-08-27 13:31:18-03","IAP","PACA-AGP","67476","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D. Legrand","C. D. Legrand","1974",NA,NA,"Klein & Bresolin","9861","1971","10","20","Brasil","SC","Palhoça","Morro do Cambirela","-48.6678009033203","-27.645299911499",NA,NA,"12m de altura e flores brancas. Herb. FLOR 3520. Habitat: mata de topo (depressão) Hábito: árvore","PACA067476",NA,"Magnoliophyta","Myrtales",NA,NA,"700","700",NA,"31105","auto","Magnoliatae",NA,NA,NA,NA
"34","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034038","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","M. Sobral, 1993.",NA,NA,NA,"G. Hatschbach; V. Nicolack","54349","1990","10","5","Brazil","Parana","Guaraquecaba","Batuva","-48.3258","-25.2983",NA,NA,"Coor from www.fallingrain.com/world; in 5 anthers seen, each had 0 glands.; Arvore, 12m, flores alvas, odoriferas.",NA,NA,"Magnoliophyta","Myrtales",NA,NA,"10","20",NA,NA,NA,NA,NA,NA,NA,NA
"35","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034037","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","M. Sobral, 1993.",NA,NA,NA,"G. Hatschbach","25940","1970","12","29","Brazil","Parana","Tijucas do Sul","Rod. BR-468, Rio Itarare.","-49.1789","-25.9269",NA,NA,"in 5 anthers seen, each had 0 glands.Coor from www.fallingrain.com/world; Arvore, 15m, tronco, 25cm, flor alva.",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0034577","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","paranaguensis","Eugenia paranaguensis","Mattos & D.Legrand","M. Sobral, 1993.",NA,NA,NA,"G. Hatschbach; J. M. Silva","53534","1989","10","14","Brazil","Parana","Guaratuba","Descampado.","-48.5667","-25.9",NA,NA,"In 5 anthers seen, each had 0 glands. Coor from www.fallingrain.com/world; Arvoreta 5m; flores alvas.",NA,NA,"Magnoliophyta","Myrtales",NA,NA,"30","50",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-01 16:36:14-03","UNICAMP","UEC","114761","S","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","Kawasaki, ML","1994",NA,NA,"Moraes, PLR","731","1992","11","17","Brazil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-47.968889","-24.0675","-47.968889","-24.0675","Árvore ca. 25m de alt., borda de mata, tronco estriado, sem placas escamantes.",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-08-20 10:21:02-03","UNICAMP","UEC","147731","S","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","Sobral, M","2007","09",NA,"Campos, MCR; Belinello, R; Assis, MA; Guaraldo, A","540","2006","05","08","Brazil","São Paulo","Picinguaba","Parque Estadual da Serra do Mar, Parcela E na Trilha do Corisco (Projeto Temático Biota Gradiente Funcional)",NA,NA,NA,NA,"indivíduo E0725, altura 8m","UEC023594","UEC023594","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-01 16:36:14-03","UNICAMP","UEC","186148","S","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","Prata, EMB",NA,NA,NA,"Prata, EMB; Assis, MA","D630","2007","05","02","Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleo Picinguaba, localizada ao longo da Trilha do Corisco, no Sertão da Casa da Farinha.","-44.833333","-23.335833","-44.833333","-23.335833","Floresta Ombrófila Densa de Terras Baixas.","UEC111463","UEC111463","Magnoliopsida",NA,NA,NA,"43","69",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-01 16:36:14-03","UNICAMP","UEC","11800","S","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","Legrand, D","1972",NA,NA,"Hatschbach, G","20217","1968","11","06","Brazil","Paraná","Morretes",NA,"-48.834400177002","-25.476900100708",NA,NA,"Árvore 8m, tronco 30cm diam. Flor alva. Mata pluvial, encosta de morro.",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA
"41","2021-03-01 16:36:14-03","UNICAMP","UEC","173713","S","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","Sobral, M",NA,NA,NA,"Prata, EMB","s.n.","2007","06","16","Brazil","São Paulo","Ubatuba","Picinguaba - Projeto Biota Gradiente Funcional.","-45.0699996948242","-23.4300003051758",NA,NA,"Árvore com 10m de altura, botões florais verdes.; Floresta Ombrófila Densa de Terras Baixas.","UEC089532","UEC089532","Magnoliopsida",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA
"42","2019-11-08 08:53:47-03","FURB","FURB","10516","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","Sobral, M","2009","07","17","Verdi, M.","1288","2008","11","11","Brasil","Santa Catarina","Pouso Redondo","Corruchel.","-49.9422222","-27.3344444","-49.9422222","-27.3344444",NA,"FURB02433","FURB02433",NA,NA,NA,NA,"616","616",NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-10-14 10:03:22-03","FURB","FURB","20133","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","Sobral, M","2008","08","01","Gasper, A.L. de; Dreveck, S. & Brogni, E.","2529","2008","04","07","Brasil","Santa Catarina","Santa Terezinha","Morro do Taió.","-50.04","-26.73","-50.0400000","-26.7300000","Fito IFFSC 796 /O/20 Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbórea;","FURB32153","FURB32153",NA,NA,NA,NA,"765","765",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-10-14 10:03:22-03","FURB","FURB","45278","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","Oliveira, AA de",NA,NA,NA,"Mayer, M.; Oliveira, A.A. de","670","2014","10","19","Brasil","Santa Catarina","Ituporanga","Rio do Norte.","-49.5030556","-27.3602778","-49.5030556","-27.3602778","Florística Entorno IFFSC 421","FURB32148","FURB32148",NA,NA,NA,NA,"708","708",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-10-14 10:03:22-03","FURB","FURB","45708","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","Oliveira, AA de","2015","02","08","Oliveira, A.A. de","1106","2015","02","08","Brasil","Santa Catarina","Botuverá","Localidade de ''.","-49.0519444","-27.2686111","-49.0519444","-27.2686111","Regeneração IFFSC 468 /O/8","FURB32151","FURB32151",NA,NA,NA,NA,"874","874",NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-10-14 10:03:22-03","FURB","FURB","46669","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D.Legrand","Oliveira, AA de","2015","03","20","Oliveira, A.A. de","1332","2015","03","20","Brasil","Santa Catarina","Santa Terezinha","Morro do Taió.","-50.04","-26.73","-50.0400000","-26.7300000","Fito IFFSC 796 /O/33 Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbórea;","FURB32147","FURB32147",NA,NA,NA,NA,"765","765",NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-03-16 17:53:52-03","UCS","HUCS","10193","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D. Legrand","Sobral, M.","1993",NA,NA,"Hatschbach, G.","54349","1990","10","05","Brasil","Paraná","Guaraqueçaba","Batuva","-48.3288993835449","-25.3066997528076",NA,NA,"árvore, 12m, flores alvas, odoríferas.; Mata pluvial da planície litorânea",NA,NA,"Angiospermae","Myrtales",NA,NA,"20","20",NA,"37295","auto",NA,NA,NA,NA,NA
"48","2021-03-16 17:53:52-03","UCS","HUCS","10159","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","cereja","Eugenia cereja","D. Legrand","Sobral, M.","1993",NA,NA,"Hatschbach, G.","25940","1970","12","29","Brasil","Paraná","Tijucas do Sul","Rod. BR- 468, Rio Itararé","-49.1988983154297","-25.9281005859375",NA,NA,"árvore, 15m, tronco, 25cm, flor alva.; Mata pluvial",NA,NA,"Angiospermae","Myrtales",NA,NA,"900","900",NA,"25228","auto",NA,NA,NA,NA,NA
