"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","yearIdentified","monthIdentified","dayIdentified","year","month","day","individualCount","occurrenceRemarks","identifiedBy","class","scientificNameAuthorship","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","locality","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","previousCatalogNumber"
"17","2021-03-31 13:41:19-03","MN","R","24882","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sophronitella","violacea","Sophronitella violacea","1988","05","31","1929","06","30",NA,NA,"Alves, R.J.V.",NA,"(Lindl.) Schltr.","Brade, A.C.","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","11102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-07-05 11:14:18-03","FFCLRP","LBMBP","348","S","Plantae",NA,NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea",NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin",NA,"(Lindl.) Van den Berg & M.W. Chase","E.R. Pansarin","Brasil","São Paulo","Itirapina","-47.816667","-22.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47°49'W","22°15'S",NA,NA
"19","2016-07-05 11:14:18-03","FFCLRP","LBMBP","242","S","Plantae",NA,NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea",NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin",NA,"(Lindl.) Van den Berg & M.W. Chase","E.R. Pansarin","Brasil","São Paulo","Itirapinas","-47.816667","-22.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47°49'W","22°15'S",NA,NA
"20","2020-11-09 19:01:10-03","UFJF","CESJ","25298","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea",NA,NA,NA,"1991","07","27",NA,NA,NA,NA,"(Lindl.) van den Berg & M.W.Chase","M. Eiterer","Brasil","Minas Gerais","Lima Duarte","-43.793098449707","-21.8425006866455","30417","auto","s.n.","Parque Estadual do Ibitipoca","América do Sul",NA,"CESJ025298",NA,NA,NA,NA,NA,NA,NA
"21","2020-06-30 18:32:38-03","UFJF","CESJ","48669","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea","2005","03",NA,"2003","02","04",NA,"Erva epífita, na borda da mata, pseudobulbo e folhas verde-claros, flores róseas. Floresceu em cultivo em março de 2005.","L. Menini Neto",NA,"(Lindl.) van den Berg & M.W.Chase","L. Menini Neto; R.C. Forzza; R.J.V. Alves; R.Dias-Melo; R.F.Monteiro; B.R. Silva","Brasil","Minas Gerais","Lima Duarte","-43.793098449707","-21.8425006866455","30417","auto","322","Parque Estadual do Ibitipoca, Mata Grande.","América do Sul",NA,"CESJ048669",NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 14:40:53-03","UFJF","CESJ","53921","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea","2009","07","30","2009","07","28",NA,"Epífita no campo rupestre. Flores roxas.","N.L. Abreu",NA,"(Lindl.) van den Berg & M.W.Chase","F.S. Souza; D. Monteiro; J.H.C. Ribeiro; F.R.G. Salimena; P.H. Nobre","Brasil","Minas Gerais","Olaria","-43.937198638916","-21.8607997894287","15222","auto","748","Serra Negra, Serrinha, Sítio do Rinaldo Degredo.","América do Sul",NA,"CESJ053921",NA,NA,NA,NA,NA,NA,NA
"23","2020-11-09 19:01:10-03","UFJF","CESJ","68058","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea","2014","06",NA,"2014","06","11",NA,"Epífita, interior de mata, a ca de 1m de altura Pseudobulbo e folhas verdes, sépalas e pétalas róseas, labelo róseo com base alva, coluna roxa e polínias brancas","L. Menini Neto; S.G. Furtado",NA,"(Lindl.) van den Berg & M.W.Chase","S.G. Furtado; L. Menini Neto","Brasil","Minas Gerais","Lima Duarte","-43.896917","-21.712389",NA,NA,"282","Parque Estadual do Ibitipoca, Nanofloresta Nebular próx. as casas dos funcionários do parque","América do Sul",NA,"CESJ068058",NA,"1362","1362","-43.896917","-21.712389",NA,NA
"24","2019-11-21 14:40:53-03","UFJF","CESJ","68652","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea","2016",NA,NA,"2015","07","22",NA,"Epífita, flor lilás. Interior de mata","B. Moreira",NA,"(Lindl.) van den Berg & M.W.Chase","B. Moreira; L.C.D. Dias","Brasil","Minas Gerais","Lima Duarte","-43.899167","-21.715278",NA,NA,"318","Parque Estadual do Ibitipoca, Nanofloresta nebular, atrás das casas dos gestores","América do Sul",NA,"CESJ068652",NA,"1340","1340","-43.899167","-21.715278",NA,NA
"25","2019-11-21 14:40:53-03","UFJF","CESJ","71701","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea","2018","07","27","2018","07","27",NA,"Epifta a 5m. Flores com sépalas e pétalas róseas, labelo róseo com base alva, coluna roxa e polínias brancas. Interior de mata. Floresceu em cultivo.","D.E.F. Barbosa",NA,"(Lindl.) van den Berg & M.W.Chase","D.E.F. Barbosa; G.A. Basilio","Brasil","Minas Gerais","Lima Duarte","-43.913333","-21.698611",NA,NA,"556","Conceição de Ibitipoca, Floresta semidecidual montana","América do Sul",NA,"CESJ071701",NA,"1400","1400","-43.913333","-21.698611",NA,NA
"26","2020-11-09 19:01:10-03","UFJF","CESJ","25458","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Lindl.) van den Berg & M.W.Chase","F.R.G. Salimena","Brasil","Minas Gerais","Lima Duarte","-43.793098449707","-21.8425006866455","30417","auto","s.n.","Parque Estadual do Ibitipoca","América do Sul",NA,"CESJ025458",NA,NA,NA,NA,NA,NA,NA
"27","2019-08-20 10:00:53-03","UNICAMP","UEC","139188","S","Plantae","Liliopsida",NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea","2016","07","12","1997","05","20",NA,NA,"Van der Berg, C",NA,"(Lindl.) Van den Berg & M.W.Chase","Singer, RB","Brazil","Minas Gerais","Carrancas","-44.6425018310547","-21.4874992370605","21143","auto","97/31","Cachoeira da Zilda",NA,NA,"UEC034834","UEC034834",NA,NA,NA,NA,NA,NA
"28","2019-08-20 10:00:53-03","UNICAMP","UEC","116801","S","Plantae","Liliopsida",NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea","2006","09",NA,"2001","01",NA,NA,"Rupícola.","Pansarin, ER",NA,"(Lindl.) Van den Berg & M.W.Chase","Pansarin, ER","Brazil","São Paulo","Jundiaí","-46.8800010681152","-23.1800003051758","17840","auto","836","Serra do Japi, Sentido bairro Eloy Chaves, próximo à represa do DAE. Afloramentos expostos ao sol.",NA,NA,"UEC034833","UEC034833",NA,NA,NA,NA,NA,NA
"29","2021-02-12 10:02:13-03","UNICAMP","UEC","135296","S","Plantae","Liliopsida",NA,"Orchidaceae","Sophronitella","violacea","Sophronitella violacea","2005","05","14","1999","07","30",NA,"Epífita, flores magenta. Abundante no local.","Singer, RB",NA,"Schltr.","Simões, AO","Brazil","Minas Gerais","Carrancas","-42","-16",NA,NA,"840","Fazenda Grão Mongol, Mata próxima a curso d'água.",NA,NA,"UEC027054","UEC027054",NA,NA,"-42","-16",NA,NA
"30","2019-11-06 09:56:52-03","UFOP","OUPR","27394","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea","2011","06","05","2010","08","13",NA,"Erva rupícola com flores lilases e brácteas alvas","Antônio-Silva, L.",NA,"(Lindl.) van den Berg & M.W.Chase","Antônio-Silva, L.; Freitas, G.P.P.","Brasil","Minas Gerais","Ouro Preto","-43.503611","-20.355417",NA,NA,"160","APA Cachoeira das Andorinhas, Serra da Brígida, Fazenda Serra da Brígida. Afloramento de rocha quartzitica em meio a mata de encosta",NA,NA,NA,NA,"1675","1675","-43.503611","-20.355417",NA,NA
"31","2019-11-06 09:56:52-03","UFOP","OUPR","13867","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea","1988","05","20",NA,NA,NA,NA,"Sobre rochas. Erva. Flores vermelhas","Alves, R.J.V.",NA,"(Lindl.) van den Berg & M.W.Chase","s.col.","Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-12-21 16:38:51-03","MBM","MBM","50093","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sophronitella","violacea","Sophronitella violacea",NA,NA,NA,"1966","06","29",NA,NA,"Hatschbach, G.",NA,"(Lindl.) Schltr.","Hatschbach, G.","Brazil","Paraná","Campo Largo","-49.5283012390137","-25.4585990905762","53742","auto","14512","Serra Santana","Southern America",NA,"MBM050093","MBM050093",NA,NA,NA,NA,NA,NA
"33","2020-12-21 16:38:51-03","MBM","MBM","50094","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sophronitella","violacea","Sophronitella violacea",NA,NA,NA,"1952","06",NA,NA,NA,"Pabst, G.",NA,"(Lindl.) Schltr.","Hatschbach, G.","Brazil","Paraná","Cerro Azul","-49.261100769043","-24.823600769043","32006","auto","4120","Morro Grande","Southern America",NA,"MBM050094","MBM050094",NA,NA,NA,NA,NA,NA
"34","2020-12-21 16:38:51-03","MBM","MBM","140124","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sophronitella","violacea","Sophronitella violacea",NA,NA,NA,"1990","08","13",NA,NA,"Hatschbach, G.",NA,"(Lindl.) Schltr.","Silva, J.M.; Rauscher, I.; Rauscher, I.","Brazil","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto","874","Parque Estadual de Vila Velha","Southern America",NA,"MBM140124","MBM140124",NA,NA,NA,NA,NA,NA
"35","2020-12-21 16:38:51-03","MBM","MBM","11443","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sophronitella","violacea","Sophronitella violacea",NA,NA,NA,"1969","08","03",NA,NA,"Hatschbach, G.",NA,"(Lindl.) Schltr.","Hatschbach, G.","Brazil","Paraná","Guaratuba","-48.5746994018555","-25.8827991485596","41937","auto","22083","Divisa","Southern America",NA,"MBM011443","MBM011443",NA,NA,NA,NA,NA,NA
"36","2019-11-01 15:28:32-03","PUC-RIO","FCAB","2118","PreservedSpecimen","Plantae",NA,"Angiospermae","Orchidaceae","Sophronitella","violacea","Sophronitella violacea",NA,NA,NA,"1949","07",NA,NA,"Sinônimo relevante: Isabelia violacea (Lindl.) van den Berg & M.W.Chase&nf;Epifita.",NA,NA,"(Lindl.) Schltr.","P.E. Leite S.J.","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto","s.n.",NA,NA,NA,"002118",NA,NA,NA,NA,NA,NA,NA
"37","2015-09-03 19:46:17-03","MNHN","RECOLNAT_MNHN_P","P00492977","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea",NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00492977' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"(Lindl.) C.Van den Berg & M.W.Chase","Saint-Hilaire, A. de","Brésil",NA,NA,NA,NA,NA,NA,NA,"Province de Espiritu Santo",NA,"hb","P00492977","P00492977_01",NA,NA,NA,NA,"B2 482",NA
"38","2015-09-03 19:46:17-03","MNHN","RECOLNAT_MNHN_P","P00492978","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea",NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00492978' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"(Lindl.) C.Van den Berg & M.W.Chase","Saint-Hilaire, A. de","Brésil",NA,NA,NA,NA,NA,NA,NA,"Province de Rio de Janeiro",NA,"hb","P00492978","P00492978_01",NA,NA,NA,NA,"A2 118",NA
"39","2015-09-03 19:46:17-03","MNHN","RECOLNAT_MNHN_P","P00492979","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea",NA,NA,NA,NA,NA,NA,NA,"Donné en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00492979' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"(Lindl.) C.Van den Berg & M.W.Chase","s.c.","Brésil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb","P00492979","P00492979_01",NA,NA,NA,NA,NA,NA
"40","2015-09-03 19:46:17-03","MNHN","RECOLNAT_MNHN_P","P00492980","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea",NA,NA,NA,"1869","7","24",NA,"Donné en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00492980' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"(Lindl.) C.Van den Berg & M.W.Chase","Regnell, A.F.","Brésil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb","P00492980","P00492980_01",NA,NA,NA,NA,"II 268",NA
"41","2015-09-03 19:57:00-03","MNHN","RECOLNAT_MNHN_P","P00492981","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea",NA,NA,NA,NA,NA,NA,NA,"Donné en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00492981' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"(Lindl.) C.Van den Berg & M.W.Chase","Glaziou, A.","Brésil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb","P00492981","P00492981_01",NA,NA,NA,NA,"8032",NA
"42","2020-10-01 14:26:07-03","JBB","HEPH","22515","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Isabelia","violacea","Isabelia violacea",NA,NA,NA,"2006","03","28",NA,NA,"Bianchetti, LB",NA,"(Lindl.) van den Berg & M.W.Chase","Aguiar, SNF","Brasil","Distrito Federal","Brasília","-47.85","-15.866667",NA,NA,"180","Estação Ecológica Jardim Botânico de Brasília Córrego Cabeça de Veado","Southern America",NA,NA,NA,"102","102","-47.85","-15.866667",NA,NA
"43","2020-10-01 14:26:14-03","JBB","HEPH","20291","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Sophronitella","violacea","Sophronitella violacea","2009","11","06","2003","12","26",NA,NA,"Meneguzzo, TEC",NA,"(Lindl.) Schltr.","Salles, AEH","Brasil","Distrito Federal","Brasília","-47.85","-15.866667",NA,NA,"2928","Estação Ecológica do Jardim Botânico de Brasília, Trilha de acesso ao Cristo Redentor","Southern America",NA,NA,NA,NA,NA,"-47.85","-15.866667",NA,NA
"44","2020-10-01 14:26:14-03","JBB","HEPH","22174","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Sophronitella","violacea","Sophronitella violacea","2009","11","06","2005","11","11",NA,NA,"Meneguzzo, TEC",NA,"(Lindl.) Schltr.","Salles, AEH","Brasil","Distrito Federal","Brasília","-47.85","-15.866667",NA,NA,"3841","Estação Ecológica do Jardim Botânico de Brasília, Próximo da Captacao 1","Southern America",NA,NA,NA,NA,NA,"-47.85","-15.866667",NA,NA
"45","2020-10-01 14:26:14-03","JBB","HEPH","22938","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Sophronitella","violacea","Sophronitella violacea","2009","11","06","2006","08","10",NA,NA,"Meneguzzo, TEC",NA,"(Lindl.) Schltr.","Martins, RC; Oliveira, MS; Chacon, RG; Jesus, FPR de","Brasil","Distrito Federal","Brasília","-47.85","-15.866667",NA,NA,"609","Estação Ecológica do Jardim Botânico de Brasília","Southern America",NA,NA,NA,NA,NA,"-47.85","-15.866667",NA,NA
"46","2020-10-01 14:26:14-03","JBB","HEPH","8229","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Sophronitella","violacea","Sophronitella violacea","2009",NA,NA,"1993","08","15",NA,NA,"Meneguzzo, TEC",NA,"(Lindl.) Schltr.","Lima, IV","Brasil","Distrito Federal","Brasília","-47.85","-15.866667",NA,NA,"117","Estação Ecológica do Jardim Botânico de Brasília, Córrego Cabeça de Veado","Southern America",NA,NA,NA,NA,NA,"-47.85","-15.866667",NA,NA
"47","2020-10-01 14:26:14-03","JBB","HEPH","12151","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Sophronitella","violacea","Sophronitella violacea","2009",NA,NA,"1996","08","28",NA,"Tombo BGO 722","Meneguzzo, TEC",NA,"(Lindl.) Schltr.","Reis, GC","Brasil","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358","70570","auto","222","Jardim Botânico de Brasília","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-10-01 14:26:14-03","JBB","HEPH","20410","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Sophronitella","violacea","Sophronitella violacea","2009","11","06","2000","01","01",NA,"BGO 722","Meneguzzo, TEC",NA,"(Lindl.) Schltr.","Rodrigues Júnior, CE","Brasil","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358","70570","auto","s.n.","Jardim Botânico de Brasília","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2020-10-01 14:26:14-03","JBB","HEPH","22042","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Sophronitella","violacea","Sophronitella violacea","2009","11","06",NA,NA,NA,NA,"BGO 984","Meneguzzo, TEC",NA,"(Lindl.) Schltr.","Rodrigues Júnior, CE","Brasil","Goiás","Pirenópolis","-48.9592018127441","-15.852499961853","40887","auto","s.n.",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2020-12-11 11:44:45-03","UFMG","BHCB","178546","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea","2015","11",NA,"2015","08","13",NA,"Erva rupícola em meio a líquens; flor rosa.; Campo Rupestre Quartzítico",NA,NA,"(Lindl.) Van den Berg & M.W.Chase","Paiva, JAM; Tomich, S; Nascimento, L","Brasil","Minas Gerais","Mariana","-43.436667","-20.153611",NA,NA,"545","RPPN Horto Alegria","Southern America",NA,NA,NA,NA,NA,"-43.436667","-20.153611",NA,NA
"51","2020-12-11 11:44:45-03","UFMG","BHCB","178554","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea","2015","11",NA,"2015","08","14",NA,"Erva epífita em candeia; flores rosas.; Campo Rupestre Quartzítico",NA,NA,"(Lindl.) Van den Berg & M.W.Chase","Paiva, JAM; Tomich, S; Nascimento, L","Brasil","Minas Gerais","Mariana","-43.436667","-20.153611",NA,NA,"553","RPPN Horto Alegria","Southern America",NA,NA,NA,NA,NA,"-43.436667","-20.153611",NA,NA
"52","2020-12-11 11:44:45-03","UFMG","BHCB","35131","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Isabelia","violacea","Isabelia violacea",NA,NA,NA,"1989","08","22",NA,"Epífita, do capão, flor lilás.",NA,NA,"(Lindl.) Van den Berg & M.W.Chase","Silva, LP de; Lopes, EC","Brasil","Distrito Federal","Brasília","-47.882222","-15.951667",NA,NA,"802","Reserva Ecológica do IBGE","Southern America",NA,NA,NA,NA,NA,"-47.882222","-15.951667",NA,NA
