"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","typeStatus","class","fieldNumber","coordinatePrecision","geoFlag","individualCount"
"11","2015-09-03 19:03:31-03","MNHN","RECOLNAT_MNHN_P","P01957875","PreservedSpecimen",NA,NA,NA,"Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.",NA,"Saint-Hilaire, A.",NA,NA,"Brasil",NA,NA,"Brésil. Provimce de Saint-Paul.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01957875' target='other'> <mi>dwc_moreinfo</mi></a>","P01957875","P01957875_01","1816","1","1",NA,NA,"D 809",NA,NA,NA
"12","2015-09-03 19:03:31-03","MNHN","RECOLNAT_MNHN_P","P01957877","PreservedSpecimen",NA,NA,NA,"Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.",NA,"Vauthier",NA,NA,"Brasil",NA,NA,"Brésil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01957877' target='other'> <mi>dwc_moreinfo</mi></a>","P01957877","P01957877_01",NA,NA,NA,NA,NA,"163",NA,NA,NA
"13","2015-09-03 19:03:31-03","MNHN","RECOLNAT_MNHN_P","P01957878","PreservedSpecimen",NA,NA,NA,"Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.",NA,"Ferreira",NA,NA,"Brasil",NA,NA,"Brésil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01957878' target='other'> <mi>dwc_moreinfo</mi></a>","P01957878","P01957878_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-09-03 19:03:31-03","MNHN","RECOLNAT_MNHN_P","P01957871","PreservedSpecimen",NA,NA,NA,"Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Brésil, Rio Jan. Chemin de Macaco.","-43.2075004577637","-22.9027996063232","hb","Herbier de A. Glaziou donné par Mme. Simard, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01957871' target='other'> <mi>dwc_moreinfo</mi></a>","P01957871","P01957871_01","1871","3","8",NA,NA,"4908","57442","auto",NA
"15","2015-09-03 19:03:31-03","MNHN","RECOLNAT_MNHN_P","P01957872","PreservedSpecimen",NA,NA,NA,"Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Brésil. Rio Jan. Chemins de Macaco","-43.2075004577637","-22.9027996063232","hb","Herbier de A. Glaziou donné par Mme SIMARD, sa fille,en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01957872' target='other'> <mi>dwc_moreinfo</mi></a>","P01957872","P01957872_01","1871","3","8",NA,NA,"4908","57442","auto",NA
"16","2015-09-03 19:03:31-03","MNHN","RECOLNAT_MNHN_P","P01957869","PreservedSpecimen",NA,NA,NA,"Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Brésil. Rio Janeiro. Tijuca","-43.2075004577637","-22.9027996063232","hb","Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01957869' target='other'> <mi>dwc_moreinfo</mi></a>","P01957869","P01957869_01",NA,"3","14",NA,NA,"3094","57442","auto",NA
"17","2015-09-03 19:03:31-03","MNHN","RECOLNAT_MNHN_P","P01957870","PreservedSpecimen",NA,NA,NA,"Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Brésil, Rio Jan. Tijuca.","-43.2075004577637","-22.9027996063232","hb","Herbier de A. Glaziou donné par Mme. Simard, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01957870' target='other'> <mi>dwc_moreinfo</mi></a>","P01957870","P01957870_01",NA,"3","14",NA,NA,"3094","57442","auto",NA
"18","2020-09-12 05:00:02-03","US","US","1573768","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn. in DC.",NA,"L. Riedel & G. Langsdorff","83","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,NA,NA,"US01322163","US01322163_01",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"19","2020-09-12 05:00:02-03","US","US","70711","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn. in DC.",NA,"L. Riedel","477","South America - Neotropics","Brazil","Río de Janeiro",NA,"Near Rio de Janeiro.",NA,NA,NA,NA,"US00288903","US00288903_01",NA,NA,NA,"Isosyntype","Dicotyledonae",NA,NA,NA,"1"
"20","2018-05-14 16:31:46-03","F","FMNH-SEEDPLANTS","V0155477F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Nectandra","spicata","Nectandra spicata",NA,"RRC ID Flag","A. P. Duarte","5903","South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"V0155477F","V0155477F_01 V0155477F_02",NA,NA,NA,NA,"Dicotyledoneae","5903",NA,NA,NA
"21","2017-09-11 17:10:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.",NA,"Riedel, L","s.n.","Southern America","Brazil","Rio de Janeiro",NA,"circa Rio de janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2017-09-11 17:10:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lauraceae","Nectandra","spicata","Nectandra spicata","Meisn.",NA,"Luschnath, B","s.n.","Southern America","Brazil","Rio de Janeiro","Cantagalo","et ad Canta Gallo","-42.3681","-21.9811",NA,"Dryas; HABITAT: Dryas",NA,NA,NA,NA,NA,NA,NA,NA,"33898","auto",NA
