"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","individualCount","relatedCatalogItem","sex"
"11","2015-07-02 14:00:05-03","JBP","HPL","134","S","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees) Radlk.",NA,"E.R. Salviani & H. Lorenzi","1834","2000","11","26",NA,"Brasil","BA","Jussarí","Localizada nas proximidades da Fazenda Sr. Valter bem como em seu interior, vegeta e floresce em sombra.","-39.4953","-15.1914",NA,NA,NA,NA,NA,NA,"21386","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:11:01-03","MBM","MBM","176400","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","Nees","Wasshausen, D.C.","Cordeiro, J.; Poliquesi, C.B.; Silva, J.M.; Poliquesi, C.B.; Silva, J.M.","1209","1995","04","19","Southern America","Brazil","Paraná","Adrianópolis","Barra Grande","-48.9911003112793","-24.6571998596191",NA,"Erva ereta, flor alvescente.","MBM176400","MBM176400","1995",NA,"49901","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-12 08:14:10-03","IMA","MAC","32781","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","C. Alcantara","R.P.Lyra-Lemos; S.P.Gomes; Chagas-Mota; M.C.Mota","11197","2008","06","21",NA,"Brasil","Alagoas","Palmeira dos Índios","Fazenda Fortaleza, Serra das Pias.","-36.627497","-9.407219",NA,"Erva. Flores passadas.","MAC0032781","MAC0032781","2018","12",NA,NA,"-36.627497","-9.407219",NA,NA,"18",NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","3732251","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees & Mart.) Radlk.",NA,"E. Melo, V. Carneiro & F. França","4634","2007","3","24","South America - Neotropics","Brazil","Bahia",NA,"Fiera de Santana, Fazenda Chapada- propriedade Jose Morais","-39.0825","-12.2558",NA,NA,"US03470678",NA,NA,NA,NA,NA,NA,NA,"179",NA,NA,"Dicotyledonae","1",NA,NA
"15","2020-09-12 05:00:02-03","US","US","2778023","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees & Mart.) Radlk.",NA,"G. Hatschbach","38524","1976","4","4","South America","Brazil","Paraná",NA,"Barra rio Pardo (Mun. Adrianópolis).",NA,NA,NA,NA,"US02870082","US02870082_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"16","2020-09-12 05:00:02-03","US","US","2578702A","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees & Mart.) Radlk.",NA,"R. M. Klein","8638","1970","3","31","South America","Brazil","Santa Catarina",NA,"Sto. Antônio, Ilha de S. Catarina, Florianópolis.",NA,NA,NA,NA,"US02870085","US02870085_01",NA,NA,NA,NA,NA,NA,"5",NA,NA,"Dicotyledonae","1",NA,NA
"17","2020-09-12 05:00:02-03","US","US","3173949","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees & Mart.) Radlk.",NA,"A. Lourteig & G. Hatschbach","3173","1978","2","20","South America","Brazil","Paraná",NA,"Mun. Adrianópolis, Entre Séte [interpreted]-Barras et Barra de Rio Pardo.",NA,NA,NA,NA,"US02870088","US02870088_01",NA,NA,NA,NA,NA,NA,"300",NA,NA,"Dicotyledonae","1",NA,NA
"18","2020-09-12 05:00:02-03","US","US","2978061","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees & Mart.) Radlk.",NA,"G. Hatschbach","43608","1981","2","18","South America","Brazil","Paraná",NA,"Barra do Canha (mun. Cerro Azul), barrancos rochosos do vale do Rio Ribeira.",NA,NA,NA,NA,"US02870086","US02870086_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"19","2020-09-12 05:00:02-03","US","US","3311175","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees & Mart.) Radlk.",NA,"J. Cordeiro, C. Poliquesi & J. M. Silva","1209","1995","4","19","South America","Brazil","Paraná",NA,"Barra Grande (mun. Adrianópolis).",NA,NA,NA,NA,"US02870087","US02870087_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"20","2020-09-12 05:00:02-03","US","US","3173948","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees & Mart.) Radlk.",NA,"A. Lourteig & G. Hatschbach","3169","1978","2","20","South America","Brazil","Paraná",NA,"Mun. Adrianópolis, Rio Corumbé, borde de selva.",NA,NA,NA,NA,"US02870089","US02870089_01",NA,NA,NA,NA,NA,NA,"200",NA,NA,"Dicotyledonae","1",NA,NA
"21","2020-09-12 05:00:02-03","US","US","2578664A","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees & Mart.) Radlk.",NA,"R. M. Klein","8684","1970","5","6","South America","Brazil","Santa Catarina",NA,"Sto. Antônio, Ilha de S. Catarina, Florianópolis.",NA,NA,NA,NA,"US02870084","US02870084_01",NA,NA,NA,NA,NA,NA,"5",NA,NA,"Dicotyledonae","1",NA,NA
"22","2020-09-12 05:00:02-03","US","US","2586669A","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees & Mart.) Radlk.",NA,"G. Hatschbach","25539","1970","11","19","South America","Brazil","Paraná",NA,"Rio Jaguariaiva (mun. S. José da Boa Vista).",NA,NA,NA,NA,"US02870083","US02870083_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"23","2019-11-13 11:13:56-03","USP","SPF","146424","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","Radlk.","Rodrigues, MC","Melo, E","1905","1996","12","15",NA,"Brasil","Pernambuco","Fernando de Noronha","Morro da Quixaba","-39.783333","-12.733333",NA,NA,"SPF00146424","SPF00146424","2014","10",NA,NA,"-39.783333","-12.733333",NA,NA,NA,NA,NA,NA,NA
"24","2019-11-13 11:13:56-03","USP","SPF","133095","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","Radlk.","Rodrigues, MC","Melo, E","1905","1996","12","15",NA,"Brasil","Pernambuco","Fernando de Noronha","Morro da Quixaba","-39.783333","-12.733333",NA,NA,"SPF00133095","SPF00133095","2014","10",NA,NA,"-39.783333","-12.733333",NA,NA,NA,NA,NA,NA,NA
"25","2019-11-13 11:13:56-03","USP","SPF","124956","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","Radlk.","Anônimo","França, F","904","1994","01","14",NA,"Brasil","Bahia","Cravolândia","Povoado de Três Braços (Ilha Formosa).","-39.7","-13.5",NA,NA,"SPF00124956",NA,NA,NA,NA,NA,"-39.7","-13.5",NA,NA,NA,NA,NA,NA,NA
"26","2019-11-13 11:13:56-03","USP","SPF","133094","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","Radlk.","Rodrigues, MC","Queiroz, LP","1378","1986","11","22",NA,"Brasil","Bahia","Feira de Santana",NA,"-39.188056","-12.166667",NA,NA,"SPF00133094","SPF00133094","2014","10",NA,NA,"-39.188056","-12.166667",NA,NA,NA,NA,NA,NA,NA
"27","2019-11-13 11:13:56-03","USP","SPF","146425","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","Radlk.","Rodrigues, MC","Melo, E","1972","1997","01","26",NA,"Brasil","Bahia","Itatim",NA,"-39.766667","-12.753333",NA,NA,"SPF00146425","SPF00146425","2014","10",NA,NA,"-39.766667","-12.753333","300","300",NA,NA,NA,NA,NA
"28","2019-11-13 11:13:56-03","USP","SPF","146426","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","Radlk.","Rodrigues, MC","Melo, E","2103","1997","02","23",NA,"Brasil","Bahia","Iaçu","Morro da Garrafa","-39.85","-12.755",NA,NA,"SPF00146426","SPF00146426","2014","10",NA,NA,"-39.85","-12.755","275","275",NA,NA,NA,NA,NA
"29","2019-11-13 11:13:56-03","USP","SPF","158472","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","Radlk.","Rodrigues, MC","Melo, E","1972","1997","01","26",NA,"Brasil","Bahia","Itatim",NA,"-39.766667","-12.753333",NA,NA,"SPF00158472","SPF00158472","2014","10",NA,NA,"-39.766667","-12.753333","300","300",NA,NA,NA,NA,NA
"30","2019-11-13 11:13:56-03","USP","SPF","158473","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","Radlk.","Rodrigues, MC","Melo, E","2103","1997","02","23",NA,"Brasil","Bahia","Iaçu","Morro da Garrafa","-39.85","-12.755",NA,NA,"SPF00158473","SPF00158473","2014","10",NA,NA,"-39.85","-12.755","275","275",NA,NA,NA,NA,NA
"31","2019-11-13 11:13:56-03","USP","SPF","133087","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","Radlk.","Rodrigues, MC","Melo, E","1147","1995","04","14",NA,"Brasil","Bahia","Antônio Cardoso",NA,"-39.119701385498","-12.4352998733521",NA,NA,"SPF00133087","SPF00133087","2014","10","21990","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-13 11:13:56-03","USP","SPF","73467","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","Radlk.","Rodrigues, MC","Andrade-Lima, AD","38054","1981","02","04",NA,"Brasil","Pernambuco","Arcoverde","Serra das Varas.","-37.0539016723633","-8.41888999938965",NA,NA,"SPF00073467","SPF00073467","2014","10","23066","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-10-07 09:15:08-03","UEFS","HUEFS","142663","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.",NA,"Côrtes, A.L.","112","2008","08","28",NA,"Brasil","Bahia","Ipuaçu","Fazenda chapada.Área de caatinga em posição com floresta estacial..","-39.082778","-12.256111",NA,"Caatinga.","HUEFS0142663",NA,NA,NA,NA,NA,"39W4'58''","12S15'22''",NA,NA,NA,"Asteranae",NA,NA,NA
"34","2019-10-07 09:15:08-03","UEFS","HUEFS","19946","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","A.L.Côrtes","Melo, E.","1147","1995","04","14",NA,"Brasil","Bahia","Antônio Cardoso","20 km de Feira de Santana, na BR 116. Fazenda Sossego.","-39.119701385498","-12.4352998733521",NA,"Resto de mata semi-decídua em pasto.","HUEFS0019946","HUEFS0019946","2007","10","21990","auto",NA,NA,NA,NA,NA,"Asteranae",NA,NA,NA
"35","2019-10-07 09:15:08-03","UEFS","HUEFS","169388","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.",NA,"Carneiro, J.S.","1","2010","08","13",NA,"Brasil","Bahia","Feira de Santana","Distrito de Ipuaçu. Fazenda Chapada.","-38.9667015075684","-12.2666997909546",NA,"Área de transição caatinga e floresta semi-decídua.","HUEFS0169388","HUEFS0169388",NA,NA,"46325","auto",NA,NA,NA,NA,NA,"Asteranae",NA,NA,NA
"36","2019-10-07 09:15:08-03","UEFS","HUEFS","193247","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.",NA,"Melo, E.","11847","2012","12","14",NA,"Brasil","Bahia","Itatim","Rio Ribeirão.","-39.899444","-12.933889",NA,"Caatinga na base de pontões rochosos, nas proximidades do rio.","HUEFS0193247","HUEFS0193247",NA,NA,NA,NA,"39W53'58''","12S56'2''","478","478",NA,"Asteranae",NA,NA,NA
"37","2019-10-07 09:15:08-03","UEFS","HUEFS","113960","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","A.L.Côrtes","Novais, J.S.de","22","2006","10","31",NA,"Brasil","Bahia","Anguera","Morro da Fazenda Retiro, próximo à estrada do Feijão.","-39.183611","-12.166944",NA,"Orla de mata estacional.","HUEFS0113960","HUEFS0113960","2008","07",NA,NA,"39W11'1''","12S10'1''","343","343",NA,"Asteranae",NA,NA,NA
"38","2019-10-07 09:15:08-03","UEFS","HUEFS","114257","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","A.L.Côrtes","Cardoso, D.","1430","2006","11","21",NA,"Brasil","Bahia","Anguera","Morro da Fazenda Retiro.","-39.187778","-12.166944",NA,"Fragmento de floresta estacional com afloramentos de quartzito.","HUEFS0114257",NA,"2008","07",NA,NA,"39W11'16''","12S10'1''","380","380",NA,"Asteranae",NA,NA,NA
"39","2019-10-07 09:15:08-03","UEFS","HUEFS","120195","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","A.L.Côrtes","Melo, E.","4634","2007","03","24",NA,"Brasil","Bahia","Feira de Santana","Fazenda Chapada - propriedade José Morais","-39.0825","-12.255833",NA,NA,"HUEFS0120195",NA,"2008","07",NA,NA,"39W4'57''","12S15'21''","179","179",NA,"Asteranae",NA,NA,NA
"40","2019-10-07 09:15:08-03","UEFS","HUEFS","123707","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","A.L.Côrtes","Côrtes, A.L.","17","2007","07","19",NA,"Brasil","Bahia","Feira de Santana","Distrito Ipuaçu: Monte Alto, inselberg, mata encaixada( mata no canal de drenagem)","-39.076111","-12.232778",NA,NA,"HUEFS0123707","HUEFS0123707","2008","07",NA,NA,"39W4'34''","12S13'58''","212","212",NA,"Asteranae",NA,NA,NA
"41","2019-10-07 09:15:08-03","UEFS","HUEFS","126329","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","A.L.Côrtes","Côrtes, A.L.","36","2007","09","05",NA,"Brasil","Bahia","Feira de Santana","Ipuaçu Ipuaçu. Estrada do feijão, fazenda chapada do Senhor Morais.","-39.066667","-12.216667",NA,NA,"HUEFS0126329",NA,"2008","07",NA,NA,"39W4'","12S13'",NA,NA,NA,"Asteranae",NA,NA,NA
"42","2019-10-07 09:15:08-03","UEFS","HUEFS","139657","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","A.L.A.Côrtes","Rapini, A.","1428","2008","01","02",NA,"Brasil","Bahia","Itatim","BR-116, cerca de 5 km da cidade.","-39.783333","-12.75",NA,NA,"HUEFS0139657",NA,"2010","07",NA,NA,"39W47'","12S45'",NA,NA,NA,"Asteranae",NA,NA,NA
"43","2019-10-07 09:15:08-03","UEFS","HUEFS","140401","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","A.L.A.Côrtes","Conceição, S.F.","611","2008","03","09",NA,"Brasil","Bahia","Castro Alves","Estrada para Castro Alves.","-39.491944","-12.648333",NA,NA,"HUEFS0140401",NA,"2010","07",NA,NA,"39W29'31''","12S38'54''","160","160",NA,"Asteranae",NA,NA,NA
"44","2019-10-07 09:15:08-03","UEFS","HUEFS","193268","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.",NA,"Melo, E.","11868","2012","12","14",NA,"Brasil","Bahia","Itatim","Riacho Sebastião ou Rio Milagres, divisa Itatim com Milagres.","-39.827778","-12.825",NA,"Mata ciliar.","HUEFS0193268","HUEFS0193268",NA,NA,NA,NA,"39W49'40''","12S49'30''","488","488",NA,"Asteranae",NA,NA,NA
"45","2019-10-07 09:15:08-03","UEFS","HUEFS","193283","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.",NA,"Melo, E.","11883","2012","12","15",NA,"Brasil","Bahia","Itatim","Inselbergue Morro do Letreiro ou Tyresoles.","-39.778333","-12.728889",NA,"Caatinga na base do inselbergue.","HUEFS0193283","HUEFS0193283",NA,NA,NA,NA,"39W46'42''","12S43'44''","330","330",NA,"Asteranae",NA,NA,NA
"46","2019-10-07 09:15:08-03","UEFS","HUEFS","195696","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.",NA,"Queiroz, A.S.","61","2013","05","28",NA,"Brasil","Bahia","Feira de Santana","Fazenda Cruzeiro do Mocó.","-39.045556","-12.22",NA,NA,"HUEFS0195696",NA,NA,NA,NA,NA,"39W2'44''","12S13'12''","185","185",NA,"Asteranae",NA,NA,NA
"47","2019-10-07 09:15:08-03","UEFS","HUEFS","166042","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.",NA,"Côrtes, A.L.","244","2010","04","02",NA,"Brasil","Bahia","Santa Cruz da Vitória","Estrada para Itajú do Col6onia, Faz. Boa Fé, 9,3 km a partir de St. Cruz","-39.786111","-15.04",NA,"Floresta estacional.","HUEFS0166042",NA,NA,NA,NA,NA,"39W47'10''","15S2'24''","258","258",NA,"Asteranae",NA,NA,NA
"48","2019-10-07 09:15:08-03","UEFS","HUEFS","23842","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","A.L.Côrtes","França, F.","1824","1996","09","28",NA,"Brasil","Bahia","Itatim","Morro das Tocas.","-39.7","-12.716667",NA,"Interior e orla externa da mata da base.","HUEFS0023842","HUEFS0023842","2008","07",NA,NA,"39W42'","12S43'","270","270",NA,"Asteranae",NA,NA,NA
"49","2019-10-07 09:15:08-03","UEFS","HUEFS","25243","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","A.L.Côrtes","Melo, E.","1905","1996","12","15",NA,"Brasil","Bahia","Itatim","Morro da Quixaba.","-39.783333","-12.733333",NA,"Mata da base.","HUEFS0025243","HUEFS0025243","2008","07",NA,NA,"39W47'","12S44'","300","300",NA,"Asteranae",NA,NA,NA
"50","2019-10-07 09:15:08-03","UEFS","HUEFS","26378","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","A.L.Côrtes","Melo, E.","1972","1997","01","26",NA,"Brasil","Bahia","Itatim","Interior da mata da base do Inselberg.","-39.783056","-12.753333",NA,NA,"HUEFS0026378",NA,"2008","07",NA,NA,"39W46'59''","12S45'12''","300","300",NA,"Asteranae",NA,NA,NA
"51","2019-10-07 09:15:08-03","UEFS","HUEFS","26509","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.","A.L.Côrtes","Melo, E.","2103","1997","02","23",NA,"Brasil","Bahia","Iaçu","Morro da garrafa.","-39.856667","-12.755",NA,"Piedmont arbustivo.","HUEFS0026509","HUEFS0026509","2008","07",NA,NA,"39W51'24''","12S45'18''","275","275",NA,"Asteranae",NA,NA,NA
"52","2019-10-07 09:15:08-03","UEFS","HUEFS","166041","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Pseuderanthemum","modestum","Pseuderanthemum modestum","(Nees et Mart.) Radlk.",NA,"Côrtes, A.L.","243","2010","04","02",NA,"Brasil","Bahia","Floresta Azul","Estrada Floresta Azul para Almadina ca. 3 km a partir da entrada da estrada",NA,"-14.826944",NA,"Floresta Atlântica.","HUEFS0166041",NA,NA,NA,NA,NA,"39W39'129''","14S49'37''","289","289",NA,"Asteranae",NA,NA,NA
