"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","phylum","order","typeStatus","continentOcean","preparationType","occurrenceRemarks","imagecode","coordinatePrecision","geoFlag","class","individualCount"
"22","2021-02-11 17:21:12-03","UFPR","UPCB","44991","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Borgo, M.","2001","02",NA,"Petean, M.P.","156","2001","02","28","Brasil","Paraná","Morretes","Parque Estadual do Pico do Marumbi, Pico do Morro Facãozinho","-48.834400177002","-25.476900100708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epífita a ca. 1m do solo. Coletada em floresta ombrófila densa altomontana..",NA,"30514","auto",NA,NA
"23","2021-02-11 17:21:12-03","UFPR","UPCB","43772","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Borgo, M.","1999","10",NA,"Kozera, C.","1240","1999","09","25","Brasil","Paraná","Morretes","Parque Estadual Pico do Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epífita em floresta ombrófila mista altomontana..",NA,"30514","auto",NA,NA
"24","2021-02-11 17:21:12-03","UFPR","UPCB","40613","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Borgo, M.","1999","05",NA,"Giongo, C.","105","1999","02","06","Brasil","Paraná","Morretes","Parque Estadual Pico Marumbi, Morro Facãozinho","-48.834400177002","-25.476900100708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epífita baixa a 2m do solo, pouco ramificada, em floresta ombrófila densa alto-montana. Alt. 1100m s.n.m..",NA,"30514","auto",NA,NA
"25","2021-02-11 17:21:12-03","UFPR","UPCB","40614","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Borgo, M.","1999","05",NA,"Kaehler, M.","65","1998","11","08","Brasil","Paraná","Morretes","Parque Estadual Pico Marumbi, Morro Facãozinho","-48.834400177002","-25.476900100708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epífita baixa em floresta ombrófila densa alto-montana..",NA,"30514","auto",NA,NA
"26","2021-02-11 17:21:12-03","UFPR","UPCB","12687","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Machado-Silva, T.","2017","11","07","Guimarães, O.A.","726","1984","04","01","Brasil","Paraná","Morretes","Rio Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"UPCB0036119",NA,NA,NA,NA,NA,"Erva, 30cm. Terreno sem cultivo, próximo rio..","UPCB0036119","30514","auto",NA,NA
"27","2021-02-11 17:21:12-03","UFPR","UPCB","49529","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Scheer, M.B.","2004","01","01","Mocochinski, A.Y.","196","2003","10","05","Brasil","Paraná","Guaratuba","Serra da Pedra Branca do Araraquara","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epífita. Floresta ombrófila densa altomontana. Alt.: 1200m s.n.m..",NA,"41937","auto",NA,NA
"28","2021-02-11 17:21:12-03","UFPR","UPCB","40432","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Machado-Silva, T.","2017","11","07","Santos, E.P.","818","1999","10","22","Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"UPCB0036120",NA,NA,NA,NA,NA,"Epífita. Floreta ombrófila densa alto-montana, 1350 m de altitude..","UPCB0036120","41937","auto",NA,NA
"29","2021-02-11 17:21:12-03","UFPR","UPCB","38828","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Machado-Silva, T.","2017","11","01","Santos, E.P.","785","1999","06","30","Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,NA,"1300","1300","UPCB0036098",NA,NA,NA,NA,NA,"Erva epífita. Interior de mata. Floresta ombrófila densa alto-montana..","UPCB0036098","41937","auto",NA,NA
"30","2021-02-11 17:21:12-03","UFPR","UPCB","34603","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Machado-Silva, T.","2017","11","07","Santos, E.P.","550","1998","09","11","Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"UPCB0036113",NA,NA,NA,NA,NA,"Epífita. Interior de mata nebular, 1210 m de altitude..","UPCB0036113","41937","auto",NA,NA
"31","2021-02-11 17:21:12-03","UFPR","UPCB","49530","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Scheer, M.B.","2004","01","01","Scheer, M.B.","566","2004","04","24","Brasil","Paraná","Campina Grande do Sul","Serra do Ibitiraquire, Pico Caratuva","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epífita. Floresta ombrófila densa altomontana. Alt.: 1770m s.n.m..",NA,"55154","auto",NA,NA
"32","2009-07-21 23:34:00-03","MO","MOBOT","2479568","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.",NA,NA,NA,NA,"Per Dusén","Dusén 3710","1904","2","8","Brazil","Paraná",NA,"Ipiranga. Monte Alegre",NA,NA,NA,NA,"800.00000000",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"33","2020-09-12 05:00:02-03","US","US","3076805","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.",NA,NA,NA,NA,"R. Kummrow","2408","1983","11","9","Brazil","Paraná","Guaratuba","Serra do Araçatuba","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"US01334649",NA,"Piperales",NA,"South America",NA,NA,"US01334649_01","41937","auto","Dicotyledonae","1"
"34","2021-02-23 13:22:59-03","MN","R-TIPOS","28338","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rizzinii","Peperomia rizzinii","Yunck.","Yuncker, T.G.","1960",NA,NA,"Dusén, P.K.H.","3710","1904","02","08","Brasil","Paraná","Ipiranga","Monte Alegre","-50.5842018127441","-25.0238990783691",NA,NA,"800","800","R000028338",NA,NA,"Paratypus",NA,NA,NA,"R000028338_001","31827","auto",NA,NA
