"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"11","2016-11-07 11:56:00-02","NY","NYBG","1188025","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca",NA,NA,"W. A. Ducke","523","1937","07","South America","Brazil","Amazonas","Igarapé da Cachoeira Grande","-60.025","-3.1019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396436' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188025","NY01188025_01","H. H. van der Werff","14","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1187807","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"J. Revilla","4052","1978","03","South America","Brazil","Amazonas","Rio Negro, Praia Grande","-60.5484867","-3.0340263","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1393233' target='other'> <mi>dwc_moreinfo</mi></a>","NY01187807",NA,"H. H. van der Werff","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1187851","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"G. T. Prance","16264","1971","11","South America","Brazil","Amazonas","Rio Negro between Rio Branco & Moura.","-61.7417","-1.4394","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1393536' target='other'> <mi>dwc_moreinfo</mi></a>","NY01187851","NY01187851_01","V. de F. Mansano","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1187806","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"L. V. Ferreira","139","1992","01","South America","Brazil","Amazonas","Rio Turumã-Mirim, entre o Porto do Tarumã e a área do Projeto MAX-PLANCK","-60.2074814","-2.9591396","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1393231' target='other'> <mi>dwc_moreinfo</mi></a>","NY01187806","NY01187806_01","H. H. van der Werff","31","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1187804","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"G. T. Prance","2645","1966","10","South America","Brazil","Amazonas","Rio Negro near to Tarumã.","-60.1107502","-3.0440972","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1393229' target='other'> <mi>dwc_moreinfo</mi></a>","NY01187804","NY01187804_01","H. H. van der Werff","13","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1187982","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"J. M. Pires","s.n.","1974","04","South America","Brazil","Roraima","Rio Xeruini, afluente do Rio Branco.","-62.076335","0.025514","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396171' target='other'> <mi>dwc_moreinfo</mi></a>","NY01187982","NY01187982_01","H. H. van der Werff","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-08 17:40:20-03","EAO","IAN","143613","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.",NA,"sc","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN143613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-08 17:40:20-03","EAO","IAN","4161","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.",NA,"Spruce, R","1650",NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN004161","IAN004161_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-08 17:40:20-03","EAO","IAN","93186","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.",NA,"sc","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN093186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-08 17:40:20-03","EAO","IAN","93187","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.",NA,"sc","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN093187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-08 17:40:20-03","EAO","IAN","94721","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.",NA,"sc","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN094721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-08 17:40:31-03","EAO","IAN","10753","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"Ducke, A","1226","1943","04","Southern America","Brasil","Amazonas","Igarapé da Cachoeira Grande, igapó.","-60.0250015258789","-3.10193991661072",NA,"Árvore pequena.","IAN010753","IAN010753 IAN010753_e","Nascimento, EAP","20","Manaus",NA,NA,"2015","05","20","138090","auto",NA,NA,NA,NA,NA,NA,NA
"23","2021-04-08 17:40:31-03","EAO","IAN","20134","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"Ducke, A","523","1946","08","Southern America","Brasil","Amazonas","Igarapé da Cachoeira Grande, igapó.","-60.0250015258789","-3.10193991661072",NA,"Árvore pequena, flor amarela.","IAN020134","IAN020134","Nascimento, EAP","28","Manaus",NA,NA,"2015","05","20","138090","auto",NA,NA,NA,NA,NA,NA,NA
"24","2020-02-08 09:08:06-03","NBC","NL-BOTANY","U 0269659","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Caes.","Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.",NA,"Rodrigues WA",NA,"1964","09","Southern America","Brazil","Amazonas",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200269659 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0269659",NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw23821",NA,NA,NA,NA,NA
"25","2020-02-08 09:08:06-03","NBC","NL-BOTANY","U.1332010","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Caes.","Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.",NA,"Lleras E; et al.",NA,"1973","08","Southern America","Brazil",NA,"Brazilian Amazonia. Estado do Amazonas. Rio Solimoes and Rio Javari. Lago de Tefe, opposite Tefe.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1332010 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1332010","NL-U1332010",NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"26","2020-02-08 09:08:06-03","NBC","NL-BOTANY","U.1332011","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Caes.","Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.",NA,"Ducke A",NA,"1937","07","Southern America","Brazil",NA,"Procedencia Manaos, igarape da bachoeira Grande, igako.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1332011 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1332011","NL-U1332011",NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"27","2020-02-08 09:08:18-03","NBC","NL-BOTANY","U.1317782","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Caes.","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"Kubitzki K; Ongley JC; Ramos JF",NA,"1974","03","Southern America","Brazil","Amazonas","Rio Cuieiras, 50 km upstream",NA,NA,NA,"Black water flooded forest<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1317782 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1317782","NL-U1317782",NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0073812",NA,NA,NA,NA,NA
"28","2021-01-14 15:30:35-03","MN","R","169941","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"Prance, G.T.; Maas, P.J.M.; Woolcott, D.B.; Coelho, D.F.; Monteiro, O.P. & Ramos, J.F.","15199","1971","10",NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,"van der Werff, H.","13",NA,NA,NA,"2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-01-15 14:42:19-03","MN","R","2666","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"Schwacke, C.A.W.","III - 614","1982","07",NA,"Brasil","Manaus",NA,NA,NA,NA,NA,NA,NA,"Lima, H.C.","21",NA,NA,NA,"2013","06","28",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-01-14 15:30:35-03","MN","R","54743","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"Ducke, W.A.","523","1937","07",NA,"Brasil","Amazonas",NA,"-60.0250015258789","-3.10193991661072",NA,NA,NA,NA,"van der Werff, H.","14","Manaus",NA,NA,"2007",NA,NA,"138090","auto",NA,NA,NA,NA,NA,NA,NA
"31","2021-01-14 15:30:35-03","MN","R","55075","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"Ducke, W.A.","1226","1943","04",NA,"Brasil","Amazonas",NA,"-60.0250015258789","-3.10193991661072",NA,NA,NA,NA,"van der Werff, H.","20","Manaus",NA,NA,"2007",NA,NA,"138090","auto",NA,NA,NA,NA,NA,NA,NA
"32","2021-04-02 02:00:19-03","UFPI","TEPB","3752","PreservedSpecimen","Plantae",NA,NA,"Caesalpiniaceae","Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.",NA,"Lopes, A. S",NA,"1984","11",NA,"Brasil","Piauí","Alegre da Alegria","-42.4599990844727","-5.03806018829346",NA,"Árvore 6m; flor amarela; muito frequente; comportamento independente; substrato arenoso Ambiente: Cerrado <ll>dwc_commonname:</ll> Pau Pombo",NA,NA,NA,"14","Altos",NA,NA,NA,NA,NA,"37760","auto",NA,NA,NA,NA,NA,NA,NA
"33","2021-04-06 14:38:33-03","UFPI","TEPB","1297","PreservedSpecimen","Plantae",NA,NA,"Caesalpiniaceae","Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.",NA,"DEL' ARCO, M. R.",NA,"1980","05",NA,"Brasil","Piauí","Parque Nacional da Serra das Confusões","-43.3300018310547","-9.27861022949219",NA,"Árvore Ambiente: Carrasco",NA,NA,"A. J. CASTRO","05","Caracol",NA,NA,"1981","06","02","21070","auto",NA,NA,NA,NA,NA,NA,NA
"34","2021-04-02 02:00:19-03","UFPI","TEPB","3035","PreservedSpecimen","Plantae",NA,NA,"Caesalpiniaceae","Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.",NA,"FERNANDES, A.",NA,"1983","07",NA,"Brasil","Piauí","Antes da Pedra Furada, Estação Ecológica de Uruçuí-Una","-45.2421989440918","-7.55833005905151",NA,"Arvoreta de 8 a 10m, flor amarela Ambiente: Cerrado",NA,NA,"DEL' ARCO, M. R.","26","Ribeiro Gonçalves",NA,NA,"1985","03","15","121004","auto",NA,NA,NA,NA,NA,NA,NA
"35","2021-04-02 02:00:19-03","UFPI","TEPB","1613","PreservedSpecimen","Plantae",NA,NA,"Caesalpiniaceae","Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.",NA,"DEL' ARCO, M. R.",NA,"1981","04",NA,"Brasil","Piauí","Estação Ecológica de Uruçuí-Una","-45.2421989440918","-7.55833005905151",NA,"Árvore de 6m, flor branca Ambiente: Cerrado <ll>dwc_commonname:</ll> cachamorra branca",NA,NA,"DEL' ARCO, M. R.","14","Ribeiro Gonçalves",NA,NA,NA,NA,NA,"121004","auto",NA,NA,NA,NA,NA,NA,NA
"36","2021-04-02 02:00:19-03","UFPI","TEPB","1267","PreservedSpecimen","Plantae",NA,NA,"Caesalpiniaceae","Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.",NA,"A. J. CASTRO",NA,"1980","10",NA,"Brasil","Piauí","Estação Ecológica de Uruçuí-Una","-45.2421989440918","-7.55833005905151",NA,"Árvore, flor amarela Ambiente: Cerrado",NA,NA,"A. J. CASTRO","15","Ribeiro Gonçalves",NA,NA,"1981","06","02","121004","auto",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-01 16:31:25-03","UNICAMP","UEC","6747","S","Plantae","Magnoliopsida",NA,"Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"Silva, M","940","1967","04",NA,"Brazil","Amazonas","Rio negro, arredores de Manaus, igarapé Jaraqui.",NA,NA,NA,"Árvore de 10-12m, fruto verde, imaturo, depois escuro.; Várzea alagável, beira de terra firme.","UEC144262",NA,"Escobar, NAG","22",NA,NA,NA,"2017","08","04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-01 16:31:25-03","UNICAMP","UEC","32568","S","Plantae","Magnoliopsida",NA,"Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"Del'Arco, MR","1297","1981","05",NA,"Brazil","Piauí",NA,"-43.3300018310547","-9.27861022949219",NA,"Árvore, pouco frequente.; Carrasco, substrato arenoso.","UEC144263",NA,"Escobar, NAG","05","Caracol",NA,NA,"2017","08","04","21070","auto",NA,NA,NA,NA,NA,NA,NA
"39","2021-03-01 16:31:25-03","UNICAMP","UEC","32566","S","Plantae","Magnoliopsida",NA,"Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"Del'Arco, MR","1613","1981","04",NA,"Brazil","Piauí","Estação Ecológica de Uruçui-Una.","-45.2421989440918","-7.55833005905151",NA,"Árvore de 6 m. Flor e/ou bráctea e/ou esporóforo branca. Frequência boa.; Cerrado, substrato arenoso.","UEC144264",NA,"Escobar, NAG","14","Ribeiro Gonçalves",NA,NA,"2017","08","04","121004","auto",NA,NA,NA,NA,NA,NA,NA
"40","2013-04-01 09:19:45-03","IPT","BCTW","16317","S","Plantae","Magnoliophyta",NA,NA,"Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.",NA,"Rodrigues, W.A. & Mello, F.","5361","1963","07",NA,"Brasil","Amazonas","Lago do Puraquequara","-60.025","-3.10194",NA,NA,NA,NA,"M. Freitas","11","Manaus",NA,NA,NA,NA,NA,"138090","auto","Magnoliopsida",NA,NA,NA,NA,NA,NA
"41","2010-02-04 14:15:00-02","MO","MOBOT","100247929","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.",NA,"Richard Spruce","Spruce 1650","1851","7","South America","Brazil",NA,"Prope Barra, Prov. Rio Negro.",NA,NA,NA,NA,NA,NA,"R.L. Liesner (MO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"42","2014-09-11 10:52:00-03","MO","MOBOT","1846495","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Sclerolobium","hypoleucum","Sclerolobium hypoleucum","Benth.",NA,"Gerrit Davidse|Ángel C. González","Davidse 14334","1978","2","South America","Venezuela","Apure","Near the Río Meta at Fundo El Algarrobo, 25 airline km WNW of Buena Vista, Morichal de La Madera.","-68.8166667","6.2166667",NA,NA,NA,NA,"H.van der Werff (MO)","16","Pedro Camejo","70.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"1","1291",NA,NA,NA
"43","2008-12-31 15:29:00-02","MO","MOBOT","100163166","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"A. Ducke","Ducke 1226","1943","4","South America","Brazil","Amazonas","Manaos, Igarape da Cahoeira Grande, igapó.",NA,NA,NA,NA,NA,NA,"H. van der Werff (MO)","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"44","2009-04-14 15:44:00-03","MO","MOBOT","100180767","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"Scott A. Mori|Carol A. Gracie","Mori 19261","1988","10","South America","Brazil","Amazonas","Amazonas. Rio Cueiras, ca 20 km upstreem from the mouth.",NA,NA,NA,NA,NA,NA,"Henk van der Werff (MO)","8",NA,"70.00000000","100.00000000",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"45","2017-09-08 13:53:00-03","MO","MOBOT","100180809","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"Juan Revilla|A. Webber","Revilla Cardenas 4052","1978","3","South America","Brazil","Amazonas","Árvore de 10m de altura x 20cm de diâmetro; frutos verdes.",NA,NA,NA,NA,NA,NA,"Henk van der Werff (MO)","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"46","2012-05-30 11:18:00-03","MO","MOBOT","1091139","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"Antony Jardim|Paul F. Foster|et al.","Jardim 3116","1996","7","South America","Bolivia","Santa Cruz","Parque Nac. Noel Kempff Mercado; 25 km al norte del aserradero Moira yendo al Choré, bosque de lianas del equipo bejucal con Phenakospermum guianense, Astrocaryum ulei, diversidad en Leguminosae, Moraceae, Sapotaceae. Suelos oxisoles.","-61.14638","-14.38916",NA,NA,NA,NA,NA,"17","Velasco","160.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA
"47","2012-03-30 05:05:00-03","MO","MOBOT","3253387","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Tachigali","hypoleuca","Tachigali hypoleuca","(Benth.) Zarucchi & Herend.",NA,"Byron de Albuquerque","Albuquerque 371","1971","1","South America","Brazil","Amazonas","Manaus, Ponta Negra; solo arenoso.",NA,NA,NA,NA,NA,NA,"H. van der Werff (MO)","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
