"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","relationshipType","previousCatalogNumber","individualCount","fieldNumber","infraspecificEpithet","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","00533076","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","denticulata","Lamanonia denticulata","Moric.",NA,"H. S. Irwin","1968","02","17","Brazil","Minas Gerais",NA,"Serra do Cipó, km 132 (ca. 153 km N. of Belo Horizonte)","-43.68","-18.57",NA,NA,"1400","1400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=306529' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533076","NY00533076_01",NA,NA,NA,"20325","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","533074","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","denticulata","Lamanonia denticulata","Moric.",NA,"J. S. Blanchet","1841",NA,NA,"Brazil","Bahia","Muritiba","Moritiba","-38.99","-12.6267",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=306530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533074",NA,NA,NA,NA,"3374","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00533071","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","glabra","Lamanonia glabra","(Cambess.) Kuntze",NA,"G. T. Prance","1964","10","21","Brazil","Goiás","Jataí","Serra do Caiapó. 66 km. north of Jatai.","-51.7142","-17.8817",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158834' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533071","NY00533071_01",NA,NA,NA,"59546","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","533073","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","glabra","Lamanonia glabra","(Cambess.) Kuntze",NA,"P. K. H. Dusén","1912","02","01","Brazil","Paraná","Contenda","Serrinha","-49.5344","-25.6758",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158833' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533073","NY00533073_01",NA,NA,NA,NA,"Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-29 21:42:00-03","NY","NYBG","00918697","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","glabra","Lamanonia glabra",NA,NA,"E. P. Heringer","1977","09","26","Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE. Picada M-5","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918697","NY00918697_01",NA,NA,NA,"139","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00918699","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","glabra","Lamanonia glabra","(Cambess.) Kuntze",NA,"H. S. Irwin","1965","09","23","Brazil","Distrito Federal","Brasília","Ca. 20 km S. of Brasília, rd. to Belo Horizonte","-47.9945","-15.9622",NA,NA,"1235","1235","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990785' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918699","NY00918699_01",NA,NA,NA,"8603","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-29 21:42:00-03","NY","NYBG","00918698","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","glabra","Lamanonia glabra",NA,NA,"E. P. Heringer","1980","11","17","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918698","NY00918698_01",NA,NA,NA,"5753","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-29 21:42:00-03","NY","NYBG","00918696","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","glabra","Lamanonia glabra",NA,NA,"E. P. Heringer","1977","09","13","Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE,","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918696","NY00918696_01",NA,NA,NA,"31","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-29 21:42:00-03","NY","NYBG","00918700","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","glabra","Lamanonia glabra",NA,NA,"Martii Herbar. Florae Brasil.","1837",NA,NA,"Brazil","Mato Grosso do Sul","Corumbá","Porto do Corumbá.","-57.6531","-19.0094",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918700","NY00918700_01",NA,NA,NA,"93","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","533072","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","glabra","Lamanonia glabra","(Cambess.) Kuntze",NA,"P. K. H. Dusén","1914","10","22","Brazil","Paraná","Ponta Grossa","Turma 23.","-50.1617","-25.095",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=158832' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533072","NY00533072_01",NA,NA,NA,NA,"Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","777802","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","W. W. Thomas","R. P. Lyra-Lemos","2002","03","15","Brazil","Alagoas","Murici","Serra do Ouro, caminho para estaçao da Embratel","-35.8497","-9.23",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595738' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777802","NY00777802_01",NA,NA,NA,"6280","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2017-08-01 09:46:00-03","NY","NYBG","02479038","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata",NA,NA,"J. A. Lira Neto","1997","08","05","Brazil","Rio de Janeiro","Duque de Caxias","Reserva da Petrobras. Trilha ao redor da represa(barragem) Plataforma.","-43.25","-22.53333",NA,NA,"50",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2692515' target='other'> <mi>dwc_moreinfo</mi></a>","NY02479038","NY02479038_01",NA,NA,NA,"615","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","533092","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","G. G. Hatschbach","J. M. Silva","1993","01","05","Brazil","Paraná","Curitiba","Jardim Petrópolis","-49.22","-25.37",NA,NA,NA,NA,"date written as 05/01/1993; may mean may 1? <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595746' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533092","NY00533092_01",NA,NA,NA,"22452","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","533091","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","J. R. Pirani","W. Hoehne","1945","11","05","Brazil","São Paulo","Caieiras","Caieiras","-46.740798","-23.374672",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533091","NY00533091_01",NA,NA,NA,"SPF11585","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","533098","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","S. F. Smith","R. A. Wasum","1999","12","11","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Linha Sao Paulo. Em beira da estrada.","-50.6594","-29.36",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595741' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533098","NY00533098_01",NA,NA,NA,"342","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2017-05-17 10:21:00-03","NY","NYBG","02648058","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata",NA,NA,"E. M. Saddi","2011","11","20","Brazil","Minas Gerais","Itatiaiuçu","Parcela P17 dos estudos para o EIA do Complexo Serra Azul.","-44.465833","-20.220278",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2936160' target='other'> <mi>dwc_moreinfo</mi></a>","NY02648058","NY02648058_01",NA,NA,NA,"581","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00922457","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","R. C. de Mendonça","R. C. de Mendonça","1991","12","16","Brazil","Distrito Federal","Brasilia","Area da Marinha, próximo à nascente do Ribeirão Saia Velha.","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990836' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922457","NY00922457_01",NA,NA,NA,"2002","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00922458","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","J. R. Pirani","L. O. Williams","1945","06","21","Brazil","Minas Gerais","Itabirito","Pico de Cata Branca.","-43.8014","-20.2533",NA,NA,"1300","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990841' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922458","NY00922458_01",NA,NA,NA,"7357","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00922459","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","S. F. Smith","R. D. Macedo","2000","10","29","Brazil","Minas Gerais","São Thomé das Letras","Região Montanhosa.","-44.9853","-21.7222",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990845' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922459","NY00922459_01",NA,NA,NA,"5644","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00533088","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","R. C. de Mendonça","R. C. de Mendonça","1991","12","17","Brazil","Distrito Federal","Brasília","Area da Marinha, tributário da margem direita do Ribeirao Saia Velha.","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533088","NY00533088_01",NA,NA,NA,"2016","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","720650","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.",NA,"J. R. Pirani","1980","07","19","Brazil","Minas Gerais",NA,"Gouveia. Fazenda Praca (de Everaldo Gonçalves).",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2519307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720650","NY00720650_01",NA,NA,NA,"CFCR170","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","533090","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","S. F. Smith","R. A. Wasum","1995","12","27","Brazil","Rio Grande do Sul","Erechim","Erechim - IBDF","-52.2739","-27.6344",NA,NA,"780","780","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533090","NY00533090_01",NA,NA,NA,"11249","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","720652","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.",NA,"J. R. Pirani","1983","11","13","Brazil","Minas Gerais","Santana do Riacho","Km 126 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro.","-43.7142","-19.1692",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2519313' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720652","NY00720652_01",NA,NA,NA,"CFSC9197","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","533095","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","M. C. Vianna","C. Angeli","1981","01","14","Brazil","Rio de Janeiro","Rio de Janeiro","Estr. da Vista Chinesa. Toca dos Pereira.","-43.2075","-22.9031",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595737' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533095","NY00533095_01",NA,NA,NA,"18483","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","533089","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","S. F. Smith","R. A. Wasum","1996","05","25","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Sao Francisco de Paula - Lajeado Grande. Em beira da estrada.","-50.630384","-29.098608",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595740' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533089","NY00533089_01",NA,NA,NA,"12004","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","01090471","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","J. R. Pirani","J. R. Pirani","2004","01","26","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral, estrada para Várzea da Palma, ca. 15,5 km da ponte do Córrego da Onça, alto da serra","-44.2614","-17.7481",NA,NA,"1150","1150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222537' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090471","NY01090471_01",NA,NA,NA,"5292","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-09-29 21:44:00-03","NY","NYBG","00922451","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata",NA,NA,"H. L. de M. Barreto","1937","10","14","Brazil","Minas Gerais","Belo Horizonte","Serra do Taquaril","-43.9378","-19.9208",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992162' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922451","NY00922451_01",NA,NA,NA,"24497","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","533097","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","G. G. Hatschbach","G. G. Hatschbach","1973","01","10","Brazil","Paraná","Jaguariaíva","Corrego 3 Bocas.","-49.7056","-24.2511",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533097","NY00533097_01",NA,NA,NA,"31105","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","533096","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","S. F. Smith","R. Reitz","1965","12","18","Brazil","Paraná","Jaguariaíva","Rio das Mortes, Jaguariaíva","-49.7056","-24.2511",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595742' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533096","NY00533096_01",NA,NA,NA,"17938","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","533093","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.",NA,"R. Ribeiro","1987","09","10","Brazil","Rio de Janeiro",NA,"Alto da Boa Vista, Morro Queimado. Gr., vertente Norte","-43.27","-22.97",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533093","NY00533093_01",NA,NA,NA,"32551","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","1019016","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.",NA,"R. C. Forzza","2006","11","24","Brazil","Minas Gerais","Lima Duarte","Decida da Serra de Conceição do Ibitipoca para lima Duarte. 1 km da Vila.","-43.7931","-21.8428",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1266435' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019016","NY01019016_01",NA,NA,NA,"4377","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","1182909","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","P. G. Delprete","P. G. Delprete","2004","12","16","Brazil","Goiás","Cocalzinho de Goiás","Rod. BR-414, km 372, Fazenda Quatro Barras, Córrego Taquaral, que desagua no Rio Corumbá. Lado direito da estrada no sentido para Niquelândia.","-48.7808","-15.8325",NA,NA,"1090","1090","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1411177' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182909","NY01182909_01",NA,NA,NA,"9166","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","533094","PreservedSpecimen","Plantae","Cunoniaceae","Lamanonia","ternata","Lamanonia ternata","Vell.","J. R. Pirani","W. Hoehne","1946","10","28","Brazil","São Paulo","Sao Paulo","Próximo Jaraguá.","-46.63","-23.5403",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595744' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533094","NY00533094_01",NA,NA,NA,"13171","Magnoliophyta","Oxalidales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
