"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","sex"
"11","2019-08-16 08:40:23-03","UTFPR","HCF","13269","S","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","M.G. Caxambu","5011","2013","12","05",NA,"Brasil","PR","Fênix","Estação Ecológica Municipal de Fênix","-52.07075","-23.965417",NA,"erva ciófila, ca. 0,25 m, ereta, terrestre. Flores alvas com ápice das pétalas e sépalas castanho.",NA,NA,"M.E. Engels","2014","03",NA,NA,NA,NA,NA,"52°04'14,7 W","23°57'55,5 S","366","366",NA,NA,NA
"12","2019-08-16 08:40:23-03","UTFPR","HCF","18821","S","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","M.G. Caxambu","7150","2015","12","11",NA,"Brasil","PR","Céu Azul","Parque Nacional do Iguaçu, Trilha do Rio","-53.823194","-25.130833",NA,"erva ca. 0,10 m, ciófila, terrestre. Folhas variegatas. Flores alvas com máculas marrons.",NA,NA,"G.A. Dettke","2017","12","06",NA,NA,NA,NA,"53°49'23,5 W","25°07'51 S","683","683",NA,NA,NA
"13","2020-06-29 09:31:42-03","UFRRJ","RBR","8735","S","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","L.F.T. Menezes","988","2002","10","12",NA,"Brasil","Rio de Janeiro","Mangaratiba","Ilha da Marambaia, Ilha da Marambaia, praia da Armacão.","-44.040599822998","-22.9596996307373",NA,NA,"RBR00008735",NA,NA,NA,NA,NA,"17272","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-02-11 16:53:19-03","UFSM","SMDB","12702","S","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Záchia, R.A","5955","2010","01","23",NA,"Brasil","Rio Grande do Sul","Unistalda","Sítio Orlando, parcela 1.","-55.1502990722656","-29.0471992492676",NA,"Interior mata. Terrestre","SMDB012702",NA,"Záchia, R.A",NA,NA,NA,"23166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:38:13-03","MBM","MBM","322689","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Johnson, A.E.","507","1994","04","14","Southern America","Argentina","Misiones","Iguazú","Parque Nacional Iguazú, Is. Carpincho",NA,NA,NA,"Terrestrial. Leaves yellowish-green to dark green with or without this pale reticulation or wide white center. Flowers white with brown tipos near sepals and petals. Flowering location: Pto. Bomberg, Mnes.; In shade.","MBM322689","MBM322689","Johnson, A.E.","1994","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:38:13-03","MBM","MBM","325150","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Kersten, R.","1108",NA,NA,NA,"Southern America","Argentina","Misiones","El Dorado","Reserva Privada Virgen de Patiguá","-54.666667","-26.383333",NA,"Terrícola, flor pálida com manchas verdes e rosadas.; Floresta Estacional Semidecidual, em local úmido e sombreado, em solo litólico.","MBM325150","MBM325150","Engels, M.E.","2019","04","11",NA,NA,NA,NA,"-54.666667","-26.383333","180","180",NA,NA,NA
"17","2020-12-21 16:38:15-03","MBM","MBM","408856","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Silva, J.M.; Bayeri, I.; Bayeri, I.","9189","2015","12","12","Southern America","Brazil","Paraná","Reserva do Iguaçu","UHE Ney Braga, Salto Segredo","-52.1075","-25.800556",NA,"Erva terrícola; flor bege. Unicata.; Floresta Estacional Semidecidual.","MBM408856",NA,"Barboza, E.","2017","03","31",NA,NA,NA,NA,"-52.1075","-25.800556","757","757",NA,NA,NA
"18","2020-12-21 16:38:15-03","MBM","MBM","389392","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Engels, M.E.; Ferneda Rocha, L.C.; Temponi, L.G.; Escher, A.; Lautert, M.; Ferneda Rocha, L.C.; Temponi, L.G.; Escher, A.; Lautert, M.","527","2013","11","08","Southern America","Brazil","Paraná","Céu Azul","Parque Nacional do Iguaçú, Trilha da Jacutinga","-53.8485984802246","-25.1466999053955",NA,"Humícola, frequente. Folhas verdes variegatas com retículos prateados. Flores brancas com pintas castanhas. Cultivada até florir.; Floresta Estacional Semidecidual.","MBM389392","MBM389392","Engels, M.E.","2013",NA,NA,"51148","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:38:15-03","MBM","MBM","389393","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Engels, M.E.; Ferneda Rocha, L.C.; Ferneda Rocha, L.C.","525","2012","11","05","Southern America","Brazil","Paraná","Fênix","Fazenda Água Azul","-51.9791984558105","-23.9160995483398",NA,"Humícola. Folhas verdes com retículos prateados. Flores brancas com pintas castanhas. Cultivada até florir.; Floresta Estacional Semidecidual.","MBM389393","MBM389393","Engels, M.E.","2012",NA,NA,"16297","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:38:15-03","MBM","MBM","389390","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Engels, M.E.; Ferneda Rocha, L.C.; Ferneda Rocha, L.C.","523","2012","10","22","Southern America","Brazil","Paraná","Fênix","Parque Estadual Vila Rica do Espírito Santo","-51.9791984558105","-23.9160995483398",NA,"Humícola na serapilheira. Folhas verdes com retículos prateados ou verde acastanahda sem retículos. Escapo pubescente. Flores brancas e castanhas. Cultivada até florir.; Floresta Estacional Semidecidual.","MBM389390","MBM389390","Engels, M.E.","2012",NA,NA,"16297","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:38:13-03","MBM","MBM","389389","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Engels, M.E.; Ferneda Rocha, L.C.; Ferneda Rocha, L.C.","597","2013","01","16","Southern America","Brazil","Paraná","Palotina","Reserva Biológica São Camilo","-53.8400001525879","-24.283899307251",NA,"Cultivada até florir. Humícola. Raízes castanhas. Caule verde. Folhas verde claras, verde escuras, ou com retículos prateados. Escapo castanho a verde. Flores alvas com pintas castanhas.; Floresta Estacional Semidecidual.","MBM389389","MBM389389","Engels, M.E.","2013",NA,NA,"20826","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:38:13-03","MBM","MBM","389385","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Ariati, V.; Augusto-Silva, M.; Augusto-Silva, M.","916","2013","11","25","Southern America","Brazil","Paraná","Rio Branco do Sul","margem do rio Ribeira","-49.3142013549805","-25.1900005340576",NA,"Região ecotonal. Humícola de sub-bosque. Folhas verdes reticulada de prateado. Flores alvas com pintas castanhas. Cultivada até florir. UNICATA; Floresta Ombrófila Densa/Floresta Ombrófila Mista/Floresta Estacional Semidecidual.","MBM389385","MBM389385","Engels, M.E.","2013",NA,NA,"37352","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:38:15-03","MBM","MBM","389391","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Engels, M.E.; Ferneda Rocha, L.C.; Temponi, L.G.; Escher, A.; Lautert, M.; Ferneda Rocha, L.C.; Temponi, L.G.; Escher, A.; Lautert, M.","533","2012","12","03","Southern America","Brazil","Paraná","Três Barras do Paraná","Parque Estadual do Rio Guaraní","-53.1808013916016","-25.4188995361328",NA,"Humícola. Folhas verdes a verdes variegatas de prateado. Flores brancas com pintas castanhas nas pétalas e sépalas. Labelo alvo. Cultivada até florir.; Floresta Estacional Semidecidual.","MBM389391","MBM389391","Engels, M.E.","2012",NA,NA,"20611","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2015-09-04 12:30:29-03","MNHN","RECOLNAT_MNHN_P","P00340852","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Lourteig, A.",NA,"1967","12","20",NA,"Brésil",NA,NA,"Estado Santa Catarina, Isla Santa Catarina, Saco Grande",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00340852' target='other'> <mi>dwc_moreinfo</mi></a>","P00340852","P00340852_01","Ormerod",NA,NA,NA,NA,NA,NA,NA,NA,NA,"200","400","2347",NA,NA
"25","2021-02-11 17:20:53-03","UFPR","UPCB","51607","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Matos, F.B.","86","2004","12","12",NA,"Brasil","Paraná","Fênix","Parque Estadual de Vila Rica do Espírito Santo","-51.9791984558105","-23.9160995483398",NA,"Terrestre, borda da mata, trilha para o Rio Ivaí. Floresta estacional semidecidual. Alt.: 500m s.n.m..",NA,NA,"Engels, M.E.","2012","03","20","16297","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-02-11 17:20:53-03","UFPR","UPCB","78953","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Engels, M.E.","596","2013","01","16",NA,"Brasil","Paraná","Campo Mourão","Parque Estadual Lago Azul","-52.3830986022949","-24.0456008911133",NA,"Fes. Humícola. Caule verde. Folhas verdes com faixa larga central prateada. Flores alvas com pintas castanhas. Cultivada até florir. UNICATA.",NA,NA,"Engels, M. E.","2013",NA,NA,"28572","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-02-11 17:20:53-03","UFPR","UPCB","78956","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Engels, M.E.","527","2013","11","08",NA,"Brasil","Paraná","Céu Azul","Parque Nacional do Iguaçú. Trilha da Jacutinga","-53.8485984802246","-25.1466999053955",NA,"FES. Humícola, frequente. Folhas verdes variegatas com retículos prateados. Flores brancas com pintas castanhas. Cultivada até florir..",NA,NA,"Engels, M. E.","2013",NA,NA,"51148","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-02-11 17:20:53-03","UFPR","UPCB","67661","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Mancinelli, W.S.","1053","2009","11","06",NA,"Brasil","Paraná","Fênix","Parque Estadual Villa Rica do Espírito Santo. Floresta Estacional Semidecidual.","-51.95","-23.9",NA,"Herbácea, ocorre no interior da mata. Folhas com ornamentação branca nas nervuras. Extraído DNA..",NA,NA,"Mancinelli, W.S.","2009","11",NA,NA,NA,NA,NA,"-51.95","-23.9","350","350",NA,NA,NA
"29","2021-02-11 17:20:53-03","UFPR","UPCB","88282","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Völtz, R.R.","930","2014","12","26",NA,"Brasil","Santa Catarina","São Francisco do Sul","Balneário Enseada","-48.497778","-26.226667",NA,"Erva terrestre 0,3 m alt.; flores alvas com listras vinosas; interior da Floresta Ombrófila Densa Submontana de encosta..","UPCB0029993","UPCB0029993","Machnicki-Reis, M.; Santos, T.F.","2016","04","06",NA,NA,NA,NA,"-48.497778","-26.226667","45","45",NA,NA,NA
"30","2021-02-11 17:20:53-03","UFPR","UPCB","78957","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Engels, M.E.","525","2012","11","05",NA,"Brasil","Paraná","Fênix","Fazenda Água Azul","-51.9791984558105","-23.9160995483398",NA,"FES. Humícola. Folhas verdes com retículos prateados. Flores brancas com pintas castanhas. Cultivada até florir..",NA,NA,"Engels, M. E.","2012",NA,NA,"16297","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-02-11 17:20:53-03","UFPR","UPCB","78955","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Engels, M.E.","533","2012","12","03",NA,"Brasil","Paraná","Três Barras do Paraná","Parque Estadual do Rio Guaraní","-53.1808013916016","-25.4188995361328",NA,"FES. Humícola. Folhas verdes a verdes variegatas de prateado. Flores brancas com pintas castanhas nas pétalas e sépalas. Labelo alvo. Cultivada até florir..",NA,NA,"Engels, M. E.","2012",NA,NA,"20611","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-02-11 17:20:53-03","UFPR","UPCB","88561","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch.) Garay","Ribeiro, C. et al.","68","2013","10","26",NA,"Brasil","Paraná","Fênix","Parque Estadual Vila Rica do Espírito Santo","-51.9791984558105","-23.9160995483398",NA,"Ca. 0,15 m alt. Flores roxas..",NA,NA,"Engels, M.","2013","12","06","16297","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-02-11 17:20:53-03","UFPR","UPCB","78954","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Engels, M.E.","523","2012","10","22",NA,"Brasil","Paraná","Fênix","Parque Estadual Vila Rica do Espírito Santo","-51.9791984558105","-23.9160995483398",NA,"FES. Humícola na serapilheira. Folhas verdes com retículos prateados ou verde acastanhada sem retículos. Escapo pubescente. Flores brancas e castanhas. Cultivada até florir..",NA,NA,"Engels, M. E.","2012",NA,NA,"16297","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-02-11 17:20:53-03","UFPR","UPCB","78952","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Engels, M.E.","597","2013","01","16",NA,"Brasil","Paraná","Palotina","Reserva Biológica São Camilo","-53.8400001525879","-24.283899307251",NA,"FES. Cultivada até florir. Humícola. Raízes castanhas. Caule verde. Folhas verde claras, verde escuras, ou com retículos prateados. Escapo castanho a verde. Flores alvas com pintas castanhas..",NA,NA,"Engels, M. E.","2013",NA,NA,"20826","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-02-11 17:20:53-03","UFPR","UPCB","9052","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Hatschbach, G.","25550","1970","11","19",NA,"Brasil","Paraná","São José da Boa Vista","Terra Roxa","-49.6521987915039","-23.9158000946045",NA,"Terrícola, flor alvescente, mata..",NA,NA,"Engels, M.E.","2013","08","28","21399","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2013-01-28 05:13:00-02","MO","MOBOT","100246878","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Andres E. Johnson","Johnson 507","1994","4","14","South America","Argentina","Misiones","Iguazú","P.N. Iguazú, Is. Carpincho.",NA,NA,NA,NA,NA,NA,"A.E. Johnson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"37","2011-02-22 06:39:00-03","MO","MOBOT","2232929","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","F. Biganzoli|Paola Peralta|G. Márquez","Biganzoli 1378","2004","1","23","South America","Argentina","Misiones","Cainguás","Predio UNLP, Reserva Valle del Arroyo Cuña Pirú. Alrededores del balneario, picada desde balneario a la ruta|","-54.94611","-27.08805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300.00000000",NA,NA,NA,NA
"38","2014-11-16 19:27:00-02","MO","MOBOT","2479984","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Jan C. Lindeman","Lindeman 4430",NA,NA,NA,"South America","Brazil","Paraná",NA,"Guirá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2014-03-29 22:04:00-03","MO","MOBOT","2513929","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","A.L. Woolston","Woolston 631",NA,NA,NA,"South America","Paraguay","San Pedro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2008-05-27 22:02:00-03","MO","MOBOT","500498","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Elsa M. Zardini","Zardini 7995","1988","11","12","South America","Paraguay","Guairá",NA,"Cordillera de Ybytyruzú. Ladero W del Cerro Peró, 2 kms E del Destacamento Tororo.","-56.1515","-25.8998",NA,NA,NA,NA,"G. Romero (GH)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88-112","4",NA
"41","2008-05-27 22:02:00-03","MO","MOBOT","634034","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Elsa M. Zardini|A. Aguayo","Zardini 9494","1989","1","13","South America","Paraguay","Guairá",NA,"Cordillera de Ybytyruzú. Cerro Peró, 1 km W of Destacamento Tororo. Forest on western side of Cerro Peró, around cave.","-56.25","-25.91666",NA,NA,NA,NA,"G. Romero (GH)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"500.00000000",NA,"8","4",NA
"42","2018-09-12 14:48:23-03","UNIOESTE","UNOP","8965","S","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Machado-Silva, T.","256","2018","01","07",NA,"Brasil","Paraná","Quedas do Iguaçu","Trilha para rio Guarani","-53.145008","-25.733342",NA,"Erva terrícola, folha verde com nervuras alvas, racemo com flores brancas de ápice vináceo",NA,NA,"Machado-Silva, T.","2018","01","11",NA,NA,NA,NA,"-53.145008","-25.733342",NA,NA,NA,NA,NA
"43","2020-01-09 11:37:24-03","UNIOESTE","UNOP","9541","S","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Rauber, C.R.; Hentz Junior, E.J.; Hammes, J.K.; Hentz Junior, E.J.; Hammes, J.K.","254","2018","12","13",NA,"Brasil","Paraná","Céu Azul","Parque Nacional do Iguaçu, Trilha cachoeira do Rio Azul","-53.823306","-25.130917",NA,"Erva terrícola, caule verde, folha verde discolor com estrias verde clara, cálice verde, flor branca com ponta dos lobos marróm",NA,NA,"Benatti, V.M.N.","2019","01","10",NA,NA,NA,NA,"-53.823306","-25.130917",NA,NA,NA,NA,NA
"44","2020-09-08 15:06:56-03","UNIOESTE","UNOP","10555","S","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Wink, J. .G.; Conceiçao, L.H.S.M.; Conceiçao, L.H.S.M.","23","2019","12","02",NA,"Brasil","Paraná","Ceu Azul","Parque Nacional do Iguaçu, trilha Manoel Gomes","-53.842778","-25.154167",NA,"erva, flores apresenta pétalas brancas com pontas marrons, folha membranacea, concolor, caule verde.",NA,NA,"Rauber, C.R.; Benatti, V.M.N.","2020","01","31",NA,NA,NA,NA,"-53.842778","-25.154167",NA,NA,NA,NA,NA
"45","2018-09-12 14:48:23-03","UNIOESTE","UNOP","7306","S","Plantae",NA,NA,"Orchidaceae","Aspidogyne","kuczynskii","Aspidogyne kuczynskii","(Porsch) Garay","Temponi, L.G.; Martinez, M. .T.; Martinez, M. .T.","1076","2011","12","07",NA,"Brasil","Paraná","Céu Azul","Parque Nacional do Iguaçu. Trilha da Cachoeira Jacutinga.","-53.855278","-25.241528",NA,"Erva terrestre. Folha membranácea, discolor. Tépalas alvas com ápices marrom, sem labelo distinto.",NA,NA,"Temponi, L.G.","2011","12",NA,NA,NA,NA,NA,"-53.855278","-25.241528","553","553",NA,NA,NA
