"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","barcode","phylum","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","continentOcean","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","order","fieldNumber","preparationType","individualCount","typeStatus"
"12","2020-12-11 11:44:54-03","UFMG","BHCB","186889","PreservedSpecimen","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb",NA,"2016","05","01","Batista, JAN","3397","2016","05","01","Brasil",NA,NA,NA,NA,NA,"BHCB186889","Monocotyledon",NA,NA,NA,NA,NA,"Southern America","Precedência desconhecida; presumivelmente de Minas Gerais. Adquirida durante a 67ª Exposição Nacional de Orquídeas realizada no Minascentro em 05/2016.; Erva epifita. Flores branco translúcido; calo na base do labelo amarelado com pin",NA,NA,NA,NA,NA,NA,NA
"13","2021-02-11 17:21:03-03","UFPR","UPCB","45109","PreservedSpecimen","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Borgo, M.","2001","11","26","Borgo, M.","341","1998","12","10","Brasil","Paraná","Fênix","Parque Estadual Vila Rica do Espírito Santo",NA,NA,NA,NA,"-51.9791984558105","-23.9160995483398","16297",NA,"auto",NA,"Epífita a 1,6m do solo, flores brancas, labelo vinoso, no interior da floresta estacional semidecidual..",NA,NA,NA,NA,NA,NA,NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","2229172","PreservedSpecimen","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb. f.","Correa, M. N.",NA,NA,NA,"* MOREYRA","MOREYRA 131","1990","12","24","Argentina","Misiones","Iguazú","Parque Nacional Iguazú, área cataratas",NA,NA,NA,NA,"-54.45","-25.68333",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-10-22 10:03:11-02","UNIOESTE","UNOP","7011","S","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb. f.","Martinez, M.T.","2011","03",NA,"Martinez, M.T.; Gris, D.; Temponi, L.G.; Gris, D.; Temponi, L.G.","3","2011","02","21","Brasil","Paraná","Santa Terezinha de Itaipu","Reserva Particular do Patrimônio Natural Fazenda Santa Maria",NA,NA,NA,NA,"-54.4880981445312","-25.3621997833252","24409",NA,"auto",NA,"Epífita. Estéril. Planta sem pseudobulbo; folhas solitária no ápice do talo; talo mais curto que a folha.",NA,NA,NA,NA,NA,NA,NA
"16","2019-12-09 17:30:35-03","UFPR","EFC","5682","PreservedSpecimen","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Engels, M.E.","2013","06","26","Ziller, S.R.; Labiak, P.","1435","1996","03","08","Brasil","Paraná","Pinhão","Rio Jordão",NA,NA,"EFC005682",NA,"-51.6596984863281","-25.6956005096436","37408",NA,"auto",NA,"Encosta, depois do túnel, no vale do rio.",NA,NA,NA,NA,NA,NA,NA
"17","2019-04-02 09:32:20-03","URICER","HPBR","6192","S","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.",NA,NA,NA,NA,"ROGALSKI, J.",NA,"1997","11","04","Brasil","RS","Marcelino Ramos","ESTREITO AUGUSTO CÉSAR",NA,NA,"HPBR006192",NA,"-51.9063987731934","-27.4617004394531","18635",NA,"auto",NA,NA,NA,NA,NA,NA,NA,"1",NA
"18","2019-04-02 09:32:20-03","URICER","HPBR","6045","S","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb. F.","WAECHTER, J. L.",NA,NA,NA,"DEMARCO, E. V.",NA,"1996","12","13","Brasil","RS","Marcelino Ramos","ESTREITO AUGUSTO CÉSAR",NA,NA,"HPBR006045",NA,"-51.9063987731934","-27.4617004394531","18635",NA,"auto",NA,NA,NA,NA,NA,NA,NA,"1",NA
"19","2019-04-02 09:32:20-03","URICER","HPBR","6154","S","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.",NA,NA,NA,NA,"SCARIOT, C.",NA,"1997","12","09","Brasil","RS","Marcelino Ramos","ESTREITO AUGUSTO CÉSAR",NA,NA,"HPBR006154",NA,"-51.9063987731934","-27.4617004394531","18635","HPBR006154","auto",NA,NA,NA,NA,NA,NA,NA,"1",NA
"20","2020-11-04 17:30:12-03","UEM","HUEM","30958","S","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Milaneze-Gutierre, MA","2018","03","29","Milaneze-Gutierre, MA","948","2017","01","16","Brasil","Paraná","Telêmaco Borba","UHE Mauá,","-50.707222","-24.061944","HUEM000011481",NA,"-50.707222","-24.061944",NA,"HUEM000011481",NA,NA,"Epífita; flores de coloração branca; planta mantida sob cultivo na UEM",NA,NA,NA,NA,NA,NA,NA
"21","2020-11-12 16:58:10-03","UEL","FUEL","9624","PreservedSpecimen","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Molina, JMP","2013","10","10","Francisco das Chagas e Silva","1274","1986","12","05","Brasil","Paraná","Londrina","Parque Estadual Mata dos Godoy",NA,NA,NA,"Tracheophyta","-51.1627998352051","-23.3103008270264","63728",NA,"auto",NA,NA,NA,NA,"Asparagales",NA,NA,NA,NA
"22","2020-11-12 16:58:10-03","UEL","FUEL","52794","PreservedSpecimen","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Molina, JMP","2012","12",NA,"Molina, JMP","28","2012","12","21","Brasil","Paraná","Londrina","Parque Estadual Mata dos Godoy",NA,NA,NA,"Tracheophyta","-51.1627998352051","-23.3103008270264","63728",NA,"auto",NA,NA,NA,NA,"Asparagales",NA,NA,NA,NA
"23","2017-09-11 17:11:59-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Macradenia","regnellii","Macradenia regnellii","Barb.Rodr.",NA,NA,NA,NA,"Regnell, AF","1167?A",NA,NA,NA,"Brazil","Minas Gerais",NA,"Habitat in arboribus ad Capivary prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,"P03P6N0029",NA,"Southern America","Floret Julio",NA,NA,NA,NA,NA,NA,NA
"24","2017-09-11 17:11:59-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Macradenia","regnellii","Macradenia regnellii","Barb.Rodr.",NA,NA,NA,NA,"Regnell, AF","1167A",NA,NA,NA,"Brazil","Minas Gerais",NA,"Habitat in arboribus ad Capivary prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,"P03P6N0029",NA,"Southern America","Floret Julio",NA,NA,NA,NA,NA,NA,NA
"25","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.",NA,NA,NA,NA,"Warming, JEB","s.n.",NA,NA,NA,"Brazil","Minas Gerais",NA,"Habitat in sylvis supra arbores ad Lagoa Santa prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","Floret Novembri - Januario",NA,NA,NA,NA,NA,NA,NA
"26","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.",NA,NA,NA,NA,"Warming, JEB","s.n.",NA,NA,NA,"Brazil","Minas Gerais",NA,"Habitat in sylvis supra arbores ad Lagoa Santa prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","Floret Novembri - Januario",NA,NA,NA,NA,NA,NA,NA
"27","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Warmingia","loefgrenii","Warmingia loefgrenii","Cogn.",NA,NA,NA,NA,"Comm. Geogr.Geol.","2044?",NA,NA,NA,"Brazil","São Paulo","Franca","Habitat in arboribus ad Franca prov. S. Paulo",NA,NA,NA,NA,"-47.4","-20.53","27521",NA,"auto","Southern America","Floret Januario",NA,NA,NA,NA,NA,NA,NA
"28","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Warmingia","loefgrenii","Warmingia loefgrenii","Cogn.",NA,NA,NA,NA,"Comm. Geogr.Geol.","2044",NA,NA,NA,"Brazil","São Paulo","Franca","Habitat in arboribus ad Franca prov. S. Paulo",NA,NA,NA,NA,"-47.4","-20.53","27521",NA,"auto","Southern America","Floret Januario",NA,NA,NA,NA,NA,NA,NA
"29","2021-02-08 12:52:22-03","UFRGS","ICN","151310","S","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Singer, RB",NA,NA,NA,"Buzatto, CR","154","2005","12","21","Brasil","RS","Boa Vista do Incra","Fazenda Santa Maria",NA,NA,"ICN00041344","Monocotyledon",NA,NA,NA,NA,NA,"América do Sul","Epífita.; Floresta Estacional Decidual.",NA,NA,NA,NA,NA,NA,NA
"30","2021-02-08 12:52:22-03","UFRGS","ICN","158787","S","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Buzatto, CR",NA,NA,NA,"Buzatto, CR","463","2008","11","14","Brasil","SC","Treviso",NA,NA,NA,"ICN00041345","Monocotyledon","-49.4575004577637","-28.5156002044678","11745",NA,"auto","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-03 22:00:02-03","FLAS","FLAS","218787","PreservedSpecimen","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.",NA,NA,NA,NA,"Mark Whitten","1846",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Label note:] DNA voucher. --[Label footing:] Voucher for Molecular Systematics of Maxillarieae. N.H. Williams, M. Whitten.",NA,NA,NA,NA,"Preserved herbarium specimen",NA,NA
"32","2019-11-21 10:13:54-03","IBt","SP","29990","S","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Handro, O","1953","11",NA,"Muus, R","s.n.","1932","12","28","Brasil","São Paulo",NA,"Sem indicação de localidade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-21 10:13:54-03","IBt","SP","44814","S","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Handro, O","1953","11",NA,"s.col.","s.n.",NA,NA,NA,"Brasil","Santa Catarina",NA,"Cultivada no Jardim Botânico de São Paulo, fl. I/1936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-21 10:13:54-03","IBt","SP","473700","S","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Menini Neto, L","2011","07","02","Borges, R; Neder, GP; Freire, LR","935","2009","04","16","Brasil","Rio de Janeiro","Cantagalo","Fazenda Largo da Batalha","-42.3875","-21.990833",NA,NA,"-42.3875","-21.990833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-11-21 10:13:54-03","IBt","SP","47779","S","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Handro, O","1951","01",NA,"Handro, O","229","1951","01","24","Brasil","São Paulo","Atibaia",NA,NA,NA,NA,NA,"-46.5499992370605","-23.1100006103516","21675",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-11-21 10:13:54-03","IBt","SP","39753","S","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Gehrt, A",NA,NA,NA,"Gehrt, A","s.n.","1938","11","07","Brasil","São Paulo","Itatiba","Cultivada",NA,NA,NA,NA,"-46.8300018310547","-23","17442",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-11-21 10:13:54-03","IBt","SP","65480","S","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Buono, FA","1995","08","31","Kuhlmann, M","773",NA,NA,NA,"Brasil","São Paulo","Limeira","Cultivada no Jardim Botânico de São Paulo, fl. II/1944",NA,NA,NA,NA,"-47.4000015258789","-22.5599994659424","20999",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-03 09:41:12-03","IBt","SP","315478","S","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Martuscelli, P","1987","01",NA,"Martuscelli, P","s.n.","1987","01","04","Brasil","São Paulo","Teodoro Sampaio","Reserva Estadual Morro do Diabo",NA,NA,NA,NA,"-52.1599998474121","-22.5300006866455","54606",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-12-03 09:41:12-03","IBt","SP","327272","S","Plantae","Orchidaceae","Warmingia","eugenii","Warmingia eugenii","Rchb.f.","Martuscelli, P","1986","02",NA,"Martuscelli, P","217","1986","02","05","Brasil","São Paulo","Teodoro Sampaio","Reserva Estadual Morro do Diabo",NA,NA,NA,NA,"-52.1599998474121","-22.5300006866455","54606",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-11-21 10:13:54-03","IBt","SP","29473","S","Plantae","Orchidaceae","Warmingia","loefgrenii","Warmingia loefgrenii","Cogn.","Cogniaux, A","1904",NA,NA,"Loefgren, A; Edwall, G","CGG2044","1895","01",NA,"Brasil","São Paulo","Franca","Cultivo da Commissão",NA,NA,"SP002434",NA,"-47.4000015258789","-20.5300006866455","27521","SP002434","auto",NA,"Herb. epiph., nana, fl. alba",NA,NA,NA,NA,NA,NA,"Isotype"
