"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","identifiedBy","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","typeStatus","dayIdentified","fieldNumber","infraspecificEpithet","individualCount","class"
"11","2020-11-04 12:17:47-03","ESALQ","ESA","11549","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea",NA,"Souza, V.C. ; Sakuragui, C.M.","3423.0","1993","05","02",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,NA,"ESA011549",NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328",NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 12:17:47-03","ESALQ","ESA","78049","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V. C. Souza","Souza, V.C.; Romão, G.O.; Sampaio, D.; Araújo, A.O.; Elias, S.I.","28551.0","2002","02","28",NA,"Brasil","Minas Gerais","Serra do Cipó. Rodovia Belo Horizonte - Conceição do Mato Dentro, km 117.","1150","1150",NA,"Arbusto, ca. 1 m alt.; frutos castanhos.","ESA078049",NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","Souza, V.C.","-43,547,778","-19,271,111","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-31 13:41:19-03","MN","R","232031","PreservedSpecimen","Plantae",NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.)","Souza, V.C.; Souza, J.P.; Romão, G.O. & Araújo, A.O.","25194","2001","07","05",NA,"Brasil","Minas Gerais","Serra do Cipó. Próximo à estátua do Juquinha","1500","1500",NA,NA,"R010033891",NA,"Santana do Riacho","-43.551111","-19.258333","Souza, V.C.","43°33'04W","19°15'30S",NA,NA,"2001","07",NA,NA,NA,NA,NA,NA
"14","2016-02-02 14:39:09-02","BGBM","B","B 10 0248805","S","Plantae",NA,NA,"Scrophulariaceae","Esterhazya","caesarea","Esterhazya caesarea","V.C.Souza","F. Sellow",NA,NA,NA,NA,"Middle and South America","Brazil",NA,"Brasilia aequinoctialis.",NA,NA,NA,"additional number on label: no. 133 <a href=http://herbarium.bgbm.org/object/B100248805 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100248805","B100248805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type",NA,NA,NA,NA,NA
"15","2021-03-01 16:37:30-03","UNICAMP","UEC","205800","S","Plantae","Magnoliopsida",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Andrade, IR","314","2012","05","14",NA,"Brazil","Minas Gerais","Santana do Riacho/MG RPPn Brumas do Espinhaço e Ermo dos Gerais.","1285","1285",NA,"Herbáceo.Levantamento florísico da RPPN Brumas do Espinhaço Ponto 98, com duplicata.Flor rosa escuro;com tricomas brancos na porção feminina.; Cerrado, Campo Rupestre.","UEC161819","UEC161819","Santana Do Riacho","-44.134686","-19.218017","Scatigna, AV","-44.134686","-19.218017",NA,NA,"2014","09",NA,NA,NA,NA,NA,NA
"16","2021-03-01 16:37:30-03","UNICAMP","UEC","204722","S","Plantae","Magnoliopsida",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Scatigna, AV; Ferreira Junior, CA","1134","2016","04","30",NA,"Brazil","Minas Gerais","Serra do Cipó. RPPN Brumas do Espinhaço. Base do Pico do Brumoso. Afloramento rochoso na margem do córrego do Cigano.",NA,NA,NA,"Arbusto, ca. 2 m. Flores rosa-choque.","UEC200255","UEC200255","Santana do Riacho","-43.702778","-19.043333",NA,"-43.702778","-19.043333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:37:30-03","UNICAMP","UEC","40099","S","Plantae","Magnoliopsida",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Leitão Filho, HF; Martins, FR; Semir, J; Tamashiro, JY","17312","1985","06","04",NA,"Brazil","Minas Gerais","Estrada Conselheiro da Mata, campo rupestre entre pedras.",NA,NA,NA,"Arbusto 1.5m, flores carmim.","UEC081735","UEC081735",NA,NA,NA,"Souza, VC",NA,NA,NA,NA,"1993","12",NA,"20",NA,NA,NA,NA
"18","2019-08-20 10:22:20-03","UNICAMP","UEC","82380","S","Plantae","Magnoliopsida",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Semir, J; Giulietti, AM","5031","1974","05","21",NA,"Brazil","Minas Gerais","Km 127 ao longo da Rodovia Lagoa Santa-C",NA,NA,NA,"flor, Planta de altura de mais ou menos 1 m. Flores púrpura.","UEC020847","UEC020847","Jaboticatubas","-43.7449989318848","-19.513599395752","Piassa, G",NA,NA,"31264","auto","2014","07",NA,"24",NA,NA,NA,NA
"19","2021-03-01 16:37:30-03","UNICAMP","UEC","82378","S","Plantae","Magnoliopsida",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Joly, AB; Semir, J; Joly, AM; Martins, F","2197","1972","05","27",NA,"Brazil","Minas Gerais","Km 127 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.",NA,NA,NA,"Subarbusto até 1m. flores cor maravilha.","UEC020850","UEC020850","Jaboticatubas","-43.7449989318848","-19.513599395752","Piassa, G",NA,NA,"31264","auto","2014","08",NA,"11",NA,NA,NA,NA
"20","2019-08-20 10:22:20-03","UNICAMP","UEC","56988","S","Plantae","Magnoliopsida",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Joly, AB; Semir, J; Joly, AM; Martins, F","2444","1972","05","29",NA,"Brazil","Minas Gerais","Km 128 ao longo da Rodovia Lagoa Santa-",NA,NA,NA,"flor, Planta de 1,2 m de altura com flores vinho.","UEC081737","UEC081737","Jaboticatubas","-43.7449989318848","-19.513599395752","Souza, VC",NA,NA,"31264","auto","1993","12",NA,"20",NA,NA,NA,NA
"21","2019-08-20 10:22:20-03","UNICAMP","UEC","56986","S","Plantae","Magnoliopsida",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Semir, J; Sazima, M","2085","1972","05","01",NA,"Brazil","Minas Gerais","Km 128 ao longo da Rodovia Lagoa Santa-",NA,NA,NA,"flor, Arbusto de 1 m, flor de cor vinho.","UEC081740","UEC081740","Jaboticatubas","-43.7449989318848","-19.513599395752","Souza, VC",NA,NA,"31264","auto","1993","12",NA,"20",NA,NA,NA,NA
"22","2021-03-01 16:37:30-03","UNICAMP","UEC","56992","S","Plantae","Magnoliopsida",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Joly, AB; Semir, J; Ugadim, Y","297","1970","06","07",NA,"Brazil","Minas Gerais","km 128 ao longo do rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","1280","1280",NA,"Flores maravilhas, arbusto até 80 cm de altura.","UEC081738","UEC081738","Jaboticatubas","-43.7449989318848","-19.513599395752","Souza, VC",NA,NA,"31264","auto","1993","12",NA,"20",NA,NA,NA,NA
"23","2019-11-06 09:56:54-03","UFOP","OUPR","30773","PreservedSpecimen","Plantae",NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Silva, J.","313","1969","05","17",NA,"Brasil","Minas Gerais","Serra do Cipó, Fazenda Palácio.",NA,NA,NA,"Sub-arbusto fino com 1,5m. Flores vermelho-alaranjadas. Muito frequente em afloramento de quartzito micáceo.",NA,NA,NA,NA,NA,"Souza, V.C.",NA,NA,NA,NA,"1994","01",NA,"18",NA,NA,NA,NA
"24","2020-12-21 16:38:56-03","MBM","MBM","62026","PreservedSpecimen","Plantae",NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C. Souza","Gibbs, P.E.; et al.; et al.","5243",NA,NA,NA,"Southern America","Brazil","Minas Gerais","20km S de Diamantina",NA,NA,NA,NA,"MBM062026","MBM062026","Diamantina","-43.6002998352051","-18.2493991851807","Elias, S.I.",NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:38:56-03","MBM","MBM","54293","PreservedSpecimen","Plantae",NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C. Souza","Gibbs, P.E.; et al.; et al.","5248",NA,NA,NA,"Southern America","Brazil","Minas Gerais","20km S de Diamantina",NA,NA,NA,NA,"MBM054293","MBM054293","Diamantina","-43.6002998352051","-18.2493991851807","Souza, V.C.",NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"26","2015-09-04 08:44:22-03","MNHN","RECOLNAT_MNHN_P","P02994378","PreservedSpecimen",NA,NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Gounelle",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02994378' target='other'> <mi>dwc_moreinfo</mi></a>","P02994378","P02994378_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2015-09-04 08:44:22-03","MNHN","RECOLNAT_MNHN_P","P02994379","PreservedSpecimen",NA,NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Weddell, H.A.",NA,"1844","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02994379' target='other'> <mi>dwc_moreinfo</mi></a>","P02994379","P02994379_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1392",NA,NA,NA
"28","2015-09-04 08:44:22-03","MNHN","RECOLNAT_MNHN_P","P02994381","PreservedSpecimen",NA,NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02994381' target='other'> <mi>dwc_moreinfo</mi></a>","P02994381","P02994381_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1 391",NA,NA,NA
"29","2015-09-04 08:44:22-03","MNHN","RECOLNAT_MNHN_P","P02994382","PreservedSpecimen",NA,NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Dupré",NA,"1842","1","1",NA,"Brasil",NA,"Brésil Meridional.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02994382' target='other'> <mi>dwc_moreinfo</mi></a>","P02994382","P02994382_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2015-09-04 08:44:22-03","MNHN","RECOLNAT_MNHN_P","P02994380","PreservedSpecimen",NA,NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Smith, L.B.",NA,"1952","4","29",NA,"Brasil","Minas Gerais","Serra do Cipó, 6km north of Palacio.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02994380' target='other'> <mi>dwc_moreinfo</mi></a>","P02994380","P02994380_01","Jaboticatubas","-43.58333","-19.16667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6861",NA,NA,NA
"31","2020-10-01 14:21:56-03","JBB","HEPH","2150","S","Plantae","Dicotyledon","Lamiales","Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea angustifolia","J.A.Schmidt","Duarte, AP","11552","1969","05","13","Southern America","Brasil","Minas Gerais","Serra do Cipó km 109",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Souza, VC",NA,NA,NA,NA,"2016",NA,NA,NA,NA,"angustifolia",NA,NA
"32","2020-12-11 11:39:54-03","UFMG","BHCB","144589","PreservedSpecimen","Plantae","Dicotyledon",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Rodrigues, LC","144","2010","03",NA,"Southern America","Brasil","Minas Gerais","Parque Nacional da Serra do Cipó, Alto do Palácio","1400","1400",NA,"erva, flor laranja",NA,NA,"Morro do Pilar","-43.516667","-19.25",NA,"-43.516667","-19.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-12-11 11:39:54-03","UFMG","BHCB","1641","PreservedSpecimen","Plantae","Dicotyledon",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza",NA,"s.n.","1960",NA,NA,"Southern America","Brasil","Minas Gerais","Serra do Cipó",NA,NA,NA,"Cerrado; sub-arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-12-11 11:39:54-03","UFMG","BHCB","190860","PreservedSpecimen","Plantae","Dicotyledon",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Paiva, JAM; Souza, JAM; Silva, SHA","1790","2018","05","23","Southern America","Brasil","Minas Gerais","Parque Nacional da Serra do Cipó, Serra dos Alves","1355","1355",NA,"Subarbusto, 1,50m. Flor rosa escuro.; Campo Rupestre Quartzítico","BHCB190860",NA,"Itabira","-43.494444","-19.490833",NA,"-43.494444","-19.490833",NA,NA,"2018","06",NA,NA,NA,NA,NA,NA
"35","2020-12-11 11:39:54-03","UFMG","BHCB","195920","PreservedSpecimen","Plantae","Dicotyledon",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS","27","2019","06","01","Southern America","Brasil","Minas Gerais","Altamira de Cima, Trilha para parte alta da Cachoeira Alta","1350","1350",NA,"Campo rupestre quartzítico","BHCB195920",NA,"Nova União","-43.572889","-19.516083",NA,"-43.572889","-19.516083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-12-11 11:39:54-03","UFMG","BHCB","42002","PreservedSpecimen","Plantae","Dicotyledon",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-11 11:39:54-03","UFMG","BHCB","44291","PreservedSpecimen","Plantae","Dicotyledon",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-11 11:39:54-03","UFMG","BHCB","66980","PreservedSpecimen","Plantae","Dicotyledon",NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Mota, RC da","784","2000","04","02","Southern America","Brasil","Minas Gerais","Serra do Caraça.",NA,NA,NA,"Planta coletada em campo rupestre; erva; flores avermelhadas.",NA,NA,"Catas Altas","-43.4075012207031","-20.0746994018555",NA,NA,NA,"11966","auto",NA,NA,NA,NA,NA,NA,NA,NA
"39","2014-04-08 09:54:00-03","MO","MOBOT","3022536","PreservedSpecimen","Plantae",NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C. Souza","George Gardner","Gardner 5071","1840","7",NA,"South America","Brazil","Minas Gerais","Elevated rocky tracts Diamond District.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"V.C. Souza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"40","2014-04-08 09:40:00-03","MO","MOBOT","3031411","PreservedSpecimen","Plantae",NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C. Souza","Apparicio P. Duarte","Duarte 2577","1950",NA,NA,"South America","Brazil","Rio de Janeiro","Serra do Cipó, k. 135, Est. de minas erais","1250.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"V.C. Souza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"41","2014-04-08 09:41:00-03","MO","MOBOT","3031551","PreservedSpecimen","Plantae",NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C. Souza","Howard S. Irwin","Irwin 20441","1968","2","18","South America","Brazil","Minas Gerais","Steep slopes. Western slopes, cerrado with exposed sandstone do Cipó, ca. km 112 (ca. 135 km N. of Belo Horizonte).","1200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"V.C. Souza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"42","2020-12-28 10:31:31-03","ICAUFMG","MCCA","1572","S","Plantae",NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza",NA,"33","2017","08","19",NA,"Brasil","Minas Gerais","Trilha do Barão.","1190","1190",NA,NA,"MCCA01628","MCCA01628","Grão Mogol","-42.8897018432617","-16.5594005584717","IGLESIAS, D.T.","-429036111.0","-165038889.0","67219","auto","2017","09",NA,"05",NA,NA,NA,NA
"43","2019-06-10 10:11:22-03","FZB-BH","BHZB","2536","S","Plantae",NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea",NA,"Mendonça, M.P.",NA,"2000","06","01",NA,"Brasil","MG","Beira de estrada/ Km 106 Serra do Cipó",NA,NA,NA,NA,NA,NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328","V.C.Souza",NA,NA,"26557","auto","2006","08",NA,NA,NA,NA,NA,NA
"44","2021-03-15 18:29:06-03","USP","SPF","216580","PreservedSpecimen","Plantae",NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Kubo, MT","88","2012","05","03",NA,"Brasil","Minas Gerais","Serra do Cipó, Vellozieto, acesso pela Rodovia MG-010, próximo à estátua do velho Juca (19°15'35.64S, 43°33'10.56'","1275","1275",NA,"Arbusto, ca. 80 cm alt., pouco frequente, entre rochas. Flores com cálice verde; corola rosa a alva, com marcações vináceas na parte interna do tubo.; Afloramento rochoso e campos adjacentes.","SPF00216580","SPF00216580","Santana do Riacho","-43.555533","-19.265633","Kubo, MT","-43.555533","-19.265633",NA,NA,"2012","10",NA,NA,NA,NA,NA,NA
"45","2021-03-15 18:29:06-03","USP","SPF","218269","PreservedSpecimen","Plantae",NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Pena, MA","828","2008","03","12",NA,"Brasil","Minas Gerais","Serra do Cipó, Km 108 da rodovia MG 010, lado direito, sentido Morro do Pilar.","1260","1260",NA,"Arvoreta. Frutos passados negros.","SPF00218269","SPF00218269","Santana do Riacho","-43.588333","-19.284444","Pena, MA","-43.588333","-19.284444",NA,NA,"2009",NA,NA,NA,NA,NA,NA,NA
"46","2021-03-15 18:29:06-03","USP","SPF","218681","PreservedSpecimen","Plantae",NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Pena, MA","436","2007","07","08",NA,"Brasil","Minas Gerais","Serra do Cipó, Km 118 da rodovia MG 010, lado direito, sentido Morro do Pilar. Próximo à estátua do Juquinha.","1370","1370",NA,"Frutos imaturos verdes com mancha vinácea.","SPF00218681","SPF00218681","Santana do Riacho","-43.551944","-19.261111","Pena, MA","-43.551944","-19.261111",NA,NA,"2009",NA,NA,NA,NA,NA,NA,NA
"47","2021-03-15 18:29:06-03","USP","SPF","218682","PreservedSpecimen","Plantae",NA,NA,"Orobanchaceae","Esterhazya","caesarea","Esterhazya caesarea","(Cham. & Schltdl.) V.C.Souza","Pena, MA","300","2007","05","31",NA,"Brasil","Minas Gerais","Serra do Cipó, Km 108 da rodovia MG 010, lado direito, sentido Morro do Pilar.","1260","1260",NA,"Arbusto 120 cm alt. Corola vermelha a alaranjada e cálice esverdeado. Tecas velosas alvas e estilete vermelho.","SPF00218682","SPF00218682","Santana do Riacho","-43.588333","-19.284444","Pena, MA","-43.588333","-19.284444",NA,NA,"2009",NA,NA,NA,NA,NA,NA,NA
