"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","class"
"11","2020-12-21 16:35:44-03","MBM","MBM","301129","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","A.L. Peixoto","Brotto, M.L.","Scheer, M.B.; Proença, R.T.; Proença, R.T.","595","2003","09","13","Southern America","Brazil","Paraná","Campina Grande do Sul","Serra do Ibitiraquire, Pico Ferraria","-49.0553016662598","-25.3055992126465","55154",NA,"Arborea ereta 2 m.; Floresta Ombrófila Densa Altomontana.","MBM301129",NA,"auto","2013","1680","1680","01","17",NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:35:44-03","MBM","MBM","243949","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","A.L. Peixoto","Brotto, M.L.","Ribas, O.S.; Cordeiro, J.; Barbosa, E.; Cordeiro, J.; Barbosa, E.","3051","2000","02","03","Southern America","Brazil","Paraná","Campina Grande do Sul","Serra do Ibitiraquire, Trilha para o Morro Camacuã","-49.0553016662598","-25.3055992126465","55154",NA,"Arvoreta, 3m, fruto imaturo verde.; Mata pluvial atlântica da Serra do Mar.","MBM243949",NA,"auto","2013",NA,NA,"01","21",NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:35:44-03","MBM","MBM","306491","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","A.L. Peixoto","Peixoto, A.L.","Hatschbach, G.; Guimarães, O.; Guimarães, O.","23326","1970","01","06","Southern America","Brazil","Paraná","Guaraqueçaba","Serra Negra","-48.3288993835449","-25.3066997528076","37295",NA,"Arbusto, 2,50m; flor amarelada; margem do rio; Arbusto, 2,50m, flor amarelada.; Margem do rio.","MBM306491","MBM306491","auto",NA,NA,NA,NA,NA,"HOLOTYPE",NA,NA,NA,NA,NA
"14","2020-12-21 16:35:44-03","MBM","MBM","301126","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","A.L. Peixoto","Brotto, M.L.","Mocochinski, A.Y.; Scheer, M.B.; Scheer, M.B.","141","2003","10","18","Southern America","Brazil","Paraná","Paranaguá","Serra da Prata, Torre da Prata","-48.5092010498047","-25.5200004577637","24916",NA,"Arbórea ereta 3 m.; Floresta Ombrófila Densa Altomontana.","MBM301126",NA,"auto","2013","1300","1300","01","17",NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:35:44-03","MBM","MBM","76698","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","A.L. Peixoto","Brotto, M.L.","Oliveira, P.I.","671","1982","05","25","Southern America","Brazil","Paraná","Quatro Barras","Rio Taquari","-49.0769004821777","-25.3656005859375","17116",NA,"Arbusto 3 m; flor verde.; Beira do rio.","MBM076698",NA,"auto","2013",NA,NA,"01","21",NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:35:44-03","MBM","MBM","188447","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","A.L. Peixoto","Peixoto, A.L.","Silva, J.M.; Poliquesi, C.B.; Poliquesi, C.B.","1532","1995","09","15","Southern America","Brazil","Paraná","Guaratuba","Serra de Araçatuba","-48.5746994018555","-25.8827991485596","41937",NA,"Arbusto, 2m, flor creme.; Encosta graminosa do morro; interior de pequenos capões.","MBM188447",NA,"auto","2004","1000","1000","05",NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:35:44-03","MBM","MBM","232161","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","A.L. Peixoto","Peixoto, A.L.","Carneiro, J.","605","1998","11","02","Southern America","Brazil","Paraná","Jundiaí do Sul","Fazenda Monte Verde","-50.247501373291","-23.4367008209229","17300",NA,NA,"MBM232161","MBM232161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:35:44-03","MBM","MBM","128642","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","A.L. Peixoto","Peixoto, A.L.","Silva, J.M.","553","1988","07","04","Southern America","Brazil","Paraná","Morretes","Morretes","-48.834400177002","-25.476900100708","30514",NA,NA,"MBM128642","MBM128642","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:35:44-03","MBM","MBM","301128","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","A.L. Peixoto","Brotto, M.L.","Scheer, M.B.; Mocochinski, A.Y.; Mocochinski, A.Y.","594","2003","06","15","Southern America","Brazil","Paraná","Quatro Barras","Serra da Farinha Seca, Morro Mãe Catira","-49.0769004821777","-25.3656005859375","17116",NA,"Arbórea ereta 2,8 m; Floresta Ombrófila Densa Altomontana, perto de rio na encosta leste.","MBM301128",NA,"auto","2013","1280","1280","01","17",NA,NA,NA,NA,NA,NA
"20","2015-09-03 19:41:46-03","MNHN","RECOLNAT_MNHN_P","P02082180","PreservedSpecimen",NA,NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","Peixoto","Lirio","Kuhlmann, M.",NA,"1954","11","25",NA,"Brasil","São Paulo","Juquiá","Varzea do Rio Juquiá","-47.6300010681152","-24.3199996948242","32505","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02082180' target='other'> <mi>dwc_moreinfo</mi></a>","P02082180","P02082180_01","auto",NA,NA,NA,NA,NA,NA,"3113",NA,NA,NA,NA
"21","2020-12-11 11:38:51-03","UFMG","BHCB","171362","PreservedSpecimen","Plantae","Dicotyledon",NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","Peixoto",NA,"Hatschbach, G; Guimarães, O","23326","1970","01","08","Southern America","Brasil","Paraná","Guaraqueçaba","Serra Negra","-48.3288993835449","-25.3066997528076","37295",NA,"Arbusto 2,5m. Flor amarela; Margem do rio","BHCB015882",NA,"auto","1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-02-11 17:20:28-03","UFPR","UPCB","65272","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","aff. luizae","Mollinedia aff. luizae","Peixoto","Lirio, E. J.","Fritsch, M.","351","2008","09","13",NA,"Brasil","Paraná","Pontal do Paraná","Beira da rodovia entre Pontal e BR 277.","-48.511100769043","-25.6735992431641","19508",NA,"Subarbsuto 1m, flores alvas. Restinga..",NA,NA,"auto","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2008-11-19 09:47:00-02","MO","MOBOT","100157562","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","Peixoto","A.L. Peixoto","C.M.B. Correia","Correia 327","1993","3","6","South America","Brazil","Rio de Janeiro",NA,"Silva Jardim. Reserva Biológica Poço das Antas. Trilha para Pelonha, entrada enfrente a trilha do Morro do Calcário. Área FP017.","-42.25","-22.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"24","2009-12-04 16:52:00-02","MO","MOBOT","2480511","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","Peixoto",NA,"Gert G. Hatschbach|O. V. Guimarães","Hatschbach 23326","1970","1","8","South America","Brazil","Paraná",NA,"Guaraqueçaba. Serra Negra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2008-05-27 22:02:00-03","MO","MOBOT","3123037","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","Peixoto","A.L. Peixoto","E.L. Barbosa","Barbosa 629","2000",NA,NA,"South America","Brazil","Paraná",NA,"Rio Capivari (Mun. Campina Grande do Sul),",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-13 11:26:21-03","USP","SPF","105729","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","Peixoto","Peixoto, AL","Fernandes, GD","33405","1995","02","13",NA,"Brasil","São Paulo","Sete Barras","Estrada Sete Barras - São Miguel Arcanjo.","-47.916389","-25.0205",NA,NA,NA,"SPF00105729",NA,NA,"1999",NA,NA,NA,NA,NA,NA,NA,"-47.916389","-25.0205",NA
"27","2021-03-15 18:28:53-03","USP","SPF","145003","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","Peixoto","Lírio, EJ","Lobão, AQ","521","2001","01","20",NA,"Brasil","São Paulo","São Luís do Paraitinga","Parque Estadual da Serra do Mar, Núcleo Santa Virgínia. Beira da estrada perto da sede administrativa.","-45.310001373291","-23.2199993133545","27362",NA,"Prensado em álcool.; Arvoreta, ca. 4 m alt., folhas discolores verdes, flores alvas/amareladas.; Bosque de eucaliptos.","SPF00145003",NA,"auto","2016",NA,NA,"12",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-04 15:44:24-03","IF","SPSF","36390","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","luizae","Mollinedia luizae",NA,NA,"J.M.Silva","1532","1995","09","15","América do Sul","Brasil","PR","Guaratuba","Serra do Araçatuba","-48.5746994018555","-25.8827991485596","41937",NA,"COLETA: XLS: SPSFNovo; GEOGRAFIA: encosta graminosa de morro&nf;;",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida"
"29","2019-11-21 10:10:53-03","IBt","SP","298968","S","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","Peixoto","Peixoto, AL","Fernandes, GD; et al.","33405","1995","02","13",NA,"Brasil","São Paulo","Sete Barras","Estrada Sete Barras - São Miguel Arcanjo","-47.916389","-25.016667",NA,NA,NA,"SP045504","SP045504",NA,"2002",NA,NA,NA,NA,NA,NA,NA,"-47.916389","-25.016667",NA
"30","2019-11-21 10:10:53-03","IBt","SP","79570","S","Plantae",NA,NA,"Monimiaceae","Mollinedia","luizae","Mollinedia luizae","Peixoto","Lírio, EJ","Kuhlmann, M","3113","1954","11","25",NA,"Brasil","São Paulo","Juquiá","Várzea do rio Juquiá","-47.6300010681152","-24.3199996948242","32505",NA,NA,"SP045480","SP045480","auto","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
