"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"31","2021-03-15 16:37:00-03","NY","NYBG","1015991","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","M. C. Barbuto Attié","1982","04","20","Brazil","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga","-46.621883","-23.654505",NA,NA,"NY01015991","NY01015991_01","A. C. Araújo",NA,NA,NA,"34",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1115944' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","634443","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","W. W. Thomas","2001","10","25","Brazil","Bahia","Boa Nova","Fazenda Sao José entrance 8.8 km E of Boa Nova on road to Dario Meira","-40.145367","-14.39383",NA,NA,"NY00634443","NY00634443_01","W. W. Thomas",NA,NA,NA,"12629","860","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753833' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","661301","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","W. W. Thomas","1993","05","17","Brazil","Rio de Janeiro","Resende","Parque Nacional Itataia. In forest near Hotel Simon on trail to Tres Picos.","-44.6","-22.43",NA,NA,"NY00661301","NY00661301_01","W. W. Thomas",NA,NA,NA,"9941","1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753835' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","612503","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","J. N. Rose","1915","08","12","Brazil","Rio de Janeiro",NA,"Organ Mountains, Rio de Janeiro.","-43.073169","-22.496706",NA,NA,"NY00612503","NY00612503_01","T. M. Koyama",NA,NA,NA,"20787",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753842' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","612498","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","G. G. Hatschbach","1973","05","30","Brazil","Paraná","Matinhos","Cambara.","-48.5428","-25.8175",NA,NA,"NY00612498","NY00612498_01","T. M. Koyama",NA,NA,NA,"32129",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753837' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","612489","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","J. C. Lindeman","1966","04","27","Brazil","Paraná",NA,"Sawmill Brandalize, N. of Rio Chopim, ca. 20 km N. of Clevelândia.","-52.436319","-26.225361",NA,NA,"NY00612489","NY00612489_01","T. M. Koyama",NA,NA,NA,"1066","670","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753846' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","02618994","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","W. R. Anderson","1978","03","26","Brazil","Rondônia",NA,"Along Rio dos Pacaás Novos, just above and below the first cachoeira.","-63.7693262","-10.9794376",NA,NA,"NY02618994","NY02618994_01",NA,NA,NA,NA,"12277","220","220","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944879' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00939572","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","Y. E. J. Mexia","1930","10","09","Brazil","Minas Gerais","Viçosa","Agricultural College lands. Barbada gulch.","-42.860644","-20.766686",NA,NA,"NY00939572","NY00939572_01","E. L. Core",NA,NA,NA,"5156a","675","675","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994772' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","612504","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","H. E. Strang","1960","06","13","Brazil","Rio de Janeiro",NA,"Alto de Teresópolis.","-42.980496","-22.439117",NA,NA,"NY00612504","NY00612504_01","T. M. Koyama",NA,NA,NA,"188",NA,NA,"Centro de Pesquisas Florestais e Conservaçao da Natureza Tijuca - Rio de Janeiro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753838' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","01091866","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","J. A. Correa","1974","06","25","Brazil","São Paulo",NA,"Capital, Reserva Biológica do Parque Estadual das Fontes do Ipiranga. Área 10.","-46.621883","-23.654505",NA,NA,"NY01091866","NY01091866_01","A. C. Araújo",NA,NA,NA,"79",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1264465' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","661303","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","J. C. Solomon","1985","06","11","Bolivia","La Paz","Nor Yungas","Serrania de Bella Vista, 17.6 km N of the bridge at Carrasco.","-67.47","-15.67",NA,NA,"NY00661303",NA,"G. Davidse",NA,NA,NA,"13969","1600","1600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753828' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","00939568","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","H. S. Irwin","1965","11","11","Brazil","Distrito Federal","Brasília","Parque Municipal do Gama","-48","-16.03",NA,NA,"NY00939568","NY00939568_01","M. Alves",NA,NA,NA,"10199","1150","1150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994614' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","00939571","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","Y. E. J. Mexia","1930","10","09","Brazil","Minas Gerais","Viçosa","Agricultural College lands. Barbada gulch.","-42.860644","-20.766686",NA,NA,"NY00939571","NY00939571_01","E. L. Core",NA,NA,NA,"5156a","675","675","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994769' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","01091850","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","C. F. S. Muniz","1981","02","13","Brazil","São Paulo","Cunha","Reserva do Florestal","-45.052474","-23.263965",NA,NA,"NY01091850","NY01091850_01","C. F. S. Muniz",NA,NA,NA,"248","1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1264305' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","612506","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides","Kunth","P. von Luetzelburg","1910",NA,NA,"Brazil","Rio de Janeiro",NA,"Rio de Janeiro.",NA,NA,NA,NA,"NY00612506","NY00612506_01",NA,NA,NA,NA,"15481",NA,NA,"Communicavit herb. reg. monacense. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753827' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"46","2017-08-02 11:46:00-03","NY","NYBG","02618995","PreservedSpecimen","Plantae","Cyperaceae","Scleria","panicoides","Scleria panicoides",NA,"R. Vervloet","2002","10","17","Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Reserva Biológica de Augusto Ruchi, tracomal, próximo marco 125.","-40.6003","-19.9358",NA,NA,"NY02618995","NY02618995_01",NA,NA,NA,NA,"1252","900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2944882' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
