"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","dayIdentified","class","order"
"11","2019-11-27 13:46:19-03","UFS","ASE","38686","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista, S. Ortiz & Rodr. Oubiña","Rodriguez-Oubiña, J","1998","04","Bautista, HP","2639","1998","09","05","Southern America","Brasil","Bahia","Barra da Estiva","Morro do Ouro","-41.183","-13.411","-41.183","-13.411",NA,NA,"Arbusto, 90 cm, flores alvas. Frequente;; Campo Rupestre;","ASE0040012",NA,NA,NA,NA,NA,NA
"12","2019-11-27 13:46:19-03","UFS","ASE","38681","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista, S. Ortiz & Rodr. Oubiña","Rodriguez-Oubiña, J","1998","09","Bautista, HP","2629","1998","09","05","Southern America","Brasil","Bahia","Barra da Estiva","Morro do Ouro","-41.183","-13.411","-41.183","-13.411",NA,NA,"Arbusto de até 70 cm. Flores brancas. Frequente;; Campo Rupestre;","ASE0040007",NA,NA,NA,NA,NA,NA
"13","2019-11-27 13:46:19-03","UFS","ASE","38685","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista, S. Ortiz & Rodr. Oubiña","Rodriguez-Oubiña, J","1998","04","Bautista, HP","2649","1998","09","06","Southern America","Brasil","Bahia","Barra da Estiva","Morro em frente ao morro do Ouro","-41.183","-13.413","-41.183","-13.413",NA,NA,"Arbusto, 70 cm, flores brancas. Ocasional;; Campo Rupestre;","ASE0040011",NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:25:23-03","UNICAMP","UEC","127947","S","Plantae","Magnoliopsida","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista, Rodr.Oubiña & S.Ortiz","Teles, AM","2005",NA,"Souza, VC; Souza, JP; Romão, GO; Elias, EI","26129","2001","07","16",NA,"Brazil","Bahia","Barra da Estiva","Morro da Antena.","-41.266667","-13.683333","-41.266667","-13.683333","1200","1400","Subartbusto, corola alva.; Campo rupestre","UEC129843","UEC129843",NA,NA,NA,NA,NA
"15","2019-12-06 19:29:15-03","UFES","VIES","24934","S","Plantae",NA,"Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista et al.",NA,NA,NA,"Bautista, H.P.","2956","1999","09","02",NA,"Brasil","Bahia","Barra da Estiva","Morro do Ouro.","-41.311389","-13.687222","41º18'41''W","13º41'14''S","1300","1300",NA,"VIES024934","VIES024934",NA,NA,NA,NA,NA
"16","2019-12-06 19:29:15-03","UFES","VIES","24935","S","Plantae",NA,"Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista et al.","Bautista, H.P.",NA,NA,"Bautista, H.P.; Oubiña, R.J.","2301","1997","09","06",NA,"Brasil","Bahia","Barra da Estiva","Morro do Ouro, onde está instalada a antena repetidora.","-41.308333","-13.686111","41º18'30''W","13º41'10''S","1310","1310",NA,"VIES024935","VIES024935",NA,NA,NA,NA,NA
"17","2020-12-21 16:17:25-03","MBM","MBM","423963","PreservedSpecimen","Plantae",NA,"Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","H.P. Bautista, J. Rodriguez-Oubiña & S. Ortiz","Bautista, H.P.","1998","09","Bautista, H.P.; Rodríguez-Oubiña, J.; Rodríguez-Oubiña, J.","2639","1998","09","05","Southern America","Brazil","Bahia","Barra da Estiva","Morro do Ouro","-41.308333","-13.686111","-41.308333","-13.686111",NA,NA,"Arbusto 90cm, flores alvas. Frequente.; Campo rupestre.","MBM423963",NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:17:25-03","MBM","MBM","424051","PreservedSpecimen","Plantae",NA,"Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","H.P. Bautista, J. Rodriguez-Oubiña & S. Ortiz","Bautista, H.P.","1998","09","Bautista, H.P.; Rodríguez-Oubiña, J.; Rodríguez-Oubiña, J.","2629","1998","09","05","Southern America","Brazil","Bahia","Barra da Estiva","Morro do Ouro","-41.308333","-13.686111","-41.308333","-13.686111",NA,NA,"Arbusto até 70cm, flores brancas. Frequente.; Campo rupestre.","MBM424051",NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:17:25-03","MBM","MBM","279203","PreservedSpecimen","Plantae",NA,"Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","H.P. Bautista, J. Rodriguez-Oubiña & S. Ortiz","Hind, D.J.N.",NA,NA,"Souza, V.C.; et al.; et al.","26129","2001","07","16","Southern America","Brazil","Bahia","Barra da Estiva","Morro da Antena","-41.3269004821777","-13.6260995864868",NA,NA,NA,NA,NA,"MBM279203","MBM279203","61861","auto",NA,NA,NA
"20","2020-12-21 16:17:25-03","MBM","MBM","345892","PreservedSpecimen","Plantae",NA,"Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","H.P. Bautista, J. Rodriguez-Oubiña & S. Ortiz","Bautista, H.P.","1999","09","Bautista, H.P.","2956","1999","09","02","Southern America","Brazil","Bahia","Barra da Estiva","Morro do Ouro.","-41.3269004821777","-13.6260995864868",NA,NA,"1300","1300","Arbusto, 50 cm de altura, capítulos brancos. Frequente, Campo rupestre.","MBM345892","MBM345892","61861","auto",NA,NA,NA
"21","2020-12-11 11:33:34-03","UFMG","BHCB","84435","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista & et al.",NA,NA,NA,"Souza, VC de; Souza, JP; Romão, GO; Elias, SI","26129","2001","07","16","Southern America","Brasil","Bahia","Barra da Estiva","Morro da Antena.","-41.266667","-13.683333","-41.266667","-13.683333","1200","1400","Campo rupestre. Subarbustivo. Corola alva. PRENSADO EM ÁLCOOL.",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-04 11:04:32-03","UFRB","HURB","22438","PreservedSpecimen","Plantae",NA,"Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista et.al.","V.O.Amorim","2015","09","Amorim, V.O.","383","2015","09","16",NA,"Brasil","Bahia","Barra da Estiva","Morro da Antena;","-41.309444","-13.686944","41º18'34W","13º41'13S","1358","1358","ALCB 134796 / DNA: S. População: G..","HURB000022438",NA,NA,NA,NA,NA,NA
"23","2021-03-04 11:04:32-03","UFRB","HURB","22439","PreservedSpecimen","Plantae",NA,"Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista et.al.","V.O.Amorim","2015","09","Amorim, V.O.","377","2015","09","15",NA,"Brasil","Bahia","Ibicoara","Gerais do Licuri;","-41.220556","-13.421944","41º13'14W","13º25'19S","983","983","ALCB 134795 / DNA: S. População: G..","HURB000022439",NA,NA,NA,NA,NA,NA
"24","2021-01-26 14:12:28-03","CPACT","ECT","5720","PreservedSpecimen","Plantae","Embryophyta","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista et al.","V.O.Amorim","2015","09","V.O.Amorim","377","2015","09","15",NA,"Brasil","Bahia","Ibicoara","Gerais do Licuri. Campo rupestre. Solo pedregoso.","-41.220556","-13.421944","41º13'14''W","13º25'19''S","983","983",NA,"ECT0005720","ECT0005720",NA,NA,"01",NA,NA
"25","2021-01-26 14:12:28-03","CPACT","ECT","5719","PreservedSpecimen","Plantae","Embryophyta","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista et al.","V.O.Amorim","2015","09","V.O.Amorim","383","2015","09","16",NA,"Brasil","Bahia","Barra da Estiva","Morro da Antena. Campo rupestre. Solo pedregoso.","-41.309444","-13.686944","41º18'34''W","13º41'13''S","1358","1358",NA,"ECT0005719","ECT0005719",NA,NA,"01",NA,NA
"26","2020-04-17 10:58:21-03","UEFS","HUEFS","242312","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista",NA,NA,NA,"Bautista, H.P.","2956","1999","09","02",NA,"Brasil","Bahia","Barra da Estiva","Morro do Ouro.","-41.311389","-13.687222","41W18'41''","13S41'14''","1300","1300","Campo Rupestre.","HUEFS0242312","HUEFS0242312",NA,NA,NA,"Asteranae","Asterales"
"27","2020-04-17 10:58:21-03","UEFS","HUEFS","252393","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista",NA,NA,NA,"Amorim, V.O.","377","2015","09","15",NA,"Brasil","Bahia","Ibicoara","Gerais do Licuri.","-41.220556","-13.421944","41W13'14''","13S25'19''","983","983","Campo rupestre: Solo pedregoso.","HUEFS0252393","HUEFS0252393",NA,NA,NA,"Asteranae","Asterales"
"28","2020-04-17 10:58:21-03","UEFS","HUEFS","252394","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista",NA,NA,NA,"Amorim, V.O.","383","2015","10","16",NA,"Brasil","Bahia","Barra da Estiva","Morro da Antena.","-41.309444","-13.686944","41W18'34''","13S41'13''","1358","1358","Campo rupestre: Solo pedregoso.","HUEFS0252394","HUEFS0252394",NA,NA,NA,"Asteranae","Asterales"
"29","2020-04-17 10:58:21-03","UEFS","HUEFS","252395","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista",NA,NA,NA,"Amorim, V.O.","387","2015","09","16",NA,"Brasil","Bahia","Barra da Estiva","Morro da Antena.","-41.309444","-13.684722","41W18'34''","13S41'5''","1421","1421","Campo rupestre: Solo pedregoso.","HUEFS0252395","HUEFS0252395",NA,NA,NA,"Asteranae","Asterales"
"30","2020-04-17 10:58:21-03","UEFS","HUEFS","76708","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista","S.C.Ferreira","2010","05","Souza, V.C.","26129","2001","07","16",NA,"Brasil","Bahia","Barra da Estiva","Morro da Antena.","-41.266667","-13.683333","41W16'","13S41'","1200","1400","Campo rupestre.","HUEFS0076708","HUEFS0076708",NA,NA,NA,"Asteranae","Asterales"
"31","2021-03-10 11:38:26-03","UNILA","EVB","3584","PreservedSpecimen","Plantae",NA,"Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista et al.","Amorim, V.O.",NA,NA,"Amorim, V.O.","383","2015","09","16",NA,"Brasil","Bahia","Barra da Estiva","Morro da Antena.","-41.309444","-13.686944","41º18'34''W","13º41'13''S","1358","1358","Folhas coriáceas, levemente discolores sem resina. Inflorescência em capitulos, brácteas involucrais verdes, flores e ramos do estilete alvos. DNA: S. População: G. Habitat: Campo rupestre. Solo pedregoso. Habito: Subarbusto","EVB003584","EVB003584",NA,NA,NA,NA,NA
"32","2021-03-10 11:38:26-03","UNILA","EVB","3585","PreservedSpecimen","Plantae",NA,"Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista et al.","Amorim, V.O.",NA,NA,"Amorim, V.O.","377","2015","09","15",NA,"Brasil","Bahia","Ibicoara","Gerais do Licuri.","-41.220556","-13.421944","41º13'14''W","13º25'19''S","983","983","Folhas coriáceas, discolores, vinosa. Inflorescência em capitulos, brácteas involucrais verdes, flores e ramos do estilete alvos. DNA: S. População: G. Habitat: Campo rupestre. Solo arenoso. Habito: Subarbusto","EVB003585","EVB003585",NA,NA,NA,NA,NA
"33","2019-05-06 11:54:10-03","UFU","HUFU","74624","S","Plantae",NA,"Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista et al.","Rodríguez-Oubiña, J.","1998","09","Bautista, H.P.","2649","1998","09","06",NA,"Brasil","Bahia","Barra da Estiva","Morro em frente ao Morro do Ouro","-41.308333","-13.691667","-41.308333","-13.691667",NA,NA,"Arbusto, 70 cm flores brancas.; Campo rupestre","HUFU00072492","HUFU00072492",NA,NA,NA,NA,NA
"34","2019-05-06 11:54:10-03","UFU","HUFU","74625","S","Plantae",NA,"Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista et al.","Rodríguez-Oubiña, J.","1998","09","Bautista, H.P.","2629","1998","09","05",NA,"Brasil","Bahia","Barra da Estiva","Morro do Ouro","-41.308333","-13.686111","-41.308333","-13.686111",NA,NA,"Arbusto, até 70 cm, flores brancas. Frequente.; campo rupestre.","HUFU00072491","HUFU00072491",NA,NA,NA,NA,NA
"35","2019-05-06 11:54:10-03","UFU","HUFU","74654","S","Plantae",NA,"Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista et al.",NA,NA,NA,"Bautista, H.P.; Rodriguez-Oubiña, J.","2639","1998","09","05",NA,"Brasil","Bahia","Barra da Estiva","Morro do Ouro","-41.308333","-13.686111","-41.308333","-13.686111",NA,NA,"Arbusto, 90 cm, flores alvas. Frequente.; Campo rupestre.","HUFU00072658","HUFU00072658",NA,NA,NA,NA,NA
"36","2019-08-08 09:59:29-03","UFU","HUFU","78582","S","Plantae",NA,"Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista et al.",NA,NA,NA,"Bautista, H.P.; Oubinã, R.J.","2301","1997","09","06",NA,"Brasil","Bahia","Barra da Estiva","Morro do Ouro, Onde está instalada a antena repetidora.","-41.308333","-13.686111","-41.308333","-13.686111",NA,NA,"Arbusto muito esgalhado com folhas adensadas no ápice dos ramos. Capítulos campanulados, terminais, filárias verdes, flores alvas. Raro. Solo Litótico. Especie nova.; Campu Rupestre.","HUFU00076194",NA,NA,NA,NA,NA,NA
"37","2019-11-21 10:01:26-03","IBt","SP","362869","S","Plantae",NA,"Asteraceae","Stylotrichium","glomeratum","Stylotrichium glomeratum","Bautista, Rodr.Oubiña & S.Ortiz","Hind, DJN","2002","12","Souza, VC; Souza, JP; Romão, GO; Elias, SI","26129","2001","07","16",NA,"Brasil","Bahia","Barra da Estiva","Morro da Antena","-41.266667","-13.683333","-41.266667","-13.683333","1200","1400",NA,NA,NA,NA,NA,"06",NA,NA
