"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","fieldNumber","monthIdentified","dayIdentified","individualCount"
"11","2019-11-21 14:35:28-03","UFJF","CESJ","40728","PreservedSpecimen","Plantae","Angiosperma",NA,"Eriocaulaceae","Syngonanthus","niger","Syngonanthus niger","Silveira","N.Hensold",NA,"G. Hatschbach; M. Hatschbach; E. Barbosa","72050","2001","05","15","América do Sul","Brasil","Minas Gerais","Serra do Cabral, Alt.: 950 - 1000m.",NA,"Em campo rupestre; solo arenoso e úmido.","CESJ040728",NA,NA,"Joaquim Felício","-44.1721992492676","-17.7574996948242",NA,NA,"2002","37503","auto",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:23:44-03","MBM","MBM","258264","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","niger","Syngonanthus niger","Silveira","Hensold, N.",NA,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","72050","2001","05","15","Southern America","Brazil","Minas Gerais","Serra do Cabral",NA,NA,"MBM258264","MBM258264",NA,"Joaquim Felício","-44.1721992492676","-17.7574996948242",NA,NA,NA,"37503","auto",NA,NA,NA,NA,NA,NA,NA
"13","2016-03-09 17:11:52-03","MNHN","RECOLNAT_MNHN_P","P00847894","PreservedSpecimen",NA,NA,NA,"Eriocaulaceae","Syngonanthus","niger","Syngonanthus niger","Silveira",NA,NA,"Echternacht, L.|Giulietti, A.M.|Costa, F.N.|Lucca, M.|Rios, D.|Schmidt, I.",NA,"2012","4","25",NA,"Brasil","Minas Gerais","Parque Nacional das Sempre-vivas. Campos São Domingo","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00847894' target='other'> <mi>dwc_moreinfo</mi></a>","P00847894","P00847894_01",NA,"Buenópolis","-43.78583","-17.91667","1277",NA,NA,NA,NA,NA,NA,NA,"2228",NA,NA,NA
"14","2020-12-11 11:44:10-03","UFMG","BHCB","166379","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","niger","Syngonanthus niger","Silveira",NA,NA,"Echternacht, LA; Giulietti, AM; Costa, FN; Rios, D; Schmidt, I; Lucca, M","2228","2012","04","25","Southern America","Brasil","Minas Gerais","PARNA Sempre-vivas, Campos São Domingo.",NA,"População abundante localmente.; Campo rupestre, em beira de córrego, vegetação herbácea rala. Solo de",NA,NA,NA,"Buenópolis","-43.785833","-17.916667","1277","1277","2012",NA,NA,"-43.785833","-17.916667",NA,NA,"04","27",NA
"15","2020-12-11 11:44:10-03","UFMG","BHCB","188494","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Syngonanthus","niger","Syngonanthus niger","Silveira",NA,NA,"Silva, BMR; Santos, TR; Cruz, FVS; Gonçalves, AS; Bicalho, EM; Garcia, QS","s.n.","2017","06","27","Southern America","Brasil","Minas Gerais","Parque Estadual da Serra do Cabral",NA,"Arbustiva. Inflorescência preta globosa.; Cerrado. Campo rupestre. Campo arenoso argiloso.","BHCB188494",NA,NA,"Buenópolis","-44.264167","-17.884861","1153","1153","2017",NA,NA,"-44.264167","-17.884861",NA,NA,"10","19",NA
"16","2014-08-23 05:35:00-03","MO","MOBOT","3048511","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus","Moldenke","H.N. Moldenke",NA,"Howard S. Irwin|S.F. da Fonsêca|R. Souza|R. Reis dos Santos|J. Ramos","Irwin 27118","1970","3","7","South America","Brazil","Minas Gerais","Serra do Cabral. Wet campo, summit gray sandy soil, ca. 8km W. of Joaquim Felício.",NA,NA,NA,NA,NA,NA,NA,NA,"1200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2011-10-26 11:42:00-02","MO","MOBOT","3049323","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus scrupulosus","Moldenke","L. Echternacht (SPF & P)",NA,"Michael H. Nee","Nee 34957","1987","4","20","South America","Brazil","Rondônia","Shrubby area, flat, with white sand and organic matter. Surrounded by forest. Mun. Porto Velho, along hwy. 364, 92 km. by road NE of junction with hwy. 425 at Abuna.",NA,NA,NA,NA,"scrupulosus",NA,"-64.6666667","-9.3666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"18","2013-09-17 10:01:00-03","MO","MOBOT","3050055","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus scrupulosus","Moldenke","M. Watanabe (SPF)",NA,"Cleofé E. Calderón|O.P. Monteiro|J.O. Guedes","Calderón 2554","1979","6","18","South America","Brazil","Amazonas","Transamazon Highway, 9 km W of Rio dos Pombos, ca. 1.5 km E of Igarapé dos Pombos, and ca. 64 km E of the Aripuanã. Common in white sand soil campina.",NA,NA,NA,NA,"scrupulosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"19","2009-12-04 15:26:00-02","MO","MOBOT","3049251","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","niger","Syngonanthus niger","Silveira","N. Hensold",NA,"Gert G. Hatschbach|Maria M. Hatschbach|E.L. Barbosa","Hatschbach 72050","2001",NA,NA,"South America","Brazil","Minas Gerais","Serra do Cabral (Mun Joaquim Felício)",NA,NA,NA,NA,NA,NA,NA,NA,"950.00000000","1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-01-10 20:52:18-03","INPA","INPA","181033","S","Plantae","Monocotyledon","Poales","Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus scrupulosus","Moldenke","Echternacht, L",NA,"Nee, MH","34957","1987","04","20","Southern America","Brasil","Rondônia","Along hwy. 364, 92 km. by road NE of junction with hwy. 425 at Abuna.",NA,NA,"INPA0181033","INPA0181033 INPA0181033_e INPA0181033_e1 INPA0181033_nd","scrupulosus","Porto Velho","-64.666667","-9.366667",NA,NA,"2011",NA,NA,"-64.666667","-9.366667",NA,NA,NA,NA,NA
"21","2020-08-31 09:20:59-03","INPA","INPA","91309","S","Plantae","Monocotyledon","Poales","Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus scrupulosus","Moldenke","Simões, AO",NA,"Calderón, CE","2692","1979","06","25","Southern America","Brasil","Amazonas","Prainha, 13 km on road to, 13 km to Prainha N of Transamazônica.",NA,NA,"INPA0091309","INPA0091309 INPA0091309_e INPA0091309_e1 INPA0091309_e2 INPA0091309_nd","scrupulosus",NA,"-63.016667","-7.5",NA,NA,"2011",NA,NA,"-63.016667","-7.5",NA,NA,"12",NA,NA
"22","2020-09-12 05:00:02-03","US","US","2931217","PreservedSpecimen","Plantae",NA,"Eriocaulales","Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus","Moldenke",NA,NA,"C. E. Calderón, O. P. Monteiro & J. Guedes","2554","1979","6","18","South America - Neotropics","Brazil","Amazonas","Transamazon Highway, 9 km W of Rio dos Pombos, ca. 1.5 km E of Igarapé dos Pombos, and ca. 64 km E of Aripuanã.",NA,NA,"US01933481","US01933481_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,"1"
"23","2020-09-12 05:00:02-03","US","US","2931231","PreservedSpecimen","Plantae",NA,"Eriocaulales","Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus scrupulosus","Moldenke",NA,"Isotype","C. E. Calderón, O. P. Monteiro & J. Gueded","2692","1979","6","27","South America - Neotropics","Brazil","Amazonas","Transamerican Highway, 53 km W of Aripuana River, Campina region.",NA,NA,"US00289177","US00289177_01","scrupulosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,"1"
"24","2020-09-12 05:00:02-03","US","US","2970400","PreservedSpecimen","Plantae",NA,"Eriocaulales","Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus scrupulosus","Moldenke","Moldenke, H. N.","Isotype","C. E. Calderón, O. P. Monteiro & J. Guedes","2692","1979","6","27","South America - Neotropics","Brazil","Amazonas","Trasamazon highway, 53 km w of aripuana river",NA,NA,"US01094964","US01094964_01","scrupulosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,"1"
"25","2020-09-12 05:00:02-03","US","US","2709886","PreservedSpecimen","Plantae",NA,"Eriocaulales","Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus","Moldenke",NA,"Isotype","H. S. Irwin","27118","1970","3","7","South America - Neotropics","Brazil","Minas Gerais","Serro do cabral, summit of Serra Docabral, west of Joaquim Felicio.",NA,NA,"US00088443","US00088443_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,"1"
"26","2020-09-02 16:24:17-03","Cenargen","CEN","86895","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus","Moldenke","F. C. P. S. Justiniano",NA,"Marcelo Fragomeni Simon","1881","2013","06","23",NA,"Brasil","RO","Ao longo da BR - 364, 9 km E do povoado Jirau, ramal ao sul.","Exsicatas","Erva com estolão.","CEN00086895","CEN00086895",NA,"PORTO VELHO","-64.658611","-9.3608333","114","114","2014",NA,NA,"-64.658611","-9.3608333",NA,NA,"04",NA,"8"
"27","2019-11-13 11:19:32-03","USP","SPF","230386","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus scrupulosus","Moldenke","Watanabe, MTC",NA,"Simon, MF","1881","2013","06","23",NA,"Brasil","Rondônia",NA,NA,NA,"SPF00230386",NA,"scrupulosus","Porto Velho","-64.658611","-9.360833","114","114","2015",NA,NA,"-64.658611","-9.360833",NA,NA,"12",NA,NA
"28","2019-11-13 11:19:32-03","USP","SPF","217984","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus scrupulosus","Moldenke","Watanabe, MTC",NA,"Carvalho, FA","2075","2009","08","18",NA,"Brasil","Amazonas","Apuí. Rod. Transamazônica Igarapé Coca-cola.",NA,NA,"SPF00217984",NA,"scrupulosus","Apuí","-61.076944","-7.730694","76","76","2013",NA,NA,"-61.076944","-7.730694",NA,NA,"05",NA,NA
"29","2019-11-13 11:19:32-03","USP","SPF","217987","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus scrupulosus","Moldenke","Watanabe, MTC",NA,"Carvalho, FA","2095A","2009","08","20",NA,"Brasil","Amazonas","Rod. Transamazônica Igarapé Coca-cola.",NA,NA,"SPF00217987",NA,"scrupulosus","Apuí","-62.576389","-7.728417","86","86","2013",NA,NA,"-62.576389","-7.728417",NA,NA,"05",NA,NA
"30","2021-03-15 18:26:47-03","USP","SPF","220646","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","niger","Syngonanthus niger","Silveira","Watanabe, MTC",NA,"Watanabe, MTC","279","2012","04","27",NA,"Brasil","Minas Gerais","Serra do Cabral, Estrada Joaquim Felício - Várzea da Palma, 23,8 km de Joaquim Felício; próximo ao armazém de laje e da igreja.",NA,"Erva até 40 cm alt. Capítulos enegrecidos.; Solo arenosos úmido.","SPF00220646",NA,NA,"Lassance","-44.298778","-17.704333","1196","1196","2013",NA,NA,"-44.298778","-17.704333",NA,NA,"05","22",NA
"31","2021-03-15 18:26:47-03","USP","SPF","220654","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","niger","Syngonanthus niger","Silveira","Watanabe, MTC",NA,"Watanabe, MTC","270","2012","04","26",NA,"Brasil","Minas Gerais","Serra do Cabral, Estrada Joaquim Felício - Várzea da Palma. 7-8 km de Joaquim Felício.",NA,"Erva ca. 40 cm alt, alguns indivíduos imersos em água. Capítulos negros.; Local arenoso com muitas Comanthera e brejo próximo à margem da estrada de terra.","SPF00220654",NA,NA,"Joaquim Felício","-44.192194","-17.708361","1023","1023","2013",NA,NA,"-44.192194","-17.708361",NA,NA,"05","21",NA
"32","2021-03-15 18:26:47-03","USP","SPF","221562","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","niger","Syngonanthus niger","Silveira","Echternacht, L",NA,"Echternacht, L","2228","2012","04","25",NA,"Brasil","Minas Gerais","Parque Nacional das Sempre-Vivas, Campos São Domingo.",NA,"População abundante localmente.; Campo rupestre, em beira de córrego, vegetação herbácea rala. Solo de areia branca, quartzítico.","SPF00221562",NA,NA,"Buenópolis","-43.785833","-17.916667","1277","1277","2012",NA,NA,"-43.785833","-17.916667",NA,NA,"04","27",NA
"33","2021-03-04 11:16:03-03","UEFS","HUEFS","207994","PreservedSpecimen","Plantae","Angiospermae","Poales","Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus var. scrupulosus","Moldenke","M.T.C.Watanabe",NA,"Simon, M.F.","1881","2013","06","23",NA,"Brasil","Rondônia","Ao longo da BR-364,9 Km E do povoado Jirau, ramal ao sul.",NA,NA,"HUEFS0207994","HUEFS0207994 HUEFS0207994_e1","var. scrupulosus","Porto Velho","-64.658611","-9.360833","114","114","2015",NA,NA,"64W39'31''","9S21'39''","Lilianae",NA,"12",NA,NA
"34","2019-10-07 09:21:28-03","UEFS","HUEFS","198977","PreservedSpecimen","Plantae","Angiospermae","Poales","Eriocaulaceae","Syngonanthus","niger","Syngonanthus niger","Silveira",NA,NA,"Rossi, L.","1060CFCR","1981","04","17",NA,"Brasil","Minas Gerais","Estrada pela Serra do Cabral.",NA,NA,"HUEFS0198977","HUEFS0198977",NA,"Joaquim Felício","-44.1721992492676","-17.7574996948242",NA,NA,NA,"37503","auto",NA,NA,"Lilianae",NA,NA,NA,NA
"35","2019-10-07 09:21:28-03","UEFS","HUEFS","85463","PreservedSpecimen","Plantae","Angiospermae","Poales","Eriocaulaceae","Syngonanthus","niger","Syngonanthus niger","Silveira","L.Echternacht",NA,"Guarçoni, E.","745","2004","05","15",NA,"Brasil","Minas Gerais","Serra do Cabral, Pedra Alta.",NA,NA,"HUEFS0085463","HUEFS0085463",NA,"Joaquim Felício","-44.1721992492676","-17.7574996948242",NA,NA,"2009","37503","auto",NA,NA,"Lilianae",NA,"07",NA,NA
"36","2019-09-04 20:01:43-03","F","FMNH-SEEDPLANTS","V0045835F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus",NA,NA,"Isotype","H. S. Irwin","27118","1970","3","7","South America","Brazil",NA,NA,NA,NA,"V0045835F","V0045835F_01",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA
"37","2019-11-01 15:14:54-03","UnB","UB","1644","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus","Moldenke","Moldenke, HN","type","Irwin, HS; Fonsêca, SF; Souza, R; Santos, RR","27118","1970","03","07","Southern America","Brasil","Minas Gerais","Ca. 08 km de Joaquim Felício",NA,"Tipo.; Erva. Flor branca; Campo úmido. Solo: Arenoso.","UB0036988","UB0036988",NA,NA,NA,NA,"1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2018-12-04 20:30:59-02","UNIR","RON","8190","S","Plantae","Angiosperma","Poales","Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus scrupulosus","Moldenke","Justiniano, FCPS",NA,"Simon, MF","1881","2013","06","23","Southern America","Brasil","Rondônia","Ao longo da BR - 364, 9km E do povoado Jirau, rama, Campina. Plano. Solo arenoso.",NA,"Erva com estolão. Flor branca.","RON00008190","RON00008190","scrupulosus","Porto Velho","-64.658611","-9.360833","114","114","2014",NA,NA,"-64.658611","-9.360833",NA,NA,"06",NA,NA
"39","2018-12-04 20:30:59-02","UNIR","RON","15297","S","Plantae","Angiosperma","Poales","Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus scrupulosus","Moldenke",NA,NA,"Perigolo, NA","335","2014","05","24","Southern America","Brasil","Rondônia","Jaci-Paraná - Ramal ao sul BR-364, entrada do rama, Campinarana Arbustiva. Relevo plano. Substrato Areia (solo arenoso). Habito terrestre.",NA,"Erva terrestre.","RON00015297","RON00015297","scrupulosus","Porto Velho","-64.521667","-9.360833","114","114","2014",NA,NA,"-64.521667","-9.360833",NA,NA,"05",NA,NA
"40","2018-12-04 20:30:59-02","UNIR","RON","14951","S","Plantae","Angiosperma","Poales","Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus scrupulosus","Moldenke","Justiniano, FCPS",NA,"Amorim, FEP","198","2015","06","01","Southern America","Brasil","Rondônia","Campina, vegetação esparsa com solo arenoso, areia branca. Lençol freático raso.",NA,"Local alagado. Flor branca.","RON00014951","RON00014951","scrupulosus","Machadinho d'Oeste","-62.083889","-8.928611","87","87","2015",NA,NA,"-62.083889","-8.928611",NA,NA,"11",NA,NA
"41","2020-05-07 17:14:42-03","IBt","SP","267317","S","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","bracteosus","Syngonanthus bracteosus scrupulosus","Moldenke",NA,NA,"Nee, M","34957","1987","04","20",NA,"Brasil","Rondônia",NA,NA,NA,NA,NA,"scrupulosus","Porto Velho","-64.666667","-9.366667",NA,NA,NA,NA,NA,"-64.666667","-9.366667",NA,NA,NA,NA,NA
"42","2020-11-19 09:29:00-03","IBt","SP","364370","S","Plantae",NA,NA,"Eriocaulaceae","Syngonanthus","niger","Syngonanthus niger","Silveira",NA,NA,"Hatschbach, G","72050","2001","05","15",NA,"Brasil","Minas Gerais","Serra do Cabral",NA,NA,NA,NA,NA,"Joaquim Felício","-44.1721992492676","-17.7574996948242",NA,NA,NA,"37503","auto",NA,NA,NA,NA,NA,NA,NA
