"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","identifiedBy","recordedBy","recordNumber","year","month","day","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","infraspecificEpithet","sex","class","relatedCatalogItem","relationshipType","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber"
"11","2021-04-05 14:26:04-03","UNESC","CRI","13525","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Treviso","-49.445556","-28.531389",NA,"CRI012132",NA,NA,"Renato Colares","Renato Colares; Thuany Machado",NA,"2018","03",NA,"Campo Morozini","49º26'44''W","28º31'53''S","161","161","Habitat: Terrestre Habito: Arbóreo","2018","05","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:34:08-03","UNESC","CRI","7647","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667",NA,"CRI009650","CRI009650",NA,"Rafael Martins","Caroline de Faveri; Jean Gabriel Cemin",NA,"2008","06","28",NA,"49º40'46''W","28º55'36''S",NA,NA,NA,"2008","06","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:26:04-03","UNESC","CRI","1066","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278",NA,"CRI009500","CRI009500",NA,"Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1344","1991","10","24","Rio Novo.","49º17'56''W","28º17'7''S","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:34:08-03","UNESC","CRI","5279","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278",NA,"CRI009761","CRI009761",NA,"Valcedir de Faveri","Valcedir de Faveri",NA,NA,NA,NA,NA,"49º29'10''W","28º56'7''S","4","4","Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:34:08-03","UNESC","CRI","8464","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Rio Grande do Sul","Torres","-49.793056","-29.356667",NA,"CRI009506","CRI009506",NA,"Vanilde Citadini-Zanette","Regis Cardoso da Silva",NA,"2009",NA,NA,NA,"49º47'35''W","29º21'24''S",NA,NA,NA,"2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:34:08-03","UNESC","CRI","7572","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333",NA,"CRI009505","CRI009505",NA,"Marcelo R. Pasetto","Marcelo Romagna Pasetto",NA,"2007","10","09","Jordão/São Bento.","49º25'29''W","28º35'54''S","111","111",NA,"2007","10","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:34:08-03","UNESC","CRI","11725","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Turvo","-49.681944","-28.928056",NA,"CRI009646","CRI009646",NA,"Marciel Fernandes","Marciel Bonfi Fernandes","32","2007","11","29","Mata ciliar do Rio Turvo.","49º40'55''W","28º55'41''S","30","30",NA,"2008","04","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:34:08-03","UNESC","CRI","5018","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056",NA,"CRI009503","CRI009503",NA,"Eufinis Giacomelli","E. Giacomelli",NA,"1996","10","19","Laranjinha.","49º22'12''W","28º40'41''S","58","58","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:34:08-03","UNESC","CRI","509","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Praia Grande","-49.950556","-29.197222",NA,"CRI009644","CRI009644",NA,"Rosangela da Silva Bellettini","José Krás da Silva",NA,"1990","11","04",NA,"49º57'2''W","29º11'50''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:34:08-03","UNESC","CRI","7997","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Içara","-49.300278","-28.713889",NA,"CRI009652","CRI009652",NA,"Vanilde Citadini- Zanette","Beatriz Wessler; Bruna Alberton",NA,"2007","11","16","SANTEC Resíduos.","49º18'1''W","28º42'50''S","52","52",NA,"2007","11","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-05 14:34:08-03","UNESC","CRI","6098","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278",NA,"CRI009660","CRI009660",NA,"Daniel B. Falkenberg","Valdemar P. Boff",NA,"1996","05","10",NA,"49º29'10''W","28º56'7''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-05 14:26:04-03","UNESC","CRI","14162","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Içara","-49.300556","-28.713889",NA,"CRI012814",NA,NA,"Renato Colares","Valdemar Boff",NA,"1997","10","13","Lagoa dos Esteves","49º18'2''W","28º42'50''S",NA,NA,"Habitat: Terrestre Habito: Arbóreo","2018","11","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-04-05 14:26:04-03","UNESC","CRI","1120","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278",NA,"CRI009495","CRI009495",NA,"Marcos Sobral","Clair Maria Martinello; Aurélio José de Aguiar",NA,"1992","01","10","Rio Novo.","49º17'56''W","28º17'7''S","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-04-05 14:26:04-03","UNESC","CRI","13963","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Brasil","Santa Catarina","Fraiburgo","-50.9213981628418","-27.0261001586914","24284","CRI012606",NA,"auto","Valdemar Boff","Valdemar Boff",NA,"1996","01","10","Taquarussu",NA,NA,NA,NA,"Habitat: Terrestre Habito: Arbórea","1996","01","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-09-23 10:43:11-03","E","E","177859","PreservedSpecimen","Plantae","Rutaceae","Fagara","rhoifolia","Fagara rhoifolia",NA,"AR","Provincia de Salta",NA,NA,NA,NA,"E00177859",NA,NA,NA,"de la Sota, Adolfo V.","120","1947","02","20","Rosario de la Frontera.",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177859 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:193710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-09-23 10:43:12-03","E","E","177858","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"AR","Provincia de Misiones",NA,NA,NA,NA,"E00177858",NA,NA,NA,"Bertoni",NA,"1946","10","08","San Javier. Acaragua.",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177858 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:193709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-09-23 10:43:12-03","E","E","205510","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"BR","Bahia",NA,NA,NA,NA,"E00205510",NA,NA,NA,"Stannard, B.; Queiroz, R.F.",NA,"1992","03","18",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00205510 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:218475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-09-23 10:43:12-03","E","E","205586","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"BR","Bahia",NA,NA,NA,NA,"E00205586",NA,NA,NA,"Harley, R.M.; Giulietti, A.M.; Freire Fierro, A.; Ganev, W.; Queiroz, R.F.",NA,"1992","01","07",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00205586 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:218675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-09-23 10:43:12-03","E","E","177908","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"BR",NA,NA,NA,NA,NA,"E00177908",NA,NA,NA,"Martii","100",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177908 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:194104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-09-23 10:43:12-03","E","E","177906","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"AR","Provincia de Misiones",NA,NA,NA,NA,"E00177906",NA,NA,NA,"Schulz, A.G.","7100","1948","02","14",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177906 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:194101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-09-23 10:43:12-03","E","E","177929","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"BR","Rio Grande do Sul",NA,NA,NA,NA,"E00177929",NA,NA,NA,"Reineck, E.M.","40",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177929 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:194148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-09-23 10:43:12-03","E","E","4414","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"BR","Paraná",NA,NA,NA,NA,"E00004414",NA,NA,NA,"Chagas e Silva, F.",NA,"1991","12","10",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00004414 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:16745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-09-23 10:43:12-03","E","E","177900","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"BR",NA,NA,NA,NA,NA,"E00177900",NA,NA,NA,"Riedel",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177900 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:194090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-09-23 10:43:12-03","E","E","40769","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"BR","Minas Gerais",NA,NA,NA,NA,"E00040769",NA,NA,NA,"Bridgewater, S. & García, A. Ibáñez",NA,"1996","10","21",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00040769 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:49284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-09-23 10:43:12-03","E","E","177884","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"BR","Maranhao",NA,NA,NA,NA,"E00177884",NA,NA,NA,"Ratter, J.A.; Bridgewater, S.; Cardoso, E.; Fonsêca, J.; de Lima, V.; Munhoz, C.; de Oliveira, N.R.; Ribeiro, J.F. & Da Silva, P.E.N.",NA,"1993","07","14",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177884 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:193778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-09-23 10:43:12-03","E","E","177901","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"BR","Distrito Federál",NA,NA,NA,NA,"E00177901",NA,NA,NA,"Irwin, H.S., Da Fonseca, S.F., Souza, R., Reis Dos Santos, Ramos, J.","26482","1970","02","21",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177901 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:194094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-09-23 10:43:12-03","E","E","177905","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"BR",NA,NA,NA,NA,NA,"E00177905",NA,NA,NA,"Rambo","31143","1946","01","08","Vila Oliva",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177905 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:194100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-09-23 10:43:12-03","E","E","177902","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"BR","Goias",NA,NA,NA,NA,"E00177902",NA,NA,NA,"Irwin, H.S., Harley, R.M., Smith, G.L.","31791","1971","03","15",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177902 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:194097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-09-23 10:43:12-03","E","E","177882","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"BR","Bahia",NA,NA,NA,NA,"E00177882",NA,NA,NA,"Harley, R.M.","18646","1977","02","13","15-20 km from Andarai, along the road to Itaete which branches east off the road to Mucuge.",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177882 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:193776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-09-23 10:43:12-03","E","E","177933","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"PY",NA,NA,NA,NA,NA,"E00177933",NA,NA,NA,"Fiebrig, K.","5217","1905","03","22","Zwischen Rio Apa und Rio Aquidaban",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177933 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:194154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-09-23 10:43:12-03","E","E","81652","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"BR","Bahia",NA,NA,NA,NA,"E00081652",NA,NA,NA,"Harley, R.M. & Hind, D.J.N.","27341","1988","12","22","Agua Quente. Pico das Almas.",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00081652 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:90407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-09-23 10:43:12-03","E","E","161394","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"BR","Minas Gerais",NA,NA,NA,NA,"E00161394",NA,NA,NA,"Ibáñez García, A. & Bridgewater, S.",NA,"1996","10","26",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00161394 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:169056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-09-23 10:43:12-03","E","E","177909","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"BR","Rio de Janeiro",NA,NA,NA,NA,"E00177909",NA,NA,NA,"Lanna Sobro, J.P.","1907","1971","08","19",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177909 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:194106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-09-23 10:43:12-03","E","E","177930","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"BR",NA,NA,NA,NA,NA,"E00177930",NA,NA,NA,"Spruce, R.","1582",NA,NA,NA,"Solimoes",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177930 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:194149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-09-23 10:43:12-03","E","E","188494","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"BO",NA,NA,NA,NA,NA,"E00188494",NA,NA,NA,"Steinbach, Jose","7344","1905","04","09",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00188494 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:194170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-09-23 10:43:12-03","E","E","177904","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium",NA,"AR","Provincia de Formosa",NA,NA,NA,NA,"E00177904",NA,NA,NA,"Morel, I.","816","1946","11","02",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00177904 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:194099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
