"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","imagecode","identifiedBy","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"16","2021-03-15 16:37:00-03","NY","NYBG","95227","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"W. W. Thomas","1992","11","15","South America","Brazil","Bahia","Campo Cheiroso, 14 km north of Serra Grande off the road to Itacaré","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00095227","Magnoliophyta","Rosales","Schott","9455","Itacaré","-39.07","-14.37",NA,"NY00095227_01","C. C. Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","609578","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"B. D. Sucre","1972","02","24","South America","Brazil","Rio de Janeiro","Guanabara, Estrada da Vista Chinesa, Alto da Boa Vista","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609578","Magnoliophyta","Rosales","Schott","8504",NA,"-43.257166","-22.971675","360","NY00609578_01","C. C. Berg","360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1015548","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"S. de V. A. Pessôa","1993","01","12","South America","Brazil","Rio de Janeiro","Reserva Biológica de Poço das Antas, Estrada para Juturnaiba, entre o portão e a trilha Morro do Calcario.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107608' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015548","Magnoliophyta","Rosales","Schott","639","Silva Jardim","-42.3917","-22.6508",NA,"NY01015548_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","609574","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"H. E. Strang","1960","05","18","South America","Brazil","Rio de Janeiro","Tijuca, Estrada da Vista Chinesa, km 1/2","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445449' target='other'> <mi>dwc_moreinfo</mi></a>","NY00609574","Magnoliophyta","Rosales","Schott","180",NA,"-43.278912","-22.969605",NA,"NY00609574_01","C. C. Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-13 09:20:20-03","UFRJ","RFA","26945","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"A. Quinet","2000","08","02",NA,"Brasil","Rio de Janeiro","5° Distrito, Santa Lúcia.",NA,NA,"Árvore, 3m de altura, 66cm de DAP, comum no local.","RFA41818",NA,NA,"Schott","36/26","Nova Friburgo","-42.292778","-22.393056","540",NA,"A. Quinet","540","2000","09","01","42º17'34''W","22º23'35''S",NA,NA,NA,NA,NA,NA
"21","2020-06-29 11:31:32-03","UFRJ","RFA","12464","PreservedSpecimen","Plantae","Moraceae","Ficus","lanuginosa","Ficus lanuginosa",NA,"E. Pereira","1967","02","23",NA,"Brasil","Rio de Janeiro","Estrada do Corcovado",NA,NA,"Arbusto de 3 m de altura","RFA46083",NA,NA,"Casar.","10558","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"J.P.P. Carauta",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA
"22","2020-06-29 11:31:32-03","UFRJ","RFA","5055","PreservedSpecimen","Plantae","Moraceae","Ficus","lanuginosa","Ficus lanuginosa",NA,"Pereira, E.; Occhioni, P.","1958","09","23",NA,"Brasil","Rio de Janeiro","Alto da Boa Vista",NA,NA,"Árvore com látex","RFA46121",NA,NA,"Casar.","4334","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"Carauta, J.P.P.",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA
"23","2019-11-19 15:44:35-03","UNEB","HUNEB","5618","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Guedes, M.L.","1992","02","18",NA,"Brasil","Bahia","Área de Pituaçu (Ucsal)",NA,NA,NA,"HUNEB0005618","Angiospermae","Florideophycidae","Vell","2569HRB30501","Salvador","-38.42","-12.951667",NA,NA,NA,NA,NA,NA,NA,"38W25'12''","12S57'6''",NA,NA,"Dicotyledoneae",NA,NA,NA
"24","2019-10-09 11:20:56-03","UFBA","ALCB","67810","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Jesus, NG de; et al.","2003","03","20","Southern America","Brasil","Bahia","Cajueirrinho",NA,NA,NA,"ALCB035230","Dicotyledon",NA,"Schott","1733","Conde","-37.533056","-11.753056",NA,"ALCB035230","Pederneiras, LC",NA,"2008","07",NA,"-37.533056","-11.753056",NA,NA,NA,NA,NA,NA
"25","2019-10-09 11:20:56-03","UFBA","ALCB","5920","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Pinto, GCP","1952","02",NA,"Southern America","Brasil","Bahia","Recôncavo Sul",NA,NA,"Vegetando sobre licurizeiros.","ALCB035228","Dicotyledon",NA,"Schott","52-94","Cruz das Almas","-39.1018981933594","-12.6700000762939",NA,"ALCB035228","Pederneiras, LC",NA,"2008","07",NA,NA,NA,"14660","auto",NA,NA,NA,NA
"26","2019-10-09 11:20:56-03","UFBA","ALCB","94067","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Roque, N; Oliveira, RB; Teixeira, SR; Alves, M","2009","11","21","Southern America","Brasil","Bahia","Litoral Norte, Fazenda Experimental. Escola de Medicina Veterinária(UFBA). Reserva Florestal do Povoado de Aguazinha",NA,NA,"ca. de 8,0 m de alt. Ramos decumbentes, folhas discolores, frutos imaturos verdes.","ALCB035229","Dicotyledon",NA,"Schott","2504","Entre Rios","-38.084400177002","-11.9419002532959",NA,"ALCB035229","Oliveira, RB",NA,"2010","05",NA,NA,NA,"52418","auto",NA,NA,NA,NA
"27","2021-02-08 21:32:49-03","UFBA","ALCB","034907","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"André M.A. Amorim; Sant'Ana, S; Santos, TS dos; Santos, EB dos; Hermínio S. Brito","1991","12","04","Southern America","Brasil","Bahia","Litoral Sul, Comandatuba. Ca. 6 Km na estrada de Comandatuba, p/ praia de Una",NA,NA,"Crescendo na orla da mata. Folhas verdes marcadamente discolores. Frutos imaturos verdes.","ALCB035227","Dicotyledon",NA,"Schott","487","Una","-39.0752983093262","-15.2932996749878",NA,"ALCB035227","et al.; Carauta, P",NA,"1993",NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA
"28","2019-10-09 11:20:56-03","UFBA","ALCB","38610","PreservedSpecimen","Plantae","Moraceae","Ficus","salzmaniana","Ficus salzmaniana",NA,"Giulietti, AM; Funch, L","1995","02","05","Southern America","Brasil","Bahia","Chapada Diamantina, Serra da Chapadinha",NA,NA,"8,0 m, látex hialino. Folhas simples. Fruto sincônio verde. Raro.; Mata de grotão em local muito úmido, com açaí de até 30 m de altura, imbés e ciclantera. Afloramentos rochosos de arenito.",NA,"Dicotyledon",NA,"Mq.","PCD1576","Lençóis","-41.416667","-12.45","700",NA,"Castro, RM de","700","2005","02",NA,"-41.416667","-12.45",NA,NA,NA,NA,NA,NA
"29","2020-02-08 10:23:45-03","NBC","NL-BOTANY","U.1426162","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Mori SA","1978","04","27","Southern America","Brazil","Bahia",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1426162 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1426162",NA,"Rosales","Vell.",NA,NA,NA,NA,NA,"NL-U1426162",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0023719",NA,NA
"30","2020-02-08 10:23:45-03","NBC","NL-BOTANY","U.1426164","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Duarte AP","1946","09","26","Southern America","Brazil",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1426164 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1426164",NA,"Rosales","Vell.",NA,NA,NA,NA,NA,"NL-U1426164","DeWolf Jr GP; GP",NA,"1966","08","01",NA,NA,NA,NA,"Magnoliopsidae","U 0040050",NA,NA
"31","2020-02-08 10:23:45-03","NBC","NL-BOTANY","U.1426165","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Mori SA","1978","10","22","Southern America","Brazil","Bahia",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1426165 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1426165",NA,"Rosales","Vell.",NA,NA,NA,NA,NA,"NL-U1426165","Berg CC",NA,"2001","04","20",NA,NA,NA,NA,"Magnoliopsidae","U 0023708",NA,NA
"32","2020-02-08 10:23:45-03","NBC","NL-BOTANY","U.1426166","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Pereira E","1967","02","23","Southern America","Brazil",NA,"Guanabara, estrada do Corcovado.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1426166 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1426166",NA,"Rosales","Vell.",NA,NA,NA,NA,NA,"NL-U1426166",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0040049",NA,NA
"33","2020-02-08 10:23:45-03","NBC","NL-BOTANY","U.1426167","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Martius CFP von",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1426167 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1426167",NA,"Rosales","Vell.",NA,NA,NA,NA,NA,"NL-U1426167","DeWolf Jr GP; GP",NA,"1958","07","01",NA,NA,NA,NA,"Magnoliopsidae","U 0040048",NA,NA
"34","2020-11-04 11:14:13-03","ESALQ","ESA","87425","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Assis, L.C.S.; Magalhães, M.S.; Souza, A.N.; Ladeira, M.K.","2003","05","03",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"ESA087425","Magnoliophyta",NA,"Schott","828.0","Barroso","-43.9757995605469","-21.1868991851807",NA,"ESA087425","Mendonça-Souza, L.R.",NA,"2006",NA,NA,NA,NA,"7934","auto",NA,NA,NA,NA
"35","2020-11-04 11:14:13-03","ESALQ","ESA","65790","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Oliveira, P.P.","1998","08","27",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"ESA065790","Magnoliophyta",NA,"Vell.","4064.0","Rio das Ostras","-41.9449996948242","-22.5268993377686",NA,"ESA065790","Berg, C.C.",NA,NA,NA,NA,NA,NA,"17620","auto",NA,NA,NA,NA
"36","2020-11-04 11:14:13-03","ESALQ","ESA","123235","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Braga, J.M.A. ; Neto, S.J.S.","1995","01","25",NA,"Brasil","Rio de Janeiro","Reserva Biológica do poço das Antas. Juturnaiba, estrada entre a trilha para a Pelonha e a estrada para a sede do PMLD.",NA,NA,NA,"ESA123235","Magnoliophyta",NA,NA,"1854.0","Silva Jardim","-42.3917007446289","-22.6508007049561",NA,NA,"Braga, J.M.A.",NA,"1995","01","25",NA,NA,"29995","auto",NA,NA,NA,NA
"37","2021-02-08 19:35:00-03","MN","R","215552","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Kolontai, T.","2006","07",NA,NA,"Brasil","Rio de Janeiro","Cabo Frio",NA,NA,NA,NA,NA,NA,"Schott","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-01-14 15:31:57-03","MN","R","169035","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Souza, A.","1989","04","04",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Schott","2622","Itaipuaçu",NA,NA,NA,NA,"Machado, A.F.P.",NA,"2011","05","04",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-01-17 13:47:18-03","MN","R","202737","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Reis, R.C.C. 270; Saavedra, M.M. 96 & Aguiar, C.S.","2002","01","09",NA,"Brasil","Rio de Janeiro","Bairro da Rasa",NA,NA,NA,NA,NA,NA,"Schott",NA,"Búzios",NA,NA,NA,NA,"Carauta, J.P.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-01-14 15:31:57-03","MN","R","203839","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Diaz, B.E.","2003","08","16",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,"Schott","690",NA,NA,NA,NA,NA,"Machado, A.F.P.",NA,"2011","05","04",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-01-17 13:47:18-03","MN","R","207210","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Farney, C. 4259; Brum, P. & Meirelles, F.","2000","10","21",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Schott",NA,"Armação dos Búzios",NA,NA,NA,NA,"Carauta, J.P.P.",NA,"2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-01-17 13:47:18-03","MN","R","215547","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Pederneiras, L.C. 379; Faria, M.S.; Silva, R.B.A. & Moreira, P.L.","2008","03","04",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Schott","379","Arraial do Cabo","-42.279444","-22.927222",NA,NA,"Pederneiras, L.C.",NA,"2008","03","04","42°16'46W","22°55'38S",NA,NA,NA,NA,NA,NA
"43","2021-01-17 13:47:18-03","MN","R","215550","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Pederneiras, L.C. 355; Machado, A.F.P.","2008","01","17",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Schott",NA,"Saquarema","-42.439722","-22.928889",NA,NA,"Pederneiras, L.C. & Lacerda, R.W.",NA,"2008","01","17","42°26'23W","22°55'44S",NA,NA,NA,NA,NA,NA
"44","2021-01-17 13:47:18-03","MN","R","215553","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Demuner, V. 3317; Cruz, T.; Belizário, M. & Bausen, E.","2007","03","21",NA,"Brasil","Espírito Santo","Liberdade",NA,NA,NA,NA,NA,NA,"Schott",NA,"Marilândia","-40.549389","-19.345972","200",NA,"Machado, A.F.P.","200",NA,NA,NA,"40°32'57,8W","19°20'45,5S",NA,NA,NA,NA,NA,NA
"45","2021-01-17 13:47:18-03","MN","R","152298","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Segadas-Vianna, F.; Dau, L.; Ormond, W.T.; Machline, G.C. & Lorêdo Jr., J.","1953","08","08",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Schott",NA,"Cabo Frio","-42.0186004638672","-22.8794002532959",NA,NA,"Machado, A.F.P.",NA,"2011","05","04",NA,NA,"40069","auto",NA,NA,NA,NA
"46","2021-01-17 13:47:18-03","MN","R","215548","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Pederneiras, L.C. 535; Lacerda, R.W.","2008","10","31",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Schott",NA,"Macaé","-41.7868995666504","-22.3708000183105",NA,NA,"Pederneiras, L.C. & Lacerda, R.W.",NA,"2008","10","31",NA,NA,"47209","auto",NA,NA,NA,NA
"47","2021-01-17 13:47:18-03","MN","R","204850","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Pederneiras, L.C. 110; Machado, A.F.P.; Lacerda, R.W. & Vianna-Filho, M.D.M.","2004","08","16",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Schott",NA,"Macaé","-41.7868995666504","-22.3708000183105",NA,NA,"Carauta, J.P.P.",NA,"2004","08","16",NA,NA,"47209","auto",NA,NA,NA,NA
"48","2021-02-08 19:35:00-03","MN","R","180703","PreservedSpecimen","Plantae","Moraceae","Ficus","hirsuta","Ficus hirsuta",NA,"Silva, J.G.","1988","08","31",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Schott","s.n.","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"Carauta, J.P.P.",NA,"1988","09",NA,NA,NA,"20726","auto",NA,NA,NA,NA
