"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","individualCount"
"11","2020-09-12 05:00:02-03","US","US","2853676","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M. Barroso",NA,"E. Pereira","2010",NA,NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro","Arch. Jard. Bot. Rio de Janeiro",NA,NA,NA,NA,"US01643706","US01643706_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"12","2020-09-12 05:00:02-03","US","US","2853673","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M. Barroso",NA,"A. P. Duarte & E. Pereira","9204/10114","1965","9","26","South America - Neotropics","Brazil","Bahia","Bahia, Morro do Chapeu",NA,NA,NA,NA,"US01643704","US01643704_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"13","2020-09-12 05:00:02-03","US","US","2853676","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M. Barroso","Isotype","E. Pereira","2010","1956","9","10","South America - Neotropics","Brazil","Bahia","Morro do Chapeu.","1000","1000",NA,NA,"US01643706","US01643706_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"14","2019-10-07 09:12:02-03","UEFS","HUEFS","114661","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M.Barroso",NA,"França, F.","5517","2006","08","27",NA,"Brasil","Bahia","c. 5km a L de Morro na BA 052","925","925",NA,"Campo rupestre.","HUEFS0114661","HUEFS0114661","S.C.Ferreira","2007","07","Morro do Chapéu","-41.091944","-11.584167","41W5'31''","11S35'3''",NA,NA,NA,"Asteranae",NA
"15","2019-10-07 09:12:02-03","UEFS","HUEFS","128654","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M.Barroso",NA,"Queiroz, L.P.de","13130","2007","10","05",NA,"Brasil","Bahia","Área da Cachoeira do Ferro Doido, ca. 15 Km E de Morro do Chapéu na Estrada do Feijão.","883","883",NA,"Campo rupestre sobre afloramento de quartzito rosa e mata ciliar.","HUEFS0128654","HUEFS0128654","M.G.Staudt","2016","11","Morro do Chapéu","-40.998056","-11.625556","40W59'53''","11S37'32''",NA,NA,NA,"Asteranae",NA
"16","2019-10-07 09:12:02-03","UEFS","HUEFS","159088","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M.Barroso","Holótipo","Esteves, R.L.","RB95884","1950","09","10",NA,"Brasil","Bahia",NA,"1000","1000",NA,NA,"HUEFS0159088","HUEFS0159088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asteranae",NA
"17","2019-10-07 09:12:02-03","UEFS","HUEFS","244600","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M.Barroso",NA,"Amorim, V.O","503","2016","09","14",NA,"Brasil","Bahia","Tabuleiro do Tigre","1101","1101",NA,NA,"HUEFS0244600","HUEFS0244600",NA,NA,NA,"Morro do Chapéu","-41.15","-11.583333","41W9'","11S35'",NA,NA,NA,"Asteranae",NA
"18","2019-10-07 09:12:02-03","UEFS","HUEFS","231665","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M.Barroso",NA,"Staudt, M.G.","113","2015","09","17",NA,"Brasil","Bahia","Fazenda Areia Branca.","1059","1059",NA,NA,"HUEFS0231665","HUEFS0231665",NA,NA,NA,"Morro do Chapéu","-41.177778",NA,"41W10'40''",NA,NA,NA,NA,"Asteranae",NA
"19","2019-10-07 09:12:02-03","UEFS","HUEFS","231643","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M.Barroso",NA,"Staudt, M.G.","87","2015","09","15",NA,"Brasil","Bahia","Tabuleiro do Tigre.","1102","1102",NA,NA,"HUEFS0231643","HUEFS0231643",NA,NA,NA,"Morro do Chapéu","-41.164444",NA,"41W9'52''",NA,NA,NA,NA,"Asteranae",NA
"20","2019-11-21 10:01:26-03","IBt","SP","418000","S","Plantae",NA,NA,"Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M.Barroso","Isotype","Pereira, E","2010","1956","09","10",NA,"Brasil","Bahia",NA,"1000","1000",NA,NA,"SP000882","SP000882","Barroso, GM","1957",NA,"Morro do Chapéu","-41.1561012268066","-11.5500001907349",NA,NA,NA,"98143","auto",NA,NA
"21","2019-11-21 10:01:26-03","IBt","SP","210150","S","Plantae",NA,NA,"Asteraceae","Stylotrichium","edmundoi","Stylotrichium edmundoi","G.M.Barroso",NA,"Wanderley, MGL; Fotius, GA; Sá, IB","s.n.","1985","09","24",NA,"Brasil","Bahia","9 km de Morro do Chapéu em direção a Jacobina",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Morro do Chapéu","-41.1561012268066","-11.5500001907349",NA,NA,NA,"98143","auto",NA,NA
