"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","individualCount","typeStatus","verbatimLongitude","verbatimLatitude"
"11","2019-08-20 10:17:48-03","UNICAMP","UEC","29891","S","Plantae","Magnoliopsida",NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","Esteves, GL","Leitão Filho, HF; Semir, J","1803","1976","02","20",NA,"Brazil","São Paulo","Valinhos","Rodovia D.Pedro I, À 12 km de Campinas","-46.9900016784668","-22.9699993133545",NA,NA,NA,"Arbusto areto com até 1,30 m .Flores amarelas. Comum.","UEC079266","UEC079266","12075","auto","1997","05",NA,NA,NA,NA,NA,NA
"12","2019-08-20 10:17:48-03","UNICAMP","UEC","10055","S","Plantae","Magnoliopsida",NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","Esteves, GL","Leitão Filho, HF; Semir, J","1803","1976","02","20",NA,"Brazil","São Paulo","Valinhos","Rodovia D.Pedro I, À 12 km de Campinas","-46.9900016784668","-22.9699993133545",NA,NA,NA,"Arbusto areto com até 1,30 m .Flores amarelas. Comum.",NA,NA,"12075","auto","1997","05",NA,NA,NA,NA,NA,NA
"13","2020-06-29 09:30:47-03","UFRRJ","RBR","13300","S","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","H. Monteiro","O. Prates","08","1934","03",NA,NA,"Brasil","Minas Gerais","Pitangui",NA,"-44.8903007507324","-19.6828002929688",NA,NA,NA,NA,"RBR00013300",NA,"28574","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-06-29 09:30:47-03","UFRRJ","RBR","13299","S","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","H. Monteiro","C.F. Hermejes","s.n.","1954","05","20",NA,"Brasil","Minas Gerais","Paraopeba","Horto Florestal","-44.4042015075684","-19.2744007110596",NA,NA,NA,NA,"RBR00013299",NA,"26090","auto","1957","04","01",NA,NA,NA,NA,NA
"15","2020-06-29 09:30:47-03","UFRRJ","RBR","13301","S","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","H. Monteiro",NA,"9033",NA,NA,NA,NA,"Brasil","Minas Gerais","Belo Horizonte","Jardim Botânico de Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"RBR00013301",NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:33:09-03","MBM","MBM","58272","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K. Schum.",NA,"Krapovickas, A.; et al.; et al.","33138",NA,NA,NA,"Southern America","Brazil","Goiás","Goiânia","Rod. BR-153, 36km S de Goiânia","-49.2538986206055","-16.6786003112793",NA,NA,NA,NA,"MBM058272","MBM058272","25250","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-11 11:37:47-03","UFMG","BHCB","39782","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2012-10-02 11:37:00-03","MO","MOBOT","100529271","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K. Schum.","S.R. Hill (ILLS)","Anders F. Regnell","Regnell 163",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"19","2017-11-24 14:11:22-02","UFLA","ESAL","1638","S","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","F. C. H.","Hoehne, FC","29.728",NA,NA,NA,NA,"Brasil","São Paulo","Mogi- Mirim",NA,"-46.9500007629395","-22.4300003051758",NA,NA,NA,"arbusto; ; amarela;",NA,NA,"19575","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","2883714","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Gaya","guerkeana","Gaya guerkeana","K. Schum. in Mart.","Dorr, L. J., (BOT), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","P. E. Gibbs, J. J. Semir & L. S. Kinoshita","1.930","1976","4","27","South America - Neotropics","Brazil","São Paulo","Mogi-Guaçu","Pinhal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","2124379","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Gaya","guerkeana","Gaya guerkeana","K. Schum. in Mart.",NA,"M. Magalhães","3275","1942","8","15","South America - Neotropics","Brazil","Minas Gerais","Belo Horizonte","Horto Florestal","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","1341687","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Gaya","guerkeana","Gaya guerkeana","K. Schum. in Mart.",NA,"A. F. Regnell","III 163","1874","2","21","South America - Neotropics","Brazil","Minas Gerais",NA,"Caldas.",NA,NA,NA,NA,NA,NA,"US00517161","US00517161_01",NA,NA,NA,NA,NA,"Dicotyledonae","1","Syntype",NA,NA
"23","2020-09-12 05:00:02-03","US","US","1381538","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Gaya","guerkeana","Gaya guerkeana","K. Schum. in Mart.",NA,"A. F. Regnell","III 163","1864",NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,"Caldas.",NA,NA,NA,NA,NA,NA,"US00517160","US00517160_01",NA,NA,NA,NA,NA,"Dicotyledonae","1","Syntype",NA,NA
"24","2019-11-13 11:24:47-03","USP","SPF","75822","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","Esteves, GL","Martens, LA","446","1990","04","14",NA,"Brasil","Minas Gerais","Perdizes","Retiro do Itambé (Fernando Afonso de A. Borges).","-47.266667","-19.333333","950","950",NA,NA,"SPF00075822",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-47.266667","-19.333333"
"25","2019-11-13 11:24:47-03","USP","SPF","79461","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","Takeuchi, C","Martens, LA","590","1993","08","14",NA,"Brasil","Minas Gerais","Perdizes","Fazenda Boa Vista (Yolanda Afonso Borges). Jaraguá.","-47.266667","-19.333333","935","935",NA,NA,"SPF00079461",NA,NA,NA,"2012","03",NA,NA,NA,NA,"-47.266667","-19.333333"
"26","2019-11-13 11:24:47-03","USP","SPF","83733","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","Esteves, GL","Mello-Silva, R","767","1992","11","20",NA,"Brasil","Minas Gerais","Porteirinha","Ao norte da cidade, saída pela BR 122.","-43.0283012390137","-15.7433004379272","600","600",NA,NA,"SPF00083733",NA,"56892","auto",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-09-04 18:29:49-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana",NA,NA,"A. F. Regnell","163",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Type [status unknown]",NA,NA
"28","2015-03-13 18:49:55-03","F","FMNH-SEEDPLANTS","V0240045F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0240045F","V0240045F_01",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"29","2015-03-13 18:49:55-03","F","FMNH-SEEDPLANTS","V0240046F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0240046F","V0240046F_01",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"30","2015-03-13 18:49:55-03","F","FMNH-SEEDPLANTS","V0240047F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0240047F","V0240047F_01",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"31","2015-03-13 18:49:55-03","F","FMNH-SEEDPLANTS","V0240048F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0240048F","V0240048F_01",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"32","2015-03-13 18:49:55-03","F","FMNH-SEEDPLANTS","V0240049F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0240049F","V0240049F_01",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"33","2015-03-13 18:49:56-03","F","FMNH-SEEDPLANTS","V0240064F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0240064F","V0240064F_01",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"34","2020-11-19 14:06:21-03","Unimontes","MCMG","2347","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","Santos, R.M.","Braga, L.L | Coutinho, C.A. | Fonseca, J.M.L. | Lima, L.P.D. | Mota, G.S. | Oliveira, M.H. | Santos, C.S. | Silva, W.A.",NA,"2010","03","21",NA,"Brasil","Minas Gerais","Janúaria","APA do Rio Pandeiros Refugio de vida silvestreagropop","-44.3616981506348","-15.4881000518799",NA,NA,NA,NA,NA,NA,"148972","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-02-27 14:02:22-03","UFSJ","HUFSJ","8624","S","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","Costa, MTR","Costa, MTR; et al.","563","2016","04","15",NA,"Brasil","Minas Gerais","Ritápolis","Beira da mata ciliar do Rio das Mortes.","-44.3180999755859","-21.021900177002",NA,NA,NA,"Subarbusto de 1,7 de altura com flores amarelas e frutos.","HUFSJ008624",NA,"18703","auto","2016",NA,NA,NA,NA,NA,NA,NA
"36","2019-02-27 14:02:22-03","UFSJ","HUFSJ","8613","S","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","Costa, MTR","Costa, MTR","552","2015","08",NA,NA,"Brasil","Minas Gerais","São João del-Rei","Campo próximo ao CTAN.",NA,NA,NA,NA,NA,"Subarbusto com flores amarelas.","HUFSJ008613",NA,NA,NA,"2016",NA,NA,NA,NA,NA,NA,NA
"37","2019-11-01 15:03:28-03","UnB","UB","185868","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K. Schum.","Takeuchi, C","Pires, JM","58024","1964","06","19","Southern America","Brasil","Minas Gerais","João Pinheiro",NA,"-46.1725006103516","-17.7425003051758",NA,NA,NA,"Planta de 0,50 - 1,00m. Flores amarelas.; Cerrado.",NA,NA,"102029","auto","2012","03","26",NA,NA,NA,NA,NA
"38","2017-09-11 17:10:35-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.",NA,"Regnell, AF","III163",NA,NA,NA,"Southern America","Brazil",NA,NA,"ad Pedra de Boa Vista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2017-09-11 17:10:35-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.",NA,"Stephan, MD","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"prope Congonha do Campo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2017-09-11 17:10:35-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.",NA,"Raben, FC","s.n.",NA,NA,NA,NA,"?",NA,NA,"loco haud accuratius indicato forsan ejusdem provinciae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2017-09-11 17:10:35-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.",NA,"Regnell, AF","III1631/2",NA,NA,NA,"Southern America","Brazil",NA,NA,"in Serra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2017-09-11 17:10:35-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.",NA,"Regnell, AF","III163",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"in provincia Minas Geraes prope Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2017-09-11 17:10:35-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.",NA,"Pohl, JBE","2696",NA,NA,NA,"Southern America","Brazil","Goiás",NA,"Habitat in provincia Goyaz Abrantes ad S. Cruz",NA,NA,NA,NA,NA,"(d. 1359)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2017-09-11 17:10:35-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.",NA,"Mosén, CWH","1122",NA,NA,NA,"Southern America","Brazil","São Paulo",NA,"in provinciae S. Paulo campis siccis apricis inter Rio January et Mogy Guassu",NA,NA,NA,NA,NA,"Floret Februario ad Aprilem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-07-23 10:21:37-03","IBt","SP","266283","S","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","Gonçalez, VM","Santoro, J","s.n.","1936","05","29",NA,"Brasil","São Paulo","Campinas","Jardim Guanabara","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,NA,NA,"23900","auto","2008","08",NA,NA,NA,NA,NA,NA
"46","2020-07-23 10:21:37-03","IBt","SP","36660","S","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","Gonçalez, VM","Ininteligivel","8","1936","10","28",NA,"Brasil","São Paulo","Indaiatuba",NA,"-47.2099990844727","-23.0900001525879",NA,NA,NA,NA,NA,NA,"17640","auto","2008","08",NA,NA,NA,NA,NA,NA
"47","2020-07-23 10:21:37-03","IBt","SP","378270","S","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","Gonçalez, VM","Salviani, ER; Lorenzi, H","945","2000","01","19",NA,"Brasil","São Paulo","Jaboticabal","Estrada seguindo sentido a Luiz Antônio","-48.3199996948242","-21.25",NA,NA,NA,NA,NA,NA,"22420","auto","2008","08",NA,NA,NA,NA,NA,NA
"48","2020-07-23 10:21:37-03","IBt","SP","29728","S","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","Gonçalez, VM","Hoehne, FC","s.n.","1932","06","09",NA,"Brasil","São Paulo","Mogi Mirim",NA,"-46.9500007629395","-22.4300003051758",NA,NA,NA,NA,NA,NA,"19575","auto","2008","08",NA,NA,NA,NA,NA,NA
"49","2020-07-23 10:21:37-03","IBt","SP","444475","S","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","Gonçalez, VM","Gonçalez, VM; Coaglio, AV","110","2011","10",NA,NA,"Brasil","São Paulo","São José do Rio Pardo",NA,"-46.8800010681152","-21.5900001525879",NA,NA,NA,NA,NA,NA,"15885","auto","2011","02","02",NA,NA,NA,NA,NA
"50","2020-07-23 10:21:37-03","IBt","SP","80402","S","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","Gonçalez, VM","Mambreu, E; Garcia, D","115","1964","11","17",NA,"Brasil","São Paulo","São José do Rio Preto",NA,"-49.3699989318848","-20.8199996948242",NA,NA,NA,NA,NA,NA,"20305","auto","2008","08",NA,NA,NA,NA,NA,NA
"51","2020-07-23 10:21:37-03","IBt","SP","175294","S","Plantae",NA,NA,"Malvaceae","Gaya","guerkeana","Gaya guerkeana","K.Schum.","Gonçalez, VM","Coleman, JR","676","1981","03","02",NA,"Brasil","São Paulo","São José do Rio Preto","Terreno baldio próximo do Clube de Campo Palestra","-49.3699989318848","-20.8199996948242",NA,NA,NA,NA,NA,NA,"20305","auto","2008","08",NA,NA,NA,NA,NA,NA
