"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","individualCount","typeStatus","relatedCatalogItem"
"11","2020-09-12 05:00:02-03","US","US","3276717","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N. Hind",NA,"T. Laessøe & T. Silva","H 53315","1992","3","23","South America - Neotropics","Brazil","Bahia",NA,"Bahia. Mun. Abaira: Campo de Ouro Fino (baixo)","-41.9","13.25","1600","1700",NA,NA,"US01643637","US01643637_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"12","2020-09-12 05:00:02-03","US","US","3311749","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N. Hind",NA,"W. Ganev","3172",NA,NA,NA,"South America - Neotropics","Brazil","Bahia",NA,"Brasil, Bahia, Município de Abaíra: Agua Limpa, Morro do Cuscuzeiro","-41.88","-13.3","1400",NA,NA,NA,"US01643640","US01643640_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"13","2020-09-12 05:00:02-03","US","US","263294","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N. Hind",NA,"W. Ganev","615","1992","7","6","South America - Neotropics","Brazil","Bahia",NA,"Catolés. Brasil, estado da Bahia, municipio de Abaira: Tanque do Boi","-41.9","-13.27","1450",NA,NA,NA,"US01643633","US01643633_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"14","2020-09-12 05:00:02-03","US","US","3263295","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N. Hind",NA,"W. Ganev","648","1992","7","14","South America - Neotropics","Brazil","Bahia",NA,"Catolés. Brasil, estado da Bahia, municipio de Abaira: Campos do Ouro Fino, próximo ao acampamento da expediçâo","-41.9","-13.27","1650",NA,NA,NA,"US01643634","US01643634_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"15","2020-09-12 05:00:02-03","US","US","3254233","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N. Hind",NA,"W. Ganev","588","1992","6","25","South America - Neotropics","Brazil","Bahia",NA,"Catolés. Brasil, estado da Bahia, município de Abaíra: Caminho Guard Mor - Agua Limpa, volteando o morro do cuscus por tráz",NA,NA,"1480",NA,NA,NA,"US01643638","US01643638_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"16","2020-09-12 05:00:02-03","US","US","3276746","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N. Hind",NA,"W. Ganev","1886","1993","7","19","South America - Neotropics","Brazil","Bahia",NA,"Catolés. Brasil, Bahia, Município de Abaíra: Rio de Contas: Guarda Mor, encosta Serra dos Frios",NA,NA,"1350",NA,NA,NA,"US01643639","US01643639_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"17","2020-09-12 05:00:02-03","US","US","3516593","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N. Hind",NA,"R. M. Harley, A. M. Giulietti, E. Nic Lughadha & A. Freire-Fierro","H 50755","1992","1","10","South America - Neotropics","Brazil","Bahia",NA,"Bahia. Mun. Abaira: Campo de Ouro Fino (baixo)","-41.9","13.25","1600","1700",NA,NA,"US01643635","US01643635_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"18","2020-09-12 05:00:02-03","US","US","3516602","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N. Hind",NA,"R. M. Harley, D. J. N. Hind, E. Nic Lughadha, R. Queiroz & W. Ganev","H 50594","1991","12","31","South America - Neotropics","Brazil","Bahia",NA,"Bahia. Mun. Abaira: Campo de Ouro Fino","-41.9","13.25","1600","1700",NA,NA,"US01643636","US01643636_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"19","2019-10-07 09:11:02-03","UEFS","HUEFS","14473","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N.Hind","D.J.N.Hind","Ganev, W.","1886","1993","07","19",NA,"Brasil","Bahia","Abaíra",NA,"-42.333333","-13.866667","1350","1350",NA,NA,"HUEFS0014473","HUEFS0014473","1996","11","42W20'","13S52'",NA,NA,NA,"Asteranae",NA,NA,NA
"20","2019-10-07 09:11:02-03","UEFS","HUEFS","11031","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N.Hind","D.J.N.Hind","Ganev, W.","588","1992","06","25",NA,"Brasil","Bahia","Abaíra","Catolés Caminho Guarda Mor - Água Limpa, volteando o morro do cuscus por trás.","-41.866667","-13.316667","1480","1480",NA,NA,"HUEFS0011031","HUEFS0011031","1996","11","41W52'","13S19'",NA,NA,NA,"Asteranae",NA,NA,NA
"21","2019-10-07 09:11:02-03","UEFS","HUEFS","11058","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N.Hind","D.J.N.Hind","Ganev, W.","615","1992","07","06",NA,"Brasil","Bahia","Abaíra",NA,"-41.9","-13.266667","1450","1450",NA,NA,"HUEFS0011058","HUEFS0011058","1996","11","41W54'","13S16'",NA,NA,NA,"Asteranae",NA,NA,NA
"22","2019-10-07 09:11:02-03","UEFS","HUEFS","11091","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N.Hind","D.J.N.Hind","Ganev, W.","648","1992","07","14",NA,"Brasil","Bahia","Abaíra",NA,"-41.9","-13.266667","1650","1650",NA,NA,"HUEFS0011091","HUEFS0011091","1996","11","41W54'","13S16'",NA,NA,NA,"Asteranae",NA,NA,NA
"23","2019-10-07 09:11:02-03","UEFS","HUEFS","17215","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N.Hind","D.J.N.Hind","Ganev, W.","3172","1994","04","29",NA,"Brasil","Bahia","Abaíra","Água Limpa, Morro do Cuscuzeiro.","-41.883333","-13.3","1400","1400",NA,"Campo rupestre, solo arenoso com rochas.","HUEFS0017215","HUEFS0017215","1996","11","41W53'","13S18'",NA,NA,NA,"Asteranae",NA,NA,NA
"24","2019-10-07 09:11:02-03","UEFS","HUEFS","244589","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N.Hind",NA,"Amorim, V.O","480","2016","09","06",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas","-41.95",NA,"1612","1612",NA,"Campo rupestre","HUEFS0244589","HUEFS0244589",NA,NA,"41W57'","13S31'233''",NA,NA,NA,"Asteranae",NA,NA,NA
"25","2019-10-07 09:11:02-03","UEFS","HUEFS","58858","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N.Hind",NA,"Laessoe, T.","H53315","1992","03","23",NA,"Brasil","Bahia","Abaíra","Campo de Ouro Fino (baixo).","-41.9","-13.25","1600","1700",NA,NA,"HUEFS0058858","HUEFS0058858",NA,NA,"41W54'","13S15'",NA,NA,NA,"Asteranae",NA,NA,NA
"26","2020-07-23 11:58:40-03","CEPLAC","CEPEC","49289","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae",NA,"D. J. N. Hind","R. M. Harley","26516","1988","11","30",NA,"Brasil","Bahia","RIO DE CONTAS","Pico das Almas. Vertente leste.","-41.95","-13.533333",NA,NA,NA,NA,NA,NA,NA,NA,"41W57'0","13S32'0",NA,NA,NA,NA,NA,"Fototipo","30/12/1993"
"27","2020-07-23 11:58:40-03","CEPLAC","CEPEC","96870","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae",NA,"D. J. N. Hind","T. Laessoe",NA,"1992","03","23",NA,"Brasil","Bahia","ABAÍRA","campo de Ouro Fino (baixo).","-41.9","13.25",NA,NA,NA,NA,NA,NA,NA,NA,"41W54'","13N15'",NA,NA,NA,NA,NA,NA,"30/12/1998"
"28","2020-07-23 11:58:40-03","CEPLAC","CEPEC","96869","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae",NA,"D. J. N. Hind","R. M. Harley",NA,"1991","12","31",NA,"Brasil","Bahia","ABAÍRA","Campo de Ouro Fino. Encosta da face sul e sudoeste.","-41.9","13.25",NA,NA,NA,NA,NA,NA,NA,NA,"41W54'","13N15'",NA,NA,NA,NA,NA,NA,"30/12/1991"
"29","2021-03-10 11:38:23-03","UNILA","EVB","3604","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N.Hind","Amorim, V.O.","Amorim, V.O.; Coelho, J.C.","448","2015","10","28",NA,"Brasil","Bahia","Abaíra","Campo do Ouro Fino.","-41.901667","-13.255278","1558","1558",NA,"Folhas coriáceas, concolores. Inflorescência em capitulos, bráctea involucrais verdes, flores alvas e ramos do estilete alvas. DNA: S. População: P. Habitat: Campo rupestre. Preso na rocha. Habito: Subarbusto","EVB003604","EVB003604","2015","10","41º54'6''W","13º15'19''S",NA,NA,"29",NA,NA,NA,NA
"30","2019-11-21 09:59:43-03","IBt","SP","356883","S","Plantae",NA,NA,"Asteraceae","Agrianthus","giuliettiae","Agrianthus giuliettiae","D.J.N.Hind","Hind, DJN","Ganev, W","615","1992","07","06",NA,"Brasil","Bahia","Abaíra","Tanque do Boi.","-41.9","-13.266667","1450","1450",NA,NA,"SP030426","SP030426","1998",NA,"-41.9","-13.266667",NA,NA,NA,NA,NA,NA,NA
