"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"22","2021-03-30 12:52:11-03","EAO","IAN","142660","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Pinheiro, GS; Carvalho, JFV","134","1974","04","04","Southern America","Brasil","Pará",NA,NA,"IAN142660",NA,"Eiten, LT",NA,"Estreiro-Marabá, km 1.",NA,NA,NA,NA,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-30 12:52:11-03","EAO","IAN","142660","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Pinheiro, GS; Carvalho, JFV","134","1974","04","04","Southern America","Brasil","Pará",NA,NA,"IAN142660",NA,"Eiten, LT",NA,"Estreiro-Marabá, km 1.",NA,NA,NA,NA,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-30 12:52:11-03","EAO","IAN","142719","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Pinheiro, GS; Carvalho, JFV","193","1974","04","04","Southern America","Brasil","Pará",NA,NA,"IAN142719",NA,"Eiten, LT",NA,"Estreiro-Marabá, km 1.",NA,NA,NA,NA,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-30 12:52:11-03","EAO","IAN","142719","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Pinheiro, GS; Carvalho, JFV","193","1974","04","04","Southern America","Brasil","Pará",NA,NA,"IAN142719",NA,"Eiten, LT",NA,"Estreiro-Marabá, km 1.",NA,NA,NA,NA,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-30 12:52:11-03","EAO","IAN","142772","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Pinheiro, GS; Carvalho, JFV","246","1974","04","06","Southern America","Brasil","Pará",NA,NA,"IAN142772",NA,"Eiten, LT",NA,"Estreiro-Marabá, km 1.",NA,NA,NA,NA,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-30 12:52:11-03","EAO","IAN","142772","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Pinheiro, GS; Carvalho, JFV","246","1974","04","06","Southern America","Brasil","Pará",NA,NA,"IAN142772",NA,"Eiten, LT",NA,"Estreiro-Marabá, km 1.",NA,NA,NA,NA,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-30 12:52:11-03","EAO","IAN","142785","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Pinheiro, GS; Carvalho, JFV","259","1974","04","06","Southern America","Brasil","Pará",NA,NA,"IAN142785",NA,"Eiten, LT",NA,"Estreiro-Marabá, km 1.",NA,NA,NA,NA,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-30 12:52:11-03","EAO","IAN","142785","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Pinheiro, GS; Carvalho, JFV","259","1974","04","06","Southern America","Brasil","Pará",NA,NA,"IAN142785",NA,"Eiten, LT",NA,"Estreiro-Marabá, km 1.",NA,NA,NA,NA,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:52:11-03","EAO","IAN","142798","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Pinheiro, GS; Carvalho, JFV","272","1974","04","06","Southern America","Brasil","Pará",NA,NA,"IAN142798",NA,"Eiten, LT",NA,"Estreiro-Marabá, km 1.",NA,NA,NA,NA,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:52:11-03","EAO","IAN","142798","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","eximia","Rhynchospora eximia","(Nees) Boeck.","Pinheiro, GS; Carvalho, JFV","272","1974","04","06","Southern America","Brasil","Pará",NA,NA,"IAN142798",NA,"Eiten, LT",NA,"Estreiro-Marabá, km 1.",NA,NA,NA,NA,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
