"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","continentOcean","preparationType","previousCatalogNumber","barcode","imagecode","class","typeStatus","eventTime","fieldNumber","infraspecificEpithet","individualCount","relatedCatalogItem"
"11","2021-03-15 16:37:00-03","NY","NYBG","413600","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Serpicula","brasiliensis","Serpicula brasiliensis","Cambess.",NA,NA,NA,NA,"B. Rambo","31741","1946","02","02","Brazil","Santa Catarina","Sombrio","Sombrio","-49.635936","-29.103288",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499124' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00413600","NY00413600_01",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","413601","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Serpicula","brasiliensis","Serpicula brasiliensis","Cambess.",NA,NA,NA,NA,"G. Gardner","2843","1836",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499130' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00413601","NY00413601_01",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","413598","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Serpicula","brasiliensis","Serpicula brasiliensis","Cambess.",NA,NA,NA,NA,"R. M. Harley","18039","1977","01","17","Brazil","Bahia",NA,"Between Alcobaça and Caravelas on the BA 001 highway. 20 km S of Alcobaça","-39.23","-17.72",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499122' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00413598","NY00413598_01",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","413602","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Serpicula","brasiliensis","Serpicula brasiliensis","Cambess.",NA,NA,NA,NA,"S. A. Mori","10501","1978","09","14","Brazil","Bahia","Mucuri","A 7 km a NW de Mucuri. Folha SE - 24 (18-40d)","-39.5919608","-18.034268",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499128' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00413602","NY00413602_01",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","413606","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Serpicula","brasiliensis","Serpicula brasiliensis","Cambess.",NA,NA,NA,NA,"L. B. Smith","13742","1964","12","06","Brazil","Santa Catarina","Campo Erê","6 km west of Campo Erê","-53.1","-26.37",NA,NA,NA,"900","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499125' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00413606","NY00413606_01",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","413597","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Serpicula","brasiliensis","Serpicula brasiliensis","Cambess.",NA,NA,NA,NA,"F. Segadas-Vianna","1419","1953","07","13","Brazil","Rio de Janeiro","Cabo Frio","Arraial do Cabo, Pontal beach","-42.0317","-22.9467",NA,NA,NA,NA,NA,"Part of Restinga I collections. There is an additional label on the specimen sheet with what might be a related collection: Restinga I 1328 cond. ecol.: substratum arenoso com algas <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499127' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00413597","NY00413597_01",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","413604","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Serpicula","brasiliensis","Serpicula brasiliensis","Cambess.",NA,NA,NA,NA,"D. J. N. Hind","H50056","1992","01","10","Brazil","Bahia","Abaíra","Campo de Ouro Fino (alto)","-41.9","-13.25",NA,NA,NA,"1800","1800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499118' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00413604","NY00413604_01",NA,NA,NA,NA,NA,NA,NA
"18","2016-10-19 09:11:00-02","NY","NYBG","413609","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Serpicula","brasiliensis","Serpicula brasiliensis",NA,NA,NA,NA,NA,"E. Hassler","11965","1912",NA,NA,"Paraguay",NA,NA,"Sierra de Amambay",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499129' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00413609",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","413595","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Serpicula","brasiliensis","Serpicula brasiliensis","Cambess.","J. A. Kallunki",NA,NA,NA,"H. S. Irwin","32390","1971","02","17","Brazil","Bahia","Morro do Chapéu","Wooded margins of Rio Ferro Doido, ca. 18 km E. of Morro do Chapéu","-41.1558","-11.5503",NA,NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499116' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00413595","NY00413595_01",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","413607","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Serpicula","brasiliensis","Serpicula brasiliensis","Cambess.",NA,NA,NA,NA,"R. Reitz","4979","1952","12","19","Brazil","Santa Catarina","Palhoça","Campo Massiambú, Palhoça","-48.62515","-27.834087",NA,NA,NA,"5","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499121' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00413607","NY00413607_01",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","413599","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Serpicula","brasiliensis","Serpicula brasiliensis","Cambess.",NA,NA,NA,NA,"R. M. Harley","19371","1977","03","04","Brazil","Bahia",NA,"19.5 km of the town of Morro do Chapeu on the BA 052 road to Mundo Novo, by the Rio Ferro Doido","-41.03","-11.63",NA,NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499123' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00413599","NY00413599_01",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","413605","PreservedSpecimen","Plantae","Magnoliophyta","Saxifragales","Haloragaceae","Serpicula","brasiliensis","Serpicula brasiliensis","Cambess.",NA,NA,NA,NA,"R. M. Harley","H52085","1992","02","15","Brazil","Bahia","Abaíra","Campo de Ouro Fino (baixo)","-41.9","-13.25",NA,NA,NA,"1600","1700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499119' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"NY00413605","NY00413605_01",NA,NA,NA,NA,NA,NA,NA
"23","2020-06-29 11:30:48-03","UFRJ","RFA","10063","PreservedSpecimen","Plantae",NA,NA,"Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) Kanitz","P. Occhioni","1969",NA,NA,"P. Occhioni","3760","1969","06","13","Brasil","Rio de Janeiro","Rio de Janeiro","Restinga da Tijuca","-43.2075004577637","-22.9027996063232",NA,NA,"57442",NA,NA,NA,"auto",NA,NA,NA,"RFA40950",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-06-29 11:30:48-03","UFRJ","RFA","38539","PreservedSpecimen","Plantae",NA,NA,"Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) Kanitz",NA,NA,NA,NA,"N. C. Machado; T. U. P. Konno","136","2010","08","26","Brasil","Rio de Janeiro","Quissamã","PARNA Restinga de Jurubatiba. Próximo a lagoa Garças. Poça 27 (fundo da lagoa)","-41.241944","-22.103611","41º14'31''W","22º6'13''S",NA,NA,NA,"Erva ca. de 10 cm de altura, caules avermelhados",NA,NA,NA,NA,"RFA33534",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-06-29 11:30:48-03","UFRJ","RFA","38598","PreservedSpecimen","Plantae",NA,NA,"Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) Kanitz",NA,NA,NA,NA,"N. C. Machado; T. U. P. Konno","196","2010","05","21","Brasil","Rio de Janeiro","Quissamã","PARNA Restinga de Jurubatiba, próximo a lagoa Garças. Poça 27 (fundo da Garças)","-41.241944","-22.103611","41º14'31''W","22º6'13''S",NA,NA,NA,"Ervas, inflorescência avermelhada",NA,NA,NA,NA,"RFA33960",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-30 12:38:51-03","EAO","IAN","105486","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Haloragaceae","Serpicula","brasiliensis","Serpicula brasiliensis","Cambess.","Barreto, M",NA,NA,NA,"Magalhães, MG","2741","1943","02","05","Brasil","Minas Gerais","Catas Altas","Margem da Lagoa, dentro d'água, lagoa chapada.","-43.4075012207031","-20.0746994018555",NA,NA,"11966",NA,NA,"Erba.","auto","Southern America",NA,NA,"IAN105486",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-12-04 15:25:17-03","PUCPR","HUCP","3575","S","Plantae","Eudicotiledonea",NA,"Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schot.) Kanitz","Silva, SM","1985","09","15","Silva, SM; Britez, RM","s.n.",NA,NA,NA,"Brasil","Paraná","Paranaguá","Ilha do Mel, Caminho do Belo.","-48.5092010498047","-25.5200004577637",NA,NA,"24916",NA,NA,NA,"auto",NA,NA,NA,"HUCP00012195","HUCP00012195",NA,NA,NA,NA,NA,NA,NA
"28","2019-10-09 11:17:36-03","UFBA","ALCB","2043","PreservedSpecimen","Plantae","Dicotyledon",NA,"Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) K",NA,NA,NA,NA,"Pereira, J; Gusmão, EF de","s/n","1975","06","14","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina","-41.001111","-11.628056","-41.001111","-11.628056",NA,NA,NA,NA,NA,"Southern America",NA,NA,"ALCB021672",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-10-09 11:17:36-03","UFBA","ALCB","40940","PreservedSpecimen","Plantae","Dicotyledon",NA,"Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) K","Aona, LYS","2014","05",NA,"Gasson, P; Nic Lughadha, E; Silva, LB da; Harley, RM","PCD6049","1997","03","05","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Cachoeira do Rio Ferro Doido","-41.000833","-11.628333","-41.000833","-11.628333",NA,NA,NA,"caule verde passando a vermelho, em solo encharcado. Folhas verdes passando a vermelhas. Flores vermelhas. Ocasional. Xiloteca; Campos rupestres e gerais.",NA,"Southern America",NA,NA,"ALCB022992","ALCB022992",NA,NA,NA,NA,NA,NA,NA
"30","2019-10-09 11:17:36-03","UFBA","ALCB","3199","PreservedSpecimen","Plantae","Dicotyledon",NA,"Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) K",NA,NA,NA,NA,"Noblick, LR","312","1979","05","12","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Lagoa do Abaté - Itapuã","-38.510799407959","-12.9710998535156",NA,NA,"26018",NA,NA,NA,"auto","Southern America",NA,NA,"ALCB021670","ALCB021670",NA,NA,NA,NA,NA,NA,NA
"31","2019-10-09 11:17:36-03","UFBA","ALCB","02923","PreservedSpecimen","Plantae","Dicotyledon",NA,"Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) K",NA,NA,NA,NA,"Costa, AL; Barroso, GM","s/n","1975","05","17","Brasil","Bahia","Lençóis","Chapada Diamantina, Cachoeira do Ferro Doido","-41.316667","-12.65","-41.316667","-12.65",NA,"850","850","Muito ramificado, com ramos mais ou menos carnosos; flores minúsculas axilares.",NA,"Southern America",NA,NA,"ALCB021671",NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-10-09 11:17:36-03","UFBA","ALCB","035662","PreservedSpecimen","Plantae","Dicotyledon",NA,"Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) K","Guedes, ML","1997","12",NA,"Melo, E; Sena, MP; Funch, R","PCD1694","1995","02","23","Brasil","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41.450833","-12.450556","-41.450833","-12.450556",NA,"920","920","0,15 m, caule suculento, vináceo. Folhas suculentas, verdes, ápice vináceo. Ocasional.; Brejo seco. Substrato argiloso.",NA,"Southern America",NA,NA,"ALCB022994","ALCB022994",NA,NA,NA,NA,NA,NA,NA
"33","2019-10-09 11:17:36-03","UFBA","ALCB","037770","PreservedSpecimen","Plantae","Dicotyledon",NA,"Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) K","Aona, LYS","2014","05",NA,"Hind, DJN; Bautista, HP; Smith, S","PCD&nf;3578","1996","07","13","Brasil","Bahia","Mucugê","Chapada Diamantina, Estrada Igatu-Mucugê, próximo ao entroncamento com a estrada Andaraí-Mucugê","-41.322222","-12.949444","-41.322222","-12.949444",NA,"1230","1230","0,08 m, caule verde-amarelado. Flores avermelhadas. Frequente.; Substrato brejoso.",NA,"Southern America",NA,NA,"ALCB022993","ALCB022993",NA,NA,NA,NA,NA,NA,NA
"34","2020-02-08 10:33:51-03","NBC","NL-BOTANY","L.2571288","PreservedSpecimen","Plantae",NA,"Saxifragales","Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) Kanitz",NA,NA,NA,NA,"Marchesi EH",NA,"1965","05","09","Uruguay","San José",NA,"Playa Pascual.","-56.466667","-34.75","-56.466667","-34.75",NA,NA,NA,"En pequeño bañado seco.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2571288 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America",NA,NA,"NL-L2571288","NL-L2571288","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"35","2020-02-08 10:33:51-03","NBC","NL-BOTANY","U 0184211","PreservedSpecimen","Plantae",NA,"Saxifragales","Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) Kanitz","Harley RM",NA,NA,NA,"Harley RM; Mayo SJ; Storr RM; Santos TS dos; Pinheiro RS",NA,"1977","03","04","Brazil","Bahia",NA,"19.5 km S.E. of the town of Morro do Chapeu on the BA 052 road to Mundo Novo, by the Rio Ferro Doido, with water worn horizontally bedded sandstone at soil surface, with damp sand, sedge marsh, exposed rock with water-fall.","-41.033333","-11.633333","-41.033333","-11.633333",NA,NA,NA,"Vegetation open scrub to closed low woodland in the drier areas.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200184211 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America",NA,NA,"NL-U0184211",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"36","2020-02-08 10:33:51-03","NBC","NL-BOTANY","U 0184209","PreservedSpecimen","Plantae",NA,"Saxifragales","Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) Kanitz","Harley RM",NA,NA,NA,"Harley RM; Mayo SJ; Storr RM; Santos TS dos; Pinheiro RS",NA,"1977","01","17","Brazil","Bahia",NA,"Between Alcobaça and Caravelas on the BA 001 highway. 20 km S. of Alcobaça.","-39.233333","-17.716667","-39.233333","-17.716667",NA,NA,NA,"Mixed restinga, mainly high restinga on drier ground, with areas of normally wet sedge meadow. This plant in damp hollow.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200184209 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America",NA,NA,"NL-U0184209",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"37","2020-02-08 10:33:51-03","NBC","NL-BOTANY","U 0184208","PreservedSpecimen","Plantae",NA,"Saxifragales","Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) Kanitz","Maas PJM",NA,NA,NA,"Mori SA; Mattos Silva LA; Santos TS dos",NA,"1978","09","14","Brazil","Bahia",NA,"Município de Mucuri. Area de Restinga com algumas manchas de Campos, a 7 km NW de Mucuri.",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200184208 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America",NA,NA,"NL-U0184208",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"38","2020-02-08 10:33:51-03","NBC","NL-BOTANY","L.2571287","PreservedSpecimen","Plantae",NA,"Saxifragales","Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) Kanitz",NA,NA,NA,NA,"Hatschbach GG",NA,"1968","10","23","Brazil",NA,NA,"Est. Paraná (Brasil), Barranco*.Mun. Paranaguá.",NA,NA,NA,NA,NA,NA,NA,"Depressões brejosas das antedunas.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2571287 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America",NA,NA,"NL-L2571287","NL-L2571287","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"39","2020-02-08 10:33:51-03","NBC","NL-BOTANY","U 0184210","PreservedSpecimen","Plantae",NA,"Saxifragales","Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) Kanitz","Reitz R",NA,NA,NA,"Reitz R; Klein RM",NA,"1953","09","24","Brazil","Santa Catarina",NA,"Campo do Massiambú, Palhoça.",NA,NA,NA,NA,NA,NA,NA,"Restinga, lugares húmidos.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200184210 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America",NA,NA,"NL-U0184210",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"40","2020-02-08 10:33:51-03","NBC","NL-BOTANY","U.1329494","PreservedSpecimen","Plantae",NA,"Saxifragales","Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) Kanitz",NA,NA,NA,NA,"Herter WG",NA,"1920","04","05","Uruguay",NA,NA,"Alantida.?",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1329494 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America",NA,NA,"NL-U1329494","NL-U1329494","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"41","2020-11-04 11:11:16-03","ESALQ","ESA","85458","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) Kanitz","Gibau, A.","2018","04","03","Paula-Souza, J.; Souza, V.C.; Mazine, F.F.; Lucas, E.; Romão, G.O.","3670.0","2003","11","13","Brasil","São Paulo","Itararé","21km de Itararé para Bom Sucesso de Itararé. Fazenda Santa Maria do Espinho e Saco Grande. Campo natural com perturbação antrópica","-49.3400001525879","-24.1100006103516",NA,NA,"27729",NA,NA,"Erva, inflorescências vináceas","auto",NA,NA,NA,"ESA085458","ESA085458",NA,NA,NA,NA,NA,NA,NA
"42","2021-01-14 15:31:10-03","MN","R","192336","PreservedSpecimen","Plantae",NA,NA,"Haloragaceae","Laurembergia","tetrandra","Laurembergia tetrandra","(Schott) Kanitz","Valente, A.","1997","10","20","Silva, J.M.L. 61; Santos, M.G.",NA,"1995","07","27","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
