"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","fieldNumber","typeStatus","individualCount","dayIdentified"
"11","2020-12-21 16:40:01-03","MBM","MBM","45351","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira","Rosengurtt, B.","Pedersen, T.M.","10243",NA,NA,NA,"Southern America","Argentina",NA,NA,NA,NA,NA,NA,"MBM045351","MBM045351","Henr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:40:01-03","MBM","MBM","27823","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira",NA,"Macedo, A.","5263",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Ituiutaba",NA,NA,NA,NA,"MBM027823","MBM027823","Henr.",NA,NA,"Ituiutaba","-49.4650001525879","-18.968900680542","50022","auto",NA,NA,NA,NA,NA,NA,NA
"13","2015-09-04 00:27:35-03","MNHN","RECOLNAT_MNHN_P","P02260372","PreservedSpecimen",NA,NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02260372' target='other'> <mi>dwc_moreinfo</mi></a>","P02260372","P02260372_01","(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1 249",NA,NA,NA
"14","2015-09-04 00:27:35-03","MNHN","RECOLNAT_MNHN_P","P02260373","PreservedSpecimen",NA,NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02260373' target='other'> <mi>dwc_moreinfo</mi></a>","P02260373","P02260373_01","(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1 249",NA,NA,NA
"15","2011-03-09 15:22:00-03","MO","MOBOT","1765859","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira","H. Longhi-Wagner, 1991 (ICN)","Émile Hassler","Hassler 8321","1901","12",NA,"South America","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,"(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syntype","1",NA
"16","2009-06-24 20:49:00-03","MO","MOBOT","1765861","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira",NA,"Jason R. Swallen","Swallen 9490","1946","6","21","South America","Brazil",NA,"Territory of Ponta Porã; Caatinga, along road from Bella Vista to Bonito",NA,NA,NA,NA,NA,NA,"(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2009-06-24 20:49:00-03","MO","MOBOT","1765862","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira",NA,"Jason R. Swallen","Swallen 9498","1946","6","21","South America","Brazil",NA,"Territory of Ponta Porã; Bonito",NA,NA,NA,NA,NA,NA,"(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2011-03-16 22:18:00-03","MO","MOBOT","1765865","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira",NA,"Bernardo Rosengurtt","Rosengurtt 10243","1972","12","4","South America","Argentina","Corrientes","Dpto. Empedrado; Estancia Las Tres Marias. On the steep banks of the gully formed by the Arroyo Pegnahn",NA,NA,NA,NA,NA,NA,"(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","221743","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira","Gerrit Davidse","Agnes Chase","Chase 10897","1930","2","14","South America","Brazil","Mato Grosso","Between Camp grande and Dourados","400.00000000","500.00000000",NA,NA,NA,NA,"(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","221753","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira","Gerrit Davidse","Agnes Chase","Chase 10496","1930","1","6","South America","Brazil","Minas Gerais","Faria","1000.00000000","1200.00000000",NA,NA,NA,NA,"(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2009-09-15 10:55:00-03","MO","MOBOT","221763","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira","Gerrit Davidse","Jason R. Swallen","Swallen 9396","1946","6","5","South America","Brazil",NA,"Territory of Ponta Pora, Maracaju",NA,NA,NA,NA,NA,NA,"(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2008-05-27 22:02:00-03","MO","MOBOT","221773","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira","Gerrit Davidse","Agnes Chase","Chase 8891","1925","3","16","South America","Brazil","Minas Gerais","17 km S of Oliveira","875.00000000",NA,NA,NA,NA,NA,"(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2011-12-22 05:00:00-02","MO","MOBOT","221783","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira","Gerrit Davidse","Teodoro Rojas","Rojas 9963","1907","12",NA,"South America","Paraguay","Amambay","In altaplanitie et declivibus Sierra de Amambay",NA,NA,NA,NA,NA,NA,"(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2008-05-27 22:02:00-03","MO","MOBOT","221793","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira","Gerrit Davidse","Émile Hassler","Hassler 11913","1912","12",NA,"South America","Paraguay",NA,"In regione calcarea cursus superioris fluminis Apa.",NA,NA,NA,NA,NA,NA,"(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2008-05-27 22:02:00-03","MO","MOBOT","221803","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira","Gerrit Davidse","Agnes Chase","Chase 11661","1930","3","31","South America","Brazil","Goiás","90 km NW of Santa Rita do Paranahyba","500.00000000",NA,NA,NA,NA,NA,"(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2008-05-27 22:02:00-03","MO","MOBOT","231453","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira","H. Longhi-Wagner (ICN)","David R. Brunner","Brunner 1779","1986","4","5","South America","Paraguay","Concepción","Savanas 8-10 km al sur del Arroyo Tagatiya-mí, alrededores del camino. Savanas y campos abiertos con bosque bajo sobre las serranias. Suelo arenoso sobre roca caliza.","170.00000000",NA,NA,NA,NA,NA,"(Hack.) Henrard",NA,NA,NA,"-57.5","-22.7",NA,NA,NA,NA,NA,"86-7",NA,"3",NA
"27","2011-03-25 12:42:00-03","MO","MOBOT","247185","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira","H. Longhi-Wagner, 1991 (ICN)","Émile Hassler","Hassler 3825","1901",NA,NA,"South America","Paraguay",NA,"Cordillera de Altos, upper Apa River.",NA,NA,NA,NA,NA,NA,"(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syntype","1",NA
"28","2009-10-24 06:55:00-02","MO","MOBOT","2822057","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira","H. Longhi-Wagner","George Eiten|Tatiana Sendulsky","Eiten 2850","1961","5","31","South America","Brazil","São Paulo","Mun. de São José dos Campos: disjunct cerrado of several hundred sp. km. surrounded by former farmer. Ca. 7 km. S of main plaza of São José dos campos, along road to Paraibuna.",NA,NA,NA,NA,NA,NA,"(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2011-02-23 09:58:00-03","MO","MOBOT","221823","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira","Gerrit Davidse","Anders F. Regnell","Regnell 1397","1845",NA,NA,"South America","Brazil","Minas Gerais","Caldas.",NA,NA,NA,NA,NA,NA,"(Hack.) Henrard",NA,NA,NA,"-46.38333","-21.93333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2008-05-27 22:02:00-03","MO","MOBOT","221813","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira","Gerrit Davidse","Agnes Chase","Chase 10776","1930","2","7","South America","Brazil","Mato Grosso","Campo Grande.","540.00000000","550.00000000",NA,NA,NA,NA,"(Hack.) Henrard",NA,NA,NA,"-54.61666","-20.45",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-09-12 05:00:02-03","US","US","2947174","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Aristida","oligospira","Aristida oligospira","Davidse, G.","L. R. Parodi","2835",NA,NA,NA,"South America","Argentina",NA,"Formosa",NA,NA,NA,"Fragmentary material of Typus speci ex herb. Leyden; annotated not type and Parodi 2835 is not cited in protologue, but possibly original material and apparently (according to Tropicos, Sep. 2013) cited as lectotype by Henrard (1927).",NA,NA,"(Hack.) Henrard",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1",NA
"32","2020-09-02 16:36:06-03","Cenargen","CEN","102380","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira","R. C. Oliveira","Carlos Romero Martins","901","2006","04","28",NA,"Brasil","DF","Parque Nacional de Brasília, Cascalheira do Entroncamento.",NA,NA,"Exsicatas","Doação FLORA DO BRASIL - DISTRITO FEDERAL","CEN00102380","CEN00102380","(Hack.) Henrard","2017","08","BRASILIA","-47.934444","-15.736111",NA,NA,"-47.934444","-15.736111",NA,NA,NA,"1",NA
"33","2019-10-07 09:21:36-03","UEFS","HUEFS","61256","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Aristida","oligospira","Aristida oligospira","P.A.Reis","Harley, R.M.","PCD5561","1997","02","13",NA,"Brasil","Bahia","Caminho para Abaíra.","970","970",NA,"Campos gerais.","HUEFS0061256","HUEFS0061256","(Hack.) Henrard","2014","09","Mucugê","-41.374444","-13.006667",NA,NA,"41W22'28''","13S0'24''","Lilianae",NA,NA,NA,NA
"34","2019-10-07 09:21:36-03","UEFS","HUEFS","184995","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Aristida","oligospira","Aristida oligospira","P.A.Reis","Perillo, L.N.","379","2009","04","14",NA,"Brasil","Minas Gerais","Parque Estadual Caminho dos Gerais, Vegetação próxima ao Córrego do Curral Velho/Rio do Meio.","1022","1022",NA,NA,"HUEFS0184995","HUEFS0184995","(Hack.) Henrard","2014","10","Mamonas","-43.020833","-14.969444",NA,NA,"43W1'15''","14S58'10''","Lilianae",NA,NA,NA,NA
"35","2021-02-08 12:52:36-03","UFRGS","ICN","112131","S","Plantae","Monocotyledon",NA,"Poaceae","Aristida","oligospira","Aristida oligospira","Parodi","Macedo, A","4304","1956","02","10","América do Sul","Brasil","MG","Perto dos Pilões e Ponte do Rio Cipico",NA,NA,NA,"Capim campestre, inflorescência roxa",NA,NA,"(Hack.) Henrard",NA,NA,"Ituiutaba","-49.4650001525879","-18.968900680542","50022","auto",NA,NA,NA,NA,NA,NA,NA
"36","2019-11-21 10:14:42-03","IBt","SP","69148","S","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira","Longhi Wagner, HM","Macedo, A","4304","1956","02","10",NA,"Brasil","Minas Gerais","Perto dos Pilões e Ponte do Rio Tijuco.",NA,NA,NA,NA,NA,NA,"(Hack.) Henrard","1988","08","Ituiutaba","-49.4650001525879","-18.968900680542","50022","auto",NA,NA,NA,NA,NA,NA,NA
"37","2019-11-21 10:14:42-03","IBt","SP","69138","S","Plantae",NA,NA,"Poaceae","Aristida","oligospira","Aristida oligospira","Swallen, JR","Macedo, A","3209","1951","02","25",NA,"Brasil","Minas Gerais","São Vicente",NA,NA,NA,NA,"SP040761","SP040761","(Hack.) Henrard","1951","09","Ituiutaba","-49.4650001525879","-18.968900680542","50022","auto",NA,NA,NA,NA,NA,NA,"13"
