"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","preparationType","occurrenceRemarks","barcode","imagecode","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","relatedCatalogItem"
"11","2020-07-10 09:45:25-03","MBML","MBML-HERBARIO","8741",NA,"Plantae",NA,NA,"Compositae","Piptocarpha","robusta","Piptocarpha robusta","G.M.Barroso",NA,"S. L. Mendes",NA,"1998","09","12",NA,"Brasil","Espírito Santo","Barra de São Francisco",NA,"Trepadeira. Em frutificação.","MBML008741","MBML008741","Parque Ecológico Sombra da Tarde","-40.8908004760742","-18.7549991607666","36480","auto","D.P. Volet/09-08-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-07-10 09:45:25-03","MBML","MBML-HERBARIO","38962",NA,"Plantae",NA,NA,"Compositae","Piptocarpha","robusta","Piptocarpha robusta","G.M.Barroso","ISOTIPO","A.P. Duarte","9758","1966","05","08",NA,"Brasil","Espírito Santo","Nova Venécia",NA,NA,"MBML038962","MBML038962","Cristalino","-40.4006004333496","-18.710599899292","42400","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","3580472","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Piptocarpha","robusta","Piptocarpha robusta","G.M. Barroso","Isotype","A. P. Duarte","9758","1966","5","8","South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,"US01049552","US01049552_01","Cristalino, Mun. de Nova Venecia.",NA,NA,NA,NA,"Smith, Gerald Lomax",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA
"14","2020-09-12 05:00:02-03","US","US","2832002","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Piptocarpha","santosii","Piptocarpha santosii","H. Rob.","Holotype","T. S. Santos","1670","1971","5","18","South America - Neotropics","Brazil","Bahia",NA,NA,NA,"US00147413","US00147413_01","Eunapolis Colonia estrada of Rio Peixe do W.",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA
"15","2020-09-12 05:00:02-03","US","US","3036199","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Piptocarpha","santosii","Piptocarpha santosii","H. Rob.",NA,"P. J. M. Maas & G. Martinelli","3228","1977","10","12","South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,NA,"US01634324","US01634324_01","Parque Nacional do Itatiaia, disturbed forest near Veu da Noiva",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1000","1100","1",NA
"16","2020-09-12 05:00:02-03","US","US","3334632","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Piptocarpha","santosii","Piptocarpha santosii","H. Rob.",NA,"L. Costa","511","1990","9","23","South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,"US01634323","US01634323_01","E.B.C. Caratinga - MG",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA
"17","2019-11-13 11:16:30-03","USP","SPF","193229","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","robusta","Piptocarpha robusta","G.M.Barroso","isotype","Duarte, AP","9758","1969","05","08",NA,"Brasil","Espírito Santo","Nova Venécia",NA,NA,"SPF00193229",NA,NA,"-40.4006004333496","-18.710599899292","42400","auto","Anônimo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-13 11:16:30-03","USP","SPF","216915","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","robusta","Piptocarpha robusta","G.M.Barroso",NA,"Folli, DA","6368","2009","06","26",NA,"Brasil","Espírito Santo","Rio Bananal",NA,NA,"SPF00216915",NA,NA,"-40.3333015441895","-19.2649993896484","22148","auto","Volet, DP","2019","04",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-10-07 09:11:55-03","UEFS","HUEFS","126792","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Piptocarpha","robusta","Piptocarpha robusta","G.M.Barroso",NA,"Paixão, J.L.","1056","2006","08","18",NA,"Brasil","Bahia","Potiraguá",NA,"Mata higrófila sul bahiana.","HUEFS0126792","HUEFS0126792","Rod. que liga a BR 101 com Itapetinga, ca. 15 Km de Itaibé, Faz. Idependência. Área com ação antropica, proviniente da extração da madeira.","-39.575","-15.203333",NA,NA,"M.Zugaib","2012","10",NA,"Asteranae","39W34'30''","15S12'12''",NA,NA,NA,NA
"20","2019-10-07 09:11:55-03","UEFS","HUEFS","152443","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Piptocarpha","robusta","Piptocarpha robusta","G.M.Barroso","Isótipo","Duarte, A.P.","9758","1966","05","08",NA,"Brasil","Espírito Santo","Nova Venécia",NA,NA,"HUEFS0152443","HUEFS0152443","Cristalino.","-40.4006004333496","-18.710599899292","42400","auto",NA,NA,NA,NA,"Asteranae",NA,NA,NA,NA,NA,NA
"21","2019-01-23 12:45:34-02","F","FMNH-SEEDPLANTS","V0092290F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Piptocarpha","robusta","Piptocarpha robusta",NA,"Isotype","A. P. Duarte","RB 131650","1966","5","8","South America","Brazil","Espírito Santo",NA,NA,NA,"V0092290F","V0092290F_01","Nova Venecia, Cristalino",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"22","2020-07-23 11:59:25-03","CEPLAC","CEPEC","6858","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","robusta","Piptocarpha robusta",NA,"Isótipo","T. S. dos Santos","1670","1988","12","21",NA,"Brasil","Bahia","EUNÁPOLIS",NA,NA,NA,NA,"Eunapolis, Colonia, estrada a W para Rio do Peixe.","-39.5802993774414","-16.3775005340576","37596","auto","SpeciesLink/lacunas",NA,NA,NA,NA,"0W0'0","0S0'0",NA,NA,NA,"30/12/1979"
"23","2020-07-23 11:59:25-03","CEPLAC","CEPEC","118485","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","robusta","Piptocarpha robusta",NA,NA,"J. L. da Paixão","1056","2006","08","18",NA,"Brasil","Bahia","POTIRAGUÁ",NA,NA,NA,NA,"Rod. que liga BR-101/Itapetinga, ca. 15Km de Itambé. Faz. Independência.","-39.575","-15.203333",NA,NA,"M. Zugaib",NA,NA,NA,NA,"39W34'30","15S12'12",NA,NA,NA,"28/02/2012"
"24","2020-07-23 11:59:25-03","CEPLAC","CEPEC","36794","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","robusta","Piptocarpha robusta",NA,"Isótipo","A. P. Duarte","9758","1966","05","08",NA,"Brasil","Bahia","NOVA VENÉCIA",NA,NA,NA,NA,"Cristalina.",NA,NA,NA,NA,"A. P. Duarte",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1966"
"25","2020-12-17 09:29:05-03","IBt","SP","415682","S","Plantae",NA,NA,"Asteraceae","Piptocarpha","robusta","Piptocarpha robusta","G.M.Barroso","Isotype","Duarte, AP","9758","1969","05","08",NA,"Brasil","Espírito Santo","Nova Venécia",NA,NA,"SP000534","SP000534","Cristalino","-40.4006004333496","-18.710599899292","42400","auto","Barroso, GM","1969",NA,NA,NA,NA,NA,NA,NA,NA,NA
