"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"14","2016-09-01 11:57:59-03","FFCLRP","LBMBP","1271","S","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","Lindl.","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-21 14:40:39-03","UFJF","CESJ","57711","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","L. Menini Neto","2010","07",NA,"V.A.O. Dittrich; T.C. Novais","2010","04","25","Brasil","Bahia","Jacaraci","Morro do Chapéu, Altit. aprox.: 1400m. Coord. geogr. aprox.: 14º53'44 S, 42º30'54 W.","-42.515","-14.895556","-42.515","-14.895556","Epífita a aproximadamente 2m de altura, em grota úmida. Flores alaranjadas.","CESJ057711",NA,"Angiosperma",NA,"1682","América do Sul","1400","1400",NA,NA,NA,NA,NA,NA,NA
"16","2020-06-30 18:32:37-03","UFJF","CESJ","67002","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","B. Moreira",NA,NA,NA,"B. Moreira; M.C. Delgado","2015","03","20","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Nanofloresta nebular, atrás das casas dos gestores","-43.9075","-21.715278","-43.9075","-21.715278","Epífita, flores laranja. Interior de mata","CESJ067002",NA,"Angiosperma",NA,"171","América do Sul","1340","1340",NA,NA,NA,NA,NA,NA,NA
"17","2019-11-21 14:40:39-03","UFJF","CESJ","50085","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","N.L. Abreu","2008","03","31","N.L. Abreu; C.N. Matozinhos","2008","03","31","Brasil","Minas Gerais","Rio Preto","Serra Negra, Trilha para a Gruta do Funil.","-43.8278007507324","-22.0891990661621",NA,NA,"Erva saxícola emcampo rupestre.Ppseudobulbo e folhas verdes . Sépalas e pétalas alaranjadas, porção apical estriada de vináceo, labelo alaranjado claro, levemente estriado de vináceo, coluna e anteras creme.","CESJ050085",NA,"Angiosperma",NA,"197","América do Sul",NA,NA,NA,"20815","auto",NA,NA,NA,NA
"18","2019-11-21 14:40:39-03","UFJF","CESJ","46624","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","N.L. Abreu","2006","02",NA,"N.L. Abreu; C.N. Matozinhos; L. Menini Neto; T.U.P. Konno; T. Mota; V. Belchior; P.L. Viana","2006","01","21","Brasil","Minas Gerais","Rio Preto","Serra Negra, Trilha para o Ninho da Égua.","-43.8278007507324","-22.0891990661621",NA,NA,"Erva epífita. pseudobulbo verde matizado de castanho; folha verde; pedúnculo castanho. Sépalas e pétalas laranja com a metade apical estriada de vináceo. Labelo laranja-claro levemente estriado de vináceo. Coluna e anteras creme.","CESJ046624",NA,"Angiosperma",NA,"62","América do Sul",NA,NA,NA,"20815","auto",NA,NA,NA,NA
"19","2021-03-01 16:20:02-03","UNICAMP","UEC","133190","S","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Koehler, S","2002","05",NA,"Laessoe, T; Silva, T; Ganev, W","1992","03","24","Brazil","Bahia","Abaíra","Campo de Ouro Fino","-41.9","-13.25","-41.9","-13.25","Flor cor-de-laranja. Labelo com estrias vináceas, calo avermelhado e coluna amarelada, cálcar ligeiramente vináceo, pedúnculo verde-vináceo.; Sobre rochas. Beira do rio.","UEC083083","UEC083083","Liliopsida",NA,"H53331",NA,"1600","1700",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-01 16:20:02-03","UNICAMP","UEC","160073","S","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Forster, W","2011","12",NA,"Lombardi, JA; Saka, MN; Dinato, DO","2011","03","10","Brazil","São Paulo","São Lourenço da Serra","Reserva Particular do Patrimônio Natural Paiol Maria, Trilha das Águas.","-46.939528","-23.825778","-46.939528","-23.825778","Erva epífita, restos das flores laranja, frutos imaturos verdes.&nf;&nf;; Trilhas no interior de mata atlântica secundária.","UEC017744","UEC017744","Liliopsida",NA,"8070",NA,"707","743",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:20:02-03","UNICAMP","UEC","87844","S","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Koehler, S","2002","05",NA,"Garcia, RJF; Sordi, SJ; Coffani-Nunes, JV; Oliveira, LF; Soares, JM","1996","12","19","Brazil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha para Rio Embu-Guaçu.","-46.733611","-23.987778","-46.733611","-23.987778","Epífita. Flores laranja. Também na coleção viva.","UEC083091","UEC083091","Liliopsida",NA,"975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-01 16:20:02-03","UNICAMP","UEC","135434","S","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Singer, RB","2005","05","14","Simões, AO; Jannini, AW; Singer, RB","1999","03","15","Brazil","Minas Gerais","Carrancas","Cachoeira da Zilda","-44.6425018310547","-21.4874992370605",NA,NA,"Epífita, 40cm. Flores alaranjadas, tubulosas.; Mata.","UEC083085","UEC083085","Liliopsida",NA,"776",NA,NA,NA,NA,"21143","auto",NA,NA,NA,NA
"23","2021-03-01 16:20:02-03","UNICAMP","UEC","137612","S","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.",NA,NA,NA,NA,"Singer, RB","1999","02","10","Brazil","Minas Gerais","Carrancas","Cachoeira da Zilda","-44.6425018310547","-21.4874992370605",NA,NA,"Material coletado para extração de DNA.","UEC083088","UEC083088","Liliopsida",NA,"s.n.",NA,NA,NA,NA,"21143","auto",NA,NA,NA,NA
"24","2021-03-01 16:20:02-03","UNICAMP","UEC","150035","S","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Koehler, S",NA,NA,NA,"Singer, RB; et al.","2000","04","07","Brazil","Minas Gerais","Carrancas","Cachoeira da Zilda","-44.6425018310547","-21.4874992370605",NA,NA,"Flores alaranjadas.","UEC083089","UEC083089","Liliopsida",NA,"s.n.",NA,NA,NA,NA,"21143","auto",NA,NA,NA,NA
"25","2021-03-01 16:20:02-03","UNICAMP","UEC","135435","S","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Singer, RB","2005","05","14","Simões, AO; Belinello, R; Singer, RB","1998","12","01","Brazil","Minas Gerais","Carrancas","Serra do Moleque","-44.6425018310547","-21.4874992370605",NA,NA,"Rupícola. Flores alaranjadas com estrias avermelhadas internamente, inodoras, vistosas.; Afloramento a 1400m de altitude.","UEC083086","UEC083086","Liliopsida",NA,"584",NA,"1400","1400",NA,"21143","auto",NA,NA,NA,NA
"26","2021-03-01 16:20:02-03","UNICAMP","UEC","117751","S","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.",NA,NA,NA,NA,"Simões, AO","1999","10",NA,"Brazil","Minas Gerais","Carrancas","(sk36).","-44.6425018310547","-21.4874992370605",NA,NA,"Material coletado para extração de DNA.","UEC083090","UEC083090","Liliopsida",NA,"s.n.",NA,NA,NA,NA,"21143","auto",NA,NA,NA,NA
"27","2021-03-01 16:20:02-03","UNICAMP","UEC","17215","S","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Koehler, S","2002","05",NA,"Leitão Filho, HF; Shepherd, GJ; Stubblebine, WH; et al.","1978","12","14","Brazil","Minas Gerais","Santa Bárbara","Serra do Caraça","-43.4152984619141","-19.959400177002",NA,NA,"Flor laranja.; Sobre pedras. Nativo em matas e campos rupestres.","UEC083092","UEC083092","Liliopsida",NA,"9780",NA,NA,NA,NA,"33136","auto",NA,NA,NA,NA
"28","2021-03-01 16:20:02-03","UNICAMP","UEC","137607","S","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.",NA,NA,NA,NA,"Orquidário Binot","2000","02","12","Brazil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666",NA,NA,"Material coletado para extração de DNA.","UEC083087","UEC083087","Liliopsida",NA,"s.n.",NA,NA,NA,NA,"36524","auto",NA,NA,NA,NA
"29","2021-02-12 10:02:13-03","UNICAMP","UEC","153144","S","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.",NA,NA,NA,NA,"Pinheiro, F","2010",NA,NA,"Brazil","São Paulo","São Paulo","instituto de botânica, Orquidário em cultivo sob núm. 10468","-46.6300010681152","-23.5400009155273",NA,NA,NA,"UEC083093","UEC083093","Liliopsida",NA,"590",NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA
"30","2021-02-12 10:02:13-03","UNICAMP","UEC","153145","S","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.",NA,NA,NA,NA,"Pinheiro, F","2010",NA,NA,"Brazil","São Paulo","São Paulo","instituto de botânica, Orquidário em cultivo sob núm. 15682","-46.6300010681152","-23.5400009155273",NA,NA,NA,"UEC083094","UEC083094","Liliopsida",NA,"589",NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA
"31","2019-11-06 09:56:49-03","UFOP","OUPR","25165","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","Lindl.","Ferreira, M.T.M.","2011","01",NA,"Ferreira, M.T.M.","2010","12","14","Brasil","Minas Gerais","Ouro Preto","Serra da Brígida, Parque Nacional Municipal das Andorinhas","-43.503056","-20.359722","-43.503056","-20.359722","Epifita e terricola. Petalas e sepalas alaranjadas com listas avermelhadas. Floresta Estacional Semidecidual Altimontana, cercada com altura maxima de 8m, episódios frequentes de neblina no periodo da manha",NA,NA,NA,NA,"27",NA,"1490","1490",NA,NA,NA,NA,NA,NA,NA
"32","2019-11-06 09:56:49-03","UFOP","OUPR","6601","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","Lindl.","Antônio-Silva, L.","2010","12","06","Roschel, M.B.; Craig, J.","1997","01","22","Brasil","Minas Gerais","Ouro Preto","Córrego do Macaco, Alegria Sul - Antonio Parreira","-43.5080986022949","-20.2875003814697",NA,NA,"Orla de mata em beira de corrego. Erva epífita. Flores alaranjadas",NA,NA,NA,NA,"460",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA
"33","2020-10-14 10:03:57-03","FURB","FURB","14898","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Korte, A","2009","09","24","Korte, A.; Kniess, A.","2009","09","24","Brasil","Santa Catarina","Botuverá","Cinema.","-49.23","-27.27","-49.2300000","-27.2700000","Florística IFFSC 466 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita;","FURB34523","FURB34523",NA,NA,"350",NA,"526","526",NA,NA,NA,NA,NA,NA,NA
"34","2020-10-14 10:03:57-03","FURB","FURB","16578","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Cadorin, TJ","2009","11","09","Cadorin, T.J.; Clemes, S.M. & Oliveira, C.P.L.","2009","11","09","Brasil","Santa Catarina","Antônio Carlos",NA,"-48.87","-27.45","-48.8700000","-27.4500000",NA,"FURB02690","FURB02690",NA,NA,"548",NA,"710","710",NA,NA,NA,NA,NA,NA,NA
"35","2020-10-14 10:03:57-03","FURB","FURB","20298","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Mancinelli, WS","2011","01","10","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2010","01","26","Brasil","Santa Catarina","São Martinho","Chicão.","-48.87","-28.08","-48.8700000","-28.0800000","Epífita IFFSC e173a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita; flor laranja com listras roxas","FURB34512","FURB34512",NA,NA,"1040",NA,"526","526",NA,NA,NA,NA,NA,NA,NA
"36","2020-10-14 10:03:57-03","FURB","FURB","20797","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Mancinelli, WS","2011","01","10","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","2010","02","23","Brasil","Santa Catarina","Florianópolis","Morro da Lagoa.","-48.4755556","-27.5766667","-48.4755556","-27.5766667","Epífita IFFSC e8004a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita de Cyathea; Fruto rosado;","FURB34514","FURB34514",NA,NA,"1414",NA,"444","444",NA,NA,NA,NA,NA,NA,NA
"37","2020-10-14 10:03:57-03","FURB","FURB","21413","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Schmitt, J","2010","03","20","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2010","02","17","Brasil","Santa Catarina","Rio do Sul","Fazenda Mirador.","-49.59","-27.09","-49.5900000","-27.0900000","Epífita IFFSC e573a (Acima de 4m) Habitat: Ecótono Floresta O. Densa e F.O. Mista; Estágio Avançado Habito: epífita de arbórea; flor corola laranja","FURB34519","FURB34519",NA,NA,"1450",NA,"787","787",NA,NA,NA,NA,NA,NA,NA
"38","2020-10-14 10:03:57-03","FURB","FURB","21659","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Korte, A","2010","02","18","Korte, A.; Kniess, A.","2010","02","18","Brasil","Santa Catarina","Taió","Fazenda Tarumã.","-50.1305556","-27.0002778","-50.1305556","-27.0002778","Florística IFFSC 625 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita;","FURB34516","FURB34516",NA,NA,"1812",NA,"802","802",NA,NA,NA,NA,NA,NA,NA
"39","2020-10-14 10:03:57-03","FURB","FURB","22347","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Stival-Santos, A","2010","03","30","Stival-Santos, A.; Legal, E. & Silveira, S.","2010","03","17","Brasil","Santa Catarina","São José","Forquilhas.","-48.6894444","-27.5402777","-48.6894444","-27.5402777","Florística IFFSC 352 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita; flor alaranjada","FURB34520","FURB34520",NA,NA,"2103",NA,"135","135",NA,NA,NA,NA,NA,NA,NA
"40","2020-10-14 10:03:57-03","FURB","FURB","22660","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Korte, A","2010","03","17","Korte, A.; Kniess, A.","2010","03","17","Brasil","Santa Catarina","Apiúna","Faxinalzinho.","-49.3936111","-27.1802778","-49.3936111","-27.1802778","Florística IFFSC 516 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita; flor alaranjada","FURB34517","FURB34517",NA,NA,"2250",NA,"793","793",NA,NA,NA,NA,NA,NA,NA
"41","2020-10-14 10:03:57-03","FURB","FURB","22763","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Ceolin, LM","2010","04","05","Verdi, M.; Klettenberg, D.H. & Klemz, G.","2010","03","15","Brasil","Santa Catarina","Orleans","Brusque do Sul.","-49.4119444","-28.2597222","-49.4119444","-28.2597222","Florística IFFSC 118 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: epífita; flor laranja com listras vermelhas","FURB34518","FURB34518",NA,NA,"3955",NA,"309","309",NA,NA,NA,NA,NA,NA,NA
"42","2020-10-14 10:03:57-03","FURB","FURB","23323","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Schmitt, J","2010","04","20","Schmitt, J.L.; Cadorin, T.J. & Caglioni, E.","2010","04","06","Brasil","Santa Catarina","Botuverá","Cinema.","-49.23","-27.27","-49.2300000","-27.2700000","Epífita IFFSC e466b (Acima de 4m) - sobre forófito 11 Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita de arbórea; Fruto cápsula verde; flor laranja","FURB34515","FURB34515",NA,NA,"1896",NA,"569","569",NA,NA,NA,NA,NA,NA,NA
"43","2020-10-14 10:03:57-03","FURB","FURB","23843","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Mancinelli, WS; Engels, ME; Smidt, EC","2012","04",NA,"Stival-Santos, A.; Legal, E. & Silveira, S.","2010","04","06","Brasil","Santa Catarina","Angelina","Linha do Chaves.","-48.96","-27.54","-48.9600000","-27.5400000","Florística IFFSC 349 (Rupícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: rupícola;","FURB34507","FURB34507 FURB34507_1",NA,NA,"2398",NA,"718","718",NA,NA,NA,NA,NA,NA,NA
"44","2020-10-14 10:03:57-03","FURB","FURB","24067","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Korte, A","2010","04","01","Korte, A.; Kniess, A.","2010","04","01","Brasil","Santa Catarina","Ascurra","Ilze Grande.","-49.3205556","-27","-49.3205556","-27.0000000","Florística IFFSC 634 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Médio Habito: epífita; flor alaranjada","FURB34511","FURB34511",NA,NA,"2486",NA,"154","154",NA,NA,NA,NA,NA,NA,NA
"45","2020-10-14 10:03:57-03","FURB","FURB","24281","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Cadorin, TJ","2010","03","30","Cadorin, T.J.; Oliveira, C.P.L. & Boing, E.","2010","03","30","Brasil","Santa Catarina","Biguaçu",NA,"-48.78","-27.36","-48.7800000","-27.3600000",NA,"FURB34510","FURB34510",NA,NA,"1795",NA,"440","440",NA,NA,NA,NA,NA,NA,NA
"46","2020-10-14 10:03:57-03","FURB","FURB","24488","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","aureofulva","Bifrenaria aureofulva","(Hook.) Lindl.","Schmitt, JL","2010","03","29","Schmitt, J.L.; Cristofolini, C. & Caglioni, E.","2010","03","29","Brasil","Santa Catarina","Benedito Novo","Fazenda Campo do Zinco.","-49.4977777","-26.9097222","-49.4977777","-26.9097222","Forófito 26. Epífita IFFSC e689b (Acima de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita de arbórea; flor laranja","FURB34513","FURB34513",NA,NA,"1809",NA,"788","788",NA,NA,NA,NA,NA,NA,NA
