"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","day","stateProvince","county","decimalLongitude","decimalLatitude","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","dayIdentified","fieldNumber","individualCount","relationshipType","relatedCatalogItem","sex"
"11","2020-11-04 11:05:27-03","ESALQ","ESA","78543","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Arbo, M.M. et al.","2001","03",NA,"Argentina",NA,NA,NA,"ESA078543","ESA078543","8801.0","14","Corrientes","San Miguel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-22 17:45:20-03","UFPI","TEPB","26103","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"M. P. Silva","2009","02",NA,"Brasil","Salinas",NA,"Flor lilás, liana Ambiente: Cerrado <ll>dwc_commonname:</ll> Ritirana",NA,NA,"235","28","Piauí","Campo Maior","-42.7977","-5.062117",NA,NA,NA,NA,NA,"42°47'862W","05°03'727S","23","23",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-22 17:45:20-03","UFPI","TEPB","26103","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"M. P. Silva","2009","02",NA,"Brasil","Salinas",NA,"Flor lilás, liana Ambiente: Cerrado <ll>dwc_commonname:</ll> Pereiro",NA,NA,"235","28","Piauí","Campo Maior","-42.7977","-5.062117",NA,NA,NA,NA,NA,"42°47'862W","05°03'727S","23","23",NA,NA,NA,NA,NA,NA,NA
"14","2015-07-02 14:01:30-03","JBP","HPL","2441","S","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"E.R. Salviani & H. Lorenzi","2000","09",NA,"Brasil","Infestando pomar.",NA,NA,NA,NA,"1577","13","SP","Tinjuguaba",NA,NA,"E.R. Salviani & H. Lorenzi",NA,NA,"2000","09",NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA
"15","2015-07-02 14:01:30-03","JBP","HPL","2442","S","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"E.R. Salviani & H. Lorenzi","2000","04",NA,"Brasil","Coletada na Fazenda Sta Helena, vegetando no meio do arrozal.",NA,NA,NA,NA,"1360","25","SP","Roseira","-45.3","-22.89","R.S. Bianchini","15110","auto","2000","04",NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,NA
"16","2019-08-27 13:33:16-03","IAP","PACA-AGP","31453","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Rambo, B.","1946","02",NA,"Brasil",NA,NA,"fl. sicher, 20.7.1954.; public. Lilloa 29,155 Habitat: in dumetosis scandens","PACA031453",NA,NA,"01","SC","Sombrio p. Araranguá",NA,NA,"O'Donell",NA,NA,"1954","07",NA,NA,NA,NA,"Magnoliatae","20",NA,NA,NA,NA,NA
"17","2019-08-27 13:33:16-03","IAP","PACA-AGP","46010","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Rambo, B.","1950","02",NA,"Brasil","Lagoa dos Quadros",NA,"fr.fl. sicher, 20.7.1954.; public. Lilloa 29,155.; Habitat: in dumetosis ad lacum scandens","PACA046010",NA,NA,"21","RS","Torres","-49.7268981933594","-29.3353004455566","O'Donell","20837","auto","1954","07",NA,NA,NA,NA,"Magnoliatae","20",NA,NA,NA,NA,NA
"18","2019-08-27 13:33:16-03","IAP","PACA-AGP","41111","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Rambo, B.","1949","04",NA,"Brasil","Ilha da Pintada",NA,"fr.fl. sicher, 20.7.1954.; public. Lilloa 29,155.; Habitat: in paludosis dumetosis scandens","PACA041111",NA,NA,"20","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","O'Donell","29946","auto","1954","07",NA,NA,NA,NA,"Magnoliatae","20",NA,NA,NA,NA,NA
"19","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0040129","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"M. M. Arbo; A. Schinini, R. Vanni, M. G. Pellegrini","1995","4",NA,"Argentina","Dep. Santo Tome. Ruta 41, Galarza. Reserva Natural Provincial del Ibera, Laguna Galarza.",NA,"corloa violacea con centro blanco, voluble.",NA,NA,"6560","25","Corrientes",NA,"-56.666667","-28.083333","A. Schinini",NA,NA,NA,NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA
"20","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0040130","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"S. G. Tressens; W. Barrett, V. Marunak","1994","5",NA,"Argentina","Dep. Ituzaingo. Centro Forestal Villa Olivari. Fiplasto; Empresa Forestal. Costa rio Parana, isla San Gara.",NA,"Rastrera. Flores lila intenso.",NA,NA,"5027","19","Corrientes",NA,"-56.831112","-27.854699","A. Krapovickas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0040128","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"A. Krapovickas; C. L. Cristobal","1994","2",NA,"Paraguay","Frente a Concepcion.",NA,"Voluble. Flores rosadas.",NA,NA,"45113","26","Presidente Hayes",NA,"-57.480106","-23.41395","A. Krapovickas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-07 11:42:27-03","UFMS","CGMS","23681","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"S.N. Moreira; V.J. Pott","2008","08",NA,"Brasil","Fazenda Modelo da Embrapa Gado de Corte, área de varjão proxima à ferrovia.",NA,"Flor roxa. Fruto ausente. Habitat: Campo úmido de Vereda com buriti em domínio de Cerrado. Habito: Erva escandente.","CGMS1053095",NA,"218","24","Mato Grosso do Sul","Terenos","-54.79","-20.5566667","G. Staples",NA,NA,NA,NA,"-54,79","-20,5566667","504","504",NA,NA,NA,NA,NA,NA,NA
"23","2021-04-07 11:42:27-03","UFMS","CGMS","53005","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"V.J. Pott; A. Pott","2006","12",NA,"Brasil","Parque Estadual das Várzeas do Rio Ivinehma, próximo ao Córrego Curupaí, cerca de 10 km da sede.",NA,"Flor rosa. Fruto verde, imaturo. Tubo da corola roxo. Látex branco. Habitat: Campo úmido. Solo hidromórfico, superfície orgânica. Relevo plano deprimido. Habito: Trepadeira. 1,60 m de altura. Mancha ocasional.","CGMS1082971",NA,"8970","13","Mato Grosso do Sul","Naviraí","-53.6594444","-25.9652778","Sarah M. Athiê-Souza",NA,NA,"2015","12","-53,6594444","-25,9652778","230","230",NA,"16",NA,NA,NA,NA,NA
"24","2021-04-07 11:42:27-03","UFMS","CGMS","41636","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"V.J. Pott; A. Pott; A.L.B. Sartori; L.C.P. Lima","2002","04",NA,"Brasil","Rodovia BR-267, Km 291, Córrego Arara, próximo a Rio Brilhante.",NA,"Flor rosa forte. Com látex. Habitat: Planície de inundação de córrego, antropizado ao longo da rodovia. Solo argiloso. Relevo plano. Habito: Trepadeira. Esparsa.","CGMS1071623",NA,"5310","19","Mato Grosso do Sul","Rio Brilhante","-54.5330556","-21.7911111","G. Staples",NA,NA,NA,NA,"-54,5330556","-21,7911111",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-19 14:06:04-03","UFRPE","PEUFR","53367","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"V.J. Pott; A. Pott","2006","11",NA,"Brasil","Parque Estadual das Várzeas do Rio Ivinehma",NA,"Trepadeira de1,60m de altura; Flor rosa, tudo da corola roxo; Fruto verde, imaturo; Mancha ocasional, látex branco.","PEUFR053367",NA,"8970","13","Mato Grosso do Sul","Naviraí","-53.659444","-25.965278","M.T.Buril",NA,NA,"2016","06","53º39'34,00W","25º57'55,00S","230","230",NA,NA,NA,NA,NA,NA,NA
"26","2019-06-27 10:24:37-03","UFES","VIES","37592","S","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Souza, W.O.; Machado, J.O. & Alves-Araújo, A.","2013","03",NA,"Brasil","Parque Estadual de Itaúnas.",NA,NA,"VIES037592","VIES037592","43","27","Espírito Santo","Conceição da Barra","-39.7322006225586","-18.5932998657227",NA,"41644","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-06-27 10:24:37-03","UFES","VIES","37420","S","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Machado, J.O.; Souza, W.O. & Alves-Araújo, A.","2013","12",NA,"Brasil","Parque Estadual de Itaúnas.",NA,NA,"VIES037420","VIES037420","164","05","Espírito Santo","Conceição da Barra","-39.7322006225586","-18.5932998657227",NA,"41644","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-21 19:33:52-03","UFC","EAC","11647","PreservedSpecimen","Plantae","Dicotyledon",NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Fernandes, A.; Matos, F.J.A.","1982","08","Southern America","Brasil",NA,NA,"Trepadeira, flor vermelha.; Capoeira","EAC0011647","EAC0011647","EAC11647","02","Maranhão","Dom Pedro","-44.4416999816895","-5.03332996368408","Falcão, J.","36301","auto","1984","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:21:26-03","MBM","MBM","23581","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Macedo, A.","1949","02","Southern America","Brazil","Santa Terezinha",NA,NA,"MBM023581","MBM023581","1700","18","Minas Gerais","Ituiutaba","-49.4650001525879","-18.968900680542","Simão-Bianchini, R.","50022","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:21:26-03","MBM","MBM","13401","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Hatschbach, G.","1970","02","Southern America","Brazil","Terenos",NA,NA,"MBM013401","MBM013401","23703","17","Mato Grosso","Terenos",NA,NA,"Falcão, J.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-12-21 16:21:26-03","MBM","MBM","170557","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Tressens, S.G.; et al.; et al.","1994","05","Southern America","Argentina",NA,NA,NA,"MBM170557","MBM170557","5027","19",NA,NA,NA,NA,"Krapovickas, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-12-21 16:21:26-03","MBM","MBM","170558","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Krapovickas, A.; et al.; et al.","1994","02","Southern America","Paraguay",NA,NA,NA,"MBM170558","MBM170558","45113","28",NA,NA,NA,NA,"Krapovickas, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-12-21 16:21:26-03","MBM","MBM","45934","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Schulz, A.G.","1938","10","Southern America","Argentina",NA,NA,NA,"MBM045934","MBM045934","2066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-01-09 10:03:08-03","MNHN","RECOLNAT_MNHN_P","P03536023","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Hassler, E.","1901","11",NA,"Paraguai","Cursus superioris fluminis Apa. Paraguai","hb",". Nov. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03536023' target='other'> <mi>dwc_moreinfo</mi></a>","P03536023","P03536023_01",NA,"1",NA,NA,NA,NA,"Simão-Bianchini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7961",NA,NA,NA,NA
"35","2020-11-16 13:23:08-03","UFT","HTO","6407","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"E.A. Soares et al.","2001","06",NA,"Brasil","Estrada Porto Nacional para Brejinho de Nazaré, margeando o rio. Cerrado",NA,NA,NA,NA,"1312","20","TO","Porto Nacional","-48.412533","-10.754767",NA,NA,NA,NA,NA,"48°24,752'W","10°45,286'S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-11-16 13:23:08-03","UFT","HTO","4872","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"E.A. Soares et al.","2000","08",NA,"Brasil","Área de Pinheirópolis. Cerrado",NA,NA,NA,NA,"917","11","TO","Porto Nacional","-48.42255","-10.714217","M.A. da Silva",NA,NA,"2001","10","48°25,353'W","10°42,853'S",NA,NA,NA,"00",NA,NA,NA,NA,NA
"37","2020-11-16 13:23:08-03","UFT","HTO","10716","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"T.F. Melo","2014","09",NA,"Brasil","Setor Jardim dos Ipês, próximo ao campus da UFT. Cerrado antropizado",NA,NA,NA,NA,NA,"15","TO","Porto Nacional","-48.4171981811523","-10.7081003189087",NA,"77281","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2013-06-10 13:06:00-03","MO","MOBOT","100602507","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Stephan G. Beck","1998","12","South America","Bolivia","Espíritu, en la zona de influencia del río Yacuma. Bajío frente a isla Sumuque, área alambrada, parcela con pajonal alto de Panicum tricholaenoides",NA,NA,NA,NA,"Beck 15439","29","Beni","Gral. Ballivian","-66.22","-14.6","R. Simao-Bianchini (SP)",NA,NA,NA,NA,NA,NA,"200.00000000",NA,NA,NA,NA,"1",NA,NA,NA
"39","2016-11-15 05:15:00-02","MO","MOBOT","100548097","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Antonio C. Krapovickas|Aurelio Schinini",NA,NA,"South America","Bolivia",NA,NA,NA,NA,NA,"Krapovickas 36379",NA,"Santa Cruz","Chiquitos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"40","2020-05-27 04:38:00-03","MO","MOBOT","100616494","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"J.R.I. Wood|D. Villarroel|Moises Mendoza","2010","12","South America","Bolivia","Km 35 sobre el camino de Santa Rosa de la Roca a Piso Firme.",NA,NA,NA,NA,"Wood 27081","5","Santa Cruz","Velasco","-61.5275","-15.6555556","J.R.I. Wood (OXF)",NA,NA,NA,NA,NA,NA,"405.00000000",NA,NA,NA,NA,"1",NA,NA,NA
"41","2008-05-27 22:02:00-03","MO","MOBOT","1841514","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Gerrit Davidse|Mauricio Ramia|Rubén A. Montes","1973","12","South America","Venezuela","29 km SE of Maturin along Highway 10. Open treeless Trachypogon savanna with Sorghastrum, Axonopus, and Paspalum dominant in low areas.",NA,NA,NA,NA,"Davidse 4590","1","Monagas",NA,NA,NA,"D.F. Austin",NA,NA,NA,NA,NA,NA,"140.00000000",NA,NA,NA,"853",NA,NA,NA,NA
"42","2008-05-27 22:02:00-03","MO","MOBOT","1961580","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"R. Haase","1985","8","South America","Bolivia","Luisita, sabana humeda, W del rio Beni",NA,NA,NA,NA,"Haase 666","29","La Paz","Abel Iturralde","-67.25","-13.08333","A. Fuentes (USZ)",NA,NA,NA,NA,NA,NA,"180.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"43","2012-04-10 05:01:00-03","MO","MOBOT","2198232","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Elena Schwindt","1949","2","South America","Argentina","Montecarlo",NA,NA,NA,NA,"Schwindt 1307","25","Misiones","Montecarlo","-54.78333","-26.56666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2011-04-03 17:25:00-03","MO","MOBOT","2254593","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Carmen L. Cristóbal|Dieter C. Wasshausen|Victor Maruñak","1993","9","South America","Argentina","5 Km W del acceso a Ituzaingó",NA,NA,NA,NA,"Cristóbal 2259","23","Corrientes","Ituzaingó",NA,NA,"Krapovickas, A., //",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-03-26 04:30:00-03","MO","MOBOT","2403183","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Carlos A. O'Donell","1948","3","South America","Argentina","Posadas, orillas del río, zona portuaria",NA,NA,NA,NA,"O'Donell 5602","27","Misiones","Capital","-55.9","-27.38333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2010-11-21 08:41:00-02","MO","MOBOT","2403198","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"G.J. Schwarz","1948","3","South America","Argentina","Puerto Santo Pipó",NA,NA,NA,NA,"Schwarz 5577","6","Misiones","San Ignacio","-55.4","-27.13333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2016-11-15 05:15:00-02","MO","MOBOT","2488280","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Antonio C. Krapovickas|Carmen L. Cristóbal","1994","2","South America","Paraguay","Frente a Concepción",NA,NA,NA,NA,"Krapovickas 45113","28","Presidente Hayes",NA,NA,NA,"Krapovickas, A., //",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2015-04-21 08:58:00-03","MO","MOBOT","2828055","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","fimbriosepala","Ipomoea fimbriosepala","Choisy",NA,"Franklin Ayala","1975","4","South America","Peru","Iquitos. Moronacocha.",NA,NA,NA,NA,"Ayala Flores 808","16","Loreto","Maynas",NA,NA,"J.R.I. Wood (OXF)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
