"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","infraspecificEpithet","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","recordNumber","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"11","2021-02-11 17:20:57-03","UFPR","UPCB","85601","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb. f.","Klein, J.",NA,NA,NA,NA,"Brasil",NA,"Amostra conservada em solução de glicerina com álcool..",NA,NA,NA,NA,"Smidt, E.C.",NA,NA,NA,"Rio Grande do Sul","São Francisco de Paula","-50.5835990905762","-29.4480991363525","76715","auto",NA,NA,"63",NA,NA,NA
"12","2020-08-20 14:54:45-03","UFSC","FLOR","2426","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb.f.","Bresolin, A.","1971","03","17",NA,"Brasil","Morro da Felicidade, Pântano do Sul, Ilha de Santa Catarina.","epífito, flor amarelo-salpicado marrom-claro","FLOR0002426",NA,NA,NA,"Pabst, G.","1971","06","20","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000","auto",NA,NA,"210","350","350",NA
"13","2020-08-20 20:37:53-03","UFSC","FLOR","3872","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb.f.","Bresolin, A.","1968","03","14",NA,"Brasil","Morro do Ribeirão, Ilha de Santa Catarina.","epífito, flor amarelo-creme salpicada de marrom","FLOR0003872",NA,NA,NA,"Pabst, G.","1976",NA,NA,"Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000","auto",NA,NA,"12",NA,NA,NA
"14","2020-08-20 14:54:45-03","UFSC","FLOR","2523","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb.f.","Klein, R.M.; Bresolin, A.","1969","09","11",NA,"Brasil","Morro do Ribeirão, Ilha de Santa Catarina.","flor amarelo marrom","FLOR0002523",NA,NA,NA,"Pabst, G.","1969","05","29","Santa Catarina","Florianópolis","-48.5491981506348","-27.596700668335","27000","auto",NA,NA,"8229","500","500",NA
"15","2017-09-11 17:11:53-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb.f.","Incógnit",NA,NA,NA,NA,"?","Patria non indicata, sed verisimiliter Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA
"16","2017-09-11 17:11:53-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb.f.","Incógnit",NA,NA,NA,NA,"?","Patria non indicata, sed verisimiliter Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA
"17","2021-02-08 12:52:15-03","UFRGS","ICN","014980","S","Plantae",NA,NA,"Orchidaceae","Grobya","bibrachiata","Grobya bibrachiata riograndensis","Pabst","Dutra, J",NA,NA,NA,"América do Sul","Brasil","mato",NA,"ICN00000442","ICN00000442 ICN00000442_1 ICN00000442_2","Monocotyledon","riograndensis","Pabst, (Dutra) GF",NA,NA,NA,"RS","Ferrabras",NA,NA,NA,NA,NA,NA,"980",NA,NA,"Holotypus"
"18","2021-02-08 12:52:15-03","UFRGS","ICN","040940","S","Plantae",NA,NA,"Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb.f.","Waechter, JL","1978","03","31","América do Sul","Brasil","Faxinal","Epifítica com flores amarelo-pálidas, tendendo levemente ao verde, com manchas purpúreas nas pétalas e no labelo, flores aromáticas, com odor agreste, lembrando mel.; Sobre figueira caída","ICN00040038",NA,"Monocotyledon",NA,"Waechter, JL",NA,NA,NA,"RS","Torres","-49.7268981933594","-29.3353004455566","20837","auto",NA,NA,"777",NA,NA,NA
"19","2019-11-21 10:13:23-03","IBt","SP","30557","S","Plantae",NA,NA,"Orchidaceae","Grobya","bibrachiata","Grobya bibrachiata","Hoehne","Zoéga, F","1933","04",NA,NA,"Brasil","Cidade Jardim. Mata",NA,"SP002072","SP002072",NA,NA,"Hoehne, FC","1933",NA,NA,"São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,"s.n.",NA,NA,"Holotype"
"20","2019-11-21 10:13:23-03","IBt","SP","247762","S","Plantae",NA,NA,"Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb.f.","Campacci, MA",NA,NA,NA,NA,"Brasil","Sine loco",NA,NA,NA,NA,NA,"Barros, F","1991","03","20",NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA
"21","2019-11-21 10:13:23-03","IBt","SP","47223","S","Plantae",NA,NA,"Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb.f.","Leite, JE",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"Barros, F","2001","08",NA,"Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,"397",NA,NA,NA
"22","2019-11-21 10:13:23-03","IBt","SP","14603","S","Plantae",NA,NA,"Orchidaceae","Grobya","fascifera","Grobya fascifera","Rchb.f.","Hoehne, FC","1924","04","11",NA,"Brasil","Alto da Serra, Estação Biológica",NA,NA,NA,NA,NA,"Barros, F","2001","08",NA,"São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA,"s.n.",NA,NA,NA
