"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus"
"11","2021-03-15 16:37:00-03","NY","NYBG","538495","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Wittrockia","echinata","Wittrockia echinata","Leme","E. M. C. Leme",NA,NA,"W. W. Thomas","1992","05","07","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré.","-39.0617","-14.4231",NA,NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110599' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"9191","South America",NA,NA,"fluid-preserved","NY00538495",NA,NA,NA,NA,NA,NA
"12","2019-08-20 09:59:18-03","UNICAMP","UEC","88329","S","Plantae","Liliopsida",NA,"Bromeliaceae","Wittrockia","echinata","Wittrockia echinata","Leme",NA,NA,NA,"Sartori, ALB; Koch, I; Mansano, VF; Sciamarelli, A; Goldenberg, R","1996","08","25","Brazil","Bahia","Uruçuca","Serra Grande","-39.2844009399414","-14.5930995941162","33791",NA,"flor, Epífita, em floresta alta, em encosta. Frutos com sépalas vermelhas, aristadas.","auto","285",NA,NA,NA,NA,"UEC043277","UEC043277",NA,NA,NA,NA,NA
"13","2014-04-14 22:47:00-03","MO","MOBOT","2754168","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","echinata","Aechmea echinata","(Leme) Leme","D. Crayn (STRI)",NA,NA,"André M. de Carvalho|W. Wayt Thomas|Talmon S. dos Santos","1991","7","1","Brazil","Bahia",NA,"Município de Uruçuca, Distrito de Serra Grande. 7.3 Km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.01666","-14.41666",NA,NA,NA,NA,"Carvalho 3360","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2009-12-03 09:29:00-02","MO","MOBOT","2754175","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","echinata","Aechmea echinata","(Leme) Leme","D. Crayn (STRI)",NA,NA,"Ivón M. Ramírez M.","1994","8","11","Brazil","Bahia",NA,"Município de Uru|7ca ca 7.3 km de la carretera Serra Grande/Itacaré, región de bosque húmedo, con sosotbasque dominado pop Cryptanthus pseudopetiolatus(Bromeliaceae), Scleris sp.(Cyperaceae), y varias especies de palmas(Arecaceae)","-39.55194","-14.42361",NA,NA,NA,NA,"Ramírez Morillo 472","South America","100.00000000","120.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-04 11:04:38-03","UFRB","HURB","23982","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","echinata","Aechmea echinata","(Leme) Leme",NA,NA,NA,"Souza, E.H.; Cavalcante, B.P.; Resende-Silva, K.; Martins, J.","2018","07","07","Brasil","Bahia","Uruçuca","Serra Grande; Rodovia BA 001- Itacaré/Ilhéus","-39.053944","-14.428",NA,NA,"Acesso Incorporado ao BGB 898 Embrapa Mandioca e Fruticultura. Planta terrestre, folhas verdes com espinhos, inflorescência vermelha",NA,"138",NA,NA,NA,NA,"HURB000023982","HURB000023982","39º03'14,2W","14º25'40,8S",NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","3596815","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Aechmea","echinata","Aechmea echinata","(Leme) Leme",NA,NA,NA,"W. Thomas, A. M. Carvalho, J. Kallunki, T. S. Santos & et al.","1995","5","8","Brazil","Bahia",NA,"Mun. Uruçuca: 7.4 km north of Serra Grande on road to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian Moist Forest.","-39.0606","-14.4233",NA,"1",NA,NA,"10819","South America - Neotropics",NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA
"17","2020-07-23 12:00:41-03","CEPLAC","CEPEC","94462","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","echinata","Aechmea echinata",NA,"W. W. Thomas",NA,NA,"W. W. Thomas","1986","08","05","Brasil","Bahia","ITACARÉ","10Km ao W junção Rod. Ilhéus/Itacaré (BA-001) Rod. p/ Itacaré p/ BR-101, depois 1.6Km ao S da Fazenda na Rod. p/ Reserva Fazenda Capitão.","-39.083333","-14.333333",NA,NA,NA,NA,"13059",NA,NA,NA,NA,NA,NA,"39W5'","14S20'",NA,"30/12/2002",NA
"18","2020-07-23 12:00:41-03","CEPLAC","CEPEC","82560","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","echinata","Aechmea echinata",NA,"G. M. Sousa",NA,NA,"I. Ramirez","1994","08","11","Brasil","Bahia","URUÇUCA","Ca. 7,3Km na estrada Serra Grande/Itacaré.","-39.551944","-14.423611",NA,NA,NA,NA,"472",NA,NA,NA,NA,NA,NA,"39W33'7","14S25'25",NA,"28/02/2000",NA
"19","2020-07-23 12:00:41-03","CEPLAC","CEPEC","17623","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","echinata","Aechmea echinata",NA,"T. Wendt",NA,NA,"G. Martinelli","1979","07","26","Brasil","Bahia","URUÇUCA","Estrada Uruçuca/Serra Grande, próx. ao Km 23.","-39.2844009399414","-14.5930995941162","33791",NA,NA,"auto","6077",NA,NA,NA,NA,NA,NA,NA,NA,NA,"03/04/2003",NA
"20","2020-07-23 12:01:08-03","CEPLAC","CEPEC","41300","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Wittrockia","echinata","Wittrockia echinata",NA,"E. M. C. Leme",NA,NA,"L. A. Mattos-Silva","1987","04","28","Brasil","Bahia","ITACARÉ","Rod. Itacare/Ubaitaba (BA-654), prox. a antiga Barragem.","-39.033333","-14.3",NA,NA,NA,NA,"2187",NA,NA,NA,NA,NA,NA,"39W2'","14S18'",NA,"30/12/1995","Paratipo"
"21","2020-07-23 12:01:08-03","CEPLAC","CEPEC","52236","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Wittrockia","echinata","Wittrockia echinata",NA,"E. M. C. Leme",NA,NA,"A. M. de Carvalho","2010","12","01","Brasil","Bahia","URUÇUCA","Distrito de Serra Grande. 7.3Km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Santa Cruz.","-39.016667","-14.416667",NA,NA,NA,NA,"3360",NA,NA,NA,NA,NA,NA,"39W1'","14S25'",NA,"30/12/1995","Holótipo"
"22","2020-07-23 12:01:08-03","CEPLAC","CEPEC","56595","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Wittrockia","echinata","Wittrockia echinata",NA,"E. M. C. Leme",NA,NA,"W. W. Thomas","2000","05","09","Brasil","Bahia","URUÇUCA","7.3Km ao N Sera Grande Rod. P/ Itacaré. Área de estudo.","-39.016667","-14.416667",NA,NA,NA,NA,"9191",NA,NA,NA,NA,NA,NA,"39W1'","14S25'",NA,"30/04/1995",NA
"23","2020-07-23 12:01:08-03","CEPLAC","CEPEC","69096","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Wittrockia","echinata","Wittrockia echinata",NA,"A. M. Amorim",NA,NA,"W. W. Thomas","1995","05","08","Brasil","Bahia","URUÇUCA","7.4Km ao N de Serra Grande Rod. P/ Itacaré, Faz. Lagoa do Conj. Sta. Cruz.","-39.060556","-14.423333",NA,NA,NA,NA,"10891",NA,NA,NA,NA,NA,NA,"39W3'38","14S25'24",NA,"30/12/1996",NA
"24","2020-07-23 12:01:08-03","CEPLAC","CEPEC","7435","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Wittrockia","echinata","Wittrockia echinata",NA,"H. E. Luther",NA,NA,"R. S. Pinheiro","1971","07","23","Brasil","Bahia","ILHÉUS","Rod. Lagoa Encantada.","-39.0494003295898","-14.7889003753662","61245",NA,NA,"auto","1484",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/05/1997",NA
