"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","phylum","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","00978755","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby",NA,"G. G. Hatschbach","34568","1974","07","18","South America","Brazil","Minas Gerais","Prata","Rod. BR 153, Corrego Jacu","-48.9242","-19.3072",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062463' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978755","Magnoliophyta",NA,"NY00978755_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1161566","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby",NA,"R. Spruce","s.n.","1850","06",NA,"South America","Brazil","Pará",NA,"in vicinibus Santarem.","-54.740486","-2.449614",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371414' target='other'> <mi>dwc_moreinfo</mi></a>","NY01161566","Magnoliophyta",NA,"NY01161566_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1581333","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby",NA,"B. Maguire","40481","1955","01","03","South America",NA,NA,NA,"Frontier between Territorio do Rio Branco, Brazil and Estado Bolivar, Venezuela. Along watercourse near Caju",NA,NA,"1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1887615' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581333","Magnoliophyta",NA,"NY01581333_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00978779","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby",NA,"G. G. Hatschbach","36995","1975","05","29","South America","Brazil","Minas Gerais","Prata","BR-153","-48.9242","-19.3072",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978779","Magnoliophyta",NA,"NY00978779_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00978831","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby",NA,"G. C. G. Argent","6840","1968","09","05","South America","Brazil","Mato Grosso",NA,"c 25 km S along road from Base Camp","-51.77","-12.82",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978831","Magnoliophyta",NA,"NY00978831_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","02474395","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","paraguayensis","Chamaecrista viscosa paraguayensis","(Chodat & Hassl.) H.S.Irwin & Barneby","A. O. de Souza","M. F. Simon","2360","2014","03","25","South America","Brazil","Mato Grosso","Vila Bela da Santíssima Trindade","Ao longo da MT-246, 24 km W de Vila Bela, ramal 1 km ao N","-59.7289","-15.0497","218","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2690271' target='other'> <mi>dwc_moreinfo</mi></a>","NY02474395","Magnoliophyta",NA,"NY02474395_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-10-21 18:18:00-02","NY","NYBG","1581345","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","paraguayensis","Chamaecrista viscosa paraguayensis","(Chodat & Hassl.) H.S.Irwin & Barneby",NA,"E. M. Zardini","26916","1991","03","03","South America","Paraguay","Cordillera",NA,"Tobatí. Ybytú Silla mesa","-57.12","-25.2","297","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1887760' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581345","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1581297","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","viscosa","Chamaecrista viscosa viscosa","(Kunth) H.S.Irwin & Barneby",NA,"F. J. Hermann","11167","1944","02","01","South America","Colombia","Meta",NA,"½ NE San Martín",NA,NA,"405","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1886542' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581297","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1161557","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","M. G. da Silva","1450","1968","08","07","South America","Brazil","Pará",NA,"Gurupá, arredores do aeroporto","-51.6340524","-1.4108227",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1371806' target='other'> <mi>dwc_moreinfo</mi></a>","NY01161557","Magnoliophyta",NA,"NY01161557_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-10-21 18:18:00-02","NY","NYBG","1581343","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","paraguayensis","Chamaecrista viscosa paraguayensis","(Chodat & Hassl.) H.S.Irwin & Barneby",NA,"E. M. Zardini","25898","1991","01","12","South America","Paraguay","Caaguazú",NA,"Arroyo Cambay-Arroyo Guaranunga, 3 km N of Arroyo Cambay","-55.92","-25.38",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1887758' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581343","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00978807","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby",NA,"J. M. Pires","2268","1950","05","26","South America","Brazil","Maranhão","Carolina","Perto de Carolina","-47.46989","-7.33161",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978807","Magnoliophyta",NA,"NY00978807_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00978834","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","paraguayensis","Chamaecrista viscosa paraguayensis","(Chodat & Hassl.) H.S.Irwin & Barneby",NA,"G. M. Magalhaes","19069","1963","05","29","South America","Brazil","Minas Gerais",NA,"Santa Vitória, próximo a cidade",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978834","Magnoliophyta",NA,"NY00978834_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1581307","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","viscosa","Chamaecrista viscosa viscosa","(Kunth) H.S.Irwin & Barneby",NA,"J. Estrada","323","1987","09","23","South America","Colombia","Meta","San Juan de Arama","Estación La Curia, Reserva Natural de La Macarena, El Tablazo, ladera oriental al SW",NA,NA,"580","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1886636' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581307","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00978731","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","M. Pereira Neto","421","1989","07","31","South America","Brazil","Minas Gerais","Formoso","Parque Nacional Grande Sertao Veredas. Fazenda do Sr. Edgar, cerrado a 10 km da sede da Fazenda, próximo ao Rio Carinhanha","-45.78","-15.15","760","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978731","Magnoliophyta","760","NY00978731_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00978829","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","R. C. Vieira","48","1980","09","24","South America","Brazil","Minas Gerais","Uberlândia","Fazenda Experimental do Glória, U. F. U.","-48.2769","-18.9186",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062473' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978829","Magnoliophyta",NA,"NY00978829_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-09-27 19:39:00-03","NY","NYBG","1581318","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","viscosa","Chamaecrista viscosa viscosa","(Kunth) H.S.Irwin & Barneby","R. C. Barneby","R. Gómez","224","1988","07","07","South America","Venezuela","Apure",NA,"Distritos Pedro Camejo y Achaguas, Terraplén de la carretera San Fernando Pto. Páez (carretera en construccióm). Tramo entre el río Capanaparo y el Caño La Guardia. Orilla del terraplén entre el Paso de La Macanilla y el Caño Manaca. 6 a 7 kms del campamento",NA,NA,"20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1886750' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581318",NA,"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","470779","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","G. G. Hatschbach","42060","1979","03","10","South America","Brazil","Bahia","Barreiras","Roda Velha","-44.99","-12.15",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250987' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470779","Magnoliophyta",NA,"NY00470779_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00978708","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby",NA,"L. Duarte","471","1964","07","22","South America","Brazil","Ceará","Barbalha","Barbalha, 20 km de Crato, sitio da Barreira","-39.3042","-7.3111",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978708","Magnoliophyta",NA,"NY00978708_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-09-27 19:39:00-03","NY","NYBG","1581321","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","viscosa","Chamaecrista viscosa viscosa","(Kunth) H.S.Irwin & Barneby",NA,"P. Lima","SPB162","1990","08","27","South America","Venezuela","Apure","Pedro Camejo","Costa de Caño La Pica, Hato El Trueno, Mcpo. Cunaviche",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1886755' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00978734","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","J. M. Pires","16129","1978","07","24","South America","Brazil","Maranhão","Estreito","Rodovia Belém-Brasília, 30 km S de Estreito","-47.4508","-6.5608",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062563' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978734","Magnoliophyta",NA,"NY00978734_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-10-21 18:18:00-02","NY","NYBG","1581342","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","paraguayensis","Chamaecrista viscosa paraguayensis","(Chodat & Hassl.) H.S.Irwin & Barneby","R. C. Barneby","R. Degen","1792","1991","02","13","South America","Paraguay","Cordillera",NA,"Piribebuy. Salto Amambay",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1887757' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581342","Magnoliophyta",NA,"NY01581342_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00978710","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby","A. O. de Souza","A. Macedo","391","1944","06","29","South America","Brazil","Minas Gerais","Ituiutaba",NA,"-49.465","-18.9692",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978710","Magnoliophyta",NA,"NY00978710_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00978754","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby",NA,"H. S. Irwin","21533","1968","03","20","South America","Brazil","Tocantins","Guaraí","Ca. 9 km S. of Guará.","-48.52","-8.92","550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062462' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978754","Magnoliophyta","550","NY00978754_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","1581311","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","viscosa","Chamaecrista viscosa viscosa","(Kunth) H.S.Irwin & Barneby",NA,"J. Blydenstein","1417","1963","08","19","South America","Colombia",NA,NA,"Médano. Cravo Norte, 25 km al sur. Sur del río Ariporo",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1886647' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581311","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","1581319","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby","A. O. de Souza","N. Ramírez","4418","1993","08","15","South America","Venezuela","Bolívar",NA,"Gran Sabana. Cercanías del Puente sobre el Río Yuruaní. C. V. G. Parque Nacional Canaima",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1886752' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581319","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00978809","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","paraguayensis","Chamaecrista viscosa paraguayensis","(Chodat & Hassl.) H.S.Irwin & Barneby",NA,"G. M. Magalhaes","19065","1963","05","29","South America","Brazil","Minas Gerais",NA,"Santa Vitória, arredores da cidade",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978809","Magnoliophyta",NA,"NY00978809_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","1581341","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","paraguayensis","Chamaecrista viscosa paraguayensis","(Chodat & Hassl.) H.S.Irwin & Barneby","R. C. Barneby","F. J. Fernández Casas","FC6380","1982","02","21","South America","Paraguay","Caaguazú",NA,"Cerca y al Norte de Yhú",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1887756' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581341","Magnoliophyta",NA,"NY01581341_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2016-09-27 19:39:00-03","NY","NYBG","1581314","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","viscosa","Chamaecrista viscosa viscosa","(Kunth) H.S.Irwin & Barneby","R. C. Barneby","G. Davidse","23130","1982","12","02","South America","Venezuela","Bolívar","Heres","San Salvador de Paul","-62.88","6.03","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1886653' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00978759","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby","R. C. Barneby","T. C. Plowman","9146","1980","02","26","South America","Brazil","Tocantins","Guaraí","10 km north of Guarai along Belem-Brasilia highway (BR-153).","-48.52","-8.73","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978759","Magnoliophyta","400","NY00978759_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","1581338","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby",NA,"J. A. Steyermark","59171","1944","10","02","South America","Venezuela","Bolívar",NA,"Gran Sabana, between Kun and waterfall at Ruémeru (tributary of Río Kukenán), south of Mount Roraima",NA,NA,"1065","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1887626' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581338","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00978781","PreservedSpecimen","Plantae","Fabales","Fabaceae","Chamaecrista","viscosa","major","Chamaecrista viscosa major","(Benth.) H.S.Irwin & Barneby",NA,"J. A. Ratter","R1298","1968","05","06","South America","Brazil","Mato Grosso",NA,"6 km S of the Base Camp of the Expedition. (Base Camp c. 270 km N of Xavantina)","-51.87","-12.9",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062507' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978781","Magnoliophyta",NA,"NY00978781_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
