"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","fieldNumber","class","individualCount"
"11","2011-02-23 09:58:00-03","MO","MOBOT","3138915","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez",NA,"Anders F. Regnell","Regnell 11180","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"1968","11","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2017-11-24 14:11:10-02","UFLA","ESAL","24269","S","Plantae",NA,NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez",NA,"Rizzo, JA","8486",NA,"Brasil","Goiás",NA,NA,"Doação UFG; Árvoreta 4m; corola branca",NA,NA,"Domingos, DQ","1972","10","19","Jataí","-51.7144012451172","-17.8813991546631","75073","auto","2016","05",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-19 11:19:19-03","UFG","UFG","16152","S","Plantae",NA,NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez",NA,"Ferreira, H.D.","2743",NA,"Brasil","Goiás","Margem da nascente do rio Meia Ponte; mata.",NA,NA,"UFG016152",NA,"Morais, P.L.R.; Oliveira, F.M.B.","1994","08","31","Itauçu","-49.6081008911133","-16.2005996704102","20895","auto","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-02-25 10:12:40-03","CVRD","CVRD","1726","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez",NA,"Folli, D.A.","683","América do Sul","BRASIL","BA",NA,NA,"<ll>dwc_commonname:</ll> Canela pera","CVRD001726",NA,"Henk van der Werff","1988","03","08","Porto Seguro","-39.0647010803223","-16.4496994018555","68835","auto","1991","11",NA,NA,NA,NA,"30",NA,"Magnoliopsida",NA
"15","2020-09-12 05:00:02-03","US","US","799789","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Oreodaphne","frondosa","Oreodaphne frondosa","Meisn. in Mart.","Isotype","A. F. Regnell","III 80","South America - Neotropics","Brazil","Minas Gerais","Uberava.",NA,NA,"US00997608","US00997608_01",NA,"1848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"16","2020-09-12 05:00:02-03","US","US","204814","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Oreodaphne","frondosa","Oreodaphne frondosa","Meisn. in Mart.","Isotype","A. F. Regnell","III 80","South America - Neotropics","Brazil","Minas Gerais","Near Caldas and Uberaba.",NA,NA,"US00099217","US00099217_01",NA,"1848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"17","2020-09-02 16:30:22-03","Cenargen","CEN","57207","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez",NA,"Domingos Antônio Folli","683",NA,"Brasil","BA",NA,"Exsicatas","Municipal. Doação do Banco Genético do Pau Brasil. Registro nº 219. Coleção de Referência. EMBRAPA, CEPLAC, VERACEL.","CEN00057207","CEN00057207","H. van der Werff","1988","03","08","PORTO SEGURO","-39.0647010803223","-16.4496994018555","68835","auto","1991","11",NA,NA,NA,NA,NA,NA,NA,"1"
"18","2019-11-13 11:21:11-03","USP","SPF","83066","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez",NA,"Rodrigues, A","s.n.",NA,"Brasil","São Paulo","Serra da Cantareira.",NA,NA,"SPF00083066",NA,"Baitello, JB","1952","07","03","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","2016","08",NA,NA,NA,NA,"29",NA,NA,NA
"19","2019-10-07 09:23:02-03","UEFS","HUEFS","178401","PreservedSpecimen","Plantae","Angiospermae","Laurales","Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez",NA,"Lopes, B.","spsf6217",NA,"Brasil","São Paulo","Serra da Cantareira, chapada.",NA,NA,"HUEFS0178401","HUEFS0178401",NA,"1964","06","10","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Magnolianae",NA
"20","2019-09-04 19:28:27-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa",NA,"Type [status unknown]",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"1868","11","22",NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"21","2015-03-07 08:23:54-03","F","FMNH-SEEDPLANTS","V0158831F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"V0158831F","V0158831F_01",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"22","2015-03-07 08:23:54-03","F","FMNH-SEEDPLANTS","V0158832F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"V0158832F","V0158832F_01",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"23","2015-03-07 08:23:54-03","F","FMNH-SEEDPLANTS","V0158833F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"V0158833F","V0158833F_01",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"24","2019-01-23 11:06:12-02","F","FMNH-SEEDPLANTS","V0061687F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Oreodaphne","frondosa","Oreodaphne frondosa",NA,"Isotype","A. F. Regnell","III 80","South America","Brazil",NA,NA,NA,NA,"V0061687F","V0061687F_01",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"25","2019-06-24 08:12:59-03","IAC","IAC","54019","S","Plantae",NA,NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez",NA,"A.C.O. Souza; L.C. Bernacci & R. Belinelo","76",NA,"Brasil","São Paulo","Parque Estadual da Serra do Mar, Núcleos Santa Virgínia/Picinguaba, trilha da Pipoca",NA,NA,NA,NA,"A.C.O. Souza et al.","2011","02","15","Ubatuba","-45.109914","-23.360372",NA,NA,"2011","02","-45.109914","-23.360372",NA,NA,"15",NA,NA,NA
"26","2020-11-12 17:00:44-03","UEL","FUEL","22839","PreservedSpecimen","Plantae","Tracheophyta","Laurales","Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez",NA,"Lopes, MA; Andrade, PM","811",NA,"Brasil","Minas Gerais","Estação Biológica de Caratinga, Matão",NA,NA,"FUEL004356",NA,"Baitello, JB","1984","11","17","Caratinga","-42.1391983032227","-19.7896995544434","49886","auto","1994","03",NA,NA,NA,NA,"10",NA,NA,NA
"27","2019-11-01 15:02:00-03","UnB","UB","155616","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez",NA,"Lopes, MA; Andrade, PM","811","Southern America","Brasil","Minas Gerais","Estação Biol. Matão, estrada",NA,"Hábito arbóreo, 20m; Mata atlântica",NA,NA,NA,"1984","11","17","Caratinga","-42.1391983032227","-19.7896995544434","49886","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-04 15:44:10-03","IF","SPSF","06217","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez",NA,"B.Lopes",NA,"América do Sul","Brasil","SP","Parque Estadual da Cantareira, Chapada",NA,"COLETA: XLS: SPSFAntigo&nf;Árvore com flores.&nf;Nome popular: canelão.;",NA,NA,"J.B.Baitello","1964","06","10","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","1994","08",NA,NA,NA,NA,"17",NA,"Magnoliopsida",NA
"29","2021-03-04 15:44:10-03","IF","SPSF","00179","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","frondosa","Ocotea frondosa",NA,NA,"M.Koscinski",NA,"América do Sul","Brasil","SP","Serra da Cantareira",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"J.B.Baitello","1938","07","01","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","1996","11",NA,NA,NA,NA,"26",NA,"Magnoliopsida",NA
"30","2021-03-04 15:44:10-03","IF","SPSF","08089","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","frondosa","Ocotea frondosa",NA,NA,"M.Koscinski",NA,"América do Sul","Brasil","SP","serra da Cantareira, Cuca",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"1940","06","01","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA
"31","2021-03-04 15:44:10-03","IF","SPSF","14157","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","frondosa","Ocotea frondosa",NA,NA,"J.B.Baitello","406","América do Sul","Brasil","SP","serra da Cantareira, Pinheirinho",NA,"COLETA: XLS: SPSFAntigo&nf;Nome popular: canela-pereira&nf;Árvore 8m altura; flores;",NA,NA,"J.B.Baitello","1991","04","23","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","1994","08",NA,NA,NA,NA,"17",NA,"Magnoliopsida",NA
"32","2021-03-04 15:44:10-03","IF","SPSF","14168","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","frondosa","Ocotea frondosa",NA,NA,"J.B.Baitello","407","América do Sul","Brasil","SP","serra da Cantareira, Pinheirinho",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"1991","04","29","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA
"33","2021-03-04 15:44:10-03","IF","SPSF","06230","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","frondosa","Ocotea frondosa",NA,NA,"M.Koscinski",NA,"América do Sul","Brasil","SP","Serra da Cantereira",NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: Chapada&nf;;",NA,NA,"J.B.Baitello","1933","07","21","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","1994","08",NA,NA,NA,NA,"17",NA,"Magnoliopsida",NA
"34","2021-03-04 15:44:10-03","IF","SPSF","16883","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","frondosa","Ocotea frondosa",NA,NA,"M.A.Lopes & P.M.Andrade","811","América do Sul","Brasil","MG","Estação Biológica",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"A.Quinet","1984","11","17","Caratinga","-42.1391983032227","-19.7896995544434","49886","auto","2008","02",NA,NA,NA,NA,"13",NA,"Magnoliopsida",NA
"35","2021-03-04 15:44:10-03","IF","SPSF","06180","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","frondosa","Ocotea frondosa",NA,NA,"J.B.Baitello & O.T. Aguiar",NA,"América do Sul","Brasil","SP","Serra da Cantereira",NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: Chapada&nf;;",NA,NA,NA,"1979","05","11","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA
"36","2017-09-11 17:10:21-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lauraceae","Oreodaphne","frondosa","Oreodaphne frondosa","Meisn.",NA,"Regnell, AF","III80","Southern America","Brazil","Minas Gerais","ad Caldas et Uberaba in prov. Minarum",NA,"Oct. Nov. florens; Oreas; HABITAT: Oreas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-11-21 10:07:29-03","IBt","SP","316382","S","Plantae",NA,NA,"Lauraceae","Ocotea","frondosa","Ocotea frondosa","(Meisn.) Mez",NA,"Lopes, MA; Andrade, PM","811",NA,"Brasil","Minas Gerais","Estação Biológica de Caratinga, Estrada",NA,NA,"SP054708","SP054708","Baitello, JB","1984","11","17","Caratinga","-42.1391983032227","-19.7896995544434","49886","auto","1994","03",NA,NA,NA,NA,"10",NA,NA,NA
