"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","typeStatus","previousCatalogNumber","sex"
"11","2021-04-05 14:25:35-03","UNESC","CRI","3361","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins",NA,NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1957","1990","11","14","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004811","CRI004811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:44-03","UNESC","CRI","7666","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Vanilde Citadini- Zanette","2008","04","20","Jean Gabriel Cemin",NA,"2007","10","31","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30","CRI004769","CRI004769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:35-03","UNESC","CRI","3298","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1911","1992","11","19","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004798","CRI004798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:25:35-03","UNESC","CRI","14980","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Peixoto, AL","2011","01","24","Verdi, M.; Klettenberg, D.H. & Klemz, G.","3126","2009","11","23","Brasil","Santa Catarina","Morro Grande","Três Barras. Três Barras.","-49.77","-28.71","49º46'12''W","28º42'36''S","311","311","CRI014331","CRI014331","Florística IFFSC 37 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: arbustiva;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:25:35-03","UNESC","CRI","3310","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette",NA,"1993","12","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004820","CRI004820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:25:35-03","UNESC","CRI","12762","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Aline Votri Guislon","2017","11","05","Aline Votri Guislon",NA,"2017","11","13","Brasil","Santa Catarina","Lauro Muller","Trilha Estância Pé da Serra.","-49.519167","-28.381111","49º31'9''W","28º22'52''S","750","750","CRI011026","CRI011026","Borda de trilha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:33:44-03","UNESC","CRI","11892","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Jean Gabriel Cemim, Marciel Fernandes & Kleber Emerick","2009","08","04","Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick",NA,"2009","08","04","Brasil","Santa Catarina","Turvo",NA,"-49.685","-28.915556","49º41'6''W","28º54'56''S","30","30","CRI004808","CRI004808",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:25:35-03","UNESC","CRI","14978","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Peixoto, AL","2010","04","13","Verdi, M.; Klettenberg, D.H. & Klemz, G.","2805","2009","10","17","Brasil","Santa Catarina","Timbé do Sul","Vila Belmiro. Vila Belmiro.","-49.86","-28.8","49º51'36''W","28º48'S","360","360","CRI014332","CRI014332","Florística IFFSC 28 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbustiva;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:25:35-03","UNESC","CRI","9190","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins",NA,NA,NA,NA,"Ricardo Vicente",NA,"2006","07","03","Brasil","Santa Catarina","Siderópolis","Malha II leste.","-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,"CRI004810","CRI004810",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:33:44-03","UNESC","CRI","15274","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Aline Votri Guislon","2020","05","11","Aline V. Guislon; Bruna Ghislandi; Lucas Oliveira & Peterson T. Padilha",NA,"2018","10","11","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Estevão. Bairro Morro Estevão. Área L7","-49.351389","-28.740833","49º21'5''W","28º44'27''S","85","85","CRI014691",NA,"Coleta M 12. Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-05 14:33:44-03","UNESC","CRI","7575","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Marcelo R. Pasetto","2007","11","08","Marcelo Romagna Pasetto",NA,"2007","11","08","Brasil","Santa Catarina","Siderópolis","Jordão/São Pedro.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI004797","CRI004797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-05 14:25:35-03","UNESC","CRI","3301","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1914","1991","09","12","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004794","CRI004794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-04-05 14:25:35-03","UNESC","CRI","15134","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Aline Votri Guislon","2019","10","25","Aline V. Guislon; Amanda Matiola; Josue C. Nicolau & Renato Colares",NA,"2018","10","09","Brasil","Santa Catarina","Criciúma","Bairro Dagostim - APA Morro Albino e Esteves (Área L6)","-49.359722","-28.765833","49º21'35''W","28º45'57''S","40","40","CRI014548",NA,"Fruto verde. Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-04-05 14:25:35-03","UNESC","CRI","3378","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins",NA,NA,NA,NA,"Vanilde Citadini-Zanette","1973","1993","05","06","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004814","CRI004814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-04-05 14:25:35-03","UNESC","CRI","3299","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette","1912","1992","08","20","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004793","CRI004793",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-04-05 14:25:35-03","UNESC","CRI","3302","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar","1915","1992","08","14","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004773","CRI004773",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-04-05 14:33:44-03","UNESC","CRI","11907","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Marciel Fernandes","2008","02","07","Marciel Bonfi Fernandes","63","2008","02","07","Brasil","Santa Catarina","Turvo",NA,"-49.685","-28.915556","49º41'6''W","28º54'56''S","30","30","CRI004805","CRI004805","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-04-05 14:25:35-03","UNESC","CRI","9248","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins",NA,NA,NA,NA,"Birgit Harter Marques; Ricardo Vicente",NA,"2006","04","20","Brasil","Santa Catarina","Siderópolis","Malha II leste.","-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,"CRI004809","CRI004809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-04-05 14:25:35-03","UNESC","CRI","11505","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","A. L. Peixoto","2009","11","04","M. Verdi; A. Korte & R.P. Hasckel","2229","2009","05","26","Brasil","Santa Catarina","Orleans","Três Barras, Parque Nacional de São Joaquim.","-49.495833","-28.172222","49º29'45''W","28º10'20''S","928","928","CRI004816","CRI004816","Floresta Ombrófila Densa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-04-05 14:25:35-03","UNESC","CRI","3376","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins",NA,NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1971","1993","04","22","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004812","CRI004812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-04-05 14:33:44-03","UNESC","CRI","7985","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Vanilde Citadini- Zanette","2007","12","14","Beatriz Wessler; Bruna Alberton",NA,"2007","12","13","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52","CRI004775","CRI004775","Habitat: borda de mata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-04-05 14:25:35-03","UNESC","CRI","3377","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins",NA,NA,NA,NA,"Vanilde Citadini-Zanette","1972","1992","03","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004817","CRI004817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-04-05 14:25:35-03","UNESC","CRI","3357","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins",NA,NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar","1954","1994","03","16","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004800","CRI004800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-04-05 14:25:35-03","UNESC","CRI","11969","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Rafael Martins","2012","05","06","Peterson Teodoro Padilha; Thiago Disner & Rafael Martins",NA,"2012","05","06","Brasil","Santa Catarina","Grão Pará",NA,"-49.421389","-28.136944","49º25'17''W","28º8'13''S","450","450","CRI010115","CRI010115","Habito: Árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-04-05 14:25:35-03","UNESC","CRI","8936","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins",NA,NA,NA,NA,"Ronaldo dos Santos Junior",NA,"2011","07","22","Brasil",NA,"Brasil","Interior da Mata, Norte da Lagoa dos Quadros.","-50.066389","-29.586667","50º3'59''W","29º35'12''S",NA,NA,"CRI004818","CRI004818","Floresta Paludosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-04-05 14:25:35-03","UNESC","CRI","588","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Luis R. M. Baptista",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","938","1990","08","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004796","CRI004796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-04-05 14:25:35-03","UNESC","CRI","11944","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Martin Molz","2015","10","30","Aline Votri Guislon; Peterson Teodoro Padilha & Robson dos Santos",NA,"2013","10","01","Brasil","Santa Catarina","Grão Pará",NA,"-49.421389","-28.136944","49º25'17''W","28º8'13''S","450","450","CRI010090","CRI010090","Interior da Mata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-04-05 14:25:35-03","UNESC","CRI","3375","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins",NA,NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1970","1993","04","15","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004813","CRI004813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-04-05 14:25:35-03","UNESC","CRI","14905","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Peixoto, AL","2010","04","13","Verdi, M.; Tomazi, A.L. & Klemz, G.","2938","2009","11","05","Brasil","Santa Catarina","Siderópolis","Barragem do Rio São Bento. Barragem do Rio São Bento.","-49.59","-28.62","49º35'24''W","28º37'12''S","479","479","CRI014334","CRI014334","Florística IFFSC 47 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: arbustiva;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-04-05 14:25:35-03","UNESC","CRI","14973","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Peixoto, AL","2011","01","24","Verdi, M.; Tomazi, A.L. & Klemz, G.","2710","2009","09","26","Brasil","Santa Catarina","Jacinto Machado","Cará. Cará.","-49.859167","-28.979444","49º51'33''W","28º58'46''S","311","311","CRI014333","CRI014333","Regeneração IFFSC 15 /S/11 Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: arbustiva;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-04-05 14:33:44-03","UNESC","CRI","11897","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Marciel Fernandes","2007","09","30","Marciel Bonfi Fernandes","18","2007","09","30","Brasil","Santa Catarina","Turvo",NA,"-49.685","-28.915556","49º41'6''W","28º54'56''S","30","30","CRI004807","CRI004807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-04-05 14:33:44-03","UNESC","CRI","1237","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins",NA,NA,NA,NA,"V. Citadini-Zanette; et al.","1481","1992","07","30","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","CRI004771","CRI004771","Habitat: Floresta Ombrófila Densa Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-04-05 14:33:44-03","UNESC","CRI","11723","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Marciel Fernandes",NA,NA,NA,"Marciel Bonfi Fernandes",NA,"2008","04","01","Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S","30","30","CRI004804","CRI004804","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-04-05 14:25:35-03","UNESC","CRI","14982","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Korte, A","2009","12","10","Korte, A.; Kniess, A.","1471","2009","12","10","Brasil","Santa Catarina","Rio do Sul","Mirador. Mirador.","-49.590556","-27.090278","49º35'26''W","27º5'25''S","792","792","CRI014330","CRI014330","Florística IFFSC 573 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbustiva; flor creme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-04-05 14:25:35-03","UNESC","CRI","13027","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Pastório, F.F.","2016","03","15","Oliveira, A.A. de","2762","2015","11","21","Brasil","Santa Catarina","Siderópolis","Barragem São Bento/Serrinha. Barragem São Bento/Serrinha.","-49.59","-28.62","49º35'24''W","28º37'12''S","479","479","CRI011738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-04-05 14:33:44-03","UNESC","CRI","11464","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","A. L. Peixoto","2011","01","31","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","4331","2010","04","10","Brasil","Santa Catarina","São Martinho","Estrada Geral São Luiz/SC - 407.","-48.958333","-28.168333","48º57'30''W","28º10'6''S","89","89","CRI004815","CRI004815","Floresta Ombrófila Densa Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-04-05 14:33:44-03","UNESC","CRI","8440","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Vanilde Citadini-Zanette","2009",NA,NA,"Régis Cardoso da Silva",NA,"2009",NA,NA,"Brasil","Rio Grande do Sul","Torres",NA,"-49.757778","-29.324167","49º45'28''W","29º19'27''S",NA,NA,"CRI004801","CRI004801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2021-04-05 14:25:35-03","UNESC","CRI","3188","PreservedSpecimen","Plantae","Monimiaceae","Mollinedia","schottiana","Mollinedia schottiana","(Spreng.) Perkins","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1835","1992","11","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004772","CRI004772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
