"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","typeStatus","individualCount","previousCatalogNumber","sex","infraspecificEpithet"
"11","2021-03-31 13:41:03-03","MN","R","69245","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Pabst, G.F.J.","Santos, E.A.A.; Sacco, J.C. 2256","1984","1964","07",NA,"Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,"29",NA,NA,NA,"1964","08",NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-02-15 11:46:54-02","IPA","IPA","1693","S","Plantae","Plantae",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.",NA,"Andrade-Lima","50-511","1950","06","Southern America","Brasil","Pernambuco","parte posterior da restinga de Piedade, próximo estrada para o Cabo à sombra dos arbustos.","-35.0147018432617","-8.11277961730957",NA,"Flor amarela-esverdeada. Raiz mais ou menos tuberosa.","IPA0001693",NA,"14",NA,NA,"Jaboatão dos Guararapes",NA,NA,NA,NA,NA,"16392","auto",NA,NA,NA,NA,NA,NA,NA
"13","2019-07-26 11:40:52-03","IPA","IPA","87546","S","Plantae","Plantae",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Félix, L.P.","Félix, L.P.","87546","1997","07","Southern America","Brasil","Paraíba","Barranco na margem da estrada.","-35.6916999816895","-6.96332979202271",NA,NA,"IPA0087546",NA,"27",NA,NA,"Areia","1997","01",NA,NA,"01","15425","auto",NA,NA,NA,NA,NA,NA,NA
"14","2019-02-15 11:46:54-02","IPA","IPA","83655","S","Plantae","Plantae",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Batista, J.A.N.","Leite, M.S.; Wanderley, A.M.; Wanderley, A.M.","812","2008","06","Southern America","Brasil","Pernambuco","Pedra do Trevo, Zona da Mata Pernambucana.","-35.720278","-8.687",NA,"Geófita em solo rico em matéria orgânica acumulado no afloramento e na base das ilhas de vegetação. Final de floração da população. Flores esverdeadas, sem odor.; Afloramento rochoso.","IPA0083655",NA,"25","307","307","Catende","2012","06","-35.720278","-8.687","14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-02-15 11:46:54-02","IPA","IPA","83690","S","Plantae","Plantae",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Pessoa, E.","Leite, M.S.; Maciel, B.; Gomes, P.; Maciel, B.; Gomes, P.","915","2009","07","Southern America","Brasil","Pernambuco","Pedra do Urubu, Agreste Pernambucano. Divisa entre os Municípios de Caruaru e Agrestina, Serra da Quitéria, Sítio Flecheira.","-35.9925","-8.395278",NA,"Criptófita na base de ilhas de vegetação de Hohenbergia catingae (Bromeliaceae). Início de floralçao. Flores esverdeadas, sem odor.; Caatinga hipoxerófila.","IPA0083690",NA,"24","540","540",NA,"2009","08","-35.9925","-8.395278","14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-07 11:46:53-03","UFMS","CGMS","68625","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","L. Bianchetti","A. Pott; V.J. Pott; G.A. Damasceno Jr.; J.A. Ratter; W. Milliken; J. Yesilyurt & I.H. Ishii","12577","2005","02",NA,"Brasil","Mato Grosso do Sul","Mineração Corumbaense Reunida S.A., Serra do Urucum.","-57.5691667","-19.1958333",NA,"Flor branca. Habitat: Transição Cerradão/Floresta de Qualea cryptantha e Blepharocalyx salicifolius. Solo argiloso litólico de ferro. Relevo início de ravina em encosta superior de serra. Habito: Erva ereta terrestre 60 cm de altura.","CGMS1101583",NA,"18","890","890","Corumbá",NA,NA,"-57,5691667","-19,1958333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-27 13:51:18-03","UFS","ASE","15159","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Felix, LP","Felix, LP","ASE15159","1997","07","Southern America","Brasil","Paraíba",NA,"-35.691389","-6.963333",NA,"Barranco na margem da estrada.","ASE0007218",NA,"27",NA,NA,"Areia","1997",NA,"-35.691389","-6.963333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-27 13:51:18-03","UFS","ASE","28405","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Santos, LAS","Santos, LAS; Carregosa, T; Nascimento - Júnior, JE; Santos, ACAS","862","2013","08","Southern America","Brasil","Sergipe","PARNA Serra de Itabaiana, Próximo à base do ICMBIO. Margem da estrada.","-37.531389","-11.271667",NA,"oErva terrestre. Presença de tubérculo. Flores amarelo-esverdeadas.","ASE0012106","ASE0012106","03",NA,NA,"Areia Branca","2014","01","-37.531389","-11.271667","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:20:15-03","UNICAMP","UEC","160539","S","Plantae","Liliopsida",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.",NA,"Romero, R; Nakajima, JN; Simão, DG","1750","1995","01",NA,"Brazil","Minas Gerais","PARNA da Serra da Canastra, Após a entrada para a cachoeira da Casca D'Anta, Estrada para Sacramento.","-46.3657989501953","-20.2453002929688",NA,"Terrestre, ca. 0,2m. Cálice e corola esverdeados. Coluna esverdeada.; Vertente do córrego, 3 meses após a queimada.","UEC017194","UEC017194","12",NA,NA,"São Roque de Minas",NA,NA,NA,NA,NA,"57119","auto",NA,NA,NA,NA,NA,NA,NA
"20","2020-04-22 16:26:37-03","UFPB","JPB","8440","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.",NA,"Felix, LP; Miranda, CAB de","JPB8440","1988","08","Southern America","Brasil","Paraíba","Reserva Biológica Guaribas, Capim Azul - Área II. Est. Ecol. Terrestre.","-35.142056","-6.741861",NA,"; DESC: Ornamental. Erva ereta. Flor verde. Solos de tabuleiro.",NA,NA,"18","181","181","Mamanguape",NA,NA,"-35.142056","-6.741861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-02-21 19:37:57-03","UNEMAT","HERBAM","1290","S","Plantae",NA,NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Toscano, A","Sasaki, D.; Nascimento, J.; Henicka, G.S.; Monteiro, M. & Piva, J.H.","1357","2007","01",NA,"Brasil","Mato Grosso","Parque Estadual Cristalino, Afloramento rochoso circundado por mata decidual.","-55.913611","-9.583333",NA,NA,"HERBAM001290",NA,"21","338","338","Novo Mundo",NA,NA,"-55.913611","-9.583333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-21 19:40:17-03","UFC","EAC","1883","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Lima-Verde, L.W.","Almeida, L.","s.n.","1959","05","Southern America","Brasil","Ceará","Campo da Escola Agronomia","-38.543098449707","-3.71722006797791",NA,"Erva.","EAC0001883","EAC0001883","19",NA,NA,"Fortaleza","1996","06",NA,NA,"04","19924","auto",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-21 19:40:17-03","UFC","EAC","2415","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Batista, J.A.N.","Fernandes, A.","EAC2415","1974","05","Southern America","Brasil","Ceará","Campus do Pici, UFC","-38.543098449707","-3.71722006797791",NA,"Erva terrestre.","EAC0002415","EAC0002415","19",NA,NA,"Fortaleza","2012","08",NA,NA,NA,"19924","auto",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-21 19:40:17-03","UFC","EAC","46697","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Félix, L. .P.","Félix, L.P.","s.n.","1997","07","Southern America","Brasil","Paraíba","Margem da estrada","-35.6916999816895","-6.96332979202271",NA,NA,"EAC0046697","EAC0046697","27",NA,NA,"Areia","1997",NA,NA,NA,NA,"15425","auto",NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:38:30-03","MBM","MBM","71007","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Correa, N.","Krapovickas, A.; et al.; et al.","35529","1980","01","Southern America","Brazil","Minas Gerais","Poços de Caldas,Véu das Noivas","-46.5614013671875","-21.7877998352051",NA,NA,"MBM071007","MBM071007","19",NA,NA,"Poços de Caldas",NA,NA,NA,NA,NA,"23696","auto",NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:38:30-03","MBM","MBM","34464","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Pabst, G.","Hatschbach, G.; Anderson, W.; Gates, B.; Anderson, W.; Gates, B.","36063","1975","02","Southern America","Brazil","Mato Grosso","BR-364, próximo ao Córrego Pindaíba","-56.0966987609863","-15.5960998535156",NA,NA,"MBM034464","MBM034464","11",NA,NA,"Cuiabá",NA,NA,NA,NA,NA,"74875","auto",NA,NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:38:30-03","MBM","MBM","34482","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Pabst, G.","Hatschbach, G.; Anderson, W.; Gates, B.; Anderson, W.; Gates, B.","36059","1975","02","Southern America","Brazil","Mato Grosso","São José da Serra","-56.0966987609863","-15.5960998535156",NA,NA,"MBM034482","MBM034482","11",NA,NA,"Cuiabá",NA,NA,NA,NA,NA,"74875","auto",NA,NA,NA,NA,NA,NA,NA
"28","2015-09-03 19:26:49-03","MNHN","RECOLNAT_MNHN_P","P00408617","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Batista","Gardner, G.",NA,"1841",NA,NA,"Brésil",NA,"Prov. de Goyaz",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00408617' target='other'> <mi>dwc_moreinfo</mi></a>","P00408617","P00408617_01 P00408617_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3990",NA,NA,NA,NA,NA
"29","2015-09-16 01:24:26-03","MNHN","RECOLNAT_MNHN_P","P00408618","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Batista","Regnell, A.F.",NA,"1877","2",NA,"Brésil",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00408618' target='other'> <mi>dwc_moreinfo</mi></a>","P00408618","P00408618_01","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III 1188",NA,NA,NA,NA,NA
"30","2015-09-03 19:26:49-03","MNHN","RECOLNAT_MNHN_P","P00408619","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Batista","Glaziou, A.",NA,"1894","12",NA,"Brésil",NA,"Quituti, chemin du Cavalcanti",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00408619' target='other'> <mi>dwc_moreinfo</mi></a>","P00408619","P00408619_01","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22153 a",NA,NA,NA,NA,NA
"31","2015-09-03 19:26:49-03","MNHN","RECOLNAT_MNHN_P","P00408620","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Batista","Warming, E.",NA,NA,NA,NA,"Brésil",NA,"Lagoa Santa",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00408620' target='other'> <mi>dwc_moreinfo</mi></a>","P00408620","P00408620_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-10-01 14:26:01-03","JBB","HEPH","22373","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Bianchetti, LB","Salles, AEH; et al.","3994","2006","02","Southern America","Brasil","Distrito Federal","Estação Ecológica do Jardim Botânico de Brasília, Área de captação da Caesb","-47.85","-15.866667",NA,NA,NA,NA,"10",NA,NA,"Brasília","2006","02","-47.85","-15.866667","17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-10-01 14:26:01-03","JBB","HEPH","22374","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Bianchetti, LB","Salles, AEH; et al.","3995","2006","02","Southern America","Brasil","Distrito Federal","Estação Ecológica do Jardim Botânico de Brasília, Área de captação da Caesb, Tapera","-47.85","-15.866667",NA,NA,NA,NA,"10",NA,NA,"Brasília","2006","02","-47.85","-15.866667","17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-10-01 14:26:01-03","JBB","HEPH","22442","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Paiva, VF","Paiva, VF","356","2006","02","Southern America","Brasil","Distrito Federal","Estação Ecológica do Jardim Botânico de Brasília, Área de captação da Caesb","-47.85","-15.866667",NA,NA,NA,NA,"16",NA,NA,"Brasília","2006","02","-47.85","-15.866667","16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-10-01 14:26:01-03","JBB","HEPH","6915","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Batista, JAN","Salles, AEH","1544","1990","02","Southern America","Brasil","Distrito Federal","Córrego do Vicente Pires","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"18",NA,NA,"Brasília","1997","06",NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA
"36","2020-10-01 14:26:01-03","JBB","HEPH","19062","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Salles, AEH","Salles, AEH","2671","2003",NA,"Southern America","Brasil","Distrito Federal","Próximo a residência de Anajulia Salles","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,NA,NA,"Brasília","2003",NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA
"37","2020-10-01 14:26:01-03","JBB","HEPH","20338","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Batista, JAN","Salles, AEH","2978","2004","02","Southern America","Brasil","Distrito Federal","Próximo a residência de Anajulia Salles","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"02",NA,NA,"Brasília","2005","04",NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA
"38","2020-10-01 14:26:01-03","JBB","HEPH","6900","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Batista, JAN","Salles, AEH","1529","1990","02","Southern America","Brasil","Distrito Federal","Santuário do Vicente Pires","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"07",NA,NA,"Brasília","1992","05",NA,NA,"14","70570","auto",NA,NA,NA,NA,NA,NA,NA
"39","2020-12-11 11:44:37-03","UFMG","BHCB","120080","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.",NA,"Batista, JAN; Martins, CAN; Carvalho, BM de; Barbosa, AR","2399","2008","01","Southern America","Brasil","Minas Gerais","Carrancas, Trecho inicial da trilha para a subida da Serra da Bicas.","-44.588556","-21.568222",NA,"Erva terrestre, em barranco seco a margem da trilha. Local antropizado, com braquiaria.","BHCB001610","BHCB001610","15","1135","1135",NA,"2008","01","-44.588556","-21.568222","15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-11 11:44:37-03","UFMG","BHCB","120178","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.",NA,"Batista, JAN","2497","2008","02","Southern America","Brasil","Rio Grande do Sul","São José dos Ausentes, cerca de 18.6 km NE de São José dos Ausentes, na estrada para Silveira","-49.940833","-28.644583",NA,"Erva terrestre. Ocasional. Em plena floração. Flores verdes.; em campo limpo seco em encosta a margem da estrada. Solo areno-argiloso, seco ou ligeiramente úmido","BHCB001609","BHCB001609","02","1201","1201",NA,NA,NA,"-49.940833","-28.644583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-12-11 11:44:37-03","UFMG","BHCB","171774","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.",NA,"Lima, A","50","1950","06","Southern America","Brasil","Pernambuco","Parte posterior próximo a Estrada do cabo.",NA,NA,NA,"Flores amarelo esverdeado. Raiz mais ou menos tuberosa.; À sombra dos arbustos.","BHCB016491",NA,"14",NA,NA,"Restinga de Piedade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-19 17:59:23-03","UFMG","BHCB","195270","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.",NA,"Batista, JAN; Lustre, GMC","3498","2018","01","Southern America","Brasil","Rio de Janeiro","Parque Nacional do Itatiaia, Planalto. Ao lado da trilha para as Pratelerias pouco após o abrigo Rebouças.","-44.678797","-22.410361",NA,"Coordenadas aproximadas, inferidas a partrir do Google Earth.; Erva terrestre. Rara; observado apenas um pequeno conjunto com ca. de 6 plantas. Em inicio de floração. Bráctea, ovário e sépalas verdes; pétalas e labelo verde claro com","BHCB195270",NA,"30","2401","2401","Itatiaia","2018","01","-44.678797","-22.410361","30",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-12-11 11:44:37-03","UFMG","BHCB","64022","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.",NA,"Barreto, HLM","4844","1933","01","Southern America","Brasil","Minas Gerais","Belo Horizonte, Barreiro, margem de capão","-43.937801361084","-19.9207992553711",NA,"Herbacea 0,35",NA,NA,"31",NA,NA,"Belo Horizonte",NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"44","2020-12-11 11:44:37-03","UFMG","BHCB","89456","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.",NA,"Batista, JAN","1290","2001","01","Southern America","Brasil","Distrito Federal","Plano Piloto. Final da Asa Norte. Área entre o Parque Ecológico Norte e o Parque Nacional de Brasília. Área do futuro Setor Noroeste.","-47.9296989440918","-15.7797002792358",NA,"Entre capim braquiaria e restos de vegetação nativa em área meio alterada margeando campo sujo e cerrado ralo. Flor verde. Sépalos verdes com a margem discretamente esbranquiçada. Pétalos e labelo com a base branca, os segmentos verde claro a verde-a",NA,NA,"11",NA,NA,"Brasília",NA,NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA
"45","2011-10-26 10:42:00-02","MO","MOBOT","2826437","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","G. Pabst","William R. Anderson","Anderson 10755","1974","2","South America","Brazil","Pará","Region of village of Pratatí. Alto Tapajós, Rio Cururú. Wet forest S of village, up to 5 km awayu; forest relatively undisturbed in some places, cut-over in others.","-57.00034","-8.00035",NA,NA,NA,NA,"11","200.00000000","300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2018-12-31 19:47:00-02","MO","MOBOT","3585768","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","Foster's 1958 catalog notes file","T. Herzog","Herzog 1649","1911","2","South America","Bolivia","Santa Cruz","Tres Cruces",NA,NA,NA,NA,NA,NA,NA,"1500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","1",NA,NA,NA
"47","2009-10-22 14:13:00-02","MO","MOBOT","911211","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","hexaptera","Habenaria hexaptera","Lindl.","epiloc","Miguel Bang","Bang 582","1890",NA,"South America","Bolivia","La Paz","Yungas.","-68.01","-15.75",NA,NA,NA,NA,NA,NA,NA,"Nor Yungas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","1",NA,NA,NA
