"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","individualCount","typeStatus","dayIdentified"
"11","2021-03-01 16:23:35-03","UNICAMP","UEC","63623","S","Plantae","Magnoliopsida",NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","Pruski, JF","Hatschbach, G; Hatschbach, M; Kummrow, R","56222","1992","01","18",NA,"Brazil","Goiás","Espírito Santo",NA,"Erva 1m, ereta, ramificada, capítulos amarelos; Orla da mata pluvial","UEC124398","UEC124398","1992",NA,"Nova Glória","-49.5710983276367","-15.1430997848511",NA,NA,NA,NA,"30546","auto",NA,NA,NA,NA
"12","2021-03-01 16:23:35-03","UNICAMP","UEC","101002","S","Plantae","Magnoliopsida",NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.",NA,"Faria, AD; Aona, LYS; Matsumoto, K; Galvão, JC; Belinello, R","97/94","1997","01","15",NA,"Brazil","São Paulo","Brejo localizado a 12 km de Iguarapava, do lado esquerdo da pista no sentido Iguarapava - Rifaina.",NA,"Inflorescência amarelo ouro.","UEC024344","UEC024344",NA,NA,"Igarapava","-47.7400016784668","-20.0300006866455",NA,NA,NA,NA,"23637","auto",NA,NA,NA,NA
"13","2021-03-01 16:23:35-03","UNICAMP","UEC","126270","S","Plantae","Magnoliopsida",NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.",NA,"Faria, AD; Aona, LYS; Matsumoto, K; Galvão, JC; Belinello, R","9794","1997","01","15",NA,"Brazil","São Paulo","Brejo localizado a 12 Km de Iguarapava, do lado esquerdo da pista no sentido Iguarapava - Rifaina",NA,"Inflorescência amarelo-ouro","UEC121460","UEC121460",NA,NA,"Igarapava","-47.7400016784668","-20.0300006866455",NA,NA,NA,NA,"23637","auto",NA,NA,NA,NA
"14","2021-03-01 16:23:35-03","UNICAMP","UEC","102111","S","Plantae","Magnoliopsida",NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.",NA,"Matsumoto, K; Aona, LYS; Faria, AD; Belinello, R; Galvão, JC","49","1997","01","14",NA,"Brazil","São Paulo","Distrito de Estreito, Estrada de terra.",NA,"Inflorescência amarela, até 60 cm.; Campo rupestre. Solo úmido.","UEC024327","UEC024327",NA,NA,"Pedregulho","-47.4700012207031","-20.25",NA,NA,NA,NA,"27552","auto",NA,NA,NA,NA
"15","2021-03-01 16:23:35-03","UNICAMP","UEC","74100","S","Plantae","Magnoliopsida",NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","Bueno, VR","Marcondes-Ferreira, W; Silva, AA; Zanini, E; Belinello, R; Torres Jr, AH; Rizzatti, ACS","1147","1995","05","04",NA,"Brazil","São Paulo","Igaçaba, Estrada Igaçaba-Rifaína",NA,"Flores amarelas; Cerrado em solo com afloramento quartzitivo e beirando um riacho","UEC124415","UEC124415","2019","02","Pedregulho","-47.4700012207031","-20.25",NA,NA,NA,NA,"27552","auto",NA,NA,NA,NA
"16","2021-03-01 16:23:35-03","UNICAMP","UEC","26234","S","Plantae","Magnoliopsida",NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.",NA,"Leitão Filho, HF; Stubblebine, WH; Semir, J","12498","1981","04","14",NA,"Brazil","São Paulo",NA,NA,"Subarbusto até 1.2m, capítulos c/ flores amarelas. Comum em lugares perturbados.; Cerrado","UEC120536","UEC120536",NA,NA,"Rifaina","-47.4199981689453","-20.0799999237061",NA,NA,NA,NA,"16141","auto",NA,NA,NA,NA
"17","2020-12-21 16:15:16-03","MBM","MBM","360801","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.","Reis-Silva, G.A.","Cervi, A.C.; Cordeiro, J.; Silva, J.M.; Cordeiro, J.; Silva, J.M.","9770","2010","06","07","Southern America","Brazil","Minas Gerais","Talhado",NA,"Subarbusto, 1,20m, capítulos creme.; Cerrado.","MBM360801","MBM360801","2017","11","Serranópolis de Minas","-42.8713989257812","-15.8285999298096",NA,NA,NA,NA,"28072","auto",NA,NA,NA,NA
"18","2020-12-21 16:15:16-03","MBM","MBM","341510","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.","Robinson, H.; et al.","Cordeiro, J.; Silva, J.M.; Vaz, J.; Silva, J.M.; Vaz, J.","2610","2008","05","25","Southern America","Brazil","Tocantins","Estrada para Cachoeira da Fumaça",NA,"Ereta, flor vinosa. Cerrado","MBM341510","MBM341510","2010",NA,"Rio da Conceição","-46.88330078125","-11.4003000259399",NA,NA,NA,NA,"34353","auto",NA,NA,NA,NA
"19","2020-12-21 16:15:16-03","MBM","MBM","164592","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.","Cristóbal, C.L.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","60184","1994","02","09","Southern America","Brazil","Goiás","Córrego da Brancas, próximo a Barra do Jacaré",NA,NA,"MBM164592","MBM164592",NA,NA,"São João da Aliança",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:15:16-03","MBM","MBM","149196","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.","Pruski, J.","Hatschbach, G.; Hatschbach, M.; Kummrow, R.; Hatschbach, M.; Kummrow, R.","56222","1992","01","18","Southern America","Brazil","Goiás","Espírito Santo",NA,NA,"MBM149196","MBM149196",NA,NA,"Nova Glória","-49.5710983276367","-15.1430997848511",NA,NA,NA,NA,"30546","auto",NA,NA,NA,NA
"21","2020-12-21 16:15:16-03","MBM","MBM","36817","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.","Silva, G.H.","Hatschbach, G.","36003","1975","02","09","Southern America","Brazil","Mato Grosso do Sul","Taquari",NA,"Arbusto 1m, capítulos amarelos.; Margens do rio Taquari.","MBM036817","MBM036817","2004","12","Coxim","-54.7599983215332","-18.5067005157471",NA,NA,NA,NA,"102528","auto",NA,NA,NA,NA
"22","2020-12-21 16:15:16-03","MBM","MBM","329696","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.","Silva, G.H.","Silva, J.M.; Ribas, O.S.; Ribas, O.S.","5750","2007","04","16","Southern America","Brazil","Minas Gerais","Talhado",NA,"Subarbusto, 1m, capítulo amarelo. Cerrado; Subarbusto, 1m, capítulo amarelo.; Cerrado.","MBM329696","MBM329696","2016","03","Serranópolis de Minas","-42.8713989257812","-15.8285999298096",NA,NA,NA,NA,"28072","auto",NA,NA,NA,NA
"23","2020-12-21 16:15:16-03","MBM","MBM","248135","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.","Pruski, J.","Hatschbach, G.; Schinini, A.; Barboza, E.; Schinini, A.; Barboza, E.","70936","2000","05","11","Southern America","Brazil","Tocantins","Rio Palmas",NA,"Arbusto, 1,50m, flor amarela. Margem arenosa do rio.","MBM248135","MBM248135","2000",NA,"Conceição do Tocantins","-47.2983016967773","-12.2186002731323",NA,NA,"400","400","42635","auto",NA,NA,NA,NA
"24","2020-12-11 11:32:35-03","UFMG","BHCB","76523","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.",NA,"Hatschbach, G; Schinini, A; Barbosa, E","70936","2000","05","11","Southern America","Brasil","Tocantins","Rio Palmas.",NA,"Arbusto 1,5m. Flor amarela.; Margem arenosa do rio.","BHCB014329",NA,"2000",NA,"Conceição do Tocantins","-47.2983016967773","-12.2186002731323",NA,NA,"400","400","42635","auto",NA,NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US","3400077","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.",NA,"G. Hatschbach, A. Schinini & E. L. Barbosa","70936","2000","5","11","South America - Neotropics","Brazil","Tocantins","Rio Palmas (Mun. Conceicao do Tocantins).",NA,NA,"US01792209","US01792209_01",NA,NA,NA,NA,NA,NA,NA,"400",NA,NA,NA,"Dicotyledonae","1",NA,NA
"26","2020-09-12 05:00:02-03","US","US","2858936","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.","Pruski, J. F.","G. Hatschbach","34014","1974","2","10","South America - Neotropics","Brazil","Mato Grosso do Sul",NA,NA,NA,"US01951859","US01951859_01",NA,NA,"Coxim","-54.7599983215332","-18.5067005157471",NA,NA,NA,NA,"102528","auto","Dicotyledonae","1",NA,NA
"27","2020-09-12 05:00:02-03","US","US","3671731","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.",NA,"J. M. Silva & O. S. Ribas","5750","2007","4","16","South America - Neotropics","Brazil","Minas Gerais","Talhado (Mun. Serranopolis de Minas).",NA,NA,"US01792211","US01792211_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"28","2020-09-12 05:00:02-03","US","US","3687613","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.",NA,"J. Cordeiro, J. M. Silva & J. Vaz","2610","2008","5","25","South America - Neotropics","Brazil","Tocantins","Estrada para Cachoeira da Fumaca (Mun. Rio da Conceicao).",NA,NA,"US01792208","US01792208_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"29","2020-09-12 05:00:02-03","US","US","3452253","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.",NA,"J. A. Lombardi","4527","2002","2","19","South America - Neotropics","Brazil","Minas Gerais","Sao Goncalo do Rio Preto, Parque Estadual do Rio Preto, trilha do alojamento ate o Corrego das Eguas.",NA,NA,"US01792213","US01792213_01",NA,NA,NA,"-43.354","-18.125",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"30","2020-09-12 05:00:02-03","US","US","3357352","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.",NA,"G. Hatschbach, M. M. Hatschbach & J. M. Silva","60184","1994","2","9","South America - Neotropics","Brazil","Goiás","Corrego das Brancas, proximo a barra do Jacare (mun. Sao Joao da Alianca).",NA,NA,"US01792214","US01792214_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"31","2020-09-12 05:00:02-03","US","US","2725931","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.",NA,"A. Macedo","4541","1956","7","6","South America - Neotropics","Brazil","Minas Gerais","Cachoeira Dourada, Mun. Capinopolis.",NA,NA,"US01792210","US01792210_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"32","2020-09-12 05:00:02-03","US","US","2818588","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.",NA,"W. R. Anderson, M. T. Kalin Arroyo, S. R. Hill, R. Reis dos Santos & R. Souza","7841","1973","3","23","South America - Neotropics","Brazil","Goiás","Planalto do Brasil, Serra Geral do Paraná, 3 km by road S of São João da Alianca.",NA,NA,"US03340398","US03340398_01",NA,NA,NA,NA,NA,NA,NA,"1040",NA,NA,NA,"Dicotyledonae","1",NA,NA
"33","2020-09-12 05:00:02-03","US","US","3280281","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.",NA,"E. L. Taylor, M. F. F. da Silva, J. Oliviero, C. S. Rosário & et al.","E1233","1983","4","14","South America - Neotropics","Brazil","Maranhão","Municipio de Carolina; Transamazonian Highway, BR 230 and BR 010; Pedra Caida, 35 km. N of Carolina, top of Serra de Baleia.",NA,NA,"US01792212","US01792212_01",NA,NA,NA,"-47.42","-7.13",NA,NA,"400","500",NA,NA,"Dicotyledonae","1",NA,NA
"34","2020-09-12 05:00:02-03","US","US","1803720","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Geissopappus","polycephalus","Geissopappus polycephalus","Baker in Mart.",NA,"G. Gardner","4246","1840","5",NA,"South America - Neotropics","Brazil","Goiás","Inter Porto Imperial et Lunie, ad flum Tocantins",NA,NA,"US00124568","US00124568_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1","Isotype",NA
"35","2020-09-02 16:21:00-03","Cenargen","CEN","104084","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","V. R. Bueno","Anderson Cássio Sevilha","6905","2017","03","26",NA,"Brasil","MG","Sítio 10. Ponto 9. Serra do Espinhaço.","Exsicatas","Projeto Bem Diverso.","CEN00104084","CEN00104084","2019","03","SANTO ANTÔNIO DO RETIRO","-42.813888","-15.223611","-42.813888","-15.223611","1328","1328",NA,NA,NA,"4",NA,NA
"36","2020-09-02 16:21:00-03","Cenargen","CEN","108606","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","V. R. Bueno","Glocimar Pereira-Silva","17013","2018","04","03",NA,"Brasil","MT","Entroncamento da estrada vicinal com a MT - 100, Araguainha, km 29.","Exsicatas","Área de vegetação entre rochas de Arenito.","CEN00108606","CEN00108606","2019","03","ALTO ARAGUAIA","-53.086666","-16.965555","-53.086666","-16.965555","550","550",NA,NA,NA,"4",NA,NA
"37","2020-09-02 16:21:00-03","Cenargen","CEN","59281","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","G. H. Silva","Glocimar Pereira-Silva","9041","2004","04","23",NA,"Brasil","PA","Parque Estadual das Andorinhas, margem esquerda do rio Araguaia.","Exsicatas",NA,"CEN00059281","CEN00059281","2016","03","SAO GERALDO DO ARAGUAIA","-48.409166","-6.3122222","-48.409166","-6.3122222","130","130",NA,NA,NA,"4",NA,NA
"38","2020-09-02 16:21:00-03","Cenargen","CEN","22238","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","J. B. Bringel","Terezinha Aparecida Borges Dias","270","1993","02","09",NA,"Brasil","GO","Estrada leva ao barco, próximo à alternativa 4, cerca de 5,7 km da estrada que liga a obra da UHE Corumbá a Caldas Novas.","Exsicatas","Capítulo e brácteas verde-amarelada; Estígma amarela-ouro.","CEN00022238","CEN00022238","2007","03","CALDAS NOVAS","-48.5",NA,"-48.5","-1790000.0",NA,NA,NA,NA,NA,"4",NA,NA
"39","2020-09-02 16:21:00-03","Cenargen","CEN","24248","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","G. H. Silva","Glocimar Pereira-Silva","1277","1993","03","23",NA,"Brasil","GO","Margem esquerda do R. Corumbá; Em frete a estação de medição de vasão S.O.3. área de influencia.","Exsicatas","Estames e anteras amarela.","CEN00024248","CEN00024248","2016","03","IPAMERI","-48.1596984863281","-17.7219009399414",NA,NA,"600","600","102542","auto",NA,"4",NA,NA
"40","2019-11-13 11:16:14-03","USP","SPF","111531","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","Bringel, JBA","Dias, TAB","270","1995","02","09",NA,"Brasil","Goiás",NA,NA,NA,"SPF00111531",NA,"2011","12","Caldas Novas","-48.5","-17.9","-48.5","-17.9",NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-11-13 11:16:14-03","USP","SPF","172204","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","Reis-Silva, GA","Sasaki, D","345","2003","04","17",NA,"Brasil","São Paulo","Estreito",NA,NA,"SPF00172204",NA,"2017","03","Pedregulho","-47.277222","-20.157778","-47.277222","-20.157778","720","720",NA,NA,NA,NA,NA,NA
"42","2019-11-13 11:16:14-03","USP","SPF","172205","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","Reis-Silva, GA","Sasaki, D","523","2003","05","24",NA,"Brasil","São Paulo","Estreito",NA,NA,"SPF00172205",NA,"2017","03","Pedregulho","-47.277222","-20.157778","-47.277222","-20.157778","720","720",NA,NA,NA,NA,NA,NA
"43","2019-11-13 11:16:14-03","USP","SPF","172206","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","Reis-Silva, GA","Sasaki, D","994","2004","03","22",NA,"Brasil","São Paulo","Estreito",NA,NA,"SPF00172206",NA,"2017","03","Pedregulho","-47.277222","-20.157778","-47.277222","-20.157778","720","720",NA,NA,NA,NA,NA,NA
"44","2019-11-13 11:16:14-03","USP","SPF","124725","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","Bringel, JBA","Pereira-Silva, G","1277","1993","03","23",NA,"Brasil","Goiás",NA,NA,NA,"SPF00124725",NA,"2011","12","Ipameri","-48.1596984863281","-17.7219009399414",NA,NA,"600","600","102542","auto",NA,NA,NA,NA
"45","2019-11-13 11:16:14-03","USP","SPF","153232","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","Pruski, J","Hatschbach, G","70936","2000","05","11",NA,"Brasil","Tocantins",NA,NA,NA,"SPF00153232",NA,"2000",NA,"Conceição do Tocantins","-47.2983016967773","-12.2186002731323",NA,NA,"400","400","42635","auto",NA,NA,NA,NA
"46","2020-12-02 09:06:51-03","UNITINS","HUTO","5823","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H. Rob.","Bringel, J.B.A.","Silva, G.P.","9041","2004","04","23",NA,"Brasil","Pará","Parque Estadual das Andorinas, margem esquerda do rio Araguaia. Relevo suave. Solo arenoso; alta presença de rochas areníticas e quartzo leitoso",NA,"Subarbusto com 1 m de altura. Flor amarela. Ocasional no local; Cerrado","HUTO005823",NA,"2007","03","São Geraldo do Araguaia","-48.409167","-6.312222","-48.409167","-6.312222","130","130",NA,NA,NA,NA,NA,NA
"47","2019-10-07 09:11:15-03","UEFS","HUEFS","64723","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.",NA,"Hatschbach, G.","70936","2000","05","11",NA,"Brasil","Tocantins","Rio Palmas.",NA,"Margem arenosa do rio.","HUEFS0064723","HUEFS0064723",NA,NA,"Conceição do Tocantins","-47.2983016967773","-12.2186002731323",NA,NA,NA,NA,"42635","auto","Asteranae",NA,NA,NA
"48","2020-03-16 13:43:56-03","UFU","HUFU","73215","S","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","Bueno, V...R...; Bueno, V...R...","Hattori, E.K.O.; Batista, J.A.N.","1254","2010","11","21",NA,"Brasil","Minas Gerais","Barragem da Santa Marta",NA,"Erva decumbente, brácteas involucrais esverdeadas a amareladas, corola e ramos do estilete amarelos.; Cerrado, solo arenoso.","HUFU00070168",NA,"2020","01","Francisco de Sá","-43.305556","-16.601944","-43.305556","-16.601944","957","957",NA,NA,NA,NA,NA,"20"
"49","2019-05-06 11:52:47-03","UFU","HUFU","64873","S","Plantae",NA,NA,"Asteraceae","Calea","polycephala","Calea polycephala","(Baker) H.Rob.","Bringel, J.B.","Pereira-Silva, G.; Sevilha, A.C.; Nascimento, H.; Pereira, J.B.; Rezende, J.M. & Amaral, J.P.","9041","2004","04","23",NA,"Brasil","Pará","Parque Estadual das Andorinhas, Margem esquerda do Rio Araguaia.",NA,"Subabusto com 1 m alt. Flor amarela. Ocasional no local.; Cerrado (com alta presença de rochas areníticas e quartzo leitoso), relevo suave ondulado, solo arenoso.","HUFU00043775","HUFU00043775","2007","03","São Geraldo do Araguaia","-48.409167","-6.312222","-48.409167","-6.312222","130","130",NA,NA,NA,NA,NA,NA
