"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","decimalLongitude","decimalLatitude","county","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex"
"19","2020-11-19 10:24:02-03","CPAP","CPAP","21938","PreserverdSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Pott, V. J.","4611","2001","05","04",NA,"Brasil","MT","Baía do Caracará, lado leste do morro do Caracará, parque Nacional do Pantanal",NA,NA,NA,"Erva aquática submersa livre flores de cor lilás e fruto imaturo, verde, planta Rara.. Baía em torno do morro, com inundação de rio, prof. 1,5m,. Solo: argiloso.,. Relevo: plano.",NA,NA,"V. J. Pott","-57.448056","-17.851111","Poconé","57°26'53'' W","17°51'04'' S","2001","05",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-19 10:24:02-03","CPAP","CPAP","22049","PreserverdSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Pott, V. J.","5001","2001","11","19",NA,"Brasil","MS","Reserva Acurizal, barranco seco do córrego do Retiro, próximo ao brejo pirizal (abaixo).",NA,NA,NA,"Erva aquática submersa fixa. . Frequente. Flor lilás. Córrego de água transparente. Solo: rochoso, tipo areia sabão. Relevo: levemente inclinado.",NA,NA,"V. J. Pott","-57.558833","-17.840361","Corumbá","57°33'31,8''W","17°50'25,3''S","2001","11",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-11-19 10:24:02-03","CPAP","CPAP","25153","PreserverdSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Pott, V. J.","4929","2001","04","16",NA,"Brasil","MS","Reserva Acurizal, córrego do Retiro; fundos da sede, lado direito, Pantanal do rio Paráguai.",NA,NA,NA,"Erva aquática submersa livre. . Frequente. Flor não vista. Córrego, cheio de rochas e leves corredeiras. Solo: areia sabão. Relevo: quase plano..",NA,NA,"V. J. Pott","-57.559833","-17.841611","Corumbá","57°33'35,4''W","17°50'29,8''S","2001","04",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-19 10:24:02-03","CPAP","CPAP","13575","PreserverdSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Prado, A. L.","240493-A1","1993","04","25",NA,"Brasil","MT","Proximidades da Transpantaneira, km 35",NA,NA,NA,"Erva 4-10cm de alttura. FLOR: rosa-claro. Flores expostas, vistosas. FRUTO: . INTERESSE: . FREQUÊNCIA: Numerosa na área. Frequente. AMBIENTE: Vegetação campo inundável. Nível da água: 30-40cm. SUBSTRATO: solo argilo-arenoso. RELEVO: .",NA,NA,NA,"-56.6227989196777","-16.2567005157471","Poconé",NA,NA,NA,NA,NA,NA,NA,"200792","auto",NA,NA,NA
"23","2014-09-25 12:32:14-03","FEMACT","MIRR","3301","S","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Edwards, P.J.","2532","1987","01","01",NA,"Brasil","Roraima","Ilha de Maracá, SEMA Estação.",NA,NA,NA,NA,NA,NA,NA,"-61.333333","3.366667","Alto Alegre","-61.333333","3.366667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-02-15 11:44:23-02","IPA","IPA","7081","S","Plantae","Plantae",NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Pickel, B.","4059","1935","10","24","Southern America","Brasil","Pernambuco","(União), em um açude.",NA,NA,NA,"Flores róseas.","IPA0007081",NA,"Taylor, P.",NA,NA,"Glória de Goitá",NA,NA,"1976","06",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-02-15 11:44:23-02","IPA","IPA","85917","S","Plantae","Plantae",NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Leite, M.S.","273","2007","01","25","Southern America","Brasil","Pernambuco","Parque Estadual de Dois Irmãos, Complexo do Prata, açude do meio.","18","18",NA,"Macrófita aquática submersa na margem sombreada do açude. População em início de floração. Flores lilases com detalhe amarelo.; Floresta Ombrófila Densa.","IPA0085917",NA,"Leite, M.S.","-34.948611","-8.007778","Recife","-34.948611","-8.007778","2007","01","25",NA,NA,NA,NA,NA,NA,NA
"26","2019-02-15 11:44:23-02","IPA","IPA","90777","S","Plantae","Plantae",NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Alcântara, J D'arc; Dias, A.P.; Dias, A.P.","s.n.","2015","04","29","Southern America","Brasil","Pernambuco","Parque Dois Irmãos, Açude de dentro.",NA,NA,NA,"Amostras botânicas para fins de Dissertação de Mestrado (UFRPE) da aluna Joana D'arc Alcântara, sob a orientação do Prof. Enio W.Dantas e da Profa. Karine M. Magalhães.; Submersa; flores róseas.; Mata Atlântica.","IPA0090777",NA,"Guedes, F.M.","-34.8810997009277","-8.05389022827148","Recife",NA,NA,"2017","04","17",NA,NA,"18865","auto",NA,NA,NA
"27","2019-02-15 11:44:23-02","IPA","IPA","1757","S","Plantae","Plantae",NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Andrade-Lima","50-561","1950","07","05","Southern America","Brasil","Pernambuco","Rio Doce, em água mais ou menos parada de riacho, na restinga.",NA,NA,NA,NA,"IPA0001757",NA,"Guedes, F.M.","-34.8810997009277","-8.05389022827148","Recife",NA,NA,"2017","04","17",NA,NA,"18865","auto",NA,NA,NA
"28","2019-07-26 11:40:31-03","IPA","IPA","53064","S","Plantae","Plantae",NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Vasconcelos, AC do C","53064","1992","08","31","Southern America","Brasil","Pernambuco","Dois Irmãos, açude do meio.",NA,NA,NA,NA,"IPA0053064",NA,"Rita Pereira","-34.8810997009277","-8.05389022827148","Recife",NA,NA,"1992","10","14",NA,NA,"18865","auto",NA,NA,NA
"29","2019-02-15 11:44:23-02","IPA","IPA","90776","S","Plantae","Plantae",NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Alcântara, J D'arc; Dias, A.P.; Dias, A.P.","s.n.","2015","04","29","Southern America","Brasil","Pernambuco","Parque Dois Irmãos, Açude.",NA,NA,NA,"Amostras botânicas para fins de Dissertação de Mestrado (UFRPE) da aluna Joana D'arc Alcântara, sob a orientação do Prof. Enio W.Dantas e da Profa. Karine M. Magalhães.; Submersa; flores róseas.; Mata Atlântica.","IPA0090776",NA,"Guedes, F.M.","-34.8810997009277","-8.05389022827148","Recife",NA,NA,"2017","04","17",NA,NA,"18865","auto",NA,NA,NA
"30","2019-02-15 11:44:23-02","IPA","IPA","90778","S","Plantae","Plantae",NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"Alcântara, J D'arc; Dias, A.P.; Dias, A.P.","s.n.","2015","05","05","Southern America","Brasil","Pernambuco","Parque Dois Irmãos, Açude do Meio.",NA,NA,NA,"Amostras botânicas para fins de Dissertação de Mestrado (UFRPE) da aluna Joana D'arc Alcântara, sob a orientação do Prof. Enio W.Dantas e da Profa. Karine M. Magalhães.; Submersa livre.; Mata Atlântica.","IPA0090778",NA,"Guedes, F.M.","-34.8810997009277","-8.05389022827148","Recife",NA,NA,"2017","04","17",NA,NA,"18865","auto",NA,NA,NA
"31","2019-10-25 11:39:14-03","IECOS","HBRA","716","S","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"U. Mehlig","144","2005","05","03","América do Sul","Brasil","Pará","Península de Ajuruteua, Salinas dos Roques/Jabuti, borda do bosque na 1ª ilha de terra firme. Em poça de água de chuva",NA,NA,"material em líquido","Flutuando na água; folhas partidas, finas; flor lilás palido, com parte curvada do lábio inferior amarelo",NA,NA,"U. Mehlig","-46.67513889","-0.914","Bragança","-46.67513889","-0.91400000","2007","09","22",NA,NA,NA,NA,NA,NA,NA
"32","2019-10-25 11:39:14-03","IECOS","HBRA","10389","S","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"F. Q. Melo","25","2017","08","21","América do Sul","Brasil","Pará","cidade de Bragança, terreno úmido ao nordeste da estrada Bragança-Engenho (BR-308), oposto Olaria Sapucaia, aprox. 300 m ao sudeste da ponte sobre o Rio Caeté",NA,NA,"exsicata","Aquática. Flores cor de rosa.","HBRA0006340","HBRA0006340","F. Q. Melo","-46.75102778","-1.06286111","Bragança","-46.75102778","-1.06286111","2018","01","01",NA,NA,NA,NA,NA,NA,NA
"33","2021-04-07 11:45:20-03","UFMS","CGMS","76008","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"S.N. Moreira; V.J. Pott, A. Pott & J.B. Fabri","1504","2013","05","21",NA,"Brasil","Mato Grosso do Sul",NA,"240","240",NA,"Flor lilás. Habitat: Solo orgânico enxarcado. Relevo plano deprimido. Campo graminoso úmido com Mauritia flexuosa em domínio de Cerrado. Habito: Erva anfíbia até 5cm.","CGMS1108963",NA,"Pott, V.J.","-54.89","-18.185","Coxim","-54,89","-18,185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-04-07 11:45:20-03","UFMS","CGMS","25089","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"F.S. Carvalho; G. Catian; V.S. Galleti; F.M. Leme","170","2009","06","02",NA,"Brasil","Mato Grosso do Sul","Baía Vermelha.",NA,NA,NA,"Flor lilás. Habitat: Arrozal. Habito: Erva aquática submers livre.","CGMS1054513",NA,"A. Pott; V.J. Pott","-57.4505556","-18.4333333","Corumbá","-57,4505556","-18,4333333","2009","06","02",NA,NA,NA,NA,NA,NA,NA
"35","2021-04-07 11:45:20-03","UFMS","CGMS","23643","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"S.N. Moreira; V.J.Pott","180","2008","04","01",NA,"Brasil","Mato Grosso do Sul","Fazenda Modelo da Embrapa Gado de Corte; Área de Varjão prox. à ferrovia.","504","504",NA,"Flor rosa. Fruto ausente. Habitat: Campo úmido de Vereda com buriti em domínio de Cerrado Habito: Erva Anfíbia","CGMS1053056",NA,NA,"-54.79","-20.5566667","Terenos","-54,79","-20,5566667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-04-07 11:45:20-03","UFMS","CGMS","70688","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"V.J. Pott; A. Pott","9370","2007","06","11",NA,"Brasil","Mato Grosso","Rodovia Transpantaneira, MT-060, Pantanal.","103","103",NA,"Flor lilás. Habitat: Campo alagado, 20 - 40 cm profundidade. Habito: Erva aquática submersa livre.","CGMS1103095",NA,"V.J. Pott","-56.9497222","-17.0694445","Poconé","-56,9497222","-17,0694445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-04-07 11:45:20-03","UFMS","CGMS","44395","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"V.J. Pott; L.C.P. Lima; A. Pott","5874","2002","09","18",NA,"Brasil","Mato Grosso do Sul","Estrada MS-436, represa num afluente do Ribeirão Jauruzinho, MS, Figueirão a Alcinópolis.","330","330",NA,"Flor ausente. Habitat: Represa em vereda de buriti, 3 m de profundidade. Solo arenoso-siltoso. Relevo plano. Habito: Erva aquática submersa livre. Frequente.","CGMS1074362",NA,NA,"-53.6252778","-18.5022222","Costa Rica","-53,6252778","-18,5022222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-04-07 11:45:20-03","UFMS","CGMS","57863","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"V.J. Pott; G.A. Damasceno-Junior; J. Nakajima; R. Romero","5001","2001","11","19",NA,"Brasil","Mato Grosso do Sul","Reserva Acurizal, barranco seco do córrego do Retiro, próximo ao brejo pirizal(abaixo).",NA,NA,NA,"Flor lilás. Habitat: Córrego de água transparente. Solo rochoso, tipo areia sabão. Relevo levemente inclinado. Frequente. Habito: Erva aquática submersa fixa.","CGMS1087800",NA,"V.J. Pott","-57.5588889","-17.8402777","Corumbá","-57,5588889","-17,8402777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-04-07 11:45:20-03","UFMS","CGMS","28488","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"R.B. Rodrigues; N.L. Cunha; F. Gonçalves; M.D. Nunes; C. Vidotto","56","2009","06","05",NA,"Brasil","Mato Grosso do Sul","Região do Amolar, Pantanal do Rio Paraguai.",NA,NA,NA,NA,"CGMS1057939",NA,"V.J. Pott","-57.4763889","-18.0238889","Corumbá","-57,4763889","-18,0238889","2009","05","05",NA,NA,NA,NA,NA,NA,NA
"40","2021-04-07 11:45:20-03","UFMS","CGMS","27239","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"S.N. Moreira; V.A. Assunção; L.S. Rodrigues; B. Bueno","240","2009","06","02",NA,"Brasil","Mato Grosso do Sul","Baía Vermelha - Pantanal do Paraguai.","400","400",NA,"Flor rosa. Habitat: Arrozal com predomínio de Oryza glumipatula. Habito: Erva aquática submersa livre.","CGMS1056678",NA,"V.J. Pott","-57.4608333","-18.4994444","Corumbá","-57,4608333","-18,4994444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-04-07 11:45:20-03","UFMS","CGMS","48029","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","hydrocarpa","Utricularia hydrocarpa","Vahl",NA,"V.J. Pott; S.N. Moreira","10521","2009","06","02",NA,"Brasil","Mato Grosso do Sul","Braço da Baía Vermelha, Pantanal do Rio Paraguai.","97","97",NA,"Flor lilás. Fruto ausente. Frequente. Matarial em álcool 70%. Habitat: Arrozal de Oryza glumaepatula e Hymenachne amplexicaulis ePresença de U. foliosa, U. breviscapa e U. gibba. Habito: Erva aquática submersa livre.","CGMS1077988",NA,"V.J. Pott","-57.4475","-18.4533333","Corumbá","-57,4475","-18,4533333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
