especie,cat_ameaca_br_old,cat_ameaca_cncflora_old,cat_ameaca_sp_old,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_br,cat_ameaca_cncfloraweb
Acrocomia hassleri,s.i.,LC,EN,EN,s.i.,s.i.,LC
Actinocephalus cabralensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Actinocephalus ciliatus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Actinocephalus cipoensis,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Actinocephalus claussenianus,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Actinocephalus heterotrichus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Actinocephalus rhizomatosus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Actinocephalus scytophyllus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Actinostemon klotzschii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Adamantinia miltonioides,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Adenocalymma dichilum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Adenocalymma fruticosum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Adenocalymma magnoalatum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Adenocalymma paulistarum,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Adenocalymma ubatubense,CR,s.i.,CR,CR,s.i.,CR,CR
Adenophaedra cearensis,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Adesmia paranensis,s.i.,NT,s.i.,s.i.,s.i.,s.i.,NT
Adiantum diphyllum,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Adiantum discolor,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Adiantum mynsseniae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Adiantum papillosum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Adiantum tetragonum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aechmea alopecurus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aechmea amicorum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aechmea apocalyptica,VU,s.i.,EX,EX,s.i.,VU,VU
Aechmea azurea,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Aechmea bambusoides,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Aechmea candida,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Aechmea capixabae,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Aechmea cariocae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aechmea castanea,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aechmea depressa,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aechmea echinata,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aechmea entringeri,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Aechmea fosteriana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aechmea gamosepala,s.i.,LC,EX,s.i.,s.i.,s.i.,LC
Aechmea gamossepala,s.i.,s.i.,s.i.,EX,s.i.,s.i.,s.i.
Aechmea gracilis,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Aechmea gustavoi,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Aechmea kertesziae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aechmea kleinii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aechmea lingulata,s.i.,DD,VU,VU,s.i.,s.i.,DD
Aechmea macrochlamys,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aechmea marginalis,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Aechmea muricata,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aechmea mutica,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aechmea orlandiana,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Aechmea pedicellata,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Aechmea pimenti-velosoi,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Aechmea podantha,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Aechmea recurvata,s.i.,DD,VU,VU,s.i.,s.i.,s.i.
Aechmea roberto-seidelii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Aechmea rubrolilacina,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Aechmea setigera,s.i.,LC,EX,EX,s.i.,s.i.,LC
Aechmea sphaerocephala,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aechmea triangularis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aechmea vanhoutteana,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Aechmea werdermannii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aechmea winkleri,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Aechmea wittmackiana,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Aegiphila australis,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Aegiphila capitata,s.i.,NA,EX,EX,s.i.,s.i.,s.i.
Aegiphila duckei,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aeschynomene denticulata,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Aeschynomene fructipendula,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aeschynomene laca-buendiana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aeschynomene montevidensis,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Aeschynomene sensitiva,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Agalinis bandeirensis,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Agalinis brachyphylla,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Agalinis communis,s.i.,LC,EN,EN,s.i.,s.i.,LC
Agalinis itambensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Agalinis nana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Agalinis ramulifera,EN,s.i.,EX,EX,s.i.,EN,EN
Agalinis schwackeana,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Agarista chlorantha,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Agarista niederleinii,s.i.,LC,EN,EN,s.i.,s.i.,LC
Agarista nummularia,s.i.,LC,EX,EX,s.i.,s.i.,LC
Agarista pulchra,s.i.,NT,EN,EN,s.i.,s.i.,NT
Agenium leptocladum,s.i.,LC,EN,EN,s.i.,s.i.,LC
Agrianthus almasensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Agrianthus giuliettiae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Agrimonia parviflora,s.i.,DD,EX,EX,s.i.,s.i.,DD
Agrostis lenis,VU,s.i.,VU,VU,s.i.,VU,VU
Agrostis longiberbis,EN,s.i.,EN,EN,s.i.,EN,EN
Aguiaria excelsa,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aiouea benthamiana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aiouea bracteata,VU,s.i.,VU,VU,s.i.,VU,VU
Aiouea lehmannii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aiouea macedoana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Aiouea piauhyensis,s.i.,LC,EX,EX,s.i.,s.i.,LC
Aiouea trinervis,s.i.,LC,EN,EN,s.i.,s.i.,LC
Akrosida macrophylla,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Alansmia senilis,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Albizia burkartiana,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Albizia glabripetala,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Albizia niopoides,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Alcantarea benzingii,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Alcantarea duarteana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Alcantarea farneyi,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Alcantarea geniculata,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Alcantarea glaziouana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Alcantarea imperialis,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Alcantarea nahoumii,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Alcantarea nevaresii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Alcantarea vinicolor,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aldama aspilioides,s.i.,DD,VU,VU,s.i.,s.i.,DD
Aldama corumbensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aldama filifolia,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aldama goyazii,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Aldama grandiflora,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Aldama linearifolia,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Aldama paranensis,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Aldama pilosa,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Aldama santacatarinensis,s.i.,NE,s.i.,s.i.,s.i.,s.i.,s.i.
Aldama vernonioides,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aldina microphylla,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aldina occidentalis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aldina polyphylla,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Algernonia dimitrii,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Algernonia kuhlmannii,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Allagoptera brevicalyx,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Allantoma integrifolia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Allantoma kuhlmannii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Allantoma pauciramosa,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Allantoma uaupensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Allophylus melanophloeus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Allophylus membranifolius,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Almeidea caerulea,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Almeidea coerulea,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aloysia hatschbachii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aloysia polygalifolia,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Alseis involuta,VU,s.i.,VU,VU,s.i.,VU,VU
Alstroemeria amabilis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Alstroemeria apertiflora,s.i.,LC,EN,EN,s.i.,s.i.,LC
Alstroemeria brasiliensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Alstroemeria capixaba,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Alstroemeria caryophyllaea,EN,s.i.,EW,EW,s.i.,EN,EN
Alstroemeria foliosa,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Alstroemeria inodora,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Alstroemeria malmeana,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Alstroemeria orchidioides,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Alstroemeria penduliflora,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Alstroemeria plantaginea,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Alstroemeria variegata,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Alternanthera aquatica,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Alternanthera bahiensis,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Alternanthera decurrens,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Alternanthera flavescens,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Alternanthera hirtula,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Alternanthera januarensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Alternanthera lanceolata,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Alternanthera malmeana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Alternanthera micrantha,s.i.,LC,VU,VU,s.i.,s.i.,LC
Alternanthera paronychioides,s.i.,LC,EX,EX,s.i.,s.i.,LC
Alternanthera puberula,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Alternanthera reineckii,s.i.,LC,VU,s.i.,s.i.,s.i.,LC
Alternanthera reinekii,s.i.,s.i.,s.i.,VU,s.i.,s.i.,s.i.
Alternanthera sessilis,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Altoparadisium chapadense,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Amaioua monteiroi,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Amaranthus rosengurtii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Amburana acreana,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Amburana erythrosperma,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Amphilophium crucigerum,s.i.,NE,s.i.,s.i.,s.i.,s.i.,s.i.
Anacardium humile,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Anagallis barbata,s.i.,s.i.,s.i.,EN,s.i.,s.i.,EN
Anathallis bleyensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Anathallis colnagoi,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Anathallis crebrifolia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Anathallis gehrtii,VU,s.i.,VU,VU,s.i.,VU,VU
Anathallis gerthatschbachii,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Anathallis kautskyi,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Anathallis obovata,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Anathallis pabstii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Anathallis tigridens,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Ancistrotropis firmula,s.i.,LC,VU,VU,s.i.,s.i.,LC
Andira praecox,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Andreadoxa flava,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Andropogon carinatus,s.i.,LC,EX,EX,s.i.,s.i.,LC
Andropogon glaucophyllus,EN,s.i.,EX,EX,s.i.,EN,EN
Andropogon hypogynus,s.i.,LC,VU,VU,s.i.,s.i.,LC
Anemia blechnoides,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Anemia dentata,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Anemia espiritosantensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Anemia gardneri,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Anemia trichorhiza,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Anemone decapetala,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Anemone sellowii,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Anemopaegma arvense,EN,s.i.,EN,EN,s.i.,EN,EN
Anemopaegma mirabile,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Anemopaegma patelliforme,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Anetanthus gracilis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Angelonia alternifolia,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Angelonia integerrima,s.i.,LC,EX,EX,s.i.,s.i.,LC
Aniba ferrea,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Aniba heringeri,s.i.,LC,EN,s.i.,s.i.,s.i.,LC
Aniba heringerii,s.i.,s.i.,s.i.,EN,s.i.,s.i.,s.i.
Aniba rosaeodora,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aniba santalodora,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Aniseia martinicensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Annona annonoides,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Annona burchellii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Annona calcarata,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Annona coriacea,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Annona dioica,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Annona ferruginea,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Annona glaucophylla,s.i.,NT,EX,EX,s.i.,s.i.,NT
Annona malmeana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Annona maritima,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Annona neosalicifolia,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Annona parviflora,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Annona pickelii,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Annona ubatubensis,EN,s.i.,EN,EN,s.i.,EN,EN
Annona xylopiifolia,s.i.,NT,EX,EX,s.i.,s.i.,NT
Anomochloa marantoidea,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Anomospermum reticulatum,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Anteremanthus hatschbachii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Anthaenantiopsis fiebrigii,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Anthurium ameliae,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Anthurium bocainense,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Anthurium fontellanum,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Anthurium jureianum,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Anthurium kunthii,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Anthurium langsdorffii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Anthurium lucidum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Anthurium luschnathianum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Anthurium parasiticum,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Anthurium parvum,s.i.,NT,s.i.,s.i.,s.i.,s.i.,NT
Anthurium radicans,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Anthurium xanthophylloides,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Aosa parviflora,s.i.,LC,EN,EN,s.i.,s.i.,LC
Aosa uleana,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Aphelandra espirito-santensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aphelandra longiflora,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Aphelandra margaritae,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Aphelandra maximiliana,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aphelandra schottiana,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Aphelandra squarrosa,s.i.,LC,EW,EW,s.i.,s.i.,LC
Apium prostratum,s.i.,LC,VU,VU,s.i.,s.i.,LC
Apoclada simplex,EN,s.i.,EN,EN,s.i.,EN,EN
Apuleia leiocarpa,VU,s.i.,VU,VU,s.i.,VU,VU
Arachis villosa,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Araeococcus montanus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Araucaria angustifolia,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aristida brasiliensis,EN,s.i.,EX,EX,s.i.,EN,EN
Aristida circinalis,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Aristida constricta,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Aristida ekmaniana,s.i.,NA,EX,EX,s.i.,s.i.,s.i.
Aristida filifolia,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Aristida laevis,s.i.,LC,EX,EX,s.i.,s.i.,LC
Aristida macrophylla,s.i.,NA,EX,EX,s.i.,s.i.,s.i.
Aristida oligospira,s.i.,LC,EX,EX,s.i.,s.i.,LC
Aristida sanctae-luciae,s.i.,DD,EX,EX,s.i.,s.i.,DD
Aristida subaequans,s.i.,NA,EX,EX,s.i.,s.i.,s.i.
Aristolochia curviflora,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Aristolochia cymbifera,s.i.,LC,VU,VU,s.i.,s.i.,LC
Aristolochia hypoglauca,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aristolochia odora,VU,s.i.,EX,EX,s.i.,VU,VU
Aristolochia odoratissima,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Aristolochia wendeliana,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Arrojadoa bahiensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Arrojadoa eriocaulis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Arthrocereus glaziovii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Arthrocereus melanurus,EN,s.i.,s.i.,s.i.,s.i.,s.i.,s.i.
Arthrocereus rondonianus,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Arthropogon xerachne,CR,s.i.,CR,CR,s.i.,CR,CR
Arundinella deppeana,VU,s.i.,EX,EX,s.i.,VU,VU
Asclepias aequicornu,s.i.,LC,EN,EN,s.i.,s.i.,LC
Asclepias langsdorffii,s.i.,LC,EX,s.i.,s.i.,s.i.,LC
Asclepias langsdorfii,s.i.,s.i.,s.i.,EX,s.i.,s.i.,s.i.
Aspasia lunata,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Aspicarpa sericea,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Aspidogyne commelinoides,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Aspidogyne kuczynskii,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Aspidosperma album,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Aspidosperma australe,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Aspidosperma cylindrocarpon,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Aspidosperma inundatum,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aspidosperma macrocarpon,s.i.,LC,VU,VU,s.i.,s.i.,LC
Aspidosperma nobile,s.i.,LC,CR,CR,s.i.,s.i.,LC
Aspidosperma polyneuron,s.i.,NT,s.i.,s.i.,s.i.,s.i.,NT
Aspidosperma quebracho-blanco,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Aspidosperma quirandy,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Aspidosperma ramiflorum,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Aspidosperma riedelii,s.i.,LC,EN,EN,s.i.,s.i.,LC
Aspidosperma sandwithianum,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Aspidosperma spruceanum,s.i.,LC,EN,EN,s.i.,s.i.,LC
Aspilia almasensis,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Aspilia attenuata,s.i.,LC,s.i.,s.i.,s.i.,s.i.,LC
Aspilia belo-horizontinae,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Aspilia caudata,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aspilia cordifolia,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aspilia cylindrocephala,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Aspilia diamantinae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aspilia diffusiflora,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Aspilia diniz-cruzeanae,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Aspilia eglerii,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Aspilia espinhacensis,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aspilia floribunda,s.i.,LC,EN,EN,s.i.,s.i.,LC
Aspilia grazielae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aspilia jugata,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Aspilia ovalifolia,CR,s.i.,s.i.,s.i.,s.i.,CR,s.i.
Aspilia pereirae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aspilia pohlii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,DD
Aspilia prostrata,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Aspilia reticulata,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Aspilia silphioides,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Asplenium beckeri,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Asplenium bradeanum,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
