especie,cat_ameaca_br_old,cat_ameaca_cncflora_old,cat_ameaca_sp_old,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_cncfloraweb,cat_ameaca_br
Acianthera crinita,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Acianthera glumacea,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Acianthera heringeri,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Acianthera karlii,s.i.,LC,s.i.,s.i.,s.i.,s.i.,s.i.
Acianthera langeana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Acianthera ophiantha,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Acianthera papillosa,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Acianthera pectinata,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Acianthera pernambucensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Acianthera saurocephala,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Acianthera strupifolia,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Acianthera translucida,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Acianthera tricarinata,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Acicarpha tribuloides,s.i.,LC,EX,EX,s.i.,LC,s.i.
Acmella pusilla,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Acritopappus catolesensis,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Acritopappus connatifolius,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Acritopappus irwinii,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Acritopappus pintoi,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Acroceras excavatum,s.i.,DD,VU,VU,s.i.,DD,s.i.
Acrocomia emensis,VU,s.i.,VU,VU,s.i.,VU,VU
Acrocomia hassleri,s.i.,LC,EN,EN,s.i.,s.i.,s.i.
Actinocephalus cabralensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Actinocephalus ciliatus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Actinocephalus cipoensis,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Actinocephalus claussenianus,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Actinocephalus heterotrichus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Actinocephalus rhizomatosus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Actinocephalus scytophyllus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Actinostemon klotzschii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Adamantinia miltonioides,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Adelothecium bogotense,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Adenocalymma dichilum,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Adenocalymma fruticosum,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Adenocalymma magnoalatum,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Adenocalymma paulistarum,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Adenocalymma ubatubense,CR,s.i.,CR,CR,s.i.,CR,CR
Adenophaedra cearensis,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Adesmia paranensis,s.i.,NT,s.i.,s.i.,s.i.,s.i.,s.i.
Adiantum diphyllum,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Adiantum discolor,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Adiantum mynsseniae,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Adiantum papillosum,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Adiantum tetragonum,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aechmea alopecurus,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aechmea amicorum,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aechmea apocalyptica,VU,s.i.,EX,EX,s.i.,s.i.,VU
Aechmea azurea,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Aechmea bambusoides,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Aechmea bromeliifolia,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Aechmea bromeliifolia var. albobracteata,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Aechmea candida,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aechmea capixabae,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aechmea cariocae,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aechmea castanea,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aechmea caudata,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Aechmea cylindrata,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Aechmea depressa,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aechmea distichantha,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Aechmea echinata,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aechmea entringeri,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aechmea fosteriana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aechmea gamosepala,s.i.,LC,EX,s.i.,s.i.,s.i.,s.i.
Aechmea gamossepala,s.i.,s.i.,s.i.,EX,s.i.,s.i.,s.i.
Aechmea gracilis,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Aechmea gustavoi,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Aechmea kertesziae,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aechmea kleinii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aechmea lingulata,s.i.,DD,VU,VU,s.i.,s.i.,s.i.
Aechmea macrochlamys,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aechmea marginalis,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Aechmea muricata,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aechmea mutica,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aechmea nudicaulis,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Aechmea orlandiana,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Aechmea pectinata,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Aechmea pedicellata,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aechmea pimenti-velosoi,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aechmea podantha,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aechmea recurvata,s.i.,DD,VU,VU,s.i.,s.i.,s.i.
Aechmea recurvata var. ortgiesii,s.i.,s.i.,s.i.,s.i.,s.i.,DD,s.i.
Aechmea roberto-seidelii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aechmea rubrolilacina,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aechmea setigera,s.i.,LC,EX,EX,s.i.,LC,s.i.
Aechmea sphaerocephala,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aechmea triangularis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aechmea vanhoutteana,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Aechmea werdermannii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aechmea winkleri,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Aechmea wittmackiana,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Aegiphila australis,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Aegiphila capitata,s.i.,NA,EX,EX,s.i.,s.i.,s.i.
Aegiphila duckei,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aeschynomene denticulata,s.i.,LC,s.i.,s.i.,s.i.,s.i.,s.i.
Aeschynomene fructipendula,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aeschynomene laca-buendiana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aeschynomene montevidensis,s.i.,LC,s.i.,s.i.,s.i.,s.i.,s.i.
Aeschynomene selloi,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Aeschynomene sensitiva,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aeschynomene sensitiva var. hispidula,s.i.,s.i.,s.i.,s.i.,s.i.,DD,s.i.
Agalinis bandeirensis,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Agalinis brachyphylla,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Agalinis communis,s.i.,LC,EN,EN,s.i.,LC,s.i.
Agalinis itambensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Agalinis nana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Agalinis ramulifera,EN,s.i.,EX,EX,s.i.,EN,EN
Agalinis schwackeana,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Agarista chlorantha,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Agarista niederleinii,s.i.,LC,EN,EN,s.i.,LC,s.i.
Agarista nummularia,s.i.,LC,EX,EX,s.i.,LC,s.i.
Agarista pulchra,s.i.,NT,EN,EN,s.i.,NT,s.i.
Agenium leptocladum,s.i.,LC,EN,EN,s.i.,LC,s.i.
Agrianthus almasensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Agrianthus giuliettiae,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Agrimonia parviflora,s.i.,DD,EX,EX,s.i.,DD,s.i.
Agrostis lenis,VU,s.i.,VU,VU,s.i.,VU,VU
Agrostis longiberbis,EN,s.i.,EN,EN,s.i.,EN,EN
Aguiaria excelsa,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aiouea acarodomatifera,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Aiouea benthamiana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aiouea bracteata,VU,s.i.,VU,VU,s.i.,VU,VU
Aiouea lehmannii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aiouea macedoana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aiouea piauhyensis,s.i.,LC,EX,EX,s.i.,LC,s.i.
Aiouea trinervis,s.i.,LC,EN,EN,s.i.,LC,s.i.
Akrosida macrophylla,s.i.,DD,s.i.,s.i.,s.i.,DD,s.i.
Alansmia senilis,CR,s.i.,s.i.,s.i.,s.i.,CR,CR
Alatiglossum croesus,s.i.,s.i.,s.i.,s.i.,s.i.,CR|LC,CR
Alatiglossum longipes,s.i.,s.i.,s.i.,s.i.,s.i.,CR|LC,s.i.
Albizia burkartiana,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Albizia edwallii,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Albizia glabripetala,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Albizia niopoides,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Alcantarea benzingii,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Alcantarea duarteana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Alcantarea farneyi,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Alcantarea geniculata,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Alcantarea glaziouana,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Alcantarea imperialis,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Alcantarea nahoumii,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Alcantarea nevaresii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Alcantarea vinicolor,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aldama aspilioides,s.i.,DD,VU,VU,s.i.,s.i.,s.i.
Aldama corumbensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aldama filifolia,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aldama goyazii,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Aldama grandiflora,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Aldama linearifolia,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Aldama paranensis,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Aldama pilosa,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Aldama santacatarinensis,s.i.,NE,s.i.,s.i.,s.i.,s.i.,s.i.
Aldama vernonioides,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aldina microphylla,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aldina occidentalis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aldina polyphylla,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Algernonia dimitrii,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Algernonia kuhlmannii,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Allagoptera arenaria,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Allagoptera brevicalyx,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Allantoma integrifolia,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Allantoma kuhlmannii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Allantoma pauciramosa,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Allantoma uaupensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Allophylus melanophloeus,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Allophylus membranifolius,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Allophylus puberulus,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Allophylus semidentatus,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Almeidea caerulea,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Almeidea coerulea,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Alophia coerulea,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Aloysia hatschbachii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aloysia polygalifolia,s.i.,LC,s.i.,s.i.,s.i.,s.i.,s.i.
Alseis involuta,VU,s.i.,VU,VU,s.i.,VU,VU
Alsophila capensis,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Alsophila capensis subsp. polypodioides,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Alstroemeria amabilis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Alstroemeria apertiflora,s.i.,LC,EN,EN,s.i.,LC,s.i.
Alstroemeria brasiliensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Alstroemeria capixaba,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Alstroemeria caryophyllaea,EN,s.i.,EW,EW,s.i.,s.i.,EN
Alstroemeria foliosa,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Alstroemeria inodora,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Alstroemeria malmeana,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Alstroemeria orchidioides,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Alstroemeria penduliflora,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Alstroemeria plantaginea,s.i.,NA,EN,EN,s.i.,s.i.,s.i.
Alstroemeria variegata,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Alternanthera aquatica,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Alternanthera bahiensis,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Alternanthera decurrens,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Alternanthera flavescens,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Alternanthera hirtula,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Alternanthera januarensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Alternanthera kurtzii,s.i.,s.i.,s.i.,s.i.,s.i.,EN,s.i.
Alternanthera lanceolata,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Alternanthera malmeana,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Alternanthera micrantha,s.i.,LC,VU,VU,s.i.,LC,s.i.
Alternanthera paronychioides,s.i.,LC,EX,EX,s.i.,LC,s.i.
Alternanthera praelonga,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Alternanthera puberula,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Alternanthera reineckii,s.i.,LC,VU,s.i.,s.i.,LC,s.i.
Alternanthera reinekii,s.i.,s.i.,s.i.,VU,s.i.,s.i.,s.i.
Alternanthera sessilis,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Alternanthera tenella,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Altoparadisium chapadense,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Amaioua monteiroi,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Amaranthus rosengurtii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Amauropelta araucariensis,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Amauropelta concinna,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Amburana acreana,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Amburana cearensis,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Amburana erythrosperma,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Amphilophium crucigerum,s.i.,NE,s.i.,s.i.,s.i.,s.i.,s.i.
Anacardium humile,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Anagallis alternifolia,s.i.,s.i.,s.i.,s.i.,s.i.,EN,s.i.
Anagallis barbata,s.i.,s.i.,s.i.,EN,s.i.,EN,s.i.
Ananas fritzmuelleri,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Anathallis adenochila,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Anathallis bleyensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Anathallis colnagoi,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Anathallis crebrifolia,s.i.,DD,s.i.,s.i.,s.i.,DD,s.i.
Anathallis gehrtii,VU,s.i.,VU,VU,s.i.,VU,VU
Anathallis gerthatschbachii,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Anathallis kautskyi,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Anathallis montipelladensis,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Anathallis obovata,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Anathallis pabstii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Anathallis radialis,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Anathallis tigridens,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Ancistrotropis firmula,s.i.,LC,VU,VU,s.i.,LC,s.i.
Andira praecox,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Andira vermifuga,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Andreadoxa flava,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Andropogon carinatus,s.i.,LC,EX,EX,s.i.,LC,s.i.
Andropogon glaucophyllus,EN,s.i.,EX,EX,s.i.,EN,EN
Andropogon hypogynus,s.i.,LC,VU,VU,s.i.,LC,s.i.
Anemia blechnoides,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Anemia dentata,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Anemia espiritosantensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Anemia gardneri,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Anemia organensis,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Anemia trichorhiza,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Anemone decapetala,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Anemone sellowii,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Anemopaegma arvense,EN,s.i.,EN,EN,s.i.,EN,EN
Anemopaegma mirabile,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Anemopaegma patelliforme,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Anetanthus gracilis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Anetium citrifolium,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Aneura pinguis,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Angelonia alternifolia,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Angelonia integerrima,s.i.,LC,EX,EX,s.i.,s.i.,s.i.
Aniba ferrea,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Aniba heringeri,s.i.,LC,EN,s.i.,s.i.,LC,s.i.
Aniba heringerii,s.i.,s.i.,s.i.,EN,s.i.,s.i.,s.i.
Aniba rosaeodora,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aniba santalodora,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Aniseia martinicensis,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Aniseia martinicensis var. ambigua,s.i.,s.i.,s.i.,s.i.,s.i.,DD,s.i.
Anneliesia cuneata,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Anneliesia kayasimae,s.i.,s.i.,s.i.,s.i.,s.i.,CR,s.i.
Anneliesia russelliana,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Annona annonoides,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Annona burchellii,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Annona cacans,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Annona calcarata,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Annona coriacea,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Annona dioica,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Annona emarginata,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Annona ferruginea,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Annona glabra,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Annona glaucophylla,s.i.,NT,EX,EX,s.i.,s.i.,s.i.
Annona malmeana,s.i.,DD,s.i.,s.i.,s.i.,DD,s.i.
Annona maritima,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Annona monticola,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Annona neosalicifolia,s.i.,NA,s.i.,s.i.,s.i.,s.i.,s.i.
Annona parviflora,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Annona pickelii,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Annona ubatubensis,EN,s.i.,EN,EN,s.i.,EN,EN
Annona xylopiifolia,s.i.,NT,EX,EX,s.i.,NT,s.i.
Anomochloa marantoidea,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Anomospermum reticulatum,s.i.,DD,s.i.,s.i.,s.i.,s.i.,s.i.
Anomospermum reticulatum subsp. nitidum,s.i.,s.i.,s.i.,s.i.,s.i.,DD,s.i.
Anteremanthus hatschbachii,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Anthaenantiopsis fiebrigii,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Anthurium ameliae,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Anthurium bocainense,s.i.,NA,VU,VU,s.i.,s.i.,s.i.
Anthurium fontellanum,s.i.,DD,s.i.,s.i.,s.i.,DD,s.i.
Anthurium fontellanus,s.i.,s.i.,s.i.,s.i.,s.i.,DD,s.i.
Anthurium jureianum,VU,s.i.,s.i.,s.i.,s.i.,VU,VU
Anthurium kunthii,s.i.,LC,s.i.,s.i.,s.i.,s.i.,s.i.
Anthurium langsdorffii,EN,s.i.,s.i.,s.i.,s.i.,EN,EN
Anthurium longifolium,s.i.,s.i.,s.i.,s.i.,s.i.,LC,s.i.
Anthurium lucidum,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Anthurium luschnathianum,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Anthurium organense,s.i.,s.i.,s.i.,s.i.,s.i.,NT,s.i.
Anthurium parasiticum,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
Anthurium parvum,s.i.,NT,s.i.,s.i.,s.i.,s.i.,s.i.
Anthurium radicans,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Anthurium xanthophylloides,VU,s.i.,s.i.,s.i.,s.i.,s.i.,VU
Aosa parviflora,s.i.,LC,EN,EN,s.i.,LC,s.i.
Aosa uleana,CR,s.i.,s.i.,s.i.,s.i.,s.i.,CR
Aphelandra espirito-santensis,EN,s.i.,s.i.,s.i.,s.i.,s.i.,EN
Aphelandra longiflora,s.i.,LC,s.i.,s.i.,s.i.,LC,s.i.
