"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","fieldNumber","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","typeStatus"
"11","2020-10-01 14:21:49-03","JBB","HEPH","27930","S","Plantae","Dicotyledon","Lamiales","Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub. ex Ule","Harley, RM","Vidal, JRB; et al.","108","2011","07","01","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Fazenda São Bento- Alto Paraíso/GO. Trilha para cachoeira Almécegas I.","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,NA,NA,NA,"44724","auto",NA,"2014",NA,NA,NA,NA,NA,NA
"12","2014-08-23 05:35:00-03","MO","MOBOT","2909312","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub.",NA,"Howard S. Irwin|R. Reis dos Santos|R. Souza|S.F. da Fonsêca","Irwin 24942","1969","3","23","South America","Brazil","Goiás",NA,"Chapada dos Veadeiros. Rocky slopes, ca. 10km S. of Alto do Paraiso (formerly Veadeiros).",NA,NA,"1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2009-12-06 08:16:00-02","MO","MOBOT","2909364","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub.","R.M. Harley","Gert G. Hatschbach|E.L. Barbosa","Hatschbach 59348","1993",NA,NA,"South America","Brazil","Goiás",NA,"Rod. GO-118, 5-8km S de Alto Paraíso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-12-19 11:19:12-03","UFG","UFG","24182","S","Plantae",NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub.","Ferreira, H.D.","Kirkbride, J.H.","5530","1984","04","28",NA,"Brasil","Goiás","Alto Paraíso","Chapada dos Veadeiros, Campo rupestre denso sobre rochas quartzitas. Cerca 8 km SSE do Alto Paraíso.","-47.5","-14.183333","1200","1200",NA,"Arbusto até 2,5m de altura, flores brancas.","UFG0024182","UFG0024182",NA,NA,NA,NA,"2004","07","23","-47.5","-14.183333",NA,NA
"15","2020-09-12 05:00:02-03","US","US","3180474","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub. ex Ule",NA,"F. R. Mendonca & P. Furtado","1178","1988","12","9","South America - Neotropics","Brazil","Goiás",NA,"Estrada Alto Paraiso/Colinas, Go. 8 Km de Alto Paraíso.","-47.5925","-14.1594",NA,NA,NA,NA,"US02886033","US02886033_01","Docotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"16","2020-09-12 05:00:02-03","US","US","2571138A","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub. ex Ule",NA,"G. T. Prance & N. Silva","58277","1964","7","21","South America - Neotropics","Brazil","Goiás",NA,"New Brazilian Highways, Chapada dos Veadeiros. 5-15 km. south of Veadeiros, road to San João d'Alianca.",NA,NA,NA,NA,NA,NA,"US02886036","US02886036_01","Docotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"17","2020-09-12 05:00:02-03","US","US","2863390","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub. ex Ule",NA,"H. S. Irwin, R. Reis dos Santos, R. Souza & S. F. Fonsêca","24942","1969","3","23","South America - Neotropics","Brazil","Goiás",NA,"Planalto do Brasil, Chapado dos Veadeiros. ca. 10km S. of Alto do Paraiso (formerly Veadeiros).",NA,NA,"1000",NA,NA,NA,"US02886035","US02886035_01","Docotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"18","2020-09-12 05:00:02-03","US","US","3283907","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub. ex Ule",NA,"J. H. Kirkbride","5530","1984","4","28","South America - Neotropics","Brazil","Goiás",NA,"Chapada dos Veadeiros, ca 8 km SSE do Alto Paraíso.","-47.5","-14.18",NA,NA,NA,NA,"US02886034","US02886034_01","Docotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"19","2020-09-02 16:30:08-03","Cenargen","CEN","68658","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub. ex Ule",NA,"José Floriano Barêa Pastore","1846","2007","03","14",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Beira da GO -118, sentido A. Paraíso de Goiás - Teresina.","-47.7875","-14.166111","1022","1022","Exsicatas","Caules ramificados, folhas verdes, corola branca. Doação da Universidade Estadual de Feira de Santana - Herbário HUEFS (117662). Feira de Santana - Bahia.","CEN00068658","CEN00068658",NA,NA,NA,NA,NA,NA,NA,"-47.7875","-14.166111","1",NA
"20","2020-09-02 16:30:08-03","Cenargen","CEN","82889","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub. ex Ule","G. M. Antar","Roberto Fontes Vieira","2492","2012","08","10",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Chácara São Bento, cerca de 10 km de Alto Paraiso.","-47.593611","-14.16","1160","1160","Exsicatas","Similar a RFV 2490 com folhas menores. Exsicatas referente ao depósito de subamostra, em atendimento ao Conselho de Gestão do Patrimônio Genético (CGEN).","CEN00082889","CEN00082889",NA,NA,NA,NA,"2017","07",NA,"-47.593611","-14.16","3",NA
"21","2020-09-02 16:30:08-03","Cenargen","CEN","88273","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub. ex Ule","G. M. Antar","Rosa de Belem das Neves Alves","66","2013","11","19",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Parque Nacional da Chapada dos Veadeiros (PNCV), trilha para do Morro da Baleia, plantas crescendo nas pedras.","-47.81","-14.1675","1034","1034","Exsicatas","Coleta de folhas para extração de oleo essencial, horário da coleta por volta das 11h30. Exsicata referente ao depósito de subamostra, em atendimento ao Conselho de Gestão do Patrimônio Genético (CGEN).","CEN00088273","CEN00088273",NA,NA,NA,NA,"2017","07",NA,"-47.81","-14.1675","2",NA
"22","2020-09-02 16:30:08-03","Cenargen","CEN","23179","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub. ex Ule","R. M. Harley","Taciana Barbosa Cavalcanti","678","1990","08","15",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Parque Nacional da Chapada dos Veadeiros. Estrada para Colinas do Sul, à 34 km da entroncamento da GO - 118.","-47.5099983215332","-14.1324996948242","1200","1200","Exsicatas",NA,"CEN00023179","CEN00023179",NA,"44724","auto",NA,"1997","04",NA,NA,NA,"4",NA
"23","2019-11-13 11:20:47-03","USP","SPF","49624","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub. ex Ule","Harley, RM","Pirani, JR","1755","1987","02","07",NA,"Brasil","Goiás",NA,"Parque Nacional da Chapada dos Veadeiros",NA,NA,NA,NA,NA,NA,"SPF00049624","SPF00049624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-10-07 09:16:18-03","UEFS","HUEFS","184158","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub. ex Ule","R.M.Harley","Faria, J.E.Q.","1274","2011","06","17",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Portal da Chapada, próximo a entrada da trilha pela cachoeira São Bento.","-47.5099983215332","-14.1324996948242",NA,NA,NA,"Cerrado Ralo. Arbusto.","HUEFS0184158","HUEFS0184158","Asteranae","44724","auto",NA,"2014","01",NA,NA,NA,NA,NA
"25","2019-10-07 09:16:18-03","UEFS","HUEFS","117663","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub. ex Ule","R.M.Harley","Pastore, J.F.B.","1846","2007","03","14",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Beira da GO - 118, sentido Alto Paraíso de Goiás - Terezina.","-47.7875","-14.166111","1022","1022",NA,"Área de cerrado de altitude meio perburbado.","HUEFS0117663","HUEFS0117663","Asteranae",NA,NA,NA,"2007",NA,NA,"47W47'15''","14S9'58''",NA,NA
"26","2019-10-07 09:16:18-03","UEFS","HUEFS","191911","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub. ex Ule","R.M.Harley","Vidal, J.R.B.","108","2011","07","01",NA,"Brasil","Goiás","Alto Paraíso","Fazenda São Bento- Alto Paraiso/GO. Trilha para cachoeira Almecegas I.",NA,NA,NA,NA,NA,"cerrado rupestre","HUEFS0191911","HUEFS0191911","Asteranae",NA,NA,NA,"2014","01",NA,NA,NA,NA,NA
"27","2019-10-07 09:16:18-03","UEFS","HUEFS","24249","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub. ex Ule","R.M.Harley","Cavalcanti, T.B.","678","1990","08","15",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.5099983215332","-14.1324996948242","1200","1200",NA,NA,"HUEFS0024249","HUEFS0024249","Asteranae","44724","auto",NA,"1997","04",NA,NA,NA,NA,NA
"28","2019-09-04 19:09:44-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides",NA,NA,"A. Glaziou","21624",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]"
"29","2015-03-07 08:48:10-03","F","FMNH-SEEDPLANTS","V0145056F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0145056F","V0145056F_01","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2015-03-07 08:48:10-03","F","FMNH-SEEDPLANTS","V0145057F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0145057F","V0145057F_01","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2015-03-07 08:48:10-03","F","FMNH-SEEDPLANTS","V0145058F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0145058F","V0145058F_01","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-02-23 13:22:36-03","MN","R-TIPOS","40033","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub.",NA,"Ule, E.H.G.","78 [=3035]","1892","09",NA,NA,"Brasil","Goiás",NA,"Vargem Grande",NA,NA,NA,NA,NA,NA,"R000040033","R000040033_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotypus"
"33","2020-01-09 09:12:38-03","FMM","FMM","2457","MachineObservation","Plantae",NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub. ex Ule",NA,NA,NA,"2017","09","29",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.739756","-14.114578",NA,NA,NA,"Hábito: Arbusto; Domínio Fitogeográfico: Cerrado; Vegetação: Campo rupestre","FMM02457","FMM02457_v1 FMM02457_v2 FMM02457_v3 FMM02457_v4 FMM02457_v5 FMM02457_v6 FMM02457_v7",NA,NA,NA,NA,NA,NA,NA,"47°44'23.12W","14°6'52.48S",NA,NA
"34","2014-10-09 13:58:19-03","UHH","HBG","518595","S","Plantae",NA,NA,"Labiatae/Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub. ex Ule","Harley, R.M.","Ule, E.","3035","1892","09",NA,"South America","Brazil",NA,NA,"Strauch im Thale des Vargem Grande",NA,NA,NA,NA,NA,NA,"HBG518595",NA,NA,NA,NA,NA,"1984","08","20",NA,NA,NA,"Isotype"
"35","2020-11-19 09:29:30-03","IBt","SP","293080","S","Plantae",NA,NA,"Lamiaceae","Hyptis","penaeoides","Hyptis penaeoides","Taub. ex Ule",NA,"Cavalcanti, TB","678","1990","08","15",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.5099983215332","-14.1324996948242","1200","1200",NA,NA,NA,NA,NA,"44724","auto",NA,NA,NA,NA,NA,NA,NA,NA
