"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","relatedCatalogItem","yearIdentified","coordinatePrecision","geoFlag","eventTime","monthIdentified","dayIdentified","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","sex"
"11","2020-12-21 16:36:59-03","MBM","MBM","294","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum",NA,"Hatschbach, G.","13043","1965","10","22","Southern America","Brazil","Paraná","Palmeira","Rio Tibagi, Rod. do Café","-50.0064010620117","-25.4293994903564",NA,"Arbusto 1m, flor alva; do interior do perau; arbusto 1m, flor alva.; Do interior do perau.","MBM000294","MBM000294","ISOTYPE",NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:36:59-03","MBM","MBM","38434","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum","Landrum, L.R.","Kummrow, R.","962","1975","11","03","Southern America","Brazil","Paraná","Ponta Grossa","Rodovia do Café, rio Tibagi","-50.1618995666504","-25.0949993133545",NA,NA,"MBM038434","MBM038434",NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-11 17:20:42-03","UFPR","UPCB","19434","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","D.Legr.","Hatschbach, G.","Cordeiro, J.","528","1988","04","05",NA,"Brasil","Paraná","Palmeira","Rio Tibagi","-50.0064010620117","-25.4293994903564",NA,"Arbusto, 1,6m, fruto imaturo. Beira de rio, campo..",NA,NA,NA,NA,NA,"1988","35166","auto",NA,"01","01",NA,NA,NA,NA,NA,NA,NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","1939373","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum",NA,"Gert G. Hatschbach","Hatschbach 13043","1965","10","22","South America","Brazil","Paraná",NA,"Mun. Palmeira. Rod. do Café, Rio Tibagi.",NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","3204077","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum","G. Hatschbach","J. Cordeiro","Cordeiro 528","1988","4","5","South America","Brazil","Paraná",NA,"Rio Tibago (mun. Palmeira), Beira do rio (zona de campo.) Locco classico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","3204190","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum","L.R. Landrum","Gert G. Hatschbach","Hatschbach 30741","1972","11","20","South America","Brazil","Paraná",NA,"Morro da Baliza, Lageadinho (mun. Palmas).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","3204355","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum","L.R. Landrum","R. Kummrow","Kummrow 962","1975","11","3","South America","Brazil","Paraná",NA,"Rod. do Café, Rio Tibagi (mun. Ponta Grossa).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-08-31 09:07:49-03","INPA","INPA","152622","S","Plantae","Dicotyledon Com-Clade","Myrtales","Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum","Hatschbach, GG","Cordeiro, J","528","1988","04","05","Southern America","Brasil","Paraná","Palmeira","Rio Tibagi","-50.0064010620117","-25.4293994903564",NA,NA,"INPA0152622","INPA0152622 INPA0152622_e",NA,NA,NA,"1988","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","2536775","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum",NA,"G. Hatschbach","17562","1967","10","22","South America - Neotropics","Brazil","Paraná","Lapa","Gruta do Monge","-49.7158012390137","-25.7696990966797",NA,NA,"US01891516","US01891516_01 US01891516_02",NA,"Dicotyledonae",NA,NA,"49965","auto",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","2564841","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum",NA,"G. Hatschbach","13043","1965","10","22","South America","Brazil","Paraná",NA,"Rod. do Cafe, Rio Tibagi.",NA,NA,NA,NA,"US00117721","US00117721_01","Isotype","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"21","2019-12-09 17:30:23-03","UFPR","EFC","11825","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum","Ribeiro, C.L.","Blum, C.T.","1097","2013","11","04",NA,"Brasil","Paraná","Balsa Nova","São Luiz do Purunã","-49.7103","-25.4581",NA,"arvoreta com 2 m, flores brancas, em floresta anã sobre falha rochosa, em meio à paisagem campestre","EFC011825",NA,NA,NA,NA,"2016",NA,NA,NA,"10","31",NA,"-49.7103","-25.4581","1072","1072",NA,NA
"22","2019-10-07 09:35:29-03","UEFS","HUEFS","87094","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum",NA,"Hatschbach, G.","13043","1965","10","22",NA,"Brasil","Paraná","Palmeira","Rod. Do café, Rio Tibagi.","-50.0064010620117","-25.4293994903564",NA,NA,"HUEFS0087094",NA,"Isótipo","Rosanae",NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-10-07 09:35:29-03","UEFS","HUEFS","87092","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum",NA,"Hatschbach, G.","13045","1965","10","22",NA,"Brasil","Paraná","Palmeira","Rod. Do Café, Rio Tibagi.","-50.0064010620117","-25.4293994903564",NA,NA,"HUEFS0087092",NA,"Isótipo","Rosanae",NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-10-07 09:35:29-03","UEFS","HUEFS","87093","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum",NA,"Hatschbach, G.","13043","1965","10","22",NA,"Brasil","Paraná","Palmeira","Rod. Do Café, Rio Tibagi.","-50.0064010620117","-25.4293994903564",NA,NA,"HUEFS0087093",NA,NA,"Rosanae",NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-12 17:01:57-03","UEL","FUEL","18794","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum","Soares-Silva, LH","Soares-Silva, LH; Francisco das Chagas e Silva","658","1996","10","15",NA,"Brasil","Paraná","Piraí do Sul","arredores de Piraí do Sul","-49.948600769043","-24.5261001586914",NA,NA,"FUEL017993",NA,NA,NA,NA,"2016","37171","auto",NA,"09",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-12 17:01:57-03","UEL","FUEL","18516","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum","Soares-Silva, LH","Francisco das Chagas e Silva; Soares-Silva, LH","1979","1996","09","19",NA,"Brasil","Paraná","São Jerônimo da Serra","Arredores de São Jerônimo da Serra","-50.7411003112793","-23.7275009155273",NA,NA,"FUEL017986",NA,NA,NA,NA,"2016","30511","auto",NA,"09",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-01 15:05:56-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum","Soares-Silva, LH","Chagas-e-Silva, F; Soares-Silva, LH","2220","1998","01","20","Southern America","Brasil","Paraná","Imbituva","Várzea do Rio Imbituva","-50.6044006347656","-25.2299995422363",NA,"Arvoreta com 4 alt; flores brancas; frutos imaturos verdes",NA,NA,NA,NA,NA,"2016","24222","auto",NA,"09",NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-01 15:05:56-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum","Soares-Silva, LH","Soares-Silva, LH; Chagas-e-Silva, F","730","1997","12","31","Southern America","Brasil","Paraná ","Apucarana","Parque da Raposa, margem da lagoa","-51.4608001708984","-23.5508003234863",NA,"Árvore com 5m alt; fruto imaturo acinzentado",NA,NA,NA,NA,NA,"2016","23979","auto",NA,"09",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-02-08 12:44:04-03","UFRGS","ICN","124101","S","Plantae","Dicotyledon",NA,"Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum","Molz, M","Sobral, M; et al.","6505",NA,NA,NA,"América do Sul","Brasil","SC","Desfiladeiro do funil","Bom Jardim da Serra",NA,NA,NA,"Campos rupestres entremeados de banhados e capões de mata nebular. Arbusto 1,5 m, em campo a beira do desfiladeiro; flores em botão.",NA,NA,NA,NA,NA,"2017",NA,NA,NA,"08","11",NA,NA,NA,NA,NA,NA,NA
"30","2010-08-16 16:42:12-03","GH","HU-HERB","GH 00071042","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","hatschbachii","Myrceugenia hatschbachii","Landrum",NA,"G. G. Hatschbach","13043","1965","10","22","South America","Brazil","Paraná",NA,"Mun. Palmeira, Rod. do Café, Rio Tibagi",NA,NA,"Sheet",NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13043","undetermined"
