"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","barcode","imagecode","class","relatedCatalogItem","typeStatus","fieldNumber","infraspecificEpithet","previousCatalogNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","483984","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","organensis","Passiflora organensis","L. B. Smith",NA,NA,NA,"H. S. Irwin","2724","1959","02","24","Brazil","Minas Gerais","Viçosa","State Agricultural School, Viçosa.","-42.868031","-20.7613428",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686025' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Gardner",NA,NA,NA,NA,"South America","sheet","NY00483984","NY00483984_01",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","298189","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","organensis","Passiflora organensis","A. C. Cervi",NA,NA,NA,"W. W. Thomas","11476","1997","04","04","Brazil","Bahia","Almadina","5.3 km. from Almadina on road to Ibatupã, then left 7.9 km. on road to Serra dos Sete Paus.","-39.6992","-14.7364",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686026' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Gardner",NA,NA,"500","650","South America","sheet","NY00298189",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1581820","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","organensis","Passiflora organensis","A. C. Cervi",NA,NA,NA,"H. S. Irwin","28716","1971","01","19","Brazil","Minas Gerais",NA,"Serra do Espinhaço, lower slopes of Serra da Piedade, road between BR-31 and Caeté","-43.676328","-19.820266",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1854240' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Gardner",NA,NA,"1600","1600","South America","sheet","NY01581820","NY01581820_01",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","03066148","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","porophylla","Passiflora porophylla",NA,NA,NA,NA,"K. S. Gonçalves","474","2015","01","29","Brazil","Rio de Janeiro","Nova Friburgo","Trilha para o Pico Menor. Parque Estadual dos Três Picos (PETP)","-42.7161111","-22.335",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3292270' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Vell.",NA,NA,"1612","1612","South America","sheet","NY03066148","NY03066148_01",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","03075163","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","porophylla","Passiflora porophylla",NA,NA,NA,NA,"K. S. Gonçalves","458","2015","01","28","Brazil","Rio de Janeiro","Nova Friburgo","Trilha para a Cabeça do Dragão.","-42.72","-22.3230556",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3292439' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Vell.",NA,NA,"1868","1868","South America","sheet","NY03075163","NY03075163_01",NA,NA,NA,NA,NA,NA,NA
"16","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","12583","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","porophylla","Passiflora porophylla","Azevedo, M.L.M.","2008","02","11","Almeida, F.M.",NA,"1971","07","26","Brasil","Minas Gerais","Lavras",NA,NA,NA,NA,NA,NA,NA,"Vell.","9999","9999",NA,NA,NA,NA,"BOTU012583",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-02-08 11:09:45-03","UNESP-IBB","BOTU","15640","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","porophylla","Passiflora porophylla","Azevedo, M.L.M.","2008","02","11","Amaral Jr., A.","72","1982","02","16","Brasil","São Paulo","Campos do Jordão",NA,"-45.5","-22.75",NA,NA,NA,NA,"Vell.","45°30'W","22°45'S",NA,NA,NA,NA,"BOTU015640",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-02-08 11:09:45-03","UNESP-IBB","BOTU","31117","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","porophylla","Passiflora porophylla",NA,NA,NA,NA,"Simis, M.","1","2015","02","07","Brasil","São Paulo","Iporanga","Vale do Ribeira, bairro da Serra, beira da estrada sentido Iporanga, após Cachoeira Sem Fim","-48.666944","-24.565278",NA,NA,NA,NA,"Vell.","48°40'01w","24°33'55s",NA,NA,NA,NA,"BOTU031117",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","12591","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","porophylla","Passiflora porophylla","Azevedo, M.L.M.","2008","02","11","Gemtchújnicov, I.D.",NA,"1958","07","29","Brasil","São Paulo","Suarão",NA,NA,NA,NA,NA,NA,NA,"Vell.","9999","9999",NA,NA,NA,NA,"BOTU012591",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-06-29 11:31:53-03","UFRJ","RFA","4374","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","organensis","Passiflora organensis","S. de V. A. Pessoa","1988","04","07","P. Occhioni","872","1947","03","07","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, km 5 - 6","-44.5633010864258","-22.4960994720459","19648",NA,"Liana, flor verde, estaminódios roxos","auto","Gardner",NA,NA,NA,NA,NA,NA,"RFA47464",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-06-29 11:31:53-03","UFRJ","RFA","16132","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","porophylla","Passiflora porophylla","A.C. Cervi","2011","10","05","P. Occhioni","6954","1975","11","15","Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232","20531",NA,"Volúvel. Fruto jovem.","auto","Vell.",NA,NA,NA,NA,NA,NA,"RFA13839",NA,NA,NA,NA,NA,NA,NA,NA
"22","2013-07-03 11:18:58-03","EBDA","BAH","1602","S","Plantae",NA,NA,"Passifloraceae","Passiflora","organensis","Passiflora organensis","Milton Mello","1959","05",NA,"Durval Santos",NA,"1959","05","05","Brasil","Bahia","Mucuge",NA,"-41.3708","-13.0053","52493",NA,NA,"auto","Gardner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-02-27 21:09:17-03","PUCPR","HUCP","16237","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","organenssis","Passiflora organenssis","Cervi, AC",NA,NA,NA,"Anderman, LC","003","2002","04","09","Brasil","Paraná","Quatro Barras","Rio do Corvo","-49.0769004821777","-25.3656005859375","17116",NA,NA,"auto","Gardner",NA,NA,NA,NA,NA,NA,"HUCP00016440","HUCP00016440",NA,NA,NA,NA,NA,NA,NA
"24","2020-02-27 21:09:17-03","PUCPR","HUCP","353","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","organenssis","Passiflora organenssis","Lervi, AC","1982","05","08","Valle, TM","030",NA,NA,NA,"Brasil","Paraná","Morretes","Serra do Mar","-48.834400177002","-25.476900100708","30514",NA,NA,"auto","Gardner",NA,NA,NA,NA,NA,NA,"HUCP00016576","HUCP00016576",NA,NA,NA,NA,NA,NA,NA
"25","2020-02-27 21:09:17-03","PUCPR","HUCP","19777","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","organenssis","Passiflora organenssis","Selusniaki, M",NA,NA,NA,"Selusniaki, M","2035","2008","01",NA,"Brasil","São Paulo","Mairiporã","Mato Dentro","-46.5800018310547","-23.3099994659424","15840",NA,NA,"auto","Gardner",NA,NA,NA,NA,NA,NA,"HUCP00016335","HUCP00016335",NA,NA,NA,NA,NA,NA,NA
"26","2020-10-27 11:22:06-03","PUCPR","HUCP","5563","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","organenssis","Passiflora organenssis",NA,NA,NA,NA,"Tardivo, RC","092","1992","03","14","Brasil","Paraná","Guaraqueçaba","Ilha do Rabelo","-48.3288993835449","-25.3066997528076","37295",NA,NA,"auto","Gardner",NA,NA,NA,NA,NA,NA,"HUCP00016628","HUCP00016628",NA,NA,NA,NA,NA,NA,NA
"27","2019-10-09 11:22:15-03","UFBA","ALCB","43974","PreservedSpecimen","Plantae","Dicotyledon",NA,"Passifloraceae","Passiflora","organensis","Passiflora organensis","Guedes, ML; Passos Júnior, LA","1999","09",NA,"Passos Júnior, LA; Guedes, ML; et al.","310","1999","08","07","Brasil","Bahia","Ibicoara","Chapada Diamantina, Fazenda Ribeirão da Serra, margem do Rio Sincor , ca. de 2 Km a Nordeste da sede","-41.283333","-13.4",NA,NA,"com gavinhas. Folhas membran ceas discolores variegadas. Material estéril. Ocasional.; com porte arbustivo-arb¢reo médio de 7,50 m. Solo areno-argiloso.",NA,"Gardner","-41.283333","-13.4","900","900","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-10-09 11:22:15-03","UFBA","ALCB","59445","PreservedSpecimen","Plantae","Dicotyledon",NA,"Passifloraceae","Passiflora","porophylla","Passiflora porophylla",NA,"2013",NA,NA,"Guedes, ML; et al.","9759","2002","02","04","Brasil","Bahia","Caravelas","Extremo Sul, Área de influência da CAF. Mata secundária. Parcela 07","-39.754444","-17.735278",NA,NA,"com gavinha avermelhada. Folhas cartáceas, discolores.; Mata secundária, parcela nº 10.",NA,"Vell.","-39.754444","-17.735278",NA,NA,"Southern America",NA,"ALCB043632","ALCB043632",NA,NA,NA,NA,NA,NA,NA
"29","2020-02-08 09:56:31-03","NBC","NL-BOTANY","L.4170500","PreservedSpecimen","Plantae",NA,"Malpighiales","Passifloraceae","Passiflora","organensis","Passiflora organensis",NA,NA,NA,NA,"Irwin HS; Harley RM; Onishi E",NA,"1971","01","19","Brazil",NA,NA,"The Planalto do Brasil. Estando de Minas Gerais. Serra do Espinhaco.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4170500 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Gardner",NA,NA,NA,NA,"Southern America",NA,"NL-L4170500","NL-L4170500","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"30","2020-02-08 09:56:31-03","NBC","NL-BOTANY","L.4304723","PreservedSpecimen","Plantae",NA,"Malpighiales","Passifloraceae","Passiflora","organensis","Passiflora organensis","MacDougal JM",NA,NA,NA,"Unknown",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4304723 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Gardner",NA,NA,NA,NA,"Southern America",NA,"NL-L4304723","NL-L4304723","Magnoliopsidae","L 0796599",NA,NA,NA,NA,NA
"31","2020-02-08 09:56:31-03","NBC","NL-BOTANY","U 0005509","PreservedSpecimen","Plantae",NA,"Malpighiales","Passifloraceae","Passiflora","organensis","Passiflora organensis","Azevedo MAM de","2008","03","27","Miers J",NA,"1879","01","01","Brazil","Rio de Janeiro",NA,"Rio de Janeiro.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200005509 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Gardner",NA,NA,NA,NA,"Southern America",NA,"NL-U0005509",NA,"Magnoliopsidae","62259 B","isotype",NA,NA,NA,NA
"32","2020-02-08 09:56:31-03","NBC","NL-BOTANY","U.1603749","PreservedSpecimen","Plantae",NA,"Malpighiales","Passifloraceae","Passiflora","organensis","Passiflora organensis","Azevedo MAM de","2008","02","11","Kuhlmann JG",NA,"1921","02","12","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1603749 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Gardner",NA,NA,NA,NA,"Southern America",NA,"NL-U1603749","NL-U1603749","Magnoliopsidae","U 0072602",NA,NA,NA,NA,NA
"33","2020-11-04 12:17:55-03","ESALQ","ESA","20411","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","organensis","Passiflora organensis","Milward, M.","2006",NA,NA,"Miyagi, P.H. et al.","406.0","1995","02","12","Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516","27729",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,"ESA020411","ESA020411",NA,NA,NA,NA,NA,NA,NA
"34","2020-11-04 12:17:55-03","ESALQ","ESA","22178","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","organensis","Passiflora organensis","Milward, M.","2006",NA,NA,"Miyagi, P.H.; Zandoval, J.A.; Souza, J.P.","420.0","1995","02","12","Brasil","São Paulo","Itararé","Mata higrófila de encosta, cerca de 28 Km de Itararé em direção à pedreira São Judas. Cerca de 1 Km da estrada Itararé - Bonsucesso de Itararé. 2a parada.","-49.3400001525879","-24.1100006103516","27729",NA,"Trepadeira. Flores verde claro, estames e estigmas vináceos.","auto",NA,NA,NA,NA,NA,NA,NA,"ESA022178","ESA022178",NA,NA,NA,NA,NA,NA,NA
"35","2020-11-04 12:17:55-03","ESALQ","ESA","30945","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","organensis","Passiflora organensis","Milward, M.","2006",NA,NA,"Souza, V.C. et al.","10616.0","1996","01","26","Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516","27729",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,"ESA030945","ESA030945",NA,NA,NA,NA,NA,NA,NA
"36","2020-11-04 12:17:55-03","ESALQ","ESA","37723","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","porophylla","Passiflora porophylla","Silva, R.","2018","07","17","Chung, F. et al.","129.0","1997","12","13","Brasil","São Paulo","Apiaí",NA,"-48.8400001525879","-24.5","37738",NA,NA,"auto","Vell.",NA,NA,NA,NA,NA,NA,"ESA037723","ESA037723",NA,NA,NA,NA,NA,NA,NA
"37","2020-11-04 12:17:55-03","ESALQ","ESA","83726","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","porophylla","Passiflora porophylla","Prado, T.C.","2018","07","17","Souza, V.C.; Duarte, A.R.; Sampaio, D.; Nogueira, A.; Castanho, C.T.; Rando, J.G.","29004.0","2003","02","18","Brasil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho. Floresta Ombrófila Densa. Área do Projeto Parcelas Permanentes","-47.9199981689453","-24.3799991607666","34059",NA,"Trepadeira; botões verdes.","auto","Vell.",NA,NA,"300","300",NA,NA,"ESA083726","ESA083726",NA,NA,NA,NA,NA,NA,NA
"38","2020-11-04 12:17:55-03","ESALQ","ESA","84924","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","porophylla","Passiflora porophylla","Silva, R.","2018","07","17","Aguiar, A.C.; Silva, R.R.; Pereira, Z.V.; Cerqueira, R.M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Paula-Souza, J.; Muniz, M.","97.0","2003","04","15","Brasil","São Paulo","Ribeirão Grande","Parque Estadual Intervales, trilha da Caçadinha, com início na estrada do Carmo.Vegetação Secundária de Floresta Ombrófila Densa Alto Montana",NA,"-242.775",NA,NA,"Trepadeira, frutos verdes, encontrado na borda da triha (0,60 m)",NA,"Vell.","-48,419,167","-242,775","710","710",NA,NA,"ESA084924","ESA084924",NA,NA,NA,NA,NA,NA,NA
"39","2020-11-04 12:17:55-03","ESALQ","ESA","19339","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","porophylla","Passiflora porophylla","Prado, T.C.","2018","07","17","Miyagi, P.H. et al.","494.0","1995","02","15","Brasil","São Paulo","Mamparra",NA,NA,NA,NA,NA,NA,NA,"Vell.",NA,NA,NA,NA,NA,NA,"ESA019339",NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-11-04 12:17:55-03","ESALQ","ESA","92634","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","porophylla","Passiflora porophylla","Silva, R.","2018","07","17","Oriani, A. et al.","594.0","2005","03","25","Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637","38804",NA,NA,"auto","Vell.",NA,NA,NA,NA,NA,NA,"ESA092634","ESA092634",NA,NA,NA,NA,NA,NA,NA
"41","2020-11-04 12:17:55-03","ESALQ","ESA","121748","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","porophylla","Passiflora porophylla","Prado, T.C.","2018","07","17","Souza, V.C.","35118.0","2012","12","01","Brasil","São Paulo","Ribeira","15,2 km do centro de Ribeira em direção a Apiaí. Borda de floresta ombrófila densa.","-49","-24.6499996185303","17907",NA,"Trepadeira; pétalas e sépalas verdes; corona alva com genículo arroxeado.","auto","Vell.",NA,NA,NA,NA,NA,NA,"ESA121748","ESA121748",NA,NA,NA,NA,NA,NA,NA
"42","2020-11-04 12:17:55-03","ESALQ","ESA","72838","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","porophylla","Passiflora porophylla","Silva, R.","2018","07","17","Kuhlmann, M.","2677.0","1951","03","23","Brasil","Rio de Janeiro","Angra dos Reis",NA,"-44.3180999755859","-23.0067005157471","32988",NA,NA,"auto","Vell.",NA,NA,NA,NA,NA,NA,"ESA072838","ESA072838",NA,NA,NA,NA,NA,NA,NA
"43","2020-11-04 12:17:55-03","ESALQ","ESA","5829","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Passifloraceae","Passiflora","porophylla","Passiflora porophylla","Silva, R.","2018","07","17","Dias, D.C. et al.","45.0","1986","03","09","Brasil","São Paulo","Iporanga",NA,"-48.5900001525879","-24.5799999237061","38740",NA,NA,"auto","Vell.",NA,NA,NA,NA,NA,NA,"ESA005829","ESA005829",NA,NA,NA,NA,NA,NA,NA
"44","2021-01-14 15:32:54-03","MN","R","10248","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","organensis","Passiflora organensis","Azevedo, M. M.","2007","04","16","Glaziou, A.F.M.","10871 a","1877","07","10","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central",NA,"Gardner",NA,NA,NA,NA,NA,NA,"R000010248","R000010248_001",NA,NA,NA,NA,NA,NA,NA
"45","2021-01-14 15:32:54-03","MN","R","10249","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","organensis","Passiflora organensis","Azevedo, M. M.","2007","04","16","Glaziou, A.F.M.","18254","1890","11","02","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central",NA,"Gardner",NA,NA,NA,NA,NA,NA,"R000010249","R000010249_001",NA,NA,NA,NA,NA,NA,NA
"46","2015-07-02 14:55:40-03","JBP","HPL","4057","S","Plantae",NA,NA,"Passifloraceae","Passiflora","organensis","Passiflora organensis","H. Lorenzi","2005","03","03","H. Lorenzi","5106","2005","03","03","Brasil","MG","Caeté","Coletado na BR 262, perto do trevo para a cidade.","-43.690944","-19.788",NA,NA,NA,NA,"Gardn","43° 41' 27,4 W","19° 47' 16,8 S","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2015-07-02 14:03:38-03","JBP","HPL","8014","S","Plantae",NA,NA,"Passifloraceae","Passiflora","organensis","Passiflora organensis","L.C. Bernacci","2004","05","04","L.C. Bernacci, H. Lorenzi et al.","3726","2004","05","04","Brasil","MG","Leopoldina","Coletado ca. 23km ao norte da cidade. S 21° 25' 07; W 42° 30' 23 - 200 m.s.m.","-42.6431","-21.5319","26325",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2015-07-02 14:42:50-03","JBP","HPL","13872","S","Plantae",NA,NA,"Passifloraceae","Passiflora","porophylla","Passiflora porophylla","V.C. Souza","2015","06","09","V.C. Souza","35118","2012","12","17","Brasil","SP","Ribeira","Loc: 15,2 km do centro de Ribeira em direção a Apiaí. Borda de floresta ombrófila densa., Ribeira, São Paulo, Brasil","-49","-24.65","17907",NA,NA,"auto","Vell.","4892,65' W","2454,52' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
