"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"11","2021-01-06 11:42:46-03","UFPI-MRV","HDELTA","259","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Rocha, J. A.","05","2013","01",NA,"Brasil","Piauí","Luzilândia","Povoado picada dos porcos","-42.450861","-3.756083",NA,"Arbustivo, ca. 0,4 m <ll>dwc_commonname:</ll> Jaborandi","HDELTA000259",NA,NA,"10",NA,NA,NA,NA,"42°27'03,10''W","03°45'21,90''S",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-01-06 11:42:46-03","UFPI-MRV","HDELTA","256","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Rocha, J. A.","01","2012","04",NA,"Brasil","Piauí","Comunidade Lajeiro",NA,NA,NA,NA,"Arbusto de ca. 0,3m <ll>dwc_commonname:</ll> Jaborandi","HDELTA000256",NA,NA,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-01-06 11:42:46-03","UFPI-MRV","HDELTA","253","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Silva, F. M. M.","02","2012","03",NA,"Brasil","Paraná","Flona carajás",NA,NA,NA,NA,"Árvoreta, ca 0,5 m <ll>dwc_commonname:</ll> Jaborandi","HDELTA000253",NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-01-06 11:42:49-03","UFPI-MRV","HDELTA","2869","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Lima, L.I.","06","2012","03",NA,"Brasil","Piauí",NA,"Tabuleiros Litorâneos",NA,NA,NA,"<ll>dwc_commonname:</ll> Jaborandi","HDELTA002869",NA,"Lima, L.I.","20",NA,NA,NA,NA,NA,NA,"2012","03","20",NA,NA,NA,NA,NA
"15","2021-01-06 11:42:46-03","UFPI-MRV","HDELTA","2866","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Lima, L.I.","02","2012","03",NA,"Brasil","Piauí",NA,"Tabuleiros Litorâneos",NA,NA,NA,"<ll>dwc_commonname:</ll> Jaborandi","HDELTA002866",NA,"Lima, L.I.","16",NA,NA,NA,NA,NA,NA,"2012","03","16",NA,NA,NA,NA,NA
"16","2021-01-06 11:42:46-03","UFPI-MRV","HDELTA","2867","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Lima, L.I.","04","2012","03",NA,"Brasil","Piauí",NA,"Tabuleiros Litorâneos",NA,NA,NA,"<ll>dwc_commonname:</ll> Jaborandi","HDELTA002867",NA,"Lima, L.I.","18",NA,NA,NA,NA,NA,NA,"2012","03","18",NA,NA,NA,NA,NA
"17","2021-01-06 11:42:46-03","UFPI-MRV","HDELTA","2865","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Lima, L.I.","03","2012","03",NA,"Brasil","Piauí",NA,"Tabuleiros Litorâneos",NA,NA,NA,"<ll>dwc_commonname:</ll> Jaborandi","HDELTA002865",NA,"Lima, L.I.","17",NA,NA,NA,NA,NA,NA,"2012","03","17",NA,NA,NA,NA,NA
"18","2021-01-06 11:42:46-03","UFPI-MRV","HDELTA","255","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Rocha, J. A.","03","2012","05",NA,"Brasil","Piauí","Assentamento culias",NA,NA,NA,NA,"Arbusto de ca. 0,15m <ll>dwc_commonname:</ll> Jaborandi","HDELTA000255",NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-01-06 11:42:49-03","UFPI-MRV","HDELTA","2875","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Lima, L.I.","12","2013","03",NA,"Brasil","Piauí",NA,"Tabuleiros Litorâneos",NA,NA,NA,"<ll>dwc_commonname:</ll> Jaborandi","HDELTA002875",NA,"Lima, L.I.","23",NA,NA,NA,NA,NA,NA,"2016","03","23",NA,NA,NA,NA,NA
"20","2021-01-06 11:42:49-03","UFPI-MRV","HDELTA","2870","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Lima, L.I.","07","2012","03",NA,"Brasil","Piauí",NA,"Tabuleiros Litorâneos",NA,NA,NA,"<ll>dwc_commonname:</ll> Jaborandi","HDELTA002870",NA,"Lima, L.I.","21",NA,NA,NA,NA,NA,NA,"2012","03","21",NA,NA,NA,NA,NA
"21","2021-01-06 11:42:46-03","UFPI-MRV","HDELTA","254","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Rocha, J. F.","02","2012","05",NA,"Brasil","Piauí","Assentamento candeias",NA,NA,NA,NA,"Árvoreta de ca. 0,2 m <ll>dwc_commonname:</ll> Jaborandi","HDELTA000254",NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-01-06 11:42:49-03","UFPI-MRV","HDELTA","2873","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Lima, L.I.","10","2012","03",NA,"Brasil","Piauí",NA,"Tabuleiros Litorâneos",NA,NA,NA,"<ll>dwc_commonname:</ll> Jaborandi","HDELTA002873",NA,"Lima, L.I.","24",NA,NA,NA,NA,NA,NA,"2012","03","24",NA,NA,NA,NA,NA
"23","2021-01-06 11:42:49-03","UFPI-MRV","HDELTA","2871","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Lima, L.I.","08","2012","03",NA,"Brasil","Piauí",NA,"Tabuleiros Litorâneos",NA,NA,NA,"<ll>dwc_commonname:</ll> Jaborandi","HDELTA002871",NA,"Lima, L.I.","22",NA,NA,NA,NA,NA,NA,"2012","03","22",NA,NA,NA,NA,NA
"24","2021-01-06 11:42:49-03","UFPI-MRV","HDELTA","2872","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Lima, L.I.","09","2012","03",NA,"Brasil","Piauí",NA,"Tabuleiros Litorâneos",NA,NA,NA,"<ll>dwc_commonname:</ll> Jaborandi","HDELTA002872",NA,"Lima, L.I.","23",NA,NA,NA,NA,NA,NA,"2012","03","23",NA,NA,NA,NA,NA
"25","2021-01-06 11:42:49-03","UFPI-MRV","HDELTA","2868","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Lima, L.I.","2","2013","03",NA,"Brasil","Piauí",NA,"Tabuleiros LitorÂneos",NA,NA,NA,"<ll>dwc_commonname:</ll> Jaborandi","HDELTA002868",NA,"Lima, L.","15",NA,NA,NA,NA,NA,NA,"2013","03","15",NA,NA,NA,NA,NA
"26","2021-01-06 11:42:49-03","UFPI-MRV","HDELTA","5797","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Bittencourt, C.B.; Andrade, I.M.","4","2019","02",NA,"Brasil","Piauí","Luzilândia","Cutias","-42.478861","-3.688556",NA,"<ll>dwc_commonname:</ll> Jaborandi","HDELTA005797",NA,"Nascimento, M.G.P","07",NA,NA,NA,NA,"42°28'43,90w","3°41'18,80''s","2019","03","22",NA,NA,NA,NA,NA
"27","2021-01-06 11:42:49-03","UFPI-MRV","HDELTA","5796","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Bittencourt, C.B.; Andrade, I.M.","5","2019","02",NA,"Brasil","Ceará","Matias Olimpo","Mata Fresca",NA,NA,NA,"<ll>dwc_commonname:</ll> Jaborandi","HDELTA005796",NA,"Nascimento, M.G.P","07",NA,NA,NA,NA,NA,NA,"2019","02","07",NA,NA,NA,NA,NA
"28","2021-01-06 11:42:46-03","UFPI-MRV","HDELTA","257","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Silva, F. M. M. S.","01",NA,NA,NA,"Brasil","Maranhão","Barra dos Macacos",NA,NA,NA,NA,"Arbusto de ca. 0,3 m <ll>dwc_commonname:</ll> Jaborandi","HDELTA000257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-01-06 11:42:49-03","UFPI-MRV","HDELTA","2874","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Lima, L.I.","11","2012","03",NA,"Brasil","Piauí",NA,"Tabuleiros Litorâneos",NA,NA,NA,"<ll>dwc_commonname:</ll> Jaborandi","HDELTA002874",NA,"Lima, L.I.","25",NA,NA,NA,NA,NA,NA,"2012","03","25",NA,NA,NA,NA,NA
"30","2021-01-06 11:42:49-03","UFPI-MRV","HDELTA","5137","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Bittencourt, C.B.","1","2018","08",NA,"Brasil","Maranhão","Barra do Corda","Sumaúma da mata","-45.144694","-5.148028",NA,"<ll>dwc_commonname:</ll> Jaborandi","HDELTA005137",NA,"Reis, R.B.; Bittencourt, C.B.","02",NA,NA,NA,NA,"45°08'40,90W","05°08'52,90S","2018","08","16",NA,NA,NA,NA,NA
"31","2021-01-06 11:42:49-03","UFPI-MRV","HDELTA","5138","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Bittencourt, C.B.","3","2018","08",NA,"Brasil","Maranhão","Barra do Corda","Centro de Ramos","-45.192083","-5.294639",NA,"<ll>dwc_commonname:</ll> Jaborandi","HDELTA005138",NA,"Reis, R.B.; Bittencourt, C.B.","02",NA,NA,NA,NA,"45°11'31,50W","05°17'40,70S","2018","08","16",NA,NA,NA,NA,NA
"32","2021-01-06 11:42:46-03","UFPI-MRV","HDELTA","260","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Rocha, J. A.","04","2013","01",NA,"Brasil","Piauí","Porto","Assentamento Brasileira","-42.764833","-4.01025",NA,"Arbustivo, ca. 0,3 m <ll>dwc_commonname:</ll> Jaborandi","HDELTA000260",NA,NA,"10",NA,NA,NA,NA,"42°45'53,40''W","04°00'36,90''S",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-01-06 11:42:46-03","UFPI-MRV","HDELTA","258","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Rocha, J. A.","06","2013","01",NA,"Brasil","Piauí","Parnaíba","Tabuleiros litoraneos","-41.7766990661621","-2.90472006797791",NA,"Árvoreta, de ca. 2,0 m <ll>dwc_commonname:</ll> Jaborandi","HDELTA000258",NA,NA,"31",NA,NA,"25571","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-06-29 11:32:28-03","UFRJ","RFA","3466","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Dobereiner",NA,"1957","06",NA,"Brasil","Maranhão","Maranhão",NA,NA,NA,NA,"0,84% de pilocarpina","RFA22046",NA,NA,"06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-06-29 11:32:28-03","UFRJ","RFA","7486","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf ex Wardlew.","Dobereiner-Tokarnia","515","1957","06",NA,"Brasil","Maranhão","Brejo","Guabiroba","-42.750301361084","-3.68443989753723",NA,"+/- 0,84% de Pilocarpina.","RFA26985",NA,NA,"05",NA,NA,"31184","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:48:29-03","EAO","IAN","79697","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf","Fróes, RL","29758","1953","06","Southern America","Brasil","Pará",NA,"Santa Cruz dos Martírios. Região do Araguáia; campos gerais, mata secundária",NA,NA,NA,"Arbusto de 1 metro.","IAN079697",NA,"Rose, JN","12",NA,NA,NA,NA,NA,NA,"1975","07",NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:48:29-03","EAO","IAN","164024","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf","Cordeiro, MR","2216",NA,NA,"Southern America","Brasil","Maranhão","Buriticupu",NA,"-46.4011001586914","-4.34582996368408",NA,NA,"IAN164024",NA,NA,NA,NA,NA,"73814","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:48:29-03","EAO","IAN","163940","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf","Cordeiro, MR; Monteiro, RS da","2132","1991","08","Southern America","Brasil","Maranhão","Buriticupu","Área de experimento da reserva florestal da Floresta Rio Doce, Talhão-01. Mata de terra firme.","-46.4011001586914","-4.34582996368408",NA,"Arbusto de 2m; frutos verdes; folha, coriácea fina.","IAN163940",NA,NA,"30",NA,NA,"73814","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:48:29-03","EAO","IAN","163898","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf","Rodrigues, IA; Cordeiro, MR","1450","1991","08","Southern America","Brasil","Maranhão","Buriticupu","Reserva da floresta do Rio Doce.","-46.4011001586914","-4.34582996368408",NA,NA,"IAN163898",NA,NA,"14",NA,NA,"73814","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:48:29-03","EAO","IAN","103729","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf","Fróes, RL","34933","1959","11","Southern America","Brasil","Maranhão","São Luis",NA,"-44.3027992248535","-2.52972006797791",NA,"Arbusto de 1m de altura.","IAN103729",NA,NA,"25",NA,NA,"33693","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-30 12:48:29-03","EAO","IAN","90314","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf","Fróes, RL","31948","1955","07","Southern America","Brasil","Maranhão","São Luis",NA,"-44.3027992248535","-2.52972006797791",NA,NA,"IAN090314",NA,NA,"05",NA,NA,"33693","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-30 12:48:29-03","EAO","IAN","174602","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf","Rodrigues, IA","1572","1992","06","Southern America","Brasil","Pará","Altamira",NA,"-52.2064018249512","-3.20333003997803",NA,NA,"IAN174602",NA,NA,NA,NA,NA,"748499","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-30 12:48:29-03","EAO","IAN","174710","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf","Rodrigues, IA","s.n.","1994","07","Southern America","Brasil","Pará","Altamira","Gleba 15, entre a Rodovia Transamazônica e o rio Xingú.","-52.2064018249512","-3.20333003997803",NA,"Arbusto de 1,30m de altura; frutos jovens.","IAN174710",NA,NA,"28",NA,NA,"748499","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-30 12:48:29-03","EAO","IAN","194006","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf","Silva, AS","1","2015","07","Southern America","Brasil","Pará","Belém",NA,"-48.5043983459473","-1.4558299779892",NA,NA,"IAN194006",NA,NA,"30",NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-30 12:48:29-03","EAO","IAN","182434","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf","Nascimento, MP do","s.n.","1997","08","Southern America","Brasil","Pará","Belém","Embrapa, CPATU. Horto de Plantas Medicinais.","-48.5043983459473","-1.4558299779892",NA,"Arbusto de 2,0m de altura.","IAN182434",NA,NA,"02",NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-30 12:48:29-03","EAO","IAN","194182","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf","Rodrigues, ST","659","2016","02","Southern America","Brasil","Pará","Belém","Horto de Plantas medicinais da Embrapa Amazônia Oriental.","-48.5043983459473","-1.4558299779892",NA,"Arbusto com flores em botão e frutos verdes com folhas compostas.","IAN194182",NA,NA,"24",NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-03-30 12:48:29-03","EAO","IAN","194182","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf","Rodrigues, ST","659","2016","02","Southern America","Brasil","Pará","Belém","Horto de Plantas medicinais da Embrapa Amazônia Oriental.","-48.5043983459473","-1.4558299779892",NA,"Arbusto com flores em botão e frutos verdes com folhas compostas.","IAN194182",NA,NA,"24",NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2021-03-30 12:48:29-03","EAO","IAN","198202","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf","Rodrigues, ST; Nascimento, MP do","717","2007","09","Southern America","Brasil","Pará","Belém","Horto de plantas medicinais da Embrapa Amazônia Oriental. Acesso 1097-A8.","-48.5043983459473","-1.4558299779892",NA,"Arbusto fértil, com frutos em espigas.","IAN198202",NA,NA,"13",NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2021-03-30 12:48:29-03","EAO","IAN","171765","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf","Nascimento, MP do","s.n.","1997","02","Southern America","Brasil","Pará","Belém","Horto de Plantas medicinais, Embrapa Amazônia Oriental.","-48.5043983459473","-1.4558299779892",NA,NA,"IAN171765",NA,NA,NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2021-03-30 12:48:29-03","EAO","IAN","198214","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","microphyllus","Pilocarpus microphyllus","Stapf","Rodrigues, ST; Nascimento, MP do","729","2007","09","Southern America","Brasil","Pará","Belém","Horto de plantas medicinais Embrapa Amazônia Oriental. Acesso 1086.","-48.5043983459473","-1.4558299779892",NA,"Arbusto fértil, com inflorescência em espiga terminal.","IAN198214",NA,NA,"13",NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
