"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","dayIdentified","continentOcean","preparationType","previousCatalogNumber","barcode","infraspecificEpithet","typeStatus","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","669788","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","L. de F. de Carvalho",NA,NA,"L. Riedel","401","1832",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608541' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00669788",NA,NA,"NY00669788_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","669798","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","W. G. D'Arcy",NA,NA,"G. Davidse","10448","1976","02","21","Brazil","São Paulo","Sao Paulo","Grounds of the Instituto Botânico.","-46.618358","-23.646109",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608540' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00669798",NA,NA,"NY00669798_01","860","860",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","770288","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","L. L. Giacomin",NA,NA,"M. Kirizawa","425","1979","08","07","Brazil","São Paulo","Sao Paulo","Reserva Biológica, Parque Estadual das Fontes do Ipiranga.","-46.621883","-23.654505",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110573' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00770288",NA,NA,"NY00770288_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","02703522","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal",NA,NA,NA,"B. C. Bandeira","55","2011","11","03","Brazil","Rio de Janeiro",NA,"Trilha do Rancho Frio, a caminho do Sto Antonio. Parque Nacional da Serra dos Orgãos",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3006209' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY02703522",NA,NA,"NY02703522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00697278","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","M. H. Nee",NA,NA,"J. M. Silva","1922","1997","04","12","Brazil","Paraná","Londrina","Rio Tibagi, Fazenda São José do Remansinho","-51.1628","-23.3106",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832553' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00697278",NA,NA,"NY00697278_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","669793","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","M. D. Whalen",NA,NA,"J. N. Rose","20226","1915","07","12","Brazil","Rio de Janeiro",NA,"Vicinity of Rio de Janeiro. Pao de Assucar.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608533' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00669793",NA,NA,"NY00669793_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01096394","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","L. Freire",NA,NA,"F. Verçoza","6","2000","05","29","Brazil","Rio de Janeiro","Mangaratiba","Muriqui.","-44.0406","-22.9597",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237109' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY01096394",NA,NA,"NY01096394_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","669801","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","L. de F. de Carvalho",NA,NA,"M. Leitman","388","1990","08","17","Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, Sítio Baccus.","-42.5308","-22.2819",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608536' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00669801",NA,NA,"NY00669801_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00697282","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","C. V. Morton",NA,NA,"Y. E. J. Mexia","5102","1930","09","25","Brazil","Minas Gerais","Viçosa","Fazenda do Deserto; Corriga","-42.8817","-20.7542",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832560' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00697282",NA,NA,"NY00697282_01","680","680",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","669797","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","L. A. C. Rodas",NA,NA,"C. E. Yamamoto","45","1986","03","20","Brazil","Paraná","Londrina","Parque Estadual Mata dos Godoy.","-51.1628","-23.3106",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608532' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00669797",NA,NA,"NY00669797_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","669795","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","J. P. Mul",NA,NA,"J. C. Lindeman","1800","1966","06","30","Brazil","Paraná",NA,"Fazenda Pelanda near Cinco Mil, ca. 25km SE of Palotina.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608531' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00669795",NA,NA,"NY00669795_01","260","260",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01096393","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","L. de F. de Carvalho",NA,NA,"Collector unknown","s.n.","1985","04","08","Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio do Janeiro. seção XXIII, cant. A,placa 2815, piq 5.","-43.2075","-22.9031",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236974' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY01096393",NA,NA,"NY01096393_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","669789","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","L. de F. de Carvalho",NA,NA,"L. Riedel","401","1832",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608542' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00669789",NA,NA,"NY00669789_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","669800","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","L. de F. de Carvalho",NA,NA,"G. Martinelli","11651","1986","08","14","Brazil","Rio de Janeiro","Casimiro de Abreu","Barra de Sao Joao, restinga 6km SE de Barra de Sao Joao.","-42.2042","-22.4808",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608535' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00669800",NA,NA,"NY00669800_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00697280","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","W. P. Hiern",NA,NA,"J. E. B. Warming","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Lagoa Santa","Ad Lagoa Santa","-43.8894","-19.6272",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832556' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00697280",NA,NA,"NY00697280_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","669804","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","L. B. Smith",NA,NA,"J. P. P. Carauta","1250","1970","11","01","Brazil","Rio de Janeiro",NA,"Guanabara, Rio de Janeiro, Morro de Sao Joao, encosta de Botafogo.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608539' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00669804",NA,NA,"NY00669804_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","669791","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","M. H. Nee",NA,NA,"L. Riedel","s.n.","1823","10",NA,"Brazil","Rio de Janeiro","Magé","Pr. Mand.","-43.0406","-22.6531",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608546' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00669791",NA,NA,"NY00669791_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","669805","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","M. H. Nee",NA,NA,"A. P. Duarte","5614","1961","07","11","Brazil","Rio de Janeiro",NA,"Estado da Guanabara, Avenida Nyemeir.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608548' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00669805",NA,NA,"NY00669805_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00697281","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","M. H. Nee",NA,NA,"E. Nogueira","113","1981","01","14","Brazil","Goiás","Corumbá de Goiás","Topo do Pico dos Pirineus, serra do Catingueiro 6 km de Cocalzinho","-48.8086013793945","-15.9236001968384","41388","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832558' target='other'> <mi>dwc_moreinfo</mi></a>","auto",NA,"South America","sheet",NA,"NY00697281",NA,NA,"NY00697281_01","1380","1380",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","669796","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","S. M. Silva",NA,NA,"S. B. Mikich","s.n.","1996","03","13","Brazil","Paraná","Fênix","Parque Estadual Vila Rica.","-52.45","-23.4",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608538' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00669796",NA,NA,"NY00669796_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","669802","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","L. de F. de Carvalho",NA,NA,"H. C. de Lima","3458","1988","10","20","Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, nascente do rio das Flores, Sítio Sophronites.","-42.5308","-22.2819",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608534' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00669802",NA,NA,"NY00669802_01","1100","1100",NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","778917","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","R. P. Guazzelli Rosario; R. Simão-Bianchini",NA,NA,"L. Rossi","2170","2000","09","20","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba, Trilha dos Tropeiros.","-45.4097","-23.6203",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799934' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00778917",NA,NA,"NY00778917_01","100","240",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00697283","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal","C. V. Morton",NA,NA,"Y. E. J. Mexia","5097","1930","09","24","Brazil","Minas Gerais","Viçosa","Fazenda do Deserto; near low bridge","-42.8817","-20.7542",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832561' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00697283",NA,NA,"NY00697283_01","690","690",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","02703526","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal",NA,NA,NA,"B. C. Bandeira","57","2011","11","03","Brazil","Rio de Janeiro",NA,"trilha do rancho Frio a caminho do Muriqui. Parque Nacional da Serra dos Orgãos","-43.051667","-22.981944",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3006214' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY02703526",NA,NA,"NY02703526_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","669794","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum","Dunal",NA,NA,NA,"Wilkes Expedition","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608544' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00669794",NA,NA,"NY00669794_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","139053","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","argenteum","Solanum argenteum luridum","Sendtn.",NA,NA,NA,"Martii Herbar. Florae Brasil.","1254",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=129371' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00139053","luridum","possible type","NY00139053_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","725890","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","aureum","Solanum aureum","Dunal","M. H. Nee",NA,NA,"V. Zak","2403","1987","08","12","Ecuador","Cañar",NA,"Carretera Alausi - Cañar desvio a Oyashig - Heda. El Carmen al N. de Cañar.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=859833' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00725890",NA,NA,NA,"3270","3700",NA,NA,NA,NA,NA,NA,NA
"38","2016-09-26 18:24:00-03","NY","NYBG","725876","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","aureum","Solanum aureum",NA,"S. D. Knapp",NA,NA,"H. Cuadros","3726","1987","07","22","Colombia","Cesar",NA,"Paramo de Sabana Rubia.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=859801' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00725876",NA,NA,NA,"3250","3250",NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","725884","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","aureum","Solanum aureum","Dunal","C. E. Benítez de Rojas",NA,NA,"E. P. Killip","17313","1927","01","16","Colombia","Santander",NA,"Eastern Cordillera. Vicinity of Vetas.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=859818' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00725884",NA,NA,NA,"3100","3250",NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","725889","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","aureum","Solanum aureum","Dunal","M. H. Nee",NA,NA,"V. Zak","2393","1987","08","12","Ecuador","Cañar",NA,"Carretera Alausi - Cañar desvio a Oyashig - Heda. El Carmen al N. de Cañar.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=859832' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00725889",NA,NA,NA,"3270","3700",NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","725916","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","aureum","Solanum aureum","Dunal","M. H. Nee",NA,NA,"J. D. Boeke","2589","1978","08","07","Ecuador","Azuay","Cuenca","Parróquia Baños. Hacienda Yanasacha.","-79.075314","-2.917677",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=859919' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00725916",NA,NA,NA,"3000","3200",NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","725913","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","aureum","Solanum aureum","Dunal","M. H. Nee",NA,NA,"L. B. Holm-Nielsen","29652","1980","12","27","Ecuador","Carchi",NA,"Road Julio Andrade - Palestina.","-77.67","0.63",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=859889' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00725913",NA,NA,NA,"3300","3300",NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","725897","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","aureum","Solanum aureum","Dunal","M. H. Nee",NA,NA,"L. B. Holm-Nielsen","1541","1968","07","09","Ecuador","Cotopaxi",NA,"Around Pilalo.","-79.03","-0.95",NA,"Duplum <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=859846' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00725897",NA,NA,NA,"2400","2400",NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","00735699","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","aureum","Solanum aureum","Dunal","M. H. Nee",NA,NA,"P. M. Jørgensen","1463","1994","12","13","Ecuador","Loja",NA,"Catamayo - Catacocha, Km 25, turnoff at Las Chinchas towards Piñas, Km 2.3.","-79.48527778","-3.9558333",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=872854' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"NY00735699",NA,NA,NA,"2250","2250",NA,NA,NA,NA,NA,NA,NA
