"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","previousCatalogNumber","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","532962","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"R. de Lemos Fróes","12645","1942","10","08","South America","Brazil","Basin of Rio Una, Brejao","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713918' target='other'> <mi>dwc_moreinfo</mi></a>","NY00532962","NY00532962_01","Kunth","H. C. de Lima","Bahia","-41.28","-13.41","800","800","Ibicoara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","532969","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"R. Spruce","s.n.","1850","06",NA,"South America","Brazil","In vicinity of Santarem","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00532969","NY00532969_01","Kunth","C. H. Stirton","Pará","-54.740486","-2.449614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","532953","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"A. M. Amorim","1481","1993","11","27","South America","Brazil","Ca. 2.5 Km do Distrito de Crasto, na estrada para Sta. Luzia do Itanhi","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713898' target='other'> <mi>dwc_moreinfo</mi></a>","NY00532953","NY00532953_01","Kunth","R. C. Barneby","Sergipe","-37.4481","-11.3508",NA,NA,"Santa Luzia do Itanhi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00981763","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"R. S. Santos","24115","1963","09","11","South America","Brazil","Faz. S. José, pr. Varjão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100145' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981763","NY00981763_01","Kunth","H. C. de Lima","Minas Gerais","-46.0317","-18.3781",NA,NA,"Varjao de Minas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00981841","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"G. Eiten","10524","1970","02","10","South America","Brazil","Ilha de Balsas region, between the Balsas and Parnaíba rivers. Ca. 35 km S. of Loreto. Chapada das Traíras, along trail ½ km S of crossing of Grota Grade","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981841","NY00981841_01","Kunth","H. C. de Lima","Maranhão","-45.07","-7.38","300","300","Lorêto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","532942","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"W. R. Anderson","36763","1972","03","07","South America","Brazil","Espigao Mestre, ca. 100 km. WSW of Barreiras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713928' target='other'> <mi>dwc_moreinfo</mi></a>","NY00532942","NY00532942_01","Kunth","C. H. Stirton","Bahia","-44.99","-12.15","800","800","Barreiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00981792","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"L. Riedel","92",NA,NA,NA,"South America","Brazil","Cuyaba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100605' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981792","NY00981792_01","Kunth",NA,"Mato Grosso","-56.043867","-15.612755",NA,NA,"Cuiabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","777867","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"I. M. M. Sá e Silva","23","2002","11","21","South America","Brazil","Mata dos Macacos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777867","NY00777867_01","Kunth","A. G. da Silva","Pernambuco","-35.0028","-7.8389","30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00981718","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"C. Koczicki","234","1973","10","20","South America","Brazil","Serra da Piedade","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100514' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981718","NY00981718_01","Kunth","H. C. de Lima","Minas Gerais","-43.675674","-19.822323",NA,NA,"Caeté",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01302667","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"K. Kubitzki","79-56",NA,NA,NA,"South America","Brazil","campos E of km 3 of Porto Velho road.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1593281' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302667","NY01302667_01","Kunth",NA,"Amazonas","-63.0208","-7.50611",NA,NA,"Humaitá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1738060","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"L.A. Gomes","213","2011","04","11","South America","Brazil","Capela. RVS Mata do Junco.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1965139' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738060","NY01738060_01","Kunth","L.A. Gomes","Sergipe","-37.0864","-10.5914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01302657","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"J. M. Pires","52129","1962","07","12","South America","Brazil","On left side of the road to Amapá.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1593031' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302657","NY01302657_01","Kunth","V. E. Rudd","Amapá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00981834","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"J. A. Ratter","R3185","1976","06","18","South America","Brazil","About 12 km NNE of Planaltina on DF2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100011' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981834","NY00981834_01","Kunth",NA,"Distrito Federal","-47.9294","-15.7797",NA,NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00981810","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"J. A. Ratter","R152","1967","07","24","South America","Brazil","Eastern outskirts of Xavantina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100005' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981810","NY00981810_01","Kunth","H. C. de Lima","Mato Grosso","-52.33","-14.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00981787","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"E. P. Heringer","15152","1975","09","22","South America","Brazil","Parque Estadual do Rio Doce. On península at Lake Helvécio. Lake shore near bathing area.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100105' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981787","NY00981787_01","Kunth","H. C. de Lima","Minas Gerais","-42.6","-19.77","400","400","Marliéria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","566344","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"W. Ganev","2433","1993","11","06","South America","Brazil","Marques, caminho ligando Marques, a estrada velha da Furna","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566344","NY00566344_01","Kunth","G. P. Lewis","Bahia","-41.78","-13.37","1050","1050","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","02144621","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"A. A. dos Santos","3476","2011","08","27","South America","Brazil","entrada norte da UHE Jirau, antigo acesso aos alojamentos.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2326467' target='other'> <mi>dwc_moreinfo</mi></a>","NY02144621","NY02144621_01","Kunth",NA,"Rondônia","-64.5942","-9.2878","110",NA,"Porto Velho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00981769","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"G. F. J. Pabst","7067","1962","10","11","South America","Brazil","km 369 da BR-3, entre Lafayette e Congonhas do Campo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100630' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981769","NY00981769_01","Kunth","H. C. de Lima","Minas Gerais",NA,NA,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00981837","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"G. M. Magalhaes","19239","1963","05","26","South America","Brazil","Entre Monte Alegre e Capinopolis","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981837","NY00981837_01","Kunth","H. C. de Lima","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1015502","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"G. Martinelli","16146","2007","06","17","South America","Brazil","Serra da Água Brava, 2 km ao N do povoado de Água Branca, 5 km do limite dp Parque Nacional da Serra das Confusões","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106597' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015502","NY01015502_01","Kunth",NA,"Piauí","-43.5372","-9.245","690","690","Guaribas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00981796","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"B. M. T. Walter","4253","1998","07","17","South America","Brazil","Estrada de terra de acesso às linhas de transmissão Serra da Mesa-Samambaia. Na altura das torres 40 a 48. Cerca de 10 km ao Sul da Barragem de Serra da Mesa. Area de influência do AHE Serra da Mesa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100653' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981796","NY00981796_01","Kunth","B. M. T. Walter","Goiás","-48.32","-13.88","530","530","Colinas do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00981737","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"E. P. Heringer","6580","1981","03","25","South America","Brazil","Bacia do Rio São Bartolomeu.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100040' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981737","NY00981737_01","Kunth","B. A. S. Pereira","Distrito Federal","-47.9294","-15.7797",NA,NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","1019421","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"G. Martinelli","16199","2007","06","20","South America","Brazil","Área de Proteção Ambiental do Rangel.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1282278' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019421","NY01019421_01","Kunth","G. Martinelli","Piauí","-44.5497","-9.8381","500","500","Curimatá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00981762","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"E. P. Heringer","7059","1981","06","15","South America","Brazil","Bacia do Rio São Bartolomeu, adjacências do ribeirão Taboquinha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100043' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981762","NY00981762_01","Kunth","B. A. S. Pereira","Distrito Federal","-47.9294","-15.7797",NA,NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00981724","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"W. J. Burchell",NA,"1828","07","03","South America","Brazil","(Goyáz), Chapel of S. Amaro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981724","NY00981724_01","Kunth","H. C. de Lima","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","532948","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"L. P. de Queiroz","3444","1993","07","25","South America","Brazil","Ca. 12 km. SE de Morro de Chapéu na BA-052 (estrada do feijao)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713889' target='other'> <mi>dwc_moreinfo</mi></a>","NY00532948","NY00532948_01","Kunth","L. P. de Queiroz","Bahia","-41.0569","-11.6022","960","960","Morro do Chapéu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00981790","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"L. Duarte","112","1962","09","07","South America","Brazil","Fercal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100470' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981790","NY00981790_01","Kunth","H. C. de Lima","Distrito Federal","-47.9294","-15.7797",NA,NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00981785","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"A. P. Duarte","s.n.","1950","08","21","South America","Brazil","Entre Catiára e Patos de Minas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099901' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981785","NY00981785_01","Kunth","H. C. de Lima","Minas Gerais",NA,NA,"800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00981816","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"J. A. Ratter","R652","1967","09","06","South America","Brazil","7 km SW of Xavantina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100495' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981816","NY00981816_01","Kunth","J. A. Ratter","Mato Grosso","-52.33","-14.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","00981719","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"I. Silberbauer-Gottsberger","12-16782","1982","07","16","South America","Brazil","along the road to the village Chapadinha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981719","NY00981719_01","Kunth","R. C. Barneby","Maranhão","-44.25","-3.5",NA,NA,"Itapecuru Mirim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00981743","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"G. T. Prance","58166","1964","07","15","South America","Brazil","Road Brasília-Paranóa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981743","NY00981743_01","Kunth","H. C. de Lima","Distrito Federal","-47.9294","-15.7797",NA,NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","03060746","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"G. Martinelli","18582","2015","05","27","South America","Brazil","Fazenda SESC Serra Azul, antiga Fazenda Santo Antonio, cerrados próximo da estrada da Chapada.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3287019' target='other'> <mi>dwc_moreinfo</mi></a>","NY03060746","NY03060746_01","Kunth",NA,"Mato Grosso","-55.79","-14.5394444","300","300","Rosário Oeste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","00981842","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bowdichia","virgilioides","Bowdichia virgilioides",NA,"B. Maguire","56254","1963","08","24","South America","Brazil","Along margin of Rio Araguaia. 1-10 km west of Alto Araguaia. Brasília-Acre Highway.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981842","NY00981842_01","Kunth","H. C. de Lima","Mato Grosso","-53.2153","-17.3147",NA,NA,"Alto Araguaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
