"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","typeStatus","class"
"11","2021-03-01 16:32:53-03","UNICAMP","UEC","134278","S","Plantae","Magnoliopsida","Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm","Gonella, PM",NA,NA,NA,"Caiafa, AN; Martins, FM","214","2002","01","30","Brazil","Minas Gerais","Araponga","Serra das Cabeças, Totem Deitado, PESB","-42.5208015441895","-20.6667003631592","16385","Erva de aproximadamente 0,02m, portando escapo com cerca de 0,08m com flores brancas com mancha interna amarela e cálcar roxo.; Crecendo sobre mancha de solo raso e encharcado no afloramento de rocha granitóide.","UEC054212","UEC054212","auto",NA,NA,"1722","1722",NA,NA,NA
"12","2021-03-01 16:32:53-03","UNICAMP","UEC","36663","S","Plantae","Magnoliopsida","Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm","Gonella, PM","2009","07","31","Pereira, OJ","451","1984","06","16","Brazil","Minas Gerais","Belo Horizonte","Rodovia Vitória, km 89, lado direito - Pedra Azul - D. Martins","-43.937801361084","-19.9207992553711","17082","Fl. amarelo-palida, com esporão.; Planta sobre rochas úmidas.",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-11-03 16:40:26-03","UFES","VIES","451","S","Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm","F.M. Guedes","2020","09","23","Pereira, O.J.","307","1984","06","16","Brasil","Espírito Santo","Domingos Martins","Pedra Azul.","-40.6591987609863","-20.3633003234863","48150",NA,"VIES000451","VIES000451","auto",NA,NA,NA,NA,NA,NA,NA
"14","2020-11-03 16:40:26-03","UFES","VIES","2005","S","Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm","F.M. Guedes","2020","09","23","Pereira, O.J.; Fabris, L.C. & Gomes, J.M.L.","1336","1987","10","29","Brasil","Espírito Santo","Domingos Martins","Pedra Azul.","-40.6591987609863","-20.3633003234863","48150",NA,"VIES002005","VIES002005","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:31:29-03","MBM","MBM","263555","PreservedSpecimen","Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm-Trinta","Fromm-Trinta, E.","1988",NA,NA,"Camargo, R.F.N.; et al.; et al.","22354","1988","03","19","Brazil","Minas Gerais",NA,"Serra do Caparaó, Na primeira formação rochosa em direção à Tronqueira",NA,NA,NA,"Sobre rochas em local úmida, com água escorrenso, flores alvas, esporão roxo, labelo lilás, fauce amarela.; Flores alvas, esprão roxo, labelo llilás, fauce amarela.; Sobre rochas em local úmido, com água escorrendo.","MBM263555","MBM263555",NA,NA,NA,NA,NA,"Southern America","ISOTYPE",NA
"16","2021-02-11 17:19:22-03","UFPR","UPCB","76692","PreservedSpecimen","Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm","Fontana, A. P.","2009","09","30","Goldenberg, R.","1166","2008","07","17","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande. Trilha para o Forninho. Floresta Ombrófila Densa Altomontana com inselbergues. Elev.: 1100-1400m","-41.084","-20.516",NA,"Ervas com até 15 cm. Flores com o lábio superior da corola azul-claro, com nervuras azuis-escuras; lábio inferior branco; estames amarelos..",NA,NA,NA,"-41.084","-20.516",NA,NA,NA,NA,NA
"17","2021-02-11 17:19:22-03","UFPR","UPCB","91032","PreservedSpecimen","Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm","Fontana, A.P.","2008","07","16","Fontana, A.P. et al.","5376","2008","07","16","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande. Afloramento por baixo do Mirante, beira do pasto. Inselbergue.","-41.084","-20.516",NA,"Carnívora, solo úmido. Flores brancas..",NA,NA,NA,"-41.084","-20.516","1100","1400",NA,NA,NA
"18","2008-05-27 22:02:00-03","MO","MOBOT","1599094","PreservedSpecimen","Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm","E. Fromm-Trinta (UFRJ)",NA,NA,NA,"R.F.N. Camargo|et al.","Camargo FPNC 0002","1988","3","19","Brazil","Minas Gerais",NA,"Serra do Caparaó.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","Isotype",NA
"19","2020-07-10 09:47:04-03","MBML","MBML-HERBARIO","16067",NA,"Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm-Trinta","L. Kollmann/12-11-2004",NA,NA,NA,"L. Kollmann; et al","5328","2002","01","19","Brasil","Espírito Santo","Santa Leopoldina","Rio Bonito","-40.5297012329102","-20.1005992889404","23799","Planta rupícola no sol. Flores rosadas, base do lóbulos lilás.","MBML016067","MBML016067","auto",NA,NA,NA,NA,NA,NA,NA
"20","2020-07-10 09:47:04-03","MBML","MBML-HERBARIO","16104",NA,"Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm-Trinta","L. Kollmann/12-11-2004",NA,NA,NA,"L. Kollmann; et al","5446","2002","01","31","Brasil","Espírito Santo","Santa Teresa","Cabeceira do Rio Bonito","-40.583333","-19.984167",NA,"Terrestre no musgo na pedra. Flores amarelas.","MBML016104","MBML016104",NA,"40W34'60","19S59'3",NA,NA,NA,NA,NA
"21","2020-07-10 09:47:04-03","MBML","MBML-HERBARIO","16609",NA,"Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm-Trinta","L. Kollmann/12-11-2004",NA,NA,NA,"A. P. Fontana","276","2001","12","22","Brasil","Espírito Santo","Santa Leopoldina","Radar Cindactar","-40.570556","-19.991111",NA,"Em pedra úmida, folhas verdes, inflorescência verde e flores com espora (calcar), brancas e base rosa com listra verde no centro. (Planta carnívora). Herb/Culti (Jardim de pedra).","MBML016609","MBML016609",NA,"40W34'14","19S59'28",NA,NA,NA,NA,NA
"22","2020-07-10 09:47:04-03","MBML","MBML-HERBARIO","23197",NA,"Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm-Trinta","A. P. Fontana/26-04-2005",NA,NA,NA,"A. P. Fontana; et al","842","2004","04","10","Brasil","Espírito Santo","Itaguaçu","Pedra do Caparaó","-40.981111","-19.741389",NA,"Solo úmido, flores brancas com centro amarelo e lilás.","MBML023197","MBML023197",NA,"40W58'52","19S44'29",NA,NA,NA,NA,NA
"23","2020-07-10 09:47:04-03","MBML","MBML-HERBARIO","23835",NA,"Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm-Trinta","L. Kollmann/09-06-2005",NA,NA,NA,"L. Kollmann; et al","7592","2005","03","26","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,"Erva 15cm, rupestre ao sol. Solo úmido, sépalas verdes, pétalas lilás, lóbulo branco com duas pontas amarelas.","MBML023835","MBML023835",NA,"41W6'2","20S31'9",NA,NA,NA,NA,NA
"24","2020-07-10 09:47:04-03","MBML","MBML-HERBARIO","24542",NA,"Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm-Trinta",NA,NA,NA,NA,"L. Kollmann; et al","7792","2005","04","29","Brasil","Espírito Santo","Santa Teresa","25 de Julho, Bela Vista","-40.604167","-19.780556",NA,"Rupestre no sol. Solo úmido, flores brancas.","MBML024542","MBML024542",NA,"40W36'15","19S46'50",NA,NA,NA,NA,NA
"25","2020-07-10 09:47:04-03","MBML","MBML-HERBARIO","37580",NA,"Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm",NA,NA,NA,NA,"A. P. Fontana; L.Kollmann & E.G.Amorim Tedesco","5376","2008","07","16","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande. Afloramento por baixo do Mirante, beira do pasto. Floresta Ombrófila Densa Altomontana com Inselbergues.","-41.083611","-20.516111",NA,"Carnívora, solo úmido. Flores brancas.","MBML037580","MBML037580",NA,"41W5'1","20S30'58","1100","1100",NA,NA,NA
"26","2021-03-15 18:28:02-03","USP","SPF","148000","PreservedSpecimen","Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm","Fromm Trinta, E","1988",NA,NA,"Camargo, RFN; et al.","FPNC2","1988","03","19","Brasil","Minas Gerais",NA,"Serra do Caparaó, Na primeira formação rochosa em direção à Tronqueira.",NA,NA,NA,"Sobre rochas em local úmido, com água escorrendo, flores alvas, esporão roxo, labelo lilás, fauce amarela.","SPF00148000",NA,NA,NA,NA,NA,NA,NA,"isotype",NA
"27","2019-11-13 11:23:26-03","USP","SPF","93238","PreservedSpecimen","Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm","Fleischmann, A","2010","04",NA,"Rivadavia, F","216","1983","06","10","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó","-41.8683013916016","-20.4333000183105","21645",NA,"SPF00093238","SPF00093238","auto",NA,NA,"1300","1300",NA,NA,NA
"28","2019-11-13 11:23:26-03","USP","SPF","139228","PreservedSpecimen","Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm","Fleischmann, A","1996","02",NA,"Rivadavia, F","517","1996","02","17","Brasil","Minas Gerais","Araponga","Serra da Araponga","-42.5208015441895","-20.6667003631592","16385",NA,"SPF00139228","SPF00139228","auto",NA,NA,"1400","1400",NA,NA,NA
"29","2019-06-07 12:48:56-03","F","FMNH-SEEDPLANTS","V0469903F","PreservedSpecimen","Plantae","Spermatophyta","Lentibulariaceae","Genlisea","lobata","Genlisea lobata",NA,NA,NA,NA,NA,"G. J. Shepherd et al.","5835A","1977","9","7","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0469903F","V0469903F_01",NA,NA,NA,NA,NA,"South America",NA,"Dicotyledoneae"
"30","2020-07-23 12:09:54-03","CEPLAC","CEPEC","125401","PreservedSpecimen","Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata",NA,"A. P. Fontana",NA,NA,NA,"A. P. Fontana","5376",NA,NA,NA,"Brasil","Espírito Santo","castelo",NA,"-41.184700012207","-20.6035995483398","23588","<ll>dwc_commonname:</ll>",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"31","2020-07-23 12:09:54-03","CEPLAC","CEPEC","125888","PreservedSpecimen","Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata",NA,"F. M. Guedes",NA,NA,NA,"R. Goldenberg","1166",NA,NA,NA,"Brasil","Espírito Santo","castelo",NA,"-41.184700012207","-20.6035995483398","23588","<ll>dwc_commonname:</ll>",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"32","2021-02-23 13:22:36-03","MN","R-TIPOS","168200","PreservedSpecimen","Plantae",NA,"Lentibulariaceae","Genlisea","lobata","Genlisea lobata","Fromm","Fromm-Trinta, E.","1988",NA,NA,"Camargo, R.F.N.","FPNC - 0002","1988","03","19","Brasil","Minas Gerais",NA,"Serra do Caparaó",NA,NA,NA,NA,"R000168200","R000168200_001",NA,NA,NA,NA,NA,NA,"Isotypus",NA
