"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","occurrenceRemarks","individualCount","identifiedBy","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","locality","yearIdentified","monthIdentified","dayIdentified","recordNumber","year","month","day","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","preparationType","imagecode"
"11","2015-09-03 19:57:35-03","MNHN","RECOLNAT_MNHN_P","P00480207","PreservedSpecimen",NA,NA,NA,NA,"Orchidaceae","Cattleya","perrinii","Cattleya perrinii","Lindl.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00480207' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Batista","Herb. L. Claude et A. Richard","Brésil",NA,NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,"1846","12","15",NA,NA,NA,NA,NA,"P00480207","hb","P00480207_01"
"12","2017-11-29 12:09:36-02","MNHN","RECOLNAT_MNHN_P","P00480208","PreservedSpecimen",NA,NA,NA,NA,"Orchidaceae","Cattleya","perrinii","Cattleya perrinii","Lindl.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00480208' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Batista","Herb. L. Claude et A. Richard","Brésil",NA,NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,"1846","12","15",NA,NA,NA,NA,NA,"P00480208","hb","P00480208_01"
"13","2019-06-10 10:11:22-03","FZB-BH","BHZB","9358","S","Plantae",NA,NA,NA,"Orchidaceae","Sophronitis","perrini","Sophronitis perrini",NA,"Coleção viva nº 1998026. Espécie coletada na Serra dos Cavalos/PE.,cultivado",NA,"R.C. Mota","Ferreira Junior, C.A. et al.","Brasil","MG","Belo Horizonte","-43.937801361084","-19.9207992553711","17082","auto","FZB/BH - Jardim Botânico - Coleção de Orquídeas","2008","04",NA,NA,"2004","03","17",NA,NA,NA,NA,NA,NA,NA,NA
"14","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Laelia","perrinii","Laelia perrinii","(Lindl.) Bateman",NA,NA,NA,"Neves Armond, AF","Brazil",NA,NA,NA,NA,NA,NA,"in arboribus ad Carmo",NA,NA,NA,"36?",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"15","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Laelia","perrinii","Laelia perrinii","(Lindl.) Bateman",NA,NA,NA,"Neves Armond, AF","Brazil",NA,NA,NA,NA,NA,NA,"in arboribus ad Carmo",NA,NA,NA,"36",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"16","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Laelia","perrinii","Laelia perrinii","(Lindl.) Bateman",NA,NA,NA,"Harrison, DS","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"Habitat in prov. Rio de Janeiro",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"17","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Laelia","perrinii","Laelia perrinii","(Lindl.) Bateman",NA,NA,NA,"Pinel, N","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"ad Serra dos Orgãos prope Novo Friburgo",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"18","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Laelia","perrinii","Laelia perrinii","(Lindl.) Bateman","Floret Februario",NA,NA,"Incógnit","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"in prov. Minas Geraes supra arbores altit. 700-900m. secund. Godefr.-Leb. in L'Orchidoph. 1886. p. 135",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"19","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Laelia","perrinii","Laelia perrinii","(Lindl.) Bateman","Floret Februario",NA,NA,"Incógnit","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"in prov. Minas Geraes supra arbores altit. 700-900m. secund. Godefr.-Leb. in L'Orchidoph. 1886. p. 135",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"20","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Laelia","perrinii","Laelia perrinii","(Lindl.) Bateman",NA,NA,NA,"Pinel, N","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"ad Serra dos Orgãos prope Novo Friburgo",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"21","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Laelia","perrinii","Laelia perrinii","(Lindl.) Bateman",NA,NA,NA,"Harrison, DS","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"Habitat in prov. Rio de Janeiro",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 10:13:29-03","IBt","SP","25597","S","Plantae",NA,NA,NA,"Orchidaceae","Hadrolaelia","perrinii","Hadrolaelia perrinii","(Lindl.) Chiron & V.P.Castro",NA,NA,"Mamede, MCH","Spannagel, C","Desconhecido",NA,NA,NA,NA,NA,NA,"Sem notas de localidade","2011","03",NA,"64","1927","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 10:13:29-03","IBt","SP","27105","S","Plantae",NA,NA,NA,"Orchidaceae","Hadrolaelia","perrinii","Hadrolaelia perrinii","(Lindl.) Chiron & V.P.Castro",NA,NA,"Mamede, MCH","Hoehne, FC","Desconhecido",NA,NA,NA,NA,NA,NA,"Sem indicação de procedência","2011","03",NA,"s.n.","1927","04","02",NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-21 10:13:29-03","IBt","SP","3125","S","Plantae",NA,NA,NA,"Orchidaceae","Hadrolaelia","perrinii","Hadrolaelia perrinii","(Lindl.) Chiron & V.P.Castro",NA,NA,"Mamede, MCH","Magalhães, AB","Desconhecido",NA,NA,NA,NA,NA,NA,"Sem indicação de procedência","2011","03",NA,"s.n.","1918","03","28",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-21 10:13:29-03","IBt","SP","5463","S","Plantae",NA,NA,NA,"Orchidaceae","Hadrolaelia","perrinii","Hadrolaelia perrinii","(Lindl.) Chiron & V.P.Castro",NA,NA,"Mamede, MCH","Gehrt, A","Desconhecido",NA,NA,NA,NA,NA,NA,NA,"2011","03",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-21 10:13:29-03","IBt","SP","46504","S","Plantae",NA,NA,NA,"Orchidaceae","Hadrolaelia","perrinii","Hadrolaelia perrinii","(Lindl.) Chiron & V.P.Castro",NA,NA,"Mamede, MCH","Heringer, EP","Brasil","Minas Gerais","Coronel Pacheco","-43.2655982971191","-21.5877990722656","10350","auto","Estação Experimental Coronel Pacheco","2011","03",NA,"973","1942","03","31",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-21 10:13:29-03","IBt","SP","382211","S","Plantae",NA,NA,NA,"Orchidaceae","Hadrolaelia","perrinii","Hadrolaelia perrinii","(Lindl.) Chiron & V.P.Castro","Nº coletor: SPR-260305/0001",NA,"Campacci, MA; Resende, SP","Resende, SP","Brasil","São Paulo","Piquete","-45.1699981689453","-22.6100006103516","13434","auto",NA,NA,NA,NA,"s.n.","2005","03",NA,NA,NA,NA,"650","700",NA,NA,NA
