"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","county","locality","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"29","2020-11-04 10:59:28-03","ESALQ","ESA","72934","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Gorenstein, M.R. et al.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA072934","Magnoliophyta",NA,"A.St.-Hil. & Tul.",NA,"22.0","1999","01","05","Pariquera-açu",NA,"-47.8800010681152","-24.7099990844727","ESA072934",NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-11-04 10:59:28-03","ESALQ","ESA","29588","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Ivanauskas, N.M.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA029588","Magnoliophyta",NA,"A.St.-Hil. & Tul.","Ivanauskas, N.M.","1100.0","1995","11","22","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727","ESA029588",NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-04 10:59:28-03","ESALQ","ESA","29344","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Ivanauskas, N.M. et al.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA029344","Magnoliophyta",NA,"A.St.-Hil. & Tul.","Ivanauskas, N.M.","899.0","1995","12","27","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727","ESA029344",NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-04 10:59:28-03","ESALQ","ESA","28667","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Ivanauskas, N.M.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA028667","Magnoliophyta",NA,"A.St.-Hil. & Tul.",NA,"430.0","1995","09","28","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727","ESA028667",NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-04 10:59:28-03","ESALQ","ESA","63100","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Souza, V.C. et al.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA063100","Magnoliophyta",NA,"A.St.-Hil. & Tul.","Souza, V.C.","21683.0","1998","12","18","São Sebastião",NA,"-45.4099998474121","-23.7600002288818","ESA063100",NA,"2001","09","08","41977","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-04 10:59:28-03","ESALQ","ESA","88466","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Udulutsch, R.G.; Forster, W.; Mazine, F.F.; Souza, V.C.",NA,"Brasil","São Paulo",NA,NA,"Árvore. Flores com sépalas verdes e corola creme.","ESA088466","Magnoliophyta",NA,"A.St.-Hil.","Lopes, J.C.","1532.0","2003","01","24","Cananéia","Parque Estadual Ilha do Cardoso. Restinga.","-47.9199981689453","-25.0100002288818","ESA088466",NA,"2012",NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-11-04 10:54:32-03","ESALQ","ESA","134414","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorfiana","Xylopia langsdorfiana",NA,NA,NA,NA,NA,NA,NA,"Floresta de Restinga Alta, fragmento no Bairro Gaivotas. Árvore da fitossociologia placa no. 17084. Altura: 4m","ESA134414",NA,NA,"A.St.-Hil. & Tul.","Pansonato, M.P.","311.0","2013","01","29",NA,NA,NA,NA,NA,NA,"2013",NA,NA,NA,NA,NA,NA,"23.38.25",NA,NA,NA,NA,NA
"36","2020-11-04 10:54:32-03","ESALQ","ESA","106127","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorfiana","Xylopia langsdorfiana",NA,"Sampaio, D.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA106127",NA,NA,NA,NA,"31.0","1905","06","26","Cananéia",NA,"-47.9199981689453","-25.0100002288818","ESA106127",NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-04 10:59:28-03","ESALQ","ESA","104326","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorfiana","Xylopia langsdorfiana",NA,"Aguiar, O.T.",NA,"Brasil","São Paulo",NA,NA,NA,"ESA104326","Magnoliophyta",NA,NA,"Aguiar, O.T.",NA,"2002","03","13","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334","ESA104326",NA,"2002","03","17","27904","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-04 10:54:32-03","ESALQ","ESA","139104","PreservedSpecimen","Plantae","Annonaceae","Xylopia","langsdorfiana","Xylopia langsdorfiana",NA,"Colletta, G.D",NA,"Brasil","SP",NA,NA,"Árvore, 5m, estéril","ESA139104",NA,NA,"A.St.-Hil. & Tul.",NA,"2623.0","2016","03","30","Cananéia","Ilha do Cardoso","-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-02-15 11:32:54-02","IPA","IPA","30993","S","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Rocha, R.F.A.","Southern America","Brasil","Alagoas",NA,NA,"Árvore. Flor creme. Fruto vermelho. Independente.; Restinga. Solo bem drenado.","IPA0030993","Plantae",NA,"A. St.-Hil. & Tul.","Maas, P.J.M.","124","1981","09","30","Piaçabuçu","3 km do acesso do Pontal do Peba, na AL-225.","-36.434398651123","-10.4055995941162",NA,NA,"1995","11","14","16123","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-02-15 11:32:54-02","IPA","IPA","13022","S","Plantae","Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana",NA,"Moraes, J.C.","Southern America","Brasil","Paraíba",NA,NA,NA,"IPA0013022","Plantae",NA,"A. St.-Hil. & Tul.","Maas, P.J.M.","s.n.","1959","05","31",NA,"Maranguape, tabuleiros.",NA,NA,NA,NA,"1995","11","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-08-20 10:02:51-03","UNICAMP","UEC","107376","S","Plantae","Annonaceae","Xylopia","langsdorfiana","Xylopia langsdorfiana",NA,"Sampaio, D; Maltez, HM; Silva, C; Almeida, A; Silva, MMR",NA,"Brazil","São Paulo",NA,NA,"fruto, Floresta ombrófila densa, apresentando fortes sinais de perturbação antrópica. Árvore de 5m, frutos maduros com endocarpo vermelho, sementes negras e arilo alvo. NV: cedrinho.","UEC099669","Magnoliopsida",NA,"A.St.-Hil. & Tul.","Tamashiro, JY","48","1999","01","06","Iguape","Estação Ecológica de Chauás, Trilha de acesso pelo sítio do SR. João Caçador, no km 78 da Rodovia Pariquera-Iguape.","-47.7","-24.783333","UEC099669",NA,"1999","01",NA,NA,NA,NA,NA,"-47.7","-24.783333",NA,NA,NA,NA
"42","2019-08-20 10:02:51-03","UNICAMP","UEC","107911","S","Plantae","Annonaceae","Xylopia","langsdorfiana","Xylopia langsdorfiana",NA,"Sztutman, M; Brito, MC; Cezare, CHG; Santos, JD; Santos, AP; Felipim, MJC",NA,"Brazil","São Paulo",NA,NA,"flor, Floresta ombrófila densa. Floresta de restinga de baixada (paludosa), num trecho de floresta de restinga de baixada muito peturbada, com domínio de jacatirão nos trechos mais perturbados e manchas de guanadizal. Árvore 7m, botões","UEC099664","Magnoliopsida",NA,"A.St.-Hil. & Tul.",NA,"263","1999","01","11","Pariquera-Açu","Parque Estadual de Pariquera-Abaixo (PE, Acesso pelo Bairro Braço Preto, no lado oeste, passando pelo viveiro. Seguindo a trilha no interior da floresta.","-40.616667","-22.716667","UEC099664",NA,NA,NA,NA,NA,NA,NA,NA,"-40.616667","-22.716667",NA,NA,NA,NA
"43","2021-03-01 16:21:30-03","UNICAMP","UEC","149347","S","Plantae","Annonaceae","Xylopia","langsdorfiana","Xylopia langsdorfiana",NA,"Urbanetz, C",NA,"Brazil","São Paulo",NA,NA,"Árvore de 9m de altura.; Floresta Ombrófila Densa.","UEC099663","Magnoliopsida",NA,"A.St.-Hil. & Tul.","Urbanetz, C","463","2008",NA,NA,"Cananéia","Km 31 da rodovia SP-226, Fazenda Folha Larga.","-47.918056","-24.895","UEC099663",NA,NA,NA,NA,NA,NA,NA,NA,"-47.918056","-24.895",NA,NA,NA,NA
"44","2021-03-01 16:21:30-03","UNICAMP","UEC","149969","S","Plantae","Annonaceae","Xylopia","langsdorfiana","Xylopia langsdorfiana",NA,"Urbanetz, C",NA,"Brazil","São Paulo",NA,NA,"Árvore de 13m de altura.; Floresta Ombrófila Densa.","UEC099577","Magnoliopsida",NA,"A.St.-Hil. & Tul.","Urbanetz, C","453",NA,NA,NA,"Cananéia","Km 31 da rodovia SP- 226, Fazenda Folha Larga.","-47.918056","-24.895","UEC099577",NA,NA,NA,NA,NA,NA,NA,NA,"-47.918056","-24.895",NA,NA,NA,NA
"45","2019-08-20 10:02:51-03","UNICAMP","UEC","72605","S","Plantae","Annonaceae","Xylopia","langsdorfiana","Xylopia langsdorfiana",NA,"Sakai, L",NA,"Brazil","São Paulo",NA,NA,"flor e fruto, Transição restinga mata de encosta, árvore 12m, flores creme.","UEC099671","Magnoliopsida",NA,"A.St.-Hil. & Tul.",NA,"32626","1995","02","07","Cananéia","Estrada Pariquera-Açu., 4km estrada de terra.","-47.858333","-24.879444","UEC099671",NA,NA,NA,NA,NA,NA,NA,NA,"-47.858333","-24.879444",NA,NA,NA,NA
"46","2019-08-20 10:02:51-03","UNICAMP","UEC","51666","S","Plantae","Annonaceae","Xylopia","langsdorfiana","Xylopia langsdorfiana",NA,"Britez, RM",NA,"Brazil","Paraná",NA,NA,"fruto, Árvore de 5m, com frutos imaturos, em floresta pluvial da encosta.","UEC099675","Magnoliopsida",NA,"A.St.-Hil. & Tul.","Dias, MC","1807","1987","11","06","Paranaguá","Ilha do Mel, Morro do Forte","-48.5092010498047","-25.5200004577637","UEC099675",NA,"1987","11",NA,"24916","auto",NA,NA,NA,NA,NA,NA,NA,NA
