"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","locality","decimalLongitude","decimalLatitude","imagecode","stateProvince","county","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","eventTime","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","02158205","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","G. L. Sobel","4948","1984","11","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2313675' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158205","Magnoliophyta","Myrtales","Jacq.",NA,"Mouth of Rio Guajara, Island of Marajó","-49.9397","-0.9869","NY02158205_01","Pará","Anajás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","2158202","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","G. T. Prance","14382","1971","07","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2313671' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158202","Magnoliophyta","Myrtales","Jacq.",NA,"Rio Curuquetê, vicinity of Cachoeira Santo Antonio","-65.67","-8.33","NY02158202_01","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","579370","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum aurantiacum","C. E. O. Kuntze","s.n.","1892","06",NA,"South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579370","Magnoliophyta","Myrtales","Kuntze","lectotype","Yapacani",NA,NA,"NY00579370_01",NA,NA,NA,NA,NA,"aurantiacum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","02158144","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","B. A. Krukoff","6610","1934","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2313604' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158144","Magnoliophyta","Myrtales","Jacq.",NA,"Basin of Rio Madeira, near Livramento, on Rio Livramento.","-63.03","-7.52","NY02158144_01 NY02158144_02","Amazonas","Humaitá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","565547","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","J. S. Blanchet","2759","1839",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565547","Magnoliophyta","Myrtales","Jacq.",NA,"Fazenda de Utinga, in Certao del Rio de S. Francisco",NA,NA,"NY00565547_01","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00997725","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","D. C. Daly","D613","1980","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1183041' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997725","Magnoliophyta","Myrtales","Jacq.",NA,"Tadumo, 2 km NW of Presidente Dutra.","-44.53","-5.25","NY00997725_01","Maranhão","Presidente Dutra","C. A. Stace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","2158138","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","B. A. Krukoff","5727",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2313598' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158138","Magnoliophyta","Myrtales","Jacq.",NA,"Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33","NY02158138_01","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00997730","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","P. W. Richards","6493","1968","07","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1183088' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997730","Magnoliophyta","Myrtales","Jacq.",NA,"Fazenda Patizal, nr. São Félix.",NA,NA,"NY00997730_01","Mato Grosso",NA,"C. A. Stace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","2158232","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","W. A. Rodrigues","3139","1961","08","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2313704' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158232","Magnoliophyta","Myrtales","Jacq.",NA,"Estrada Manaus-Itacoatiara, km 55","-59.7483301","-2.7264177","NY02158232_01","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","685846","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=821355' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685846","Magnoliophyta","Myrtales","Jacq.",NA,"Rio Parana",NA,NA,"NY00685846_01",NA,NA,"C. A. Stace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00997743","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","J. M. Pires","58086","1964","06","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1183182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997743","Magnoliophyta","Myrtales","Jacq.",NA,"Fercal, encosta do morro, na margem do rio Maranhão.","-47.9294","-15.7797","NY00997743_01","Distrito Federal","Brasília","C. A. Stace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","565576","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","S. A. Mori","9812","1978","03","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332763' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565576","Magnoliophyta","Myrtales","Jacq.",NA,"Estaçao Ecológica do Pau-Brasil e arredores, cerca de 16 km a W de Porto Seguro. Folha SE - 24 (16-39c)","-39.1815805","-16.3721094","NY00565576_01","Bahia","Santa Cruz Cabrália","C. A. Stace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00997732","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","J. A. Ratter","R.3312","1976","07","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1183112' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997732","Magnoliophyta","Myrtales","Jacq.",NA,NA,"-52.33","-14.73","NY00997732_01","Mato Grosso","Xavantina","C. A. Stace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","2158212","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","G. T. Prance","6165","1968","07","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2313682' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158212","Magnoliophyta","Myrtales","Jacq.",NA,"N. bank of Rio Abunã between Cachoeira Tres S and Fortaleza, 4-16 km above mouth. Forest on terra firme, near river.","-65.489763","-9.716549","NY02158212_01","Rondônia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","565559","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","J. E. B. Warming","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565559","Magnoliophyta","Myrtales","Jacq.",NA,"Lagoa Santa","-43.8894","-19.6272","NY00565559_01","Minas Gerais","Lagoa Santa","N. M. F. d. Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00933341","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","J. R. Pirani","3731","1996","04","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009171' target='other'> <mi>dwc_moreinfo</mi></a>","NY00933341","Magnoliophyta","Myrtales","Jacq.",NA,"Santo Hipólito. Estrada Corinto-Conselheiro, a 6 km E de Santo Hipólito","-44.18","-18.28","NY00933341_01","Minas Gerais",NA,"N. M. F. da Silva","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","2158209","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","C. A. Cid Ferreira","2915","1980","10","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2313679' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158209","Magnoliophyta","Myrtales","Jacq.",NA,"Reserva Florestal of Universidade Federal do Acre.","-67.8650755","-9.9559905","NY02158209_01","Acre","Rio Branco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","2158188","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","B. V. Rabelo","1831","1983","03","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2313653' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158188","Magnoliophyta","Myrtales","Jacq.",NA,"Rio Matapi entre a estrada do Matapi e a Foz do rio.","-51.207594","0.0872","NY02158188_01","Amapá","Macapá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","565570","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","G. G. Hatschbach","22177","1969","09","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565570","Magnoliophyta","Myrtales","Jacq.",NA,"Rio Paraná, Ilha do Mutum","-53.2667","-22.7722","NY00565570_01","Paraná","Porto Rico","G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","2158156","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","J. M. Pires","822","1947","10","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2313616' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158156","Magnoliophyta","Myrtales","Jacq.",NA,"Uaupés (São Gabriel).","-67.3404837","0.0917208","NY02158156_01 NY02158156_02","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","579372","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum viridulum","C. E. O. Kuntze","s.n.","1892","07",NA,"South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579372","Magnoliophyta","Myrtales","Kuntze","paratype","Ost-Velasco",NA,NA,"NY00579372_01",NA,NA,NA,"200","200","viridulum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","565569","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","S. A. Mori","9668","1978","03","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332761' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565569","Magnoliophyta","Myrtales","Jacq.",NA,"Rod. BR 418 a 16 km do entrocamento com a BA 001. Folhas SE - 24 (18-39 a)","-39.3422073","-17.6362566","NY00565569_01","Bahia","Caravelas","C. A. Stace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","2158118","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","C. A. Cid Ferreira","196","1979","08","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2312234' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158118","Magnoliophyta","Myrtales","Jacq.",NA,"Rio Uatuma, ilha Itaqui, 1.30 h da Balbina, de motor de popa, subindo o rio.","-58.7269878","-2.3065914","NY02158118_01","Amazonas","Itapiranga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","565546","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","G. Gardner","994","1837","03",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565546","Magnoliophyta","Myrtales","Jacq.",NA,NA,NA,NA,"NY00565546_01","Pernambuco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","754581","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","G. T. Prance","12000","1971","04","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754581","Magnoliophyta","Myrtales","Jacq.",NA,"Rio Moa, between Igarapes Pentecost and Ipiranga","-72.8956","-7.6144","NY00754581_01","Acre","Mâncio Lima","C. A. Stace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","2158136","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","B. A. Krukoff","8247","1936","09","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2313596' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158136","Magnoliophyta","Myrtales","Jacq.",NA,"Basin of Rio Solimões: near Palmares","-69.5048332","-4.696879","NY02158136_01","Amazonas","São Paulo de Olivença",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","565564","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","C. A. Cid Ferreira","7264","1986","05","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565564","Magnoliophyta","Myrtales","Jacq.",NA,"Est. Ecológica Jutaí-Solimoes, Rio Patí afluente da margem esq. do Rio Jutaí, igarapé das Araras","-67.5707245","-3.7276122","NY00565564_01","Amazonas","Jutaí","L. Coêlho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","565579","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","R. Vásquez Martínez","766","1980","11","13","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332767' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565579","Magnoliophyta","Myrtales","Jacq.",NA,"Varadero; Río Amazonas, camino a Mazan (Río Napo)","-73.17","-3.5",NA,"Loreto","Maynas","C. A. Stace","115","115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00997737","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","M. dos R. Cordeiro","1228","1976","11","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1183133' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997737","Magnoliophyta","Myrtales","Jacq.",NA,"Fazenda Cachimbo, sub. Base Projeto RADAM.SC.21-ZB-PT. A estrada BR.30.","-54.9328","-10.0575","NY00997737_01","Mato Grosso","Matupá","C. A. Stace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","2158150","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","A. N. Prentiss","s.n.","1870",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2313610' target='other'> <mi>dwc_moreinfo</mi></a>","NY02158150","Magnoliophyta","Myrtales","Jacq.",NA,NA,NA,NA,"NY02158150_01","Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","471867","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","M. Silveira","1570","1996","11","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332780' target='other'> <mi>dwc_moreinfo</mi></a>","NY00471867","Magnoliophyta","Myrtales","Jacq.",NA,"Rio Purus, margem direita, seringal Nova Olinda, colocaçao Nova Olinda.","-69.6858","-9.0425","NY00471867_01","Acre","Manoel Urbano","C. A. Stace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","472080","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","D. C. Daly","9029","1996","05","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332778' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472080","Magnoliophyta","Myrtales","Jacq.",NA,"Parque Nacional Serra do Divisor, Rio Azul, southern tributary of Rio Moa, 0-3 hours by motor-canoe from confluence.","-73.2875","-7.7069","NY00472080_01","Acre","Mâncio Lima","C. A. Stace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","565561","PreservedSpecimen","Plantae","Combretaceae","Combretum","laxum","Combretum laxum","G. Gardner","994","1837","11",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565561","Magnoliophyta","Myrtales","Jacq.",NA,"Banks of the Capiberibe",NA,NA,"NY00565561_01 NY00565561_02","Pernambuco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
