"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","recordNumber","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"11","2020-11-24 17:10:56-03","UTFPR","DVPR","4479","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engler","Cordeiro, J; Lozano, ED","2010",NA,NA,"Caxambu, MG; Siqueira, EL","2009","11","13","Brasil","Paraná","Turvo","Vegetação ciliar do Rio turvo.","-51.33115","-25.02242","-51.33115","-25.02242","1000","1000","arbusto ca. 1,80m, heliófito. Flores vermelhas.; Relevo: suave-ondulado. Vegetação Floresta Ombrófila Mista Aluvial","DVPR004479","2892",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-24 17:11:04-03","UTFPR","DVPR","4975","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","parvifolia","Picramnia parvifolia","Engler","Cordeiro, J; Lozano, ED","2010",NA,NA,"?",NA,NA,NA,"Brasil","Paraná","Turvo","Vegetação ciliar do Rio Turvo","-51.33115","-25.02242","-51.33115","-25.02242","1000","1000","Arbusto ca. 1,80m, heliófito, flores vermelhas.; Relevo:suave-ondulado Vegetação: Floresta Ombrófila Mista Aluvial","DVPR004975","s.n.",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-08 17:36:36-03","EAO","IAN","19469","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","regnelli","Picramnia regnelli","Engl.",NA,NA,NA,NA,"Regnell, AF",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN019469","1521",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-08 17:36:36-03","EAO","IAN","19469","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","regnelli","Picramnia regnelli","Engl.",NA,NA,NA,NA,"Regnell, AF",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN019469","1521",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-01-20 14:40:47-03","UPM","MACK","1233","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","E. F. S. Rossetto","2012",NA,NA,"O. C. Pavão","1999","12","09","Brasil","PR","Sapopema","Salto das Orquídeas","-50.5802993774414","-23.9108009338379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21990","auto",NA,NA,NA,NA,NA,NA
"16","2019-12-04 15:25:38-03","PUCPR","HUCP","18087","S","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Selusniaki, M","2007",NA,NA,"Selusniaki, M","2005","12","21","Brasil","Paraná","Curitiba","Parque Tinguí","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00018598","687","HUCP00018598","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
"17","2019-12-04 15:25:38-03","PUCPR","HUCP","24276","S","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Selusniaki, M",NA,NA,NA,"Lozano, E","2011","12","17","Brasil","Paraná","Ortigueira",NA,"-50.9494018554688","-24.2082996368408",NA,NA,NA,NA,NA,"HUCP00003337","817","HUCP00003337","Eudicotiledonea",NA,NA,NA,"46016","auto",NA,NA,NA,NA,NA,NA
"18","2019-12-04 15:25:38-03","PUCPR","HUCP","20177","S","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Selusniaki, M",NA,NA,NA,"Selusniaki, M","2009","04","04","Brasil","Paraná","Curitiba","Umbará","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00018698","2604","HUCP00018698","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
"19","2019-10-09 11:22:34-03","UFBA","ALCB","040440","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Hatschbach, G","1997",NA,NA,"Silva, JM; Cordeiro, J","1997","09","27","Brasil","Paraná","São José dos Pinhais","Roseira, próximo a Artex","-49.2","-25.533333","-49.2","-25.533333",NA,NA,"Ca. de 2 m.","ALCB069022","2008",NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-02-08 10:33:44-03","NBC","NL-BOTANY","L.2129017","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.",NA,NA,NA,NA,"Reitz R; Klein RM","1961","03","03","Brazil",NA,NA,"Santa Catarina. Serra da Boa Vista, São José.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2129017 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2129017",NA,"NL-L2129017",NA,"Sapindales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"21","2020-02-08 10:33:44-03","NBC","NL-BOTANY","L.2129018","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.",NA,NA,NA,NA,"Smith LB; Klein RM","1957","01","31","Brazil",NA,NA,"Santa Catarina. Mun. Campo Alegre: Pinheiral, between Postema and Morro Iquererim.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2129018 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2129018",NA,"NL-L2129018",NA,"Sapindales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"22","2020-02-08 10:33:44-03","NBC","NL-BOTANY","L.2129019","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.",NA,NA,NA,NA,"Reitz R; Klein RM","1958","12","16","Brazil",NA,NA,"Santa Catarina. Rio do Meio, Lauro Müller.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2129019 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2129019",NA,"NL-L2129019",NA,"Sapindales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"23","2020-02-08 10:33:44-03","NBC","NL-BOTANY","L.2129020","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.",NA,NA,NA,NA,"Bornmüller A","1904","09","17","Brazil",NA,NA,"Süd-Brasilien. (Rio Grande do Sul.). Neu-Württemberg: Wätoer.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2129020 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2129020",NA,"NL-L2129020",NA,"Sapindales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"24","2020-02-08 10:33:44-03","NBC","NL-BOTANY","WAG.1525067","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.",NA,NA,NA,NA,"Silva JM","1987","10","18","Brazil",NA,NA,"Parque Náutico (mun Curitiba) Paraná.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1525067 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1525067",NA,"NL-WAG1525067",NA,"Sapindales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"25","2020-02-08 10:33:44-03","NBC","NL-BOTANY","WAG.1525068","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.",NA,NA,NA,NA,"Silva JM; Cordeiro J","1986","02","14","Brazil",NA,NA,"Parque Iguacu (mun Curitiba). Paraná.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1525068 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1525068",NA,"NL-WAG1525068",NA,"Sapindales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"26","2020-02-08 10:33:44-03","NBC","NL-BOTANY","L.2129055","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","regnellii","Picramnia regnellii","Engl.",NA,NA,NA,NA,"Jönsson G","1914","09","24","Brazil",NA,NA,"Parana: Tamandaré.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2129055 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2129055",NA,"NL-L2129055",NA,"Sapindales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"27","2020-02-08 10:33:44-03","NBC","NL-BOTANY","L.2129055","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","regnellii","Picramnia regnellii","Engl.",NA,NA,NA,NA,"Jönsson G","1914","09","24","Brazil",NA,NA,"Parana: Tamandaré.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2129055 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2129055",NA,"NL-L2129055",NA,"Sapindales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"28","2020-11-04 12:18:03-03","ESALQ","ESA","2397","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia",NA,NA,NA,NA,NA,"Hatschbach, G.","1978","12","27","Brasil","Paraná","Alto Tamandaré",NA,NA,NA,NA,NA,NA,NA,NA,"ESA002397","41160.0",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-11-04 12:18:03-03","ESALQ","ESA","96381","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engler","Pirani, J.R.",NA,NA,NA,"Kuhlmann, M.","1949","11","25","Brasil","São Paulo","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,"ESA096381","2187.0",NA,"Magnoliophyta",NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA
"30","2020-11-04 12:18:03-03","ESALQ","ESA","30653","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","regnelii","Picramnia regnelii",NA,NA,NA,NA,NA,"Rozza, A.F.","1996","02","02","Brasil","São Paulo","Matão",NA,"-48.3600006103516","-21.6000003814697",NA,NA,NA,NA,NA,"ESA030653","202.0",NA,"Magnoliophyta",NA,NA,NA,"26922","auto",NA,NA,NA,NA,NA,NA
"31","2020-11-04 12:18:03-03","ESALQ","ESA","30653","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","regnelii","Picramnia regnelii",NA,NA,NA,NA,NA,"Rozza, A.F.","1996","02","02","Brasil","São Paulo","Matão",NA,"-48.3600006103516","-21.6000003814697",NA,NA,NA,NA,NA,"ESA030653","202.0",NA,"Magnoliophyta",NA,NA,NA,"26922","auto",NA,NA,NA,NA,NA,NA
"32","2021-01-14 15:32:55-03","MN","R","7970","PreservedSpecimen","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Pirani, J.R.","1988",NA,NA,"Glaziou, A.F.M.","1881","01","04","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000007970","13658 a","R000007970_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2015-07-02 14:03:42-03","JBP","HPL","7965","S","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia",NA,"R. Tsuji","2007","02","02","R. Tsuji","2007","02","02","Brasil","SP","Nova Odessa","Coletado e cultivado no Instituto Plantarum.","-47.29","-22.77",NA,NA,NA,NA,NA,NA,"1852",NA,NA,NA,NA,NA,"8440","auto",NA,NA,NA,NA,NA,NA
"34","2015-07-02 14:03:42-03","JBP","HPL","9136","S","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engler.","J.R. Pirani","1995","05","01","H. Lorenzi","1993","03","15","Brasil","MG","Andradas","Coletado na estrada para Poços de Caldas, na mata ciliar.","-46.5692","-22.0681",NA,NA,NA,NA,NA,NA,"172",NA,NA,NA,NA,NA,"16593","auto",NA,NA,NA,NA,NA,NA
"35","2015-07-02 14:03:42-03","JBP","HPL","11648","S","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia",NA,"H. Lorenzi","2007","02","12","H. Lorenzi","2007","02","12","Brasil","SP","Nova Odessa","Coletado e cultivado no Jardim Botânico Plantarum como nativa no bosque do lago; planta sem identificação.","-47.29","-22.77",NA,NA,NA,NA,NA,NA,"6228",NA,NA,NA,NA,NA,"8440","auto",NA,NA,NA,NA,NA,NA
"36","2019-12-19 08:15:27-03","FPS","FPS","530","MachineObservation","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Schwirkowski, P.","2014","12","28","Schwirkowski, P.","2014","12","28","Brasil","Santa Catarina","São Bento do Sul","Serra Alta. Trilhos próx à Rua José Augustin.","-49.371009","-26.278208","-49.371009","-26.278208",NA,NA,"<ll>dwc_commonname:</ll> Pau-amargo, cedrinho, cedrico, quassiá","FPS00530","771","FPS00530_v01 FPS00530_v02 FPS00530_v03 FPS00530_v04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-12-19 08:08:19-03","FPS","FPS","4117","MachineObservation","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Schwirkowski, P.","2019","10","19","Schwirkowski, P.","2019","10","19","Brasil","Santa Catarina","São Bento do Sul","Centro. Fundos do Hotel Serra Alta","-49.382244","-26.243041","-49.382244","-26.243041",NA,NA,NA,"FPS04117,FURB65418","3540","FPS04117_v01 FPS04117_v02 FPS04117_v03 FPS04117_v04 FPS04117_v05 FURB65418",NA,NA,NA,NA,NA,NA,NA,"voucher","FURB 65418",NA,NA,NA
"38","2019-12-19 08:15:27-03","FPS","FPS","2044","MachineObservation","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Schwirkowski, P.","2016","01","31","Schwirkowski, P.","2016","01","31","Brasil","Santa Catarina","São Bento do Sul","Serra Alta. Próximo à Rua José Augustin. Beira de trilhos","-49.370422","-26.278334","-49.370422","-26.278334",NA,NA,"<ll>dwc_commonname:</ll> Pau-amargo, cedrinho, cedrico, quassiá","FPS02044,FUEL055457,FURB49604","1536","FPS02044_v01 FPS02044_v02 FPS02044_v03 FPS02044_v04 FPS02044_v05 FURB49604",NA,NA,NA,NA,NA,NA,NA,"voucher","FURB 49604, FUEL 55457",NA,NA,NA
"39","2020-06-14 15:15:06-03","FPS","FPS","4258","MachineObservation","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Schwirkowski, P.","2019","11","23","Schwirkowski, P.","2019","11","23","Brasil","Santa Catarina","São Bento do Sul","Bairro Serra Alta, próximo à estação de trem do bairro Rio Vermelho","-49.341613","-26.286956","-49.341613","-26.286956",NA,NA,"<ll>dwc_commonname:</ll> Pau-amargo, araçazinho-do-campo, café-bravo, cedrinho, quássia, quina, cafezinho-do-mato, cedrico","FPS04258,FURB65949","3681","FPS04258_v01 FPS04258_v02 FPS04258_v03 FPS04258_v04 FPS04258_v05 FPS04258_v06 FPS04258_v07 FPS04258_v08 FPS04258_v09 FPS04258_v10 FPS04258_v11 FURB65949",NA,NA,NA,NA,NA,NA,NA,"voucher","FURB 65949",NA,NA,NA
"40","2019-12-19 08:15:27-03","FPS","FPS","1945","MachineObservation","Plantae","Picramniaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Schwirkowski, P.","2009","10","11","Schwirkowski, P.","2009","10","11","Brasil","Santa Catarina","São Bento do Sul","Serra Alta. Ponte do Rio Banhados. Borda de mata.","-49.383625","-26.275633","-49.383625","-26.275633",NA,NA,"<ll>dwc_commonname:</ll> Pau-amargo, cedrinho, cedrico, quassiá","FPS01945",NA,"FPS01945_v01 FPS01945_v02 FPS01945_v03 FPS01945_v04 FPS01945_v05 FPS01945_v06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-11-22 13:44:40-03","IAP","PACA-AGP","105400","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Sobral, M.",NA,NA,NA,"Jagmin, N.","1999","01","19","Brasil","SC","Aratiba",NA,NA,NA,NA,NA,NA,NA,"Xiloteca nº 956&nf;Altura: 9,80m; Circunferência: 60cm; Fuste: 4m.","PACA105400",NA,NA,"Magnoliophyta","Rutales",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"42","2019-09-13 08:41:40-03","IAP","PACA-AGP","50816","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","L. B. Smith Sicher","1954","09","17","Reitz, R.","1948","12","23","Brasil","SC","Riosinho","Perto de Bom Retiro.",NA,NA,NA,NA,NA,NA,"Habitat: In silvula. Fenofase: flor roxa Hábito: árvore Ecossistema: MATA","PACA050816","3691",NA,"Magnoliophyta","Rutales",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"43","2019-09-13 08:41:40-03","IAP","PACA-AGP","55646","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","L. B. Smith Sicher","1953",NA,NA,"Reitz, R.","1951","01","09","Brasil","SC","São Francisco de Paula",NA,NA,NA,NA,NA,NA,NA,"HBR 6004. Habitat: In silvula Fenofase: fruto submaturo","PACA055646","3805",NA,"Magnoliophyta","Rutales",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"44","2019-09-13 08:41:40-03","IAP","PACA-AGP","6670","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Emrich-Rambo Sicher","1954","09","17","Rambo, B.","1940","11","18","Brasil","RS","Santa Clara","Perto de Lageado.",NA,NA,NA,NA,NA,NA,"Habitat: In silvula secundaria. Fenofase: flor nodum evoluto","PACA006670",NA,NA,"Magnoliophyta","Rutales",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"45","2019-09-13 08:41:40-03","IAP","PACA-AGP","85959","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","G. Hatschbach","2001",NA,NA,"E. Barbosa","2000","01","21","Brasil","Pr",NA,"Rio Iguaçu",NA,NA,NA,NA,NA,NA,"Arvoreta com 4m de altura. Habitat: Em mata de galeria. Fenofase: fruto nigrescente Hábito: arvoreta","PACA085959","639",NA,"Magnoliophyta","Rutales",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"46","2019-09-13 08:41:40-03","IAP","PACA-AGP","61694","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Emrich-Rambo Sicher","1958","09","29","Camargo, O. R.","1957","11","18","Brasil","RS","Farroupilha",NA,"-51.3478012084961","-29.2250003814697",NA,NA,NA,NA,"Habitat: In dumetosis. Fenofase: flor","PACA061694","2574",NA,"Magnoliophyta","Rutales",NA,NA,"19545","auto","Magnoliopsida",NA,NA,NA,NA,NA
"47","2019-09-13 08:41:40-03","IAP","PACA-AGP","45010","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Emrich-Rambo Sicher","1954","09","17","Rambo, B.","1949","12","26","Brasil","RS","Gramado",NA,"-50.8739013671875","-29.3785991668701",NA,NA,NA,NA,"Habitat: In arucarieto Fenofase: flor","PACA045010",NA,NA,"Magnoliophyta","Rutales",NA,NA,"13851","auto","Magnoliopsida",NA,NA,NA,NA,NA
"48","2019-09-13 08:41:40-03","IAP","PACA-AGP","57825","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Emrich-Rambo Sicher","1957","05","13","Pivetta","1953","09","17","Brasil","RS","Ijuí","Dr. Pestana","-53.9146995544434","-28.3878002166748",NA,NA,NA,NA,"Habitat: In dumetosis Fenofase: flor","PACA057825","845",NA,"Magnoliophyta","Rutales",NA,NA,"36807","auto","Magnoliopsida",NA,NA,NA,NA,NA
"49","2019-09-13 08:41:40-03","IAP","PACA-AGP","57603","PreservedSpecimen","Plantae","Simaroubaceae","Picramnia","parvifolia","Picramnia parvifolia","Engl.","Emrich-Rambo Sicher","1957","05","13","Pivetta","1954","12","21","Brasil","RS","Ijuí","Dr. Pestana","-53.9146995544434","-28.3878002166748",NA,NA,NA,NA,"Sem material. Habitat: In dumetosis Fenofase: fruto","PACA057603","634",NA,"Magnoliophyta","Rutales",NA,NA,"36807","auto","Magnoliopsida",NA,NA,NA,NA,NA
