"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","class","order","imagecode","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","relatedCatalogItem"
"13","2020-12-11 11:45:01-03","UFMG","BHCB","56473","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"Mota, RC da","Southern America","Brasil",NA,NA,"Coletada em afloramento rochoso","BHCB021228","Monocotyledon","Nees",NA,"2018","03","20","295","2000","12","02","Minas Gerais","Catas Altas","Serra do Caraça.","-43.4075012207031","-20.0746994018555","11966",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2010-08-24 09:46:00-03","MO","MOBOT","222517","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"F. Sellow","South America","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"Sellow 1248","1814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","2833456","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"R. Kummrow","South America","Brazil",NA,NA,NA,NA,NA,"Nees","S.A. Renvoize",NA,NA,NA,"Kummrow 2403","1983","11","9","Paraná",NA,"Serra de Aracatuba (mun. Guaratuba).",NA,NA,NA,"1100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-08-01 18:19:29-03","UNESP-IBILCE","SJRP","02776","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"L. Clark","América do Sul","Brasil",NA,NA,"Culms to 1,5 cm diam., ...;",NA,"Tracheophyta","Nees",NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro","Passos","São Lourenço",NA,NA,NA,NA,NA,NA,"Liliopsida","Poales",NA,NA,NA,NA,NA,NA
"17","2020-08-01 18:19:29-03","UNESP-IBILCE","SJRP","02742","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"L. Clark","América do Sul","Brasil",NA,NA,"At edge of secondary Atlantic forest ...;",NA,"Tracheophyta","Nees",NA,NA,NA,NA,NA,NA,NA,NA,"São Paulo","Biritiba Mirim","sentido Salesópolis",NA,NA,NA,NA,NA,NA,"Liliopsida","Poales",NA,NA,NA,NA,NA,NA
"18","2020-08-01 18:19:29-03","UNESP-IBILCE","SJRP","02777","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"L. Clark","América do Sul","Brasil",NA,NA,"Culms to 1,5 cm diam., ...;",NA,"Tracheophyta","Nees",NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro","Passos","sentido São Lourenço",NA,NA,NA,NA,NA,NA,"Liliopsida","Poales",NA,NA,NA,NA,NA,NA
"19","2020-08-01 18:19:29-03","UNESP-IBILCE","SJRP","02790","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"L. Clark","América do Sul","Brasil",NA,NA,"Plants common, culms to 2 cm diam., ...;",NA,"Tracheophyta","Nees",NA,NA,NA,NA,NA,NA,NA,NA,"Minas Gerais","Santuário do Caraça","Parque Natural",NA,NA,NA,NA,NA,NA,"Liliopsida","Poales",NA,NA,NA,NA,NA,NA
"20","2020-08-01 18:19:29-03","UNESP-IBILCE","SJRP","02733","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"L. Clark","América do Sul","Brasil",NA,NA,"Bamboo very comon, weedy.;",NA,"Tracheophyta","Nees",NA,NA,NA,NA,NA,NA,NA,NA,"São Paulo","Jardim Botânico","Instituto de Botânica",NA,NA,NA,NA,NA,NA,"Liliopsida","Poales",NA,NA,NA,NA,NA,NA
"21","2020-08-01 18:19:29-03","UNESP-IBILCE","SJRP","02715","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"L. Clark","América do Sul","Brasil",NA,NA,"Culms to 2.5 cm diam., ...;",NA,"Tracheophyta","Nees",NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto","Liliopsida","Poales",NA,NA,NA,NA,NA,NA
"22","2020-08-01 18:19:29-03","UNESP-IBILCE","SJRP","02759","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"L. Clark","América do Sul","Brasil",NA,NA,"In humid forest and also hanging over road banks, ...;",NA,"Tracheophyta","Nees",NA,NA,NA,NA,NA,NA,NA,NA,"Minas Gerais","Caparaó","Parque Nacional do Caparaó","-41.9043998718262","-20.523099899292","15056",NA,NA,"auto","Liliopsida","Poales",NA,NA,NA,NA,NA,NA
"23","2020-08-01 18:19:29-03","UNESP-IBILCE","SJRP","02694","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"L. Clark","América do Sul","Brasil",NA,NA,"Atlantic forest.;",NA,"Tracheophyta","Nees",NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro","Teresópolis","pedra do sino","-42.9655990600586","-22.4122009277344","38539",NA,NA,"auto","Liliopsida","Poales",NA,NA,NA,NA,NA,NA
"24","2020-08-31 09:21:10-03","INPA","INPA","217904","S","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"Brade, AC","Southern America","Brasil",NA,NA,NA,"INPA0217904","Monocotyledon","Nees","Clark, JG","2017","05","29","20225","1950","01","30","Rio de Janeiro","Itatiaia","Maromba. Jardim Botânico do Rio de Janeiro. RB - 69169.","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,"Poales","INPA0217904 INPA0217904_e",NA,NA,NA,NA,NA
"25","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","22518",NA,"Plantae","Gramineae","Chusquea","anelythra","Chusquea anelythra",NA,"L. Kollmann; et al",NA,"Brasil",NA,NA,"Taquara no sol.","MBML022518",NA,"Nees","E.M. Pianissola/17-01-2018",NA,NA,NA,"6639","2004","04","10","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,NA,NA,NA,"MBML022518","41W6'2","20S31'9",NA,NA,NA
"26","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","25092",NA,"Plantae","Gramineae","Chusquea","anelythra","Chusquea anelythra",NA,"L. Kollmann; et al",NA,"Brasil",NA,NA,"Erva 6m. No sol.","MBML025092",NA,"Nees","E.M. Pianissola/17-01-2018",NA,NA,NA,"8015","2005","07","13","Espírito Santo","Domingos Martins","Parque Estadual da Pedra Azul","-41.019167","-20.403889",NA,NA,NA,NA,NA,NA,"MBML025092","41W1'9","20S24'14",NA,NA,NA
"27","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","31190",NA,"Plantae","Gramineae","Chusquea","anelythra","Chusquea anelythra",NA,"L. Kollmann; A.P. Fontana, P. Labiak, M. Kaehler & F. B. Matos",NA,"Brasil",NA,NA,"Erva 6cm. Não entouceirada.","MBML031190",NA,"Nees","E.M. Pianissola/17-01-2018",NA,NA,NA,"9948","2007","07","17","Espírito Santo","Itaguaçu","Caparaó","-40.981111","-19.741389",NA,"1145","1145",NA,NA,NA,"MBML031190","40W58'52","19S44'29",NA,NA,NA
"28","2020-07-10 09:46:13-03","MBML","MBML-HERBARIO","39275",NA,"Plantae","Gramineae","Chusquea","anelythra","Chusquea anelythra",NA,"P. L. Viana; C.N.Fraga, M.M.Saavedra, A.P.Fontana, L.Kollmann, R.Goldenberg & P.Labiak.",NA,"Brasil",NA,NA,"Em beira de riacho. Colmos escandentes, com deposição de cera branca sob os nós, quando jovens. Bainhas das folhas dos colmos e dos ramos notavelmente hispidas. Habitat: mata.","MBML039275",NA,"Nees","E.M. Pianissola/17-01-2018",NA,NA,NA,"3635","2008","07","17","Espírito Santo","Castelo","Parque Estadual do Forno Grande. Trilha para as piscinas.","-41.0875","-20.519444",NA,NA,NA,NA,NA,NA,"MBML039275_1 MBML039275_2 MBML039275_3","41W5'15","20S31'10",NA,NA,NA
"29","2020-09-12 05:00:02-03","US","US","1163022","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"A. F. M. Glaziou","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"18634","1890","11","22","Rio de Janeiro",NA,"Alto macahe",NA,NA,NA,NA,NA,NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"30","2020-09-12 05:00:02-03","US","US","2380660","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"R. Reitz & R. M. Klein","South America","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"7280","1958","10","16","Santa Catarina",NA,"Alto malador, rio do sul",NA,NA,NA,"800","800",NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"31","2020-09-12 05:00:02-03","US","US","1257154","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"A. Chase","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"9691","1925","8","30","Minas Gerais",NA,"Serra do caparao",NA,NA,NA,"2300","2300",NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"32","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"L. B. Smith & R. Reitz","South America","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"9093","1956","12","23","Santa Catarina",NA,"Cacador, Taquara Verde",NA,NA,NA,"900","1000",NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"33","2020-09-12 05:00:02-03","US","US","1501367","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"A. Chase","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"10282","1920","12","23","Minas Gerais",NA,"Metallurgia, serra de ouro branco",NA,NA,NA,"1250","1600",NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"34","2020-09-12 05:00:02-03","US","US","557551","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra","Type material","F. Sellow","South America - Neotropics","Brazil",NA,NA,NA,"US00036596",NA,"Nees",NA,NA,NA,NA,"1248",NA,NA,NA,NA,NA,"[This is a collection event record attached to numerous Sellow specimens from Brazil without collection date or locality. Do not modify.]",NA,NA,NA,NA,NA,NA,"Monocotyledonae","Cyperales","US00036596_01",NA,NA,NA,"1",NA
"35","2020-09-12 05:00:02-03","US","US","2433730","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"L. B. Smith & R. M. Klein","South America","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"7559","1956","11","12","Santa Catarina",NA,"Ibirama, horto florestal",NA,NA,NA,"450","700",NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"36","2020-09-12 05:00:02-03","US","US","2433730","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"L. B. Smith & R. M. Klein","South America","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"7559","1956","11","12","Santa Catarina",NA,"Ibirama, horto florestal",NA,NA,NA,"450","700",NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"37","2020-09-12 05:00:02-03","US","US","1257157","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"A. Chase","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"8708","1925","3","1","Minas Gerais",NA,"Sitio, serra mantiqueira",NA,NA,NA,"1200","1225",NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"38","2020-09-12 05:00:02-03","US","US","1447805A","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"P. Campos Porto","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"1169","1922","10","31","Minas Gerais",NA,"Lao domingos",NA,NA,NA,NA,NA,NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"39","2020-09-12 05:00:02-03","US","US","1021558","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"A. F. M. Glaziou","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"18645","1896",NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"40","2020-09-12 05:00:02-03","US","US","2725313","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"T. R. Soderstrom","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"1930","1972","4","5","Rio de Janeiro",NA,"Petropolis, serra doss orgaos",NA,NA,NA,"1820","1850",NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"41","2020-09-12 05:00:02-03","US","US","2433740","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"L. B. Smith & R. M. Klein","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"10821","1957","2","5","Minas Gerais",NA,"Porto uniao, pinheiral",NA,NA,NA,"750","750",NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"42","2020-09-12 05:00:02-03","US","US","2238381","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"A. F. M. Glaziou","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"4310",NA,NA,NA,"Minas Gerais",NA,"[Minas Gerais is probably dubious for most of the catalog records attached to this collection event record, and locality data should be confirmed from individual specimens]",NA,NA,NA,NA,NA,NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"43","2020-09-12 05:00:02-03","US","US","2725320","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"T. R. Soderstrom","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"1931","1972","4","5","Rio de Janeiro",NA,"Petropolis, serra dos orgaos, chapadao",NA,NA,NA,"1820","1820",NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"44","2020-09-12 05:00:02-03","US","US","1255422","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"A. Chase","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"8494","1925","2","15","Rio de Janeiro",NA,"Pico da tijuca",NA,NA,NA,NA,NA,NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"45","2020-09-12 05:00:02-03","US","US","2433731","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"L. B. Smith & R. M. Klein","South America","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"7559","1956","11","12","Santa Catarina",NA,"Ibirama, horto florestal",NA,NA,NA,"450","700",NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"46","2020-09-12 05:00:02-03","US","US","1445540","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"L. B. Smith","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"1719","1929","1","7","Rio de Janeiro",NA,"Mt. itatiaya",NA,NA,NA,"2000","2300",NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"47","2020-09-12 05:00:02-03","US","US","1501213","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"A. Chase","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"10282","1920","12","23","Minas Gerais",NA,"Metallurgia, serra de ouro branco",NA,NA,NA,"1250","1600",NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"48","2020-09-12 05:00:02-03","US","US","1021551","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"A. F. M. Glaziou","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"17454",NA,NA,NA,"Minas Gerais",NA,"[Minas Gerais is probably dubious for most of the catalog records attached to this collection event record, and locality data should be confirmed from individual specimens]",NA,NA,NA,NA,NA,NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"49","2020-09-12 05:00:02-03","US","US","2433742","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"L. B. Smith & R. M. Klein","South America","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"11035","1957","2","8","Santa Catarina",NA,"Cacador-curitibanos, pinheiral",NA,NA,NA,"700","900",NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"50","2020-09-12 05:00:02-03","US","US","1163021","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"A. F. M. Glaziou","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"20151",NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"51","2020-09-12 05:00:02-03","US","US","1021553","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"A. F. M. Glaziou","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"18645","1890",NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"52","2020-09-12 05:00:02-03","US","US","1255421","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"A. Chase","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"8494","1925","2","15","Rio de Janeiro",NA,"Pico da tijuca",NA,NA,NA,NA,NA,NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"53","2020-09-12 05:00:02-03","US","US","1501332","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"A. Chase","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"10641","1930","1","18","Minas Gerais",NA,"Pocos de caldas",NA,NA,NA,"1100","1500",NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"54","2020-09-12 05:00:02-03","US","US","1021550","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"A. F. M. Glaziou","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"17453",NA,NA,NA,"Minas Gerais",NA,"[Minas Gerais is probably dubious for most of the catalog records attached to this collection event record, and locality data should be confirmed from individual specimens]",NA,NA,NA,NA,NA,NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
"55","2020-09-12 05:00:02-03","US","US","2725315","PreservedSpecimen","Plantae","Poaceae","Chusquea","anelythra","Chusquea anelythra",NA,"T. R. Soderstrom","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"1930","1972","4","5","Rio de Janeiro",NA,"Petropolis, serra doss orgaos",NA,NA,NA,"1820","1850",NA,"Monocotyledonae","Cyperales",NA,NA,NA,NA,"1",NA
