"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","infraspecificEpithet","typeStatus","class","coordinatePrecision","geoFlag","individualCount"
"11","2019-01-08 09:34:00-02","MO","MOBOT","3102710","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C. DC.",NA,NA,NA,NA,"A. Usteri",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Usteri s.n.","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"12","2008-05-27 22:02:00-03","MO","MOBOT","3102824","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C. DC.","W. Trelease",NA,NA,NA,"Per Dusén","1909","9","11","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dusén 8814","South America","Marretes, in silvula.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2017-02-01 11:31:02-02","UNIOESTE","UNOP","3720","S","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C. DC.","Machado-Silva, T.","2016","09","26","Machado-Silva, T.","2015","11","23","Brasil","Paraná","Céu Azul","-53.8485984802246","-25.1466999053955",NA,NA,NA,NA,NA,NA,"126",NA,"Parque Nacional do Iguaçu, Rio Iguaçu",NA,NA,NA,"Arbusto.",NA,NA,NA,"51148","auto",NA
"14","2016-07-25 15:01:49-03","UNIOESTE","UNOP","3396","S","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C. DC.","Machado-Silva, T.","2016","02","15","Machado-Silva, T.; Bazzanella, P.; Boff, L.; Bazzanella, P.; Boff, L.","2015","04","24","Brasil","Paraná","Foz do Iguaçu","-54.5881004333496","-25.5478000640869",NA,NA,NA,NA,NA,NA,"18",NA,"Parque Nacional do Iguaçu, Floresta Estacional Semidecidual",NA,NA,NA,"Arbusto, 3m, caule ereto verde bem ramificado, folha áspera verde escura na adaxial, verde na abaxial, pecíolo curto com sulco, espiga amarelada, fruto verde.",NA,NA,NA,"39570","auto",NA
"15","2020-08-31 09:14:10-03","INPA","INPA","205796","S","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C.DC.","Gonçalves, EG","1997",NA,NA,"Cardoso, CFR","1997","05","15","Brasil","Bahia","Baianópolis","-44.6","-12.2","-44.6","-12.2","INPA0205796","INPA0205796 INPA0205796_e","Dicotyledon Magnoliids","Piperales","46","Southern America","Rodovia BA-242 entre Baianópolis e Barreiras. Nordeste.","690","690",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","2124365","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum perhirsutum","Yunck.",NA,NA,NA,NA,"M. Magalhães","1942","7","26","Brazil","Minas Gerais","Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,"US00107130","US00107130_01",NA,"Piperales","3224","South America - Neotropics","Brejo, Engenho Nogueira.",NA,NA,NA,NA,"perhirsutum","Holotype","Dicotyledonae","17082","auto","1"
"17","2019-11-13 11:28:28-03","USP","SPF","139782","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C.DC.","Gonçalves, EG","2000","01",NA,"Gonçalves, EG","1999","12","16","Brasil","São Paulo",NA,NA,NA,NA,NA,"SPF00139782",NA,NA,NA,"391",NA,"Estrada do Açúcar. Margem da rodovia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-09-04 19:05:47-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum",NA,NA,NA,NA,NA,"Usteri","1906","6",NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Spermatophyta",NA,NA,"South America",NA,NA,NA,NA,NA,NA,"Type [status unknown]","Dicotyledoneae",NA,NA,NA
"19","2020-11-04 17:30:18-03","UEM","HUEM","12201","S","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C. DC.","Guimarães, EF","2009","08","11","Aletheia Alves","2006","04","15","Brasil","Paraná","Cianorte","-52.6049995422363","-23.6632995605469",NA,NA,"HUEM000010095","HUEM000010095",NA,NA,"4",NA,"Sítio Três Ipês, estrada Gleba Bolívar, Mata ciliar.",NA,NA,NA,"Arbusto; folhas ásperas e inflorescências em espigas de cor creme esverdeada.",NA,NA,NA,"32009","auto",NA
"20","2020-11-12 17:02:22-03","UEL","FUEL","30036","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C.DC.","Guimarães, EF","2009","08","11","Kinupp, VF","1996","11","04","Brasil","Paraná","Guairaçá","-52.6856002807617","-22.9344005584717",NA,NA,NA,NA,"Tracheophyta","Piperales","30",NA,"Fazenda Candiais",NA,NA,NA,NA,NA,NA,NA,"23199","auto",NA
"21","2020-11-12 17:02:22-03","UEL","FUEL","15905","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C.DC.","Gonçalves, EG","2000","01",NA,"Mattos, JR; Mattos, NF","1960","09","20","Brasil","São Paulo","Mogi Guaçu","-46.9421997070312","-22.372200012207",NA,NA,NA,NA,"Tracheophyta","Piperales","8233",NA,"Fazenda Campininha, 3km N.W. de Padua Sales",NA,NA,NA,NA,NA,NA,NA,"39309","auto",NA
"22","2020-08-20 14:58:49-03","UFSC","FLOR","66968","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C.DC.",NA,NA,NA,NA,"Funez, L.A.","2019","01","03","Brasil","Santa Catarina","Florianópolis","-48.5625","-27.83","48º33'45''W","27º49'48''S","FLOR0066968","FLOR0066968",NA,"Piperales","8362",NA,"Naufragados.","7","7",NA,"Árvore",NA,NA,NA,NA,NA,NA
"23","2021-02-08 12:44:43-03","UFRGS","ICN","119699","S","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C. DC.","Ruschel, D","2003","09","04","Rodrigues, RS; Kindel, A","1998","04","24","Brasil","RS","Torres","-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,"Dicotyledon",NA,"636","América do Sul","Faxinal",NA,NA,NA,"Arbusto ca. 1,2m, em borda de mata paludosa.",NA,NA,NA,"20837","auto",NA
"24","2021-02-08 12:44:43-03","UFRGS","ICN","043940","S","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C. DC.","Ruschel, D","2003","09","04","Zanette, VC","1979","03","17","Brasil","RS","Torres","-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,"Dicotyledon",NA,"347","América do Sul","Faxinal",NA,NA,NA,"Interior de uma mata paludosa.",NA,NA,NA,"20837","auto",NA
"25","2021-02-08 12:44:43-03","UFRGS","ICN","040804","S","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C. DC.","Ruschel, D","2003","09","04","Fleig, M","1976","09","03","Brasil","RS","Torres","-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,"Dicotyledon",NA,"695","América do Sul","Faxinal",NA,NA,NA,"Em tronco; caule espessado.",NA,NA,NA,"20837","auto",NA
"26","2021-02-08 12:44:43-03","UFRGS","ICN","125005","S","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C. DC.","Ruschel, D",NA,NA,NA,"Ruschel, D; Waechter, JL;","2003","01","07","Brasil","RS","Torres","-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,"Dicotyledon",NA,"5","América do Sul","reserva do Faxinal na beira de mata paludosa encharcada","10","10",NA,"arbusto de 0,7 m, ereto, estéril, folha com base predominantemente simétrica e ápice lanceolado, crescendo junto com Piper solmsianum. Pouco freqüente.",NA,NA,NA,"20837","auto",NA
"27","2021-02-08 12:44:43-03","UFRGS","ICN","033258","S","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C. DC.","Ruschel, D","2003","09","04","Miotto, STS; et al.","1976","12","03","Brasil","RS","Torres","-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,"Dicotyledon",NA,"106","América do Sul","Banhado do Curtume",NA,NA,NA,NA,NA,NA,NA,"20837","auto",NA
"28","2021-02-08 12:44:43-03","UFRGS","ICN","083688","S","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C. DC.","Ruschel, D","2003","09","04","Waechter, JL",NA,NA,NA,"Brasil","RS","Torres","-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,"Dicotyledon",NA,"2324","América do Sul","Campo Bonito",NA,NA,NA,"Arbusto ca. 1,5m; em interior de mata turfosa; frutos com coloração verde.",NA,NA,NA,"20837","auto",NA
"29","2020-08-26 10:50:24-03","MCN-FZBRS","HAS","43543","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C. DC.",NA,NA,NA,NA,"Senna, R.M.","2005","02",NA,"Brasil","Rio Grande do Sul","Torres","-49.7268981933594","-29.3353004455566",NA,NA,"HAS0043543",NA,"Magnoliophyta",NA,"772",NA,"Parque Estadual de Itapeva.",NA,NA,NA,"; mata paludosa/UTM619964/6750852 ; arbusto; Projeto Mata Atlântica",NA,NA,NA,"20837","auto",NA
"30","2020-08-26 10:50:24-03","MCN-FZBRS","HAS","43562","PreservedSpecimen","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C. DC.",NA,NA,NA,NA,"Senna, R.M.","2005","02",NA,"Brasil","Rio Grande do Sul","Torres","-49.7268981933594","-29.3353004455566",NA,NA,"HAS0043562",NA,"Magnoliophyta",NA,"785",NA,"Parque Estadual de Itapeva, acesso norte.",NA,NA,NA,"; mata UTM 0621076/6753925; subarbusto; Projeto Mata Atlântica",NA,NA,NA,"20837","auto",NA
"31","2014-09-23 11:02:18-03","G","G-DC","G00323365","S","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C. DC.","CAT.HERB.PRODR.","2013","01","01","Usteri, A.","1906","06","03","Brazil","São Paulo",NA,"-48.65972222","-22.40444444","-48.65972222","-22.40444444","G00323365",NA,NA,NA,"6","AMERIQUE DU SUD",NA,NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site",NA,NA,NA,NA,NA,NA
"32","2014-09-23 11:02:18-03","G","G-DC","G00323268","S","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C. DC.","CAT.HERB.PRODR.","2013","01","01","Usteri, A.","1905","05","12","Brazil","São Paulo",NA,"-48.65972222","-22.40444444","-48.65972222","-22.40444444","G00323268",NA,NA,NA,"2","AMERIQUE DU SUD",NA,NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site",NA,NA,NA,NA,NA,NA
"33","2019-11-21 10:14:28-03","IBt","SP","45933","S","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum","C.DC.","Yuncker, TG","1960",NA,NA,"Mello Barreto","1939","12","15","Brasil","Minas Gerais","Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,"SP011284","SP011284",NA,NA,"10431",NA,"Engenho Nogueira.",NA,NA,NA,NA,NA,NA,NA,"17082","auto",NA
"34","2019-11-21 10:14:28-03","IBt","SP","12655","S","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum perhisutum","Yunck.","Yuncker, TG","1972",NA,NA,"Loefgren, A","1888","07","30","Brasil","São Paulo","Araraquara","-48.1699981689453","-21.7900009155273",NA,NA,"SP007655","SP007655",NA,NA,"CGG800",NA,"Est, Colonia, beira d'água aterro, km 69.",NA,NA,NA,"Herbaceo, rigido, pubescente.","perhisutum",NA,NA,"29178","auto",NA
"35","2019-11-21 10:14:28-03","IBt","SP","18370","S","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum parvifolium","Yunck.","Yuncker, TG","1961",NA,NA,"Brade, AC","1913","11","23","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"SP001909","SP001909",NA,NA,"6933",NA,"Santo Amaro",NA,NA,NA,NA,"parvifolium","Paratype",NA,"53584","auto",NA
"36","2019-11-21 10:14:28-03","IBt","SP","35814","S","Plantae","Piperaceae","Piper","subcinereum","Piper subcinereum parvifolium","Yunck.","Yuncker, TG","1961",NA,NA,"Gehrt, A","1936","08","16","Brasil","São Paulo","Taboão da Serra","-46.7529983520508","-23.6019992828369",NA,NA,"SP001908","SP001908",NA,NA,"s.n.",NA,"Pirajussara",NA,NA,NA,NA,"parvifolium","Holotype",NA,"7812","auto",NA
