"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","county","coordinatePrecision","geoFlag","class","order","imagecode","fieldNumber","minimumElevationInMeters","preparationType","individualCount","maximumElevationInMeters","typeStatus"
"11","2015-09-05 11:22:25-03","MNHN","RECOLNAT_MNHN_P","P06863666","PreservedSpecimen",NA,NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.",NA,NA,NA,"Steyermark, J.A.|Liesner, R.|Delascio, F.",NA,"1977","10","21",NA,"Venezuela",NA,"Terr. Fed. Delta Amacuro: Depto. Antonio Días. Venezuela","-61.00056","8.98333",NA,NA,". . Distributed by the MO and the Instituto Botánico (Ministerio del Ambiente y de los Recursos Naturales Renovables). Field work supported by NSF(United States) and CONICIT(Venezuela). <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06863666' target='other'> <mi>dwc_moreinfo</mi></a>","P06863666",NA,NA,NA,NA,NA,"P06863666_01","115183","50","hb",NA,NA,NA
"12","2009-07-13 12:29:00-03","MO","MOBOT","3082216","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","A. Castillo",NA,NA,"Anibal Castillo","Castillo 1412","1981","7","29","South America","Venezuela","Amazonas","Dpto. de Atures. Bosque húmedo del rio Cataniapo, cercano a la comunidad de la Reforma.","-67.41666","6.41666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37.00000000",NA,NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","1918849","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","C.C.Berg(FVG,2001)",NA,NA,"Ronald L. Liesner","Liesner 4033","1977","11","29","South America","Venezuela","Amazonas","Disturbed forest 0-0.5 km SE of San Carlos de Río Negro.","-67.06666","1.91666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"385","120.00000000",NA,NA,NA,NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","3082450","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.",NA,NA,NA,"J.S. de la Cruz","de la Cruz 4459","2006","10","23","South America","Guyana",NA,"Kaieteur Falls, Potaro River.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","3082531","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","C.C. Berg",NA,NA,"Douglas C. Daly","Daly 634","1980","10","17","South America","Brazil","Maranhão","Aging capoeira with Orbignya palm by little used dirt road. Between Viana & Banderante, back road from Viana to Pinheiro.","-45.16666","-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","3082647","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","C.C. Berg",NA,NA,"Gustavo Martinelli","Martinelli 12344","1987",NA,NA,"South America","Brazil","Pará","Município de Óbidos, campos de Ariramba, campinas e matas de galeria, próximo de rio Jaramacarú.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-01-25 04:33:00-03","MO","MOBOT","3082994","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","M. Vasquez Avila",NA,NA,"Julian A. Steyermark|Gerrit Davidse|Francico Guánchez M.","Steyermark 122452","1980","5","14","South America","Venezuela","Amazonas","Dpto. Atures: forested areas and igneous outcrops along Río Coromoto, at Tonogán de la Selva, 35 km southeast of Puerto Ayacucho.","-67.55","5.36666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"150.00000000",NA,NA,NA,NA
"18","2010-02-05 20:43:00-02","MO","MOBOT","3083949","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","C.C. Berg",NA,NA,"John James Pipoly, III|Ganeshwar Gharbarran|Gary Samuels","Pipoly 10296","1987","2","18","South America","Guyana",NA,"Cuyuni-Mazaruni Region: Chi-Chi Mountains, 4km W of Chi-Chi Falls, on tributary leading N from Mazaruni. Mixed forest on large sandstone boulders.","-60.25","5.56666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"450.00000000",NA,NA,NA,NA
"19","2009-07-31 08:59:00-03","MO","MOBOT","3084203","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","C.C. Berg",NA,NA,"Julian A. Steyermark|Ronald L. Liesner|Franciso Delascio C.","Steyermark 115183","1977","10","21","South America","Venezuela","Delta Amacuro","Dpto. Antonio Díaz: varied riverine forest along Caño Joba-Saburu, west of Caño Guayo and east of Caño Sacupana.","-61","8.98333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50.00000000",NA,NA,NA,NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","3084272","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.",NA,NA,NA,"Basil Stergios","Stergios 6136","1983","7","18","South America","Venezuela","Bolívar","Río Venamo, entre río Cuyuní (Anacoco) y Caño Apanao. Selva pulvial.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2010-11-22 17:45:00-02","MO","MOBOT","3084361","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","C.C. Berg",NA,NA,"Tim McDowell","McDowell 3252","1990","9","19","South America","Guyana",NA,"Region: U. Demerara-Berbice. Fairview Landing E bank of Essequibo River, near end of Mabura road. Disturbed areas near road, riverbanks below Kurupukari.","-58.66666","4.66666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91.00000000",NA,NA,NA,NA
"22","2010-10-16 14:46:00-03","MO","MOBOT","3085895","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","C.C. Berg",NA,NA,"Basil Stergios|Gerardo Aymard|Ramón Estévez","Stergios 9943","1987","1","16","South America","Venezuela",NA,"Selvas pluviales y de rebalse en las orillas del Río Emoni, desde la 3 piedra de la boca hasta 2 horas en bongo arriba de la Piedra San Antonio.","-66.28333","2.16666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"175.00000000",NA,NA,NA,NA
"23","2009-08-24 12:35:00-03","MO","MOBOT","3086100","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Berg",NA,NA,"Basil Stergios|Gerardo Aymard","Stergios 9245","1986","1","18","South America","Venezuela",NA,"Selvas pluviales do reblase (aguas entre blancas y negras) del Bajo Emonj, que desemboca en el rio Siapa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2008-05-27 22:02:00-03","MO","MOBOT","3086420","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.",NA,NA,NA,"J.S. de la Cruz","de la Cruz 2400","2006","9","22","South America","Guyana",NA,"Upper mazaruni River.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2013-02-25 17:53:00-03","MO","MOBOT","3086494","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Vazquez Avila",NA,NA,"Richard E. Schultes|Isidoro Cabrera","Schultes 13414","1951","8","6","South America","Colombia","Vaupés","Río Kananarí (affluent of Río Apaporis). Along banks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"26","2008-05-27 22:02:00-03","MO","MOBOT","3086534","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.",NA,NA,NA,"J.S. de la Cruz","de la Cruz 2699","2006","10","30","South America","Guyana",NA,"Malali, Demerara River.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2014-04-24 11:11:00-03","MO","MOBOT","706044","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","C.C. Berg",NA,NA,"Gerrit Davidse|James S. Miller","Davidse 27294","1984","7","9","South America","Venezuela","Amazonas","Neblina Massif, Canyon Grande, along the Río Mawarinuma between the mouth of the canyon and the first major fork of the river, ca. 7 airline km ENE of Puerto Chimo. [Coordinates on orginal label: 00°50'N 066°02'W - 00°51'N 066°06'W, corrected past-facto from Google Earth]","-66.0833333","0.8333333",NA,NA,NA,NA,"Río Negro",NA,NA,NA,NA,NA,"84-60","150.00000000",NA,"7","700.00000000",NA
"28","2009-07-13 12:29:00-03","MO","MOBOT","3085930","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","A. Castillo",NA,NA,"Anibal Castillo","Castillo 1412","1981","7","29","South America","Venezuela","Amazonas","Dpto. de Atures. Bosque húmedo del rio Cataniapo, cercano a la comunidad de la Reforma.","-67.41666","6.41666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37.00000000",NA,NA,NA,NA
"29","2009-07-13 12:29:00-03","MO","MOBOT","3084037","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","A. Castillo",NA,NA,"Anibal Castillo","Castillo 1412","1981","7","29","South America","Venezuela","Amazonas","Dpto de Atures. Bosque humedo del río Cataniapo, cercano a la comunidad de la Reforma.","-67.41666","6.41666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37.00000000",NA,NA,NA,NA
"30","2020-08-31 09:17:06-03","INPA","INPA","116640","S","Plantae","Dicotyledon Rosids","Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Berg, CC","1995","11","Daly, DC","634","1980","10","17","Southern America","Brasil","Maranhão","Between Viana & Banderante, back road from Viana to Pinheiro","-45.166667","-3","-45.166667","-3",NA,"INPA0116640",NA,NA,NA,NA,"Rosales","INPA0116640 INPA0116640_e INPA0116640_e1",NA,NA,NA,NA,NA,NA
"31","2020-08-31 09:17:06-03","INPA","INPA","122265","S","Plantae","Dicotyledon Rosids","Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Berg, CC","1995","11","Amaral, IL do","1463","1984","02","03","Southern America","Brasil","Amazonas","0-3 km N do km 211 da estrada Perimetral Norte, encosta do Pico Rondon","-62.8","1.533333","-62.8","1.533333",NA,"INPA0122265","Barcelos",NA,NA,NA,"Rosales","INPA0122265 INPA0122265_e",NA,NA,NA,NA,NA,NA
"32","2020-08-31 09:17:06-03","INPA","INPA","77702","S","Plantae","Dicotyledon Rosids","Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Berg, CC","1976",NA,"Maguire, B","46995","1962","08","29","Southern America","Venezuela","Bolívar","Along riverside at El Foco",NA,NA,NA,NA,NA,"INPA0077702",NA,NA,NA,NA,"Rosales","INPA0077702 INPA0077702_e",NA,NA,NA,NA,NA,NA
"33","2020-08-31 09:17:06-03","INPA","INPA","231720","S","Plantae","Dicotyledon Rosids","Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Luize, BG","2009",NA,"Luize, BG","167","2009","09","15","Southern America","Brasil","Amazonas","Divisa de municipio Beruri; RDS Piagaçú-Purus; Setor Cauá-Cuiuanã. Baixo rio Purus; Floresta de várzea; Margem Paranã do Ipixuna; parcela 1 com placa num 145.","-62.522","-4.22275","-62.522","-4.22275",NA,"INPA0231720","Anori",NA,NA,NA,"Rosales","INPA0231720 INPA0231720_e",NA,NA,NA,NA,NA,NA
"34","2017-11-24 14:11:39-02","UFLA","ESAL","14593","S","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.",NA,NA,NA,"Oliveira Filho, AT","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Mata da Mandioca","-47.5416984558105","-19.9372005462646",NA,NA,"árvore; 10,0; ;; floresta",NA,"Conquista","30156","auto",NA,NA,NA,NA,"5",NA,NA,"5",NA
"35","2020-09-12 05:00:02-03","US","US","1123081","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.",NA,NA,NA,"J. S. de la Cruz","2699","1922","10","30","South America - Neotropics","Guyana","U. Demerara-Berbice","Malali, Demerara R.","-58.35","5.61",NA,NA,NA,"US00696080",NA,NA,NA,"Dicotyledonae","Urticales",NA,NA,NA,NA,"1",NA,NA
"36","2020-09-12 05:00:02-03","US","US","1740598","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Berg, C. C.",NA,NA,"E. Delgado","118","1938","1",NA,"South America - Neotropics","Venezuela",NA,"Carretera de Ocumare de la Costa, 34 km",NA,NA,NA,NA,NA,"US00811811",NA,NA,NA,"Dicotyledonae","Urticales",NA,NA,NA,NA,"1",NA,NA
"37","2020-09-12 05:00:02-03","US","US","2447883","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Berg, C. C.",NA,NA,"J. A. Steyermark","87507","1960","11","12","South America - Neotropics","Venezuela","Delta Amacuro","Río Cuyubini, along lower section of river, upstream from Casa Cuyubini",NA,NA,NA,NA,NA,"US00811812",NA,NA,NA,"Dicotyledonae","Urticales",NA,NA,"90",NA,"1",NA,NA
"38","2020-09-12 05:00:02-03","US","US","3461990","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.",NA,NA,NA,"B. Hoffman & M. Roosmalen","5358","1999","2","17","South America - Neotropics","Suriname","Marowijne","Patamacca Village vic., 25 km S of Moengo, Ansoe logging concession","-54.4167","5.16667",NA,NA,NA,"US00800021",NA,NA,NA,"Dicotyledonae","Urticales",NA,NA,"15",NA,"1",NA,NA
"39","2020-09-12 05:00:02-03","US","US","1056546","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.",NA,NA,NA,"A. S. Hitchcock","17539","1920","1","14","South America - Neotropics","Guyana","Barima-Waini","Morawhanna, vic., Barima R.","-59.75","8.25",NA,NA,NA,"US00696082",NA,NA,NA,"Dicotyledonae","Urticales",NA,NA,NA,NA,"1",NA,NA
"40","2020-09-12 05:00:02-03","US","US","3271623","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Berg, C. C.",NA,NA,"J. J. Pipoly, G. Gharbarran & G. Samuels","10296","1987","2","18","South America - Neotropics","Guyana","Cuyuni-Mazaruni","Chi-Chi Mountains, ±4km W of Chi-Chi Falls, on tributary leading N from Mazaruni","-60.25","5.56667",NA,NA,NA,"US00693238",NA,NA,NA,"Dicotyledonae","Urticales",NA,NA,"450",NA,"1",NA,NA
"41","2020-09-12 05:00:02-03","US","US","3231326","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Berg, C. C.",NA,NA,"J. J. Pipoly & G. Bacchus","11775","1987","4","26","South America - Neotropics","Guyana","Demerara-Mahaica","Yarowkabra Forestry Station and areas S, between Linden Hwy and Timehri Airport","-58.1667","6.5",NA,NA,NA,"US00693237",NA,NA,NA,"Dicotyledonae","Urticales",NA,NA,"20",NA,"1","30",NA
"42","2020-09-12 05:00:02-03","US","US","1123055","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.",NA,NA,NA,"J. S. de la Cruz","2400","1922","9","22","South America - Neotropics","Guyana","Cuyuni-Mazaruni","Upper Mazaruni R.",NA,NA,NA,NA,NA,"US00696081",NA,NA,NA,"Dicotyledonae","Urticales",NA,NA,NA,NA,"1",NA,NA
"43","2020-09-12 05:00:02-03","US","US","1481537","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.",NA,NA,NA,"J. S. de la Cruz","4459","1923","10","23","South America - Neotropics","Guyana","Potaro-Siparuni","Kaieteur Falls, Potaro R.","-59.48","5.16",NA,NA,NA,"US00696079",NA,NA,NA,"Dicotyledonae","Urticales",NA,NA,NA,NA,"1",NA,NA
"44","2020-09-12 05:00:02-03","US","US","3294718","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Berg, C. C.",NA,NA,"G. Davidse & J. S. Miller","27294","1984","7","9","South America - Neotropics","Venezuela","Amazonas","Neblina Massif, Canyon Grande, along Río Mawarinuma, 7 airline km E-NE of Puerto Chimo","-66.03","0.83",NA,NA,NA,"US00811813","Río Negro",NA,NA,"Dicotyledonae","Urticales",NA,NA,"350",NA,"1","400",NA
"45","2020-09-12 05:00:02-03","US","US","3368593","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Berg, C. C.",NA,NA,"T. McDowell","3252","1990","9","19","South America - Neotropics","Guyana","U. Demerara-Berbice","Fairview Landing E bank of Essequibo River, near end of Mabura road","-58.6667","4.66667",NA,NA,NA,"US00588342",NA,NA,NA,"Dicotyledonae","Urticales",NA,NA,"91",NA,"1",NA,NA
"46","2019-12-04 16:39:48-03","FFCLRP","SPFR","16511","PreservedSpecimen","Plantae",NA,"Moraceae","Ficus","malacocarpa","Ficus malacocarpa","Standl.","Kjellberg, F.",NA,NA,"Farache, F.H.","619","2016","10","29",NA,"Brasil","Roraima","Apiaú","-61.320303","2.553889","61o19'13.09W","2o33'14.00N",NA,NA,"Mucajaí",NA,NA,NA,NA,NA,NA,"103",NA,NA,"103",NA
"47","2019-09-05 14:23:30-03","F","FMNH-SEEDPLANTS","V0064470F","PreservedSpecimen","Plantae","Spermatophyta","Moraceae","Ficus","malacocarpa","Ficus malacocarpa",NA,NA,NA,NA,"A. C. Persaud","100","1924","8",NA,"South America","Guyana",NA,NA,"-58.7017","4.7364",NA,NA,NA,"V0064470F",NA,NA,NA,"Dicotyledoneae",NA,"V0064470F_01",NA,NA,NA,NA,NA,"Holotype"
"48","2015-03-07 08:26:03-03","F","FMNH-SEEDPLANTS","V0201564F","PreservedSpecimen","Plantae","Spermatophyta","Moraceae","Ficus","malacocarpa","Ficus malacocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0201564F",NA,NA,NA,"Dicotyledoneae",NA,"V0201564F_01",NA,NA,NA,NA,NA,NA
"49","2015-03-07 08:26:03-03","F","FMNH-SEEDPLANTS","V0201565F","PreservedSpecimen","Plantae","Spermatophyta","Moraceae","Ficus","malacocarpa","Ficus malacocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","British Guiana [Guyana]",NA,NA,"-59","5",NA,NA,NA,"V0201565F",NA,NA,NA,"Dicotyledoneae",NA,"V0201565F_01",NA,NA,NA,NA,NA,NA
"50","2015-03-07 08:26:03-03","F","FMNH-SEEDPLANTS","V0201566F","PreservedSpecimen","Plantae","Spermatophyta","Moraceae","Ficus","malacocarpa","Ficus malacocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","British Guiana [Guyana]",NA,NA,"-59","5",NA,NA,NA,"V0201566F",NA,NA,NA,"Dicotyledoneae",NA,"V0201566F_01",NA,NA,NA,NA,NA,NA
"51","2015-03-07 08:26:03-03","F","FMNH-SEEDPLANTS","V0201567F","PreservedSpecimen","Plantae","Spermatophyta","Moraceae","Ficus","malacocarpa","Ficus malacocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","Guyana",NA,NA,"-58.7017","4.7364",NA,NA,NA,"V0201567F",NA,NA,NA,"Dicotyledoneae",NA,"V0201567F_01",NA,NA,NA,NA,NA,NA
"52","2015-03-07 08:26:03-03","F","FMNH-SEEDPLANTS","V0201568F","PreservedSpecimen","Plantae","Spermatophyta","Moraceae","Ficus","malacocarpa","Ficus malacocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0201568F",NA,NA,NA,"Dicotyledoneae",NA,"V0201568F_01",NA,NA,NA,NA,NA,NA
"53","2015-03-07 08:26:03-03","F","FMNH-SEEDPLANTS","V0201569F","PreservedSpecimen","Plantae","Spermatophyta","Moraceae","Ficus","malacocarpa","Ficus malacocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","Venezuela",NA,NA,"-65.9119","7.0758",NA,NA,NA,"V0201569F",NA,NA,NA,"Dicotyledoneae",NA,"V0201569F_01",NA,NA,NA,NA,NA,NA
"54","2015-03-07 08:26:03-03","F","FMNH-SEEDPLANTS","V0201570F","PreservedSpecimen","Plantae","Spermatophyta","Moraceae","Ficus","malacocarpa","Ficus malacocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","Venezuela",NA,NA,"-65.9119","7.0758",NA,NA,NA,"V0201570F",NA,NA,NA,"Dicotyledoneae",NA,"V0201570F_01",NA,NA,NA,NA,NA,NA
