"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"11","2016-09-29 23:07:00-03","NY","NYBG","1013936","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia",NA,"Z. A. Trinta","713","1964","04","19","Brazil","Minas Gerais","Governador Valadares","-41.9492","-18.8511",NA,NA,"NY01013936","NY01013936_01","D. F. Austin",NA,NA,NA,"Governador Valadares.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106745' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-29 13:54:00-03","NY","NYBG","486316","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia",NA,"C. Dlouhy","7287","1982","12","07","Brazil","Paraná",NA,NA,NA,NA,NA,"NY00486316","NY00486316_01","D. F. Austin",NA,NA,NA,"Cerca de Hernandarias","240","240","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484283' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 13:54:00-03","NY","NYBG","486314","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia",NA,"K. Mizoguchi","1549","1981","04","03","Brazil","São Paulo","Ibiúna","-47.22","-23.65",NA,NA,"NY00486314","NY00486314_01","D. F. Austin",NA,NA,NA,"By the lakeside, SW 72 km. from Sao Paulo","800","800","label says Aqr. 3, 1981 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484282' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-29 13:54:00-03","NY","NYBG","494062","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia",NA,"T. S. Ibarrola","844","1944","09","23","Argentina","Corrientes",NA,NA,NA,NA,NA,"NY00494062",NA,"D. F. Austin",NA,NA,NA,"Pueblo de San Luis del Palmar",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484284' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-29 13:54:00-03","NY","NYBG","486317","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia",NA,"J. C. de Moraes Vasconcelos","2241","1959","09","20","Brazil","Paraíba","Remígio","-38.1528","-7.8208",NA,NA,"NY00486317","NY00486317_01",NA,NA,NA,NA,"Remígio",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484286' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","494061","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","J. A. Ratter","1404","1968","05","12","Brazil","Mato Grosso",NA,NA,NA,NA,NA,"NY00494061","NY00494061_01",NA,NA,NA,NA,"Near the Rio Sina-Missu Ferry (approx. 290 km N of Xavantina)",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484285' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","486315","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","R. Reitz","3449","1950","03","07","Brazil","Santa Catarina","Brusque","-48.910147","-27.126635",NA,NA,"NY00486315","NY00486315_01",NA,NA,NA,NA,"Azambuja","35","35","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484287' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-29 23:07:00-03","NY","NYBG","1013940","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia",NA,"Z. A. Trinta","726","1964","04","19","Brazil","Minas Gerais","Governador Valadares","-41.9492","-18.8511",NA,NA,"NY01013940","NY01013940_01","D. F. Austin",NA,NA,NA,"Governador Valadares.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106752' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","319234","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","triloba","Ipomoea triloba genuina","Meisn.","L. Riedel",NA,"1834","02",NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00319234","NY00319234_01","D. F. Austin",NA,NA,NA,"Prope Sorocaba",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574963' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet","genuina","syntype",NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-27 01:06:00-03","NY","NYBG","1430400","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","triloba","Ipomoea triloba",NA,"C. King","7144","1915","09","21","Trinidad and Tobago",NA,NA,NA,NA,NA,NA,"NY01430400","NY01430400_01",NA,NA,NA,NA,"Perseverance Road, Cedros.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1665680' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-09-27 01:06:00-03","NY","NYBG","1430415","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","triloba","Ipomoea triloba",NA,"N. Y. Sandwith","1818","1937","10","17","Trinidad and Tobago",NA,NA,NA,NA,NA,NA,"NY01430415","NY01430415_01",NA,NA,NA,NA,"Tobago. Store Bay.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1665695' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1145181","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","triloba","Ipomoea triloba","L.","R. M. Harley","21816","1980","04","27","Brazil","Bahia",NA,"-44.63","-13.33",NA,NA,"NY01145181","NY01145181_01","B. Verdcourt",NA,NA,NA,"Chapadao Ocidental da Bahia. Banks of the Rio Corrente, by Correntina","580","580","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306823' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","720044","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","triloba","Ipomoea triloba","L.","L. C. Alves","18","1980","05","13","Brazil","Rio de Janeiro","Vassouras","-43.6624984741211","-22.4039001464844",NA,NA,"NY00720044","NY00720044_01",NA,NA,NA,NA,"Vale do Rio Paraíba",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2528065' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet",NA,NA,"33844","auto",NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","319234","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","triloba","Ipomoea triloba genuina","Meisn.","L. Riedel",NA,"1834","02",NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00319234","NY00319234_01","D. F. Austin",NA,NA,NA,"Prope Sorocaba",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574963' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Solanales","South America","sheet","genuina","syntype",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-01-06 11:42:06-03","UFPI-MRV","HDELTA","4494","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","triloba","Ipomoea triloba","L.","Pereira, F.C.","12","2017","06","26","Brasil","Ceará","Camocim","-40.858806","-2.911444","40°51'31,70W","02°54'41,20S","HDELTA004494",NA,"Pereira, F.C.",NA,NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Salsa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-01-06 11:42:06-03","UFPI-MRV","HDELTA","6129","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","triloba","Ipomoea triloba","L.","Araújo, L.S.; Lemos, J.R.; Carvalho, E. G. A.","287","2019","08","24","Brasil","Piauí","Murici dos Portelas","-42.0938987731934","-3.31889009475708",NA,NA,"HDELTA006129",NA,"Araújo, L.S.","2019","08","24","Caiçara",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25662","auto",NA,NA,NA,NA,NA,NA
"27","2020-11-13 09:19:22-03","UFRJ","RFA","27017","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Flávio Britto Pereira","fev-78","2001","03","08","Brasil","Minas Gerais","Itamonte","-44.688056","-22.268889","44º41'17''W","22º16'8''S","RFA37518",NA,NA,NA,NA,NA,"Brasil, Estado de Minas Gerais, Município de Itamonte, Fazenda Campo Redondo e Dois Irmãos","1580","1580","erva , flor lilás, comum no local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-06-29 11:29:54-03","UFRJ","RFA","37568","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Amélia C. Túler","86","2010","01","11","Brasil","Minas Gerais","Durandé","-41.7977981567383","-20.2033004760742",NA,NA,"RFA39677",NA,"R.C. Lopes","2011","09","04","Distrito de São José da Figueira, Zona rural",NA,NA,"Herbácea rasteira com folhas verdes e flores roxas. As flores apresentam cálice tubuloso. A planta cresce apoiada em outras plantas ou rasteira no solo",NA,NA,NA,NA,NA,NA,"17816","auto",NA,NA,NA,NA,NA,NA
"29","2020-06-29 11:29:56-03","UFRJ","RFA","19540","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","triloba","Ipomoea triloba","L.","P. Occhioni","8635","1978","07","28","Brasil","Minas Gerais","Minas Gerais",NA,NA,NA,NA,"RFA16406",NA,"R. Simão Bianchini","2011","10","05","Estrada Juiz de Fora - Caxambú",NA,NA,"Volúvel; flor roxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-11-24 17:10:36-03","UTFPR","DVPR","2302","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Duarte, E","315","2014","12","04","Brasil","Paraná","Dois Vizinhos","-53.055479","-25.413303","-53.055479","-25.413303","DVPR002302",NA,"Estevan, DA","2016","08",NA,"UTFPR - DV, Trilha próxima a agroindústria","508","508","Cipó, flor lilás.","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-24 17:10:36-03","UTFPR","DVPR","1128","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Duarte, E","96","2013","04","09","Brasil","Paraná","Dois Vizinhos","-53.0607","-25.4149","-53.0607","-25.4149","DVPR001128","DVPR001128","Estevan, DA","2013","06","04","Unepe - Restauração Ecológica. Nucleação: Banco de Sementes: parcela 2, sub-parcela 16",NA,NA,"Cipó, flor rosa.","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-24 17:10:36-03","UTFPR","DVPR","1250","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Duarte, E","101","2014","05","05","Brasil","Paraná","Dois Vizinhos","-53.057201385498","-25.7336006164551",NA,NA,"DVPR001250","DVPR001250","Duarte, E","2014","11","20","Próximo a UNEPE - Restauração Ecológica do campus da UTFPR-D",NA,NA,"Cipó, flores vermelhas.","Magnoliophyta",NA,NA,NA,NA,NA,"19637","auto",NA,NA,NA,NA,NA,NA
"33","2020-11-24 17:10:36-03","UTFPR","DVPR","179","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Baroni, S","s.n.","1985","11","25","Brasil","Paraná","Londrina","-51.1627998352051","-23.3103008270264",NA,NA,"DVPR000179","DVPR000179","Ferreira, PPA","2010","10","21","Horto UEL",NA,NA,"Trepadeira, flores lilás.","Magnoliophyta",NA,NA,NA,NA,NA,"63728","auto",NA,NA,NA,NA,NA,NA
"34","2020-11-24 17:10:36-03","UTFPR","DVPR","178","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Mônaco, APA; Lima, ACC","1720","2005","04","11","Brasil","Paraná","Rolândia","-51.3692016601562","-23.309700012207",NA,NA,"DVPR000178","DVPR000178","Kranz, WM",NA,NA,NA,"Sítio São Joaquim",NA,NA,"Herbácea 5o cm, pétala lilás, trepadeira.; Cultivada em Casa de Vegetação (IAPAR).","Magnoliophyta",NA,NA,NA,NA,NA,"19311","auto",NA,NA,NA,NA,NA,NA
"35","2020-11-24 17:10:36-03","UTFPR","DVPR","5430","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","triloba","Ipomoea triloba","L.","Silva, L; Souza, V; Cirei, T","s.n.","2017","10","21","Brasil","Paraná","Dois Vizinhos","-53.057201385498","-25.7336006164551",NA,NA,"DVPR005430",NA,"Cirei, MT","2017",NA,NA,"UTFPR.",NA,NA,"Erva, trepadeira podendo atingir 3 metros de comprimento. flores de coloração roxa a azul.","Magnoliophyta",NA,NA,NA,NA,NA,"19637","auto",NA,NA,NA,NA,NA,NA
"36","2018-08-28 10:12:50-03","UNEMAT","TANG","204","S","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Dezordi, BG; Pereira, XAT","1","2009","10","20","Brasil","Mato Grosso","Tangará da Serra","-57.4858016967773","-14.6194000244141",NA,NA,"TANG000000204",NA,NA,NA,NA,NA,"Campus da UNEMAT",NA,NA,"Planta anual, trepadeira, herbáceo",NA,NA,NA,NA,NA,NA,"175746","auto",NA,NA,NA,NA,NA,NA
"37","2016-10-18 16:24:31-02","UNEMAT","TANG","229","S","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Sassaki, M","3","2009","06","01","Brasil","Mato Grosso","Tangará da Serra","-57.4858016967773","-14.6194000244141",NA,NA,"TANG000000229",NA,NA,NA,NA,NA,"fazenda São Geraldo",NA,NA,"planta anual, trepadeira, volúvel, herbáceo",NA,NA,NA,NA,NA,NA,"175746","auto",NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:37:33-03","EAO","IAN","61852","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Black, GA; Ledoux, PVD","10551","1950","11","05","Brasil","Pará",NA,NA,NA,NA,NA,"IAN061852","IAN061852 IAN061852_e","Austin, DF","1979",NA,NA,"Rio Jamundá; Paciência; capoeira em cacaual velho.",NA,NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:37:33-03","EAO","IAN","87376","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Schwindt, E","4160","1950","05","12","Argentina",NA,NA,NA,NA,NA,NA,"IAN087376",NA,NA,NA,NA,NA,"Misiones: Fronteira: B. de Irigoyen (Cercanías).",NA,NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:37:33-03","EAO","IAN","61581","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Black, GA; Ledoux, PVD","10290","1950","10","27","Brasil","Pará","Santarém","-54.7083015441895","-2.44305992126465",NA,NA,"IAN061581","IAN061581 IAN061581_e","Austin, DF","1979",NA,NA,"Cacaual Grande.",NA,NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,"205258","auto",NA,NA,NA,NA,NA,NA
"41","2021-03-30 12:37:33-03","EAO","IAN","144974","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","triloba","Ipomoea triloba","L.","Ratter, JA; Santos, RR dos","1404","1968","05","12","Brasil","Mato Grosso",NA,NA,NA,NA,NA,"IAN144974",NA,NA,NA,NA,NA,"Near the Rio Suia-Missu Ferry (approx. 290km N of Xavantina).",NA,NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-01-20 14:40:23-03","UPM","MACK","194","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","triloba","Ipomoea triloba","L.","A. C. V. Crestani","13","2009","07","10","Brasil","SP","Cananéia","-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,"A. C. Crestani",NA,NA,NA,"Ilha do Cardoso - Perequê",NA,NA,NA,NA,NA,NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA
"43","2020-02-08 10:34:20-03","NBC","NL-BOTANY","L.2730701","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Bordin J",NA,"2000","06","17","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2730701","NL-L2730701",NA,NA,NA,NA,"Brazil Butia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2730701 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Solanales","Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae","L 0280292",NA,NA,NA,NA
"44","2020-02-08 10:34:20-03","NBC","NL-BOTANY","L.2730702","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Pedersen TM",NA,"1979","04","06","Argentina",NA,NA,NA,NA,NA,NA,"NL-L2730702","NL-L2730702",NA,NA,NA,NA,"Carandaity. Dep. Miguel. Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2730702 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Solanales","Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"45","2020-02-08 10:34:20-03","NBC","NL-BOTANY","L.2730705","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Palacios-Cuezzo",NA,"1948","02","29","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2730705","NL-L2730705",NA,NA,NA,NA,"Brasil. Estado Rio Grande do Sul. Santa Maria.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2730705 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Solanales","Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"46","2020-02-08 10:34:20-03","NBC","NL-BOTANY","L.2730707","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Sparre B; Vervoorst FB",NA,"1950","11","15","Paraguay",NA,NA,NA,NA,NA,NA,"NL-L2730707","NL-L2730707",NA,NA,NA,NA,"Dep. Paraguaria. Col. Pirareta.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2730707 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Solanales","Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"47","2020-02-08 10:34:21-03","NBC","NL-BOTANY","L.2730708","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia","(Dammer) O'Donell","Palacios-Cuezzo",NA,"1948","03","06","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2730708","NL-L2730708",NA,NA,NA,NA,"Estado Rio G. Do Sul. Pinhal.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2730708 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Solanales","Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
