"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","day","yearIdentified","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","coordinatePrecision","geoFlag","individualCount"
"11","2009-07-27 09:38:00-03","MO","MOBOT","232247","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.",NA,"Auguste F.M. Glaziou","Glaziou 8999","1877","6","South America","Brazil","Rio de Janeiro","Montis Tingua",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-08-01 18:19:30-03","UNESP-IBILCE","SJRP","04465","PreservedSpecimen","Plantae","Tracheophyta","Poales","Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franchet",NA,"L. Clark",NA,NA,NA,"América do Sul","Brasil","Rio de Janeiro","Morro do Cuca","-43.1786003112793","-22.5049991607666",NA,NA,NA,"Campo de altitude, NW-facing slope, steep, well-drained with ...;",NA,NA,"Liliopsida",NA,NA,NA,NA,"Petrópolis",NA,NA,NA,NA,"36524","auto",NA
"13","2020-09-12 05:00:02-03","US","US","2979410","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.",NA,"G. Martinelli & J. E. Simonis","9027","1983","1","South America - Neotropics","Brazil","Rio de Janeiro","Petropolis, vale das videiras",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"14","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.",NA,"G. Martinelli","6168","1979","10","South America - Neotropics","Brazil","Rio de Janeiro","Petropolis, vale das videiras",NA,NA,"1800","2000",NA,NA,NA,NA,"Monocotyledonae","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"15","2020-09-12 05:00:02-03","US","US","2952412","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.",NA,"G. Martinelli","6168","1979","10","South America - Neotropics","Brazil","Rio de Janeiro","Petropolis, vale das videiras",NA,NA,"1800","2000",NA,NA,NA,NA,"Monocotyledonae","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"16","2020-09-12 05:00:02-03","US","US","2952413","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.",NA,"G. Martinelli","6168","1979","10","South America - Neotropics","Brazil","Rio de Janeiro","Petropolis, vale das videiras",NA,NA,"1800","2000",NA,NA,NA,NA,"Monocotyledonae","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"17","2020-09-12 05:00:02-03","US","US","2952414","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.",NA,"G. Martinelli","6168","1979","10","South America - Neotropics","Brazil","Rio de Janeiro","Petropolis, vale das videiras",NA,NA,"1800","2000",NA,NA,NA,NA,"Monocotyledonae","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"18","2020-09-12 05:00:02-03","US","US","2876359","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.",NA,"A. F. M. Glaziou","8999","1877","6","South America - Neotropics","Brazil","Rio de Janeiro","Montis Tingua.",NA,NA,NA,NA,NA,NA,"US00132139","US00132139_01","Monocotyledonae","7",NA,NA,NA,NA,NA,NA,"Syntype",NA,NA,NA,"1"
"19","2020-09-12 05:00:02-03","US","US","1021444","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.",NA,"A. F. M. Glaziou","14383","1883","1","South America - Neotropics","Brazil","Rio de Janeiro","Petropolis",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"20","2020-09-12 05:00:02-03","US","US","2952411","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.",NA,"G. Martinelli","6168","1979","10","South America - Neotropics","Brazil","Rio de Janeiro","Petropolis, vale das videiras",NA,NA,"1800","2000",NA,NA,NA,NA,"Monocotyledonae","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"21","2020-09-12 05:00:02-03","US","US","2876358","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.",NA,"A. F. M. Glaziou","14383",NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro","Near Petropolis.",NA,NA,NA,NA,NA,NA,"US00132138","US00132138_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,"Syntype",NA,NA,NA,"1"
"22","2019-11-21 10:15:36-03","IBt","SP","252374","S","Plantae",NA,NA,"Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.",NA,"Clark, L; et al.","785","1991","02",NA,"Brasil","Rio de Janeiro","Morro do Cuca.","-43.2","-22.4","1600","1600",NA,NA,"SP045258","SP045258",NA,"06",NA,NA,NA,"Petrópolis","-43.2","-22.4",NA,NA,NA,NA,NA
"23","2019-11-21 10:15:36-03","IBt","SP","373950","S","Plantae",NA,NA,"Poaceae","Glaziophyton","mirabile","Glaziophyton mirabile","Franch.",NA,"Sarahyba, LS; et al.","1066","1994","03",NA,"Brasil","Rio de Janeiro","Morro do Cuca.","-43.2","-22.4","1600","1600",NA,NA,"SP045257","SP045257",NA,"02",NA,NA,NA,"Petrópolis","-43.2","-22.4",NA,NA,NA,NA,NA
